date,close
2019-08-14,0.9
2019-08-15,0.9194
2019-08-16,0.9605
2019-08-19,0.884
2019-08-21,0.854
2019-08-22,0.908
2019-08-26,0.91
2019-08-28,0.914
2019-08-29,0.9
2019-08-30,0.898
2019-09-02,0.94
2019-09-03,0.954
2019-09-04,0.97
2019-09-05,0.94
2019-09-06,0.93
2019-09-09,0.902
2019-09-10,0.91
2019-09-11,0.936
2019-09-12,0.95
2019-09-13,0.88
2019-09-16,0.916
2019-09-17,0.9
2019-09-18,0.88
2019-09-19,0.92
2019-09-20,0.88
2019-09-23,0.88
2019-09-24,0.884
2019-09-27,0.878
2019-09-30,0.95
2019-10-01,0.912
2019-10-02,0.89
2019-10-04,0.908
2019-10-07,0.862
2019-10-08,0.872
2019-10-09,0.936
2019-10-10,0.89
2019-10-11,0.86
2019-10-15,0.892
2019-10-16,0.886
2019-10-17,0.896
2019-10-21,0.824
2019-10-23,0.822
2019-10-24,0.81
2019-10-25,0.794
2019-10-28,0.815
2019-10-29,0.685
2019-10-30,0.69
2019-10-31,0.56
2019-11-01,0.54
2019-11-04,0.56
2019-11-05,0.55
2019-11-06,0.55
2019-11-08,0.585
2019-11-11,0.585
2019-11-12,0.625
2019-11-13,0.6
2019-11-14,0.61
2019-11-15,0.595
2019-11-18,0.725
2019-11-19,0.65
2019-11-20,0.74
2019-11-21,0.68
2019-11-22,0.71
2019-11-25,0.645
2019-11-26,0.6
2019-11-27,0.605
2019-11-28,0.56
2019-11-29,0.56
2019-12-02,0.59
2019-12-03,0.56
2019-12-04,0.63
2019-12-05,0.59
2019-12-06,0.65
2019-12-09,0.615
2019-12-10,0.67
2019-12-11,0.65
2019-12-12,0.665
2019-12-13,0.68
2019-12-16,0.65
2019-12-17,0.675
2019-12-18,0.66
2019-12-19,0.66
2019-12-20,0.69
2019-12-23,0.69
2019-12-27,0.68
2019-12-30,0.705
2020-01-02,0.735
2020-01-03,0.72
2020-01-06,0.7
2020-01-07,0.69
2020-01-08,0.68
2020-01-09,0.7
2020-01-10,0.74
2020-01-13,0.725
2020-01-14,0.705
2020-01-15,0.74
2020-01-16,0.81
2020-01-17,0.925
2020-01-20,0.985
2020-01-21,0.975
2020-01-22,0.985
2020-01-23,0.985
2020-01-24,0.98
2020-01-27,0.985
2020-01-28,0.96
2020-01-29,0.995
2020-01-30,0.985
2020-01-31,1.09
2020-02-03,1.21
2020-02-04,1.28
2020-02-05,1.32
2020-02-06,1.44
2020-02-07,1.49
2020-02-10,1.23
2020-02-11,1.29
2020-02-12,1.36
2020-02-13,1.38
2020-02-14,1.34
2020-02-17,1.4
2020-02-18,1.44
2020-02-19,1.47
2020-02-20,1.51
2020-02-21,1.52
2020-02-24,1.51
2020-02-25,1.54
2020-02-26,1.29
2020-02-27,1.21
2020-02-28,1.08
2020-03-02,1.38
2020-03-03,1.48
2020-03-04,1.48
2020-03-05,1.22
2020-03-06,1.3
2020-03-09,1.05
2020-03-10,1.2
2020-03-11,1.16
2020-03-12,1.03
2020-03-13,1.08
2020-03-16,0.895
2020-03-17,1.04
2020-03-18,1.08
2020-03-19,1.09
2020-03-20,1.21
2020-03-23,1.52
2020-03-24,1.52
2020-03-25,1.44
2020-03-26,1.6
2020-03-27,1.52
2020-03-30,1.53
2020-03-31,1.61
2020-04-01,1.61
2020-04-02,1.685
2020-04-03,1.82
2020-04-06,2.08
2020-04-07,2.2
2020-04-08,1.9
2020-04-09,1.975
2020-04-14,2.12
2020-04-15,2.03
2020-04-16,2.18
2020-04-17,2.19
2020-04-20,2.2
2020-04-21,2.21
2020-04-22,2.23
2020-04-23,2.28
2020-04-24,2.28
2020-04-27,2.25
2020-04-28,2.27
2020-04-29,2.23
2020-04-30,2.21
2020-05-04,1.94
2020-05-05,2.06
2020-05-06,2.04
2020-05-07,1.97
2020-05-08,2.07
2020-05-11,2.01
2020-05-12,2.0
2020-05-13,1.97
2020-05-14,2.03
2020-05-15,1.96
2020-05-18,2.03
2020-05-19,1.95
2020-05-20,1.975
2020-05-21,2.06
2020-05-22,2.03
2020-05-25,2.06
2020-05-26,2.13
2020-05-27,2.1
2020-05-28,2.07
2020-05-29,2.11
2020-06-02,2.11
2020-06-03,2.08
2020-06-04,2.09
2020-06-05,2.1
2020-06-08,2.1
2020-06-09,2.11
2020-06-10,2.11
2020-06-11,2.09
2020-06-12,2.1
2020-06-15,2.07
2020-06-16,2.03
2020-06-17,2.04
2020-06-18,2.01
2020-06-19,2.02
2020-06-22,1.975
2020-06-23,1.61
2020-06-24,1.55
2020-06-25,1.48
2020-06-26,1.615
2020-06-29,1.64
2020-06-30,1.62
2020-07-01,1.72
2020-07-02,1.815
2020-07-03,1.915
2020-07-06,1.95
2020-07-07,1.955
2020-07-08,1.935
2020-07-09,1.925
2020-07-10,1.925
2020-07-13,1.895
2020-07-14,1.81
2020-07-15,1.835
2020-07-16,1.84
2020-07-17,1.82
2020-07-20,1.805
2020-07-21,1.855
2020-07-22,1.835
2020-07-23,1.805
2020-07-24,1.795
2020-07-27,1.82
2020-07-28,1.855
2020-07-29,1.855
2020-07-30,1.91
2020-07-31,1.895
2020-08-03,1.945
2020-08-04,1.975
2020-08-05,1.95
2020-08-06,2.01
2020-08-07,1.935
2020-08-10,2.02
2020-08-11,2.0
2020-08-12,1.995
2020-08-13,2.01
2020-08-14,2.0
2020-08-17,2.02
2020-08-18,1.95
2020-08-19,1.955
2020-08-20,1.96
2020-08-21,1.955
2020-08-24,1.935
2020-08-25,1.955
2020-08-26,1.96
2020-08-27,1.925
2020-08-28,1.935
2020-08-31,1.92
2020-09-01,1.915
2020-09-02,1.895
2020-09-03,1.845
2020-09-04,1.785
2020-09-07,1.84
2020-09-08,1.865
2020-09-09,1.835
2020-09-10,1.835
2020-09-11,1.835
2020-09-14,1.87
2020-09-15,1.835
2020-09-16,1.815
2020-09-17,1.825
2020-09-18,1.805
2020-09-21,1.745
2020-09-22,1.745
2020-09-23,1.745
2020-09-24,1.81
2020-09-25,1.81
2020-09-28,1.765
2020-09-29,1.765
2020-09-30,1.765
2020-10-01,1.755
2020-10-02,1.62
2020-10-05,1.67
2020-10-06,1.675
2020-10-07,1.665
2020-10-08,1.67
2020-10-09,1.66
2020-10-12,1.66
2020-10-13,1.57
2020-10-14,1.48
2020-10-15,1.275
2020-10-16,1.19
2020-10-19,1.29
2020-10-20,1.355
2020-10-21,1.345
2020-10-22,1.25
2020-10-23,1.21
2020-10-26,1.295
2020-10-27,1.24
2020-10-28,1.2
2020-10-29,1.17
2020-10-30,1.145
2020-11-02,1.18
2020-11-03,1.19
2020-11-04,1.19
2020-11-05,1.195
2020-11-06,1.29
2020-11-09,1.325
2020-11-10,1.325
2020-11-11,1.325
2020-11-12,1.265
2020-11-13,1.25
2020-11-16,1.28
2020-11-17,1.25
2020-11-19,1.185
2020-11-20,1.205
2020-11-23,1.235
2020-11-24,1.27
2020-11-25,1.32
2020-11-26,1.385
2020-11-27,1.42
2020-11-30,1.6
2020-12-01,1.52
2020-12-02,1.465
2020-12-03,1.445
2020-12-04,1.44
2020-12-07,1.315
2020-12-08,1.31
2020-12-09,1.32
2020-12-10,1.32
2020-12-11,1.32
2020-12-14,1.395
2020-12-15,1.385
2020-12-16,1.305
2020-12-17,1.355
2020-12-18,1.37
2020-12-21,1.28
2020-12-22,1.3
2020-12-23,1.28
2020-12-28,1.32
2020-12-29,1.255
2020-12-30,1.275
2021-01-04,1.245
2021-01-05,1.25
2021-01-06,1.24
2021-01-07,1.275
2021-01-08,1.435
2021-01-11,1.39
2021-01-12,1.395
2021-01-13,1.355
2021-01-14,1.36
2021-01-15,1.39
2021-01-18,1.415
2021-01-19,1.55
2021-01-20,1.775
2021-01-21,1.96
2021-01-22,2.06
2021-01-25,1.755
2021-01-26,1.795
2021-01-27,1.71
2021-01-28,1.84
2021-01-29,1.885
2021-02-01,1.86
2021-02-02,1.775
2021-02-03,1.79
2021-02-04,1.86
2021-02-05,1.885
2021-02-08,1.91
2021-02-09,1.815
2021-02-10,1.815
2021-02-11,1.81
2021-02-12,1.845
2021-02-15,1.835
2021-02-16,2.02
2021-02-17,2.08
2021-02-18,2.06
2021-02-19,1.925
2021-02-22,1.915
2021-02-23,2.02
2021-02-24,2.05
2021-02-25,2.07
2021-02-26,1.965
2021-03-01,1.86
2021-03-02,1.875
2021-03-03,1.935
2021-03-04,1.895
2021-03-05,1.83
2021-03-08,1.805
2021-03-09,1.77
2021-03-10,1.805
2021-03-11,1.795
2021-03-12,1.795
2021-03-15,1.8
2021-03-16,1.825
2021-03-17,1.8
2021-03-18,1.945
2021-03-19,2.01
2021-03-22,1.97
2021-03-23,1.98
2021-03-24,1.88
2021-03-25,1.85
2021-03-26,1.87
2021-03-29,1.915
2021-03-30,1.825
2021-03-31,1.83
2021-04-01,1.808
2021-04-06,1.836
2021-04-07,1.83
2021-04-08,1.822
2021-04-09,1.78
