date,close
2020-08-25,51.89
2020-08-26,51.6
2020-08-27,49.0
2020-08-28,49.615
2020-08-31,47.1
2020-09-01,45.9
2020-09-02,46.95
2020-09-03,48.0
2020-09-04,50.78
2020-09-07,55.0
2020-09-08,49.155
2020-09-09,48.2
2020-09-10,46.75
2020-09-11,46.2
2020-09-14,46.1
2020-09-15,45.78
2020-09-16,45.57
2020-09-17,44.995
2020-09-18,44.42
2020-09-21,41.72
2020-09-22,42.81
2020-09-23,41.85
2020-09-24,38.24
2020-09-25,38.52
2020-09-28,40.5
2020-09-29,39.75
2020-09-30,40.095
2020-10-01,40.495
2020-10-02,40.125
2020-10-05,42.27
2020-10-06,46.3
2020-10-07,46.36
2020-10-08,47.245
2020-10-09,46.76
2020-10-12,45.82
2020-10-13,46.21
2020-10-14,46.6
2020-10-15,44.5
2020-10-16,45.07
2020-10-19,45.955
2020-10-20,44.975
2020-10-21,43.305
2020-10-22,40.925
2020-10-23,42.445
2020-10-26,41.05
2020-10-27,42.235
2020-10-28,40.49
2020-10-29,43.0
2020-10-30,42.16
2020-11-02,41.74
2020-11-03,41.5
2020-11-04,42.06
2020-11-05,43.06
2020-11-06,42.705
2020-11-09,44.69
2020-11-10,49.585
2020-11-11,51.18
2020-11-12,56.4
2020-11-13,61.54
2020-11-16,67.5
2020-11-17,63.6
2020-11-18,63.19
2020-11-19,63.89
2020-11-20,66.33
2020-11-23,69.95
2020-11-24,67.98
2020-11-25,68.09
2020-11-26,68.9
2020-11-27,71.33
2020-11-30,77.18
2020-12-01,82.0
2020-12-02,83.73
2020-12-03,84.54
2020-12-04,85.14
2020-12-07,91.4
2020-12-08,100.5
2020-12-09,119.6
2020-12-10,104.0
2020-12-11,97.55
2020-12-14,102.22
2020-12-15,101.82
2020-12-16,95.3
2020-12-17,87.2
2020-12-18,87.9
2020-12-21,92.98
2020-12-22,88.6
2020-12-23,82.7
2020-12-28,74.8
2020-12-29,67.72
2020-12-30,72.8
2021-01-04,69.0
2021-01-05,70.7
2021-01-06,72.4
2021-01-07,81.45
2021-01-08,86.47
2021-01-11,82.15
2021-01-12,83.49
2021-01-13,80.5
2021-01-14,82.64
2021-01-15,81.73
2021-01-18,84.36
2021-01-19,83.82
2021-01-20,84.39
2021-01-21,83.33
2021-01-22,84.0
2021-01-25,83.88
2021-01-26,84.21
2021-01-27,80.9
2021-01-28,72.8
2021-01-29,74.3
2021-02-01,81.21
2021-02-02,81.8
2021-02-03,85.58
2021-02-04,93.2
2021-02-05,97.22
2021-02-08,105.0
2021-02-09,98.3
2021-02-10,96.99
2021-02-11,95.25
2021-02-12,98.59
2021-02-15,99.22
2021-02-16,93.98
2021-02-17,89.2
2021-02-18,89.54
2021-02-19,88.58
2021-02-22,85.0
2021-02-23,81.7
2021-02-24,84.2
2021-02-25,77.99
2021-02-26,80.0
2021-03-01,79.5
2021-03-02,78.26
2021-03-03,76.6
2021-03-04,69.4
2021-03-05,65.99
2021-03-08,68.2
2021-03-09,70.12
2021-03-10,73.4
2021-03-11,70.21
2021-03-12,72.2
2021-03-15,74.0
2021-03-16,78.0
2021-03-17,77.04
2021-03-18,75.18
2021-03-19,77.55
2021-03-22,81.0
2021-03-23,76.1
2021-03-24,73.2
2021-03-25,72.9
2021-03-26,72.6
2021-03-29,73.36
2021-03-30,74.69
2021-03-31,77.6
2021-04-01,79.0
2021-04-06,78.32
2021-04-07,75.62
2021-04-08,75.66
2021-04-09,76.48
2021-04-12,76.63
2021-04-13,79.64
2021-04-14,85.65
2021-04-15,89.0
2021-04-16,89.6
2021-04-19,92.1
2021-04-20,89.05
2021-04-21,93.0
2021-04-22,95.0
2021-04-23,95.75
2021-04-26,98.63
2021-04-27,101.8
2021-04-28,100.0
2021-04-29,95.98
2021-04-30,96.18
2021-05-03,99.78
2021-05-04,89.6
2021-05-05,95.69
2021-05-06,78.17
2021-05-07,83.4
2021-05-10,84.54
2021-05-11,80.9
2021-05-12,79.59
2021-05-13,79.98
2021-05-14,88.0
2021-05-17,92.65
2021-05-18,91.99
2021-05-19,91.0
2021-05-20,94.9
2021-05-21,93.6
2021-05-25,94.38
2021-05-26,94.28
2021-05-27,91.82
2021-05-28,92.5
2021-05-31,88.25
2021-06-01,88.28
2021-06-02,89.39
2021-06-03,92.12
2021-06-04,95.0
2021-06-07,100.1
2021-06-08,88.76
2021-06-09,90.3
2021-06-10,86.52
2021-06-11,81.0
2021-06-14,81.88
2021-06-15,81.97
2021-06-16,82.21
2021-06-17,45.8
2021-06-18,55.8
2021-06-21,49.92
2021-06-22,49.66
2021-06-23,46.2
2021-06-24,49.94
2021-06-25,50.84
2021-06-28,52.5
2021-06-29,55.31
2021-06-30,63.6
2021-07-01,56.9
2021-07-02,54.69
2021-07-05,53.55
2021-07-06,51.85
2021-07-07,50.8
2021-07-08,49.635
2021-07-09,49.355
2021-07-12,50.13
2021-07-13,47.33
2021-07-14,42.315
2021-07-15,43.745
2021-07-16,43.375
2021-07-19,41.96
2021-07-20,44.865
2021-07-21,46.385
2021-07-22,46.06
2021-07-23,45.115
2021-07-26,45.4
2021-07-27,44.33
2021-07-28,44.6
2021-07-29,44.05
2021-07-30,42.03
2021-08-02,42.105
2021-08-03,45.6
2021-08-04,47.58
2021-08-05,51.65
2021-08-06,49.5
2021-08-09,52.62
2021-08-10,54.8
2021-08-11,53.53
2021-08-12,51.68
2021-08-13,50.36
2021-08-16,51.1
2021-08-17,55.0
2021-08-18,56.82
2021-08-19,55.02
2021-08-20,56.78
2021-08-23,59.48
2021-08-24,60.81
2021-08-25,61.91
2021-08-26,62.78
2021-08-27,61.97
2021-08-30,60.13
2021-08-31,56.44
2021-09-01,58.5
2021-09-02,58.3
2021-09-03,59.01
2021-09-06,59.3
2021-09-07,56.5
2021-09-08,58.22
2021-09-09,58.39
2021-09-10,58.05
2021-09-13,55.74
2021-09-14,52.58
2021-09-15,48.46
2021-09-16,47.16
2021-09-17,46.195
2021-09-20,46.085
2021-09-21,46.225
2021-09-22,46.525
2021-09-23,48.245
2021-09-24,48.83
2021-09-27,48.005
2021-09-28,46.95
2021-09-29,48.07
2021-09-30,47.58
2021-10-01,40.46
2021-10-04,38.18
2021-10-05,38.78
2021-10-06,37.895
2021-10-07,38.33
2021-10-08,37.75
2021-10-11,37.45
2021-10-12,34.58
2021-10-13,36.545
2021-10-14,39.86
2021-10-15,40.09
2021-10-18,34.64
2021-10-19,35.825
2021-10-20,35.235
2021-10-21,34.275
2021-10-22,33.105
2021-10-25,33.545
2021-10-26,34.225
2021-10-27,33.18
2021-10-28,32.875
2021-10-29,34.41
2021-11-01,35.945
2021-11-02,36.685
2021-11-03,35.86
2021-11-04,35.355
2021-11-05,31.92
2021-11-08,32.765
2021-11-09,31.59
2021-11-10,32.155
2021-11-11,31.87
2021-11-12,31.885
2021-11-15,32.325
2021-11-16,31.49
2021-11-17,32.61
2021-11-18,35.225
2021-11-19,36.825
2021-11-22,35.845
2021-11-23,34.64
2021-11-24,34.85
2021-11-25,34.91
2021-11-26,39.065
2021-11-29,40.6
2021-11-30,41.82
2021-12-01,39.705
2021-12-02,37.555
2021-12-03,38.205
2021-12-06,36.71
2021-12-07,38.875
2021-12-08,37.59
2021-12-09,37.24
2021-12-10,33.38
2021-12-13,33.4
2021-12-14,33.915
2021-12-15,34.89
2021-12-16,35.65
2021-12-17,35.895
2021-12-20,34.885
2021-12-21,34.6
2021-12-22,33.59
2021-12-23,32.28
2021-12-27,31.875
2021-12-28,31.41
2021-12-29,29.765
2021-12-30,30.26
2022-01-03,31.235
2022-01-04,30.1
2022-01-05,29.18
2022-01-06,26.935
2022-01-07,27.62
2022-01-10,26.86
2022-01-11,26.145
2022-01-12,25.29
2022-01-13,24.39
2022-01-14,21.025
2022-01-17,22.155
2022-01-18,20.47
2022-01-19,19.72
2022-01-20,19.854
