date,close
2021-11-18,10.7
2021-11-19,9.77
2021-11-22,9.86
2021-11-24,9.725
2021-11-25,10.2
2021-11-29,10.2
2021-12-01,9.83
2021-12-03,10.04
2021-12-06,9.06
2021-12-09,10.1
2021-12-13,9.96
2021-12-14,9.5
2021-12-15,7.64
2021-12-16,6.96
2021-12-17,6.66
2021-12-27,6.7
2021-12-28,6.94
2021-12-29,6.48
2022-01-03,6.9
2022-01-04,6.9
2022-01-05,6.4
2022-01-06,6.4
2022-01-07,6.5
2022-01-10,5.42
2022-01-11,6.02
2022-01-12,6.0
2022-01-13,5.56
2022-01-14,6.92
2022-01-18,5.1
2022-01-19,4.93
2022-01-24,4.23
2022-01-26,4.53
2022-01-28,4.49
2022-01-31,4.68
2022-02-02,4.91
2022-02-07,4.6
2022-02-10,5.26
2022-02-11,5.4
2022-02-15,5.0
2022-02-17,5.14
2022-02-18,5.2
2022-02-21,5.6
2022-02-22,5.6
2022-02-24,4.98
2022-03-03,5.02
2022-03-07,4.55
2022-03-10,4.93
2022-03-15,4.48
2022-03-18,4.9
2022-03-21,4.9
2022-03-23,4.89
2022-03-24,4.69
2022-03-25,4.42
2022-03-29,4.62
2022-04-04,4.625
2022-04-05,4.813
2022-04-13,4.812
2022-04-14,4.843
2022-06-06,3.54
2022-06-07,3.41
2022-06-08,3.46
2022-06-09,3.26
2022-06-10,3.06
2022-06-13,2.84
2022-06-14,2.934
2022-06-15,3.173
2022-06-17,3.105
2022-06-20,3.105
2022-06-21,3.33
2022-06-22,3.372
2022-06-23,3.338
2022-06-24,3.478
2022-06-27,3.571
2022-06-28,3.5
2022-06-29,3.48
2022-06-30,3.51
2022-07-01,3.51
2022-07-04,3.51
2022-07-05,3.51
2022-07-06,3.79
2022-07-07,3.75
2022-07-08,4.239
2022-07-11,4.26
2022-07-12,4.15
2022-07-13,4.15
2022-07-14,4.15
2022-07-15,4.15
2022-07-18,4.2
2022-07-19,4.41
2022-07-20,4.36
2022-07-21,4.26
2022-07-22,4.18
2022-07-26,3.66
2022-07-27,3.66
2022-07-28,3.92
2022-07-29,3.98
2022-08-01,3.66
2022-08-02,3.52
2022-08-03,3.81
2022-08-04,3.99
2022-08-05,4.24
2022-08-08,4.46
2022-08-09,4.46
2022-08-10,4.44
2022-08-11,4.55
2022-08-12,4.32
2022-08-15,4.45
2022-08-16,4.424
2022-08-17,4.61
2022-08-18,4.48
2022-08-19,4.747
2022-08-22,4.3
2022-08-23,4.3
2022-08-24,4.46
2022-08-25,4.9
2022-08-26,4.96
2022-08-29,4.71
2022-08-30,4.51
2022-08-31,4.36
2022-09-01,4.5
2022-09-02,4.46
2022-09-05,4.4
2022-09-06,4.4
2022-09-07,4.34
2022-09-08,4.3
2022-09-09,4.3
2022-09-12,4.3
2022-09-13,4.06
2022-09-14,3.92
2022-09-15,3.96
2022-09-16,3.96
2022-09-19,3.86
2022-09-20,3.71
2022-09-21,3.71
2022-09-23,3.36
2022-09-26,3.44
2022-09-27,3.56
2022-09-28,3.56
2022-09-29,3.273
2022-09-30,3.4
2022-10-03,3.4
2022-10-04,3.45
2022-10-05,3.265
2022-10-06,3.44
2022-10-07,3.54
2022-10-10,3.48
2022-10-11,3.38
2022-10-12,3.34
2022-10-13,3.26
2022-10-14,3.26
2022-10-17,3.135
2022-10-18,2.861
2022-10-19,2.88
2022-10-20,2.8
2022-10-21,2.84
2022-10-24,2.84
2022-10-25,3.075
2022-10-26,3.022
2022-10-27,3.022
2022-10-28,3.022
2022-10-31,3.117
2022-11-01,3.212
2022-11-02,3.15
2022-11-03,3.045
2022-11-04,3.148
2022-11-07,2.919
2022-11-08,2.929
2022-11-10,2.835
2022-11-11,2.646
2022-11-14,2.915
2022-11-15,2.625
2022-11-16,2.65
2022-11-17,2.804
2022-11-18,2.856
2022-11-21,2.941
2022-11-22,2.783
2022-11-24,3.135
2022-11-29,3.003
2022-11-30,3.255
2022-12-01,3.21
2022-12-02,3.423
2022-12-05,3.423
2022-12-07,2.935
2022-12-08,3.01
2022-12-09,3.06
2022-12-12,3.02
2022-12-13,2.885
2022-12-14,2.898
2022-12-15,2.898
2022-12-16,2.898
2022-12-19,2.73
2022-12-20,2.73
2022-12-21,2.835
2022-12-22,2.856
2022-12-23,2.678
2022-12-27,2.37
2022-12-28,2.53
2022-12-29,2.436
2022-12-30,2.32
2023-01-02,2.373
2023-01-04,2.499
2023-01-05,2.478
2023-01-06,1.47
2023-01-09,1.826
2023-01-10,1.5855
2023-01-11,1.6275
2023-01-12,1.6485
2023-01-13,1.6485
2023-01-16,1.6485
2023-01-17,1.7265
2023-01-18,1.77
2023-01-19,1.8015
2023-01-20,1.7665
2023-01-23,1.737
2023-01-24,1.77
2023-01-25,1.7225
2023-01-26,1.7145
2023-01-27,1.6445
2023-01-30,1.652
2023-01-31,1.6245
2023-02-01,1.626
2023-02-02,1.659
2023-02-03,1.7575
2023-02-06,1.7955
2023-02-07,1.7435
2023-02-08,1.6825
2023-02-09,1.6705
2023-02-10,1.644
2023-02-13,1.716
2023-02-14,1.647
2023-02-15,1.654
2023-02-16,1.6805
2023-02-17,1.712
2023-02-20,1.765
2023-02-21,1.6535
2023-02-22,1.633
2023-02-23,1.582
2023-02-24,1.547
2023-02-27,1.588
2023-02-28,1.5605
2023-03-01,1.504
2023-03-02,1.459
2023-03-03,1.4505
2023-03-06,1.4745
2023-03-07,1.5185
2023-03-09,1.3585
2023-03-10,1.289
2023-03-13,1.1595
2023-03-14,1.1245
2023-03-15,1.1335
2023-03-16,1.1535
2023-03-17,1.1385
2023-03-20,1.1125
2023-03-21,1.11
2023-03-22,1.1085
2023-03-23,1.124
2023-03-24,1.1295
2023-03-27,1.221
2023-03-28,1.2225
2023-03-29,1.4165
2023-03-30,1.5185
2023-03-31,1.5605
2023-04-03,1.7095
2023-04-04,1.8195
2023-04-06,1.5615
2023-04-11,1.627
2023-04-12,1.6535
2023-04-13,1.7235
2023-04-14,1.7705
2023-04-17,1.7
2023-04-18,1.783
2023-04-19,1.8115
2023-04-20,1.883
2023-04-21,1.995
2023-04-24,1.882
2023-04-26,1.6875
2023-04-27,1.6735
2023-04-28,1.7435
2023-05-02,1.744
2023-05-03,1.733
2023-05-04,1.75
2023-05-05,1.764
2023-05-08,1.802
2023-05-09,1.8025
2023-05-10,1.799
2023-05-11,1.8
2023-05-12,1.7935
2023-05-15,1.8265
2023-05-16,1.7725
2023-05-17,1.7685
2023-05-18,1.7315
2023-05-19,1.799
2023-05-22,1.789
2023-05-23,1.9005
2023-05-24,1.678
2023-05-25,1.668
2023-05-26,1.621
2023-05-29,1.636
2023-05-30,1.6555
2023-05-31,1.6555
2023-06-01,1.6435
2023-06-02,1.627
2023-06-05,1.695
2023-06-06,1.7165
2023-06-07,1.7605
2023-06-08,1.6645
2023-06-09,1.66
2023-06-12,1.67
2023-06-13,1.663
2023-06-14,1.6625
2023-06-15,1.597
2023-06-16,1.588
2023-06-20,1.628
2023-06-21,1.54
2023-06-22,1.483
2023-06-23,1.3735
2023-06-26,1.428
2023-06-28,1.4595
2023-06-29,1.456
2023-07-04,1.722
2023-07-05,1.7055
2023-07-06,1.7435
2023-07-07,1.858
2023-07-10,2.044
2023-07-11,1.9515
2023-07-12,1.8755
2023-07-13,1.8365
2023-07-14,1.784
2023-07-17,1.9095
2023-07-18,2.089
2023-07-19,2.032
2023-07-24,1.919
2023-07-25,1.788
2023-07-26,1.8195
2023-07-27,1.827
2023-07-28,1.854
2023-07-31,1.8555
2023-08-01,1.8655
2023-08-02,1.815
2023-08-03,1.777
2023-08-04,1.7535
2023-08-07,1.608
2023-08-08,1.5305
2023-08-09,1.562
2023-08-10,1.593
2023-08-11,1.542
2023-08-14,1.516
2023-08-15,1.4965
2023-08-16,1.4805
2023-08-17,1.512
2023-08-18,1.4585
2023-08-21,1.465
2023-08-22,1.4885
2023-08-23,1.498
2023-08-24,1.426
2023-08-25,1.4335
2023-08-28,1.4485
2023-08-29,1.471
2023-08-30,1.4135
2023-08-31,1.434
2023-09-01,1.4095
2023-09-04,1.4275
2023-09-05,1.495
2023-09-07,1.3415
2023-09-08,1.3395
2023-09-11,1.3915
2023-09-12,1.3565
2023-09-13,1.3365
2023-09-14,1.345
2023-09-15,1.373
2023-09-18,1.306
2023-09-19,1.2875
2023-09-20,1.273
2023-09-21,1.3335
2023-09-25,1.2145
2023-09-26,1.253
2023-09-27,1.241
2023-09-28,1.2355
2023-09-29,1.2335
2023-10-02,1.2045
2023-10-03,1.205
2023-10-04,1.2515
2023-10-05,1.265
2023-10-09,1.3935
2023-10-10,1.3345
2023-10-11,1.295
2023-10-12,1.2385
2023-10-13,1.191
2023-10-16,1.219
2023-10-17,1.2615
2023-10-18,1.2815
2023-10-19,1.287
2023-10-23,1.218
2023-10-24,1.195
2023-10-25,1.1475
2023-10-26,1.125
2023-10-27,1.034
2023-10-30,0.9966
2023-11-01,1.1625
2023-11-02,1.183
2023-11-03,1.244
2023-11-06,1.215
2023-11-07,1.2305
2023-11-08,1.182
2023-11-09,1.102
2023-11-10,1.0735
2023-11-13,1.061
2023-11-14,1.105
2023-11-15,1.1285
2023-11-16,1.0455
2023-11-17,1.043
2023-11-20,1.028
2023-11-21,1.0025
2023-11-22,1.008
2023-11-23,1.0005
2023-11-24,0.9956
2023-11-27,0.9926
2023-11-28,0.9786
2023-11-29,0.9894
2023-11-30,1.0135
2023-12-01,1.0165
2023-12-04,1.0495
2023-12-05,1.042
2023-12-06,1.0805
2023-12-07,1.071
2023-12-08,1.0925
2023-12-11,1.047
2023-12-12,1.0335
2023-12-13,1.043
2023-12-14,1.1765
2023-12-15,1.18
2023-12-18,1.241
2023-12-19,1.262
2023-12-20,1.263
2023-12-21,1.1965
2023-12-22,1.2745
2023-12-27,1.2645
2023-12-28,1.386
2023-12-29,1.386
2024-01-02,1.353
2024-01-03,1.412
2024-01-05,1.51
2024-01-08,1.6905
2024-01-09,1.964
2024-01-10,1.882
2024-01-11,1.836
2024-01-12,1.8275
2024-01-15,1.8015
2024-01-16,1.75
2024-01-17,1.6545
2024-01-18,1.624
2024-01-19,1.6995
2024-01-22,1.6575
2024-01-23,1.647
2024-01-24,1.628
2024-01-25,1.638
2024-01-26,1.613
2024-01-31,1.71
2024-02-01,1.6465
2024-02-02,1.6355
2024-02-05,1.627
2024-02-06,1.68
2024-02-07,1.5915
2024-02-08,1.575
2024-02-09,1.5635
2024-02-13,1.694
2024-02-14,1.6175
2024-02-15,1.6315
2024-02-16,1.685
2024-02-19,1.743
2024-02-20,1.8355
2024-02-21,1.78
2024-02-22,1.697
2024-02-23,1.68
2024-02-26,1.701
2024-02-27,1.8015
2024-02-28,1.8785
2024-02-29,1.9155
2024-03-01,1.8615
2024-03-05,1.9955
2024-03-07,1.9
2024-03-08,2.033
2024-03-11,1.917
2024-03-12,1.7175
2024-03-13,1.7135
2024-03-14,1.706
2024-03-15,1.6265
2024-03-18,1.512
2024-03-19,1.552
2024-03-20,1.5025
2024-03-21,1.502
2024-03-22,1.5035
2024-03-25,1.5365
2024-03-26,1.5655
2024-03-27,1.6495
2024-03-28,1.8195
2024-04-02,1.804
2024-04-03,1.9395
2024-04-04,2.301
2024-04-05,2.258
2024-04-08,2.336
2024-04-09,2.271
2024-04-10,2.248
2024-04-11,2.238
2024-04-12,2.155
2024-04-15,2.106
2024-04-16,1.8835
2024-04-17,1.96
2024-04-18,1.862
2024-04-19,1.6575
2024-04-22,1.7055
2024-04-23,1.886
2024-04-24,1.8755
2024-04-26,1.728
2024-04-29,1.86
2024-04-30,1.829
2024-05-02,1.9675
2024-05-03,1.936
2024-05-06,1.9445
2024-05-07,1.907
2024-05-08,1.912
2024-05-09,1.898
2024-05-10,1.8525
2024-05-13,1.7935
2024-05-14,1.7875
2024-05-15,1.9175
2024-05-16,1.762
2024-05-17,1.654
2024-05-20,1.5975
2024-05-21,1.58
2024-05-22,1.574
2024-05-23,1.5385
2024-05-24,1.509
2024-05-27,1.5815
2024-05-28,1.5305
2024-05-29,1.475
2024-05-30,1.508
2024-05-31,1.446
2024-06-03,1.4775
2024-06-04,1.429
2024-06-05,1.335
2024-06-06,1.375
2024-06-07,1.316
2024-06-10,1.308
2024-06-12,1.2835
2024-06-13,1.202
2024-06-14,1.2735
2024-06-18,1.2495
2024-06-19,1.2005
2024-06-20,1.2275
2024-06-21,1.2215
2024-06-25,1.2755
2024-06-26,1.25
2024-06-27,1.2055
2024-07-01,1.226
2024-07-02,1.225
2024-07-03,1.1995
2024-07-04,1.215
2024-07-05,1.1885
2024-07-08,1.183
2024-07-09,1.1845
2024-07-10,1.224
2024-07-16,1.466
2024-07-17,1.4495
2024-07-18,1.409
2024-07-19,1.3645
2024-07-22,1.3555
2024-07-25,1.4325
2024-07-26,1.479
2024-07-29,1.538
2024-07-31,1.427
2024-08-01,1.386
2024-08-05,1.2295
2024-08-06,1.2515
2024-08-07,1.212
2024-08-08,1.182
2024-08-09,1.1765
2024-08-12,1.1295
2024-08-13,1.1185
2024-08-14,1.0745
2024-08-15,1.11
