date,close
2018-01-02,9.0
2018-01-03,9.64
2018-01-04,9.74
2018-01-05,9.8
2018-01-08,9.76
2018-01-09,9.7
2018-01-10,9.78
2018-01-11,10.7
2018-01-12,10.75
2018-01-15,11.5
2018-01-16,11.1
2018-01-17,10.75
2018-01-18,11.15
2018-01-19,11.45
2018-01-22,12.65
2018-01-23,13.1
2018-01-24,12.65
2018-01-25,11.85
2018-01-26,12.5
2018-01-29,12.15
2018-01-30,11.6
2018-01-31,12.2
2018-02-01,11.6
2018-02-02,10.65
2018-02-05,10.4
2018-02-06,9.78
2018-02-07,10.15
2018-02-08,9.66
2018-02-09,9.7
2018-02-12,10.45
2018-02-13,9.94
2018-02-14,9.8
2018-02-15,9.76
2018-02-16,9.96
2018-02-19,9.38
2018-02-20,9.4
2018-02-21,9.7
2018-02-22,9.6
2018-02-23,9.56
2018-02-26,9.46
2018-02-27,9.46
2018-02-28,9.52
2018-03-01,9.54
2018-03-02,9.42
2018-03-05,9.54
2018-03-06,9.66
2018-03-07,9.76
2018-03-08,9.74
2018-03-09,9.6
2018-03-12,9.48
2018-03-13,9.08
2018-03-14,8.7
2018-03-15,8.4
2018-03-16,8.7
2018-03-19,8.5
2018-03-20,8.24
2018-03-21,8.18
2018-03-22,8.42
2018-03-23,8.2
2018-03-26,8.4
2018-03-27,8.44
2018-03-28,8.52
2018-03-29,8.8
2018-04-03,9.4
2018-04-04,9.2
2018-04-05,9.24
2018-04-06,9.22
2018-04-09,9.2
2018-04-10,9.34
2018-04-11,9.16
2018-04-12,8.6
2018-04-13,8.86
2018-04-16,8.78
2018-04-17,8.5
2018-04-18,8.64
2018-04-19,8.68
2018-04-20,8.8
2018-04-23,8.3
2018-04-24,8.4
2018-04-25,8.3
2018-04-26,8.1
2018-04-27,8.08
2018-04-30,8.24
2018-05-02,7.78
2018-05-03,7.82
2018-05-04,7.92
2018-05-07,8.12
2018-05-08,8.12
2018-05-09,8.16
2018-05-10,8.14
2018-05-11,8.14
2018-05-14,8.12
2018-05-15,8.28
2018-05-16,8.46
2018-05-17,8.76
