date,close
2018-01-02,2.472
2018-01-03,2.466
2018-01-04,2.496
2018-01-05,2.63
2018-01-08,2.592
2018-01-09,2.464
2018-01-10,2.457
2018-01-11,2.457
2018-01-12,2.521
2018-01-15,2.407
2018-01-16,2.499
2018-01-17,2.524
2018-01-18,2.51
2018-01-19,2.861
2018-01-22,2.737
2018-01-23,2.741
2018-01-24,2.726
2018-01-25,2.723
2018-01-26,2.741
2018-01-29,2.837
2018-01-30,2.696
2018-01-31,2.717
2018-02-01,2.516
2018-02-02,2.48
2018-02-05,2.515
2018-02-06,2.5
2018-02-14,2.409
2018-02-22,2.462
2018-02-23,2.586
2018-03-02,2.584
2018-03-15,2.483
2018-03-23,2.208
2018-03-26,2.279
2018-03-29,2.262
2018-04-06,2.244
2018-04-09,2.267
2018-04-10,2.26
2018-04-11,2.25
2018-04-12,2.27
2018-04-13,2.247
2018-04-18,2.246
2018-04-19,2.261
2018-04-24,2.258
2018-04-25,2.263
2018-04-26,2.244
2018-04-27,2.252
2018-04-30,2.68
2018-05-08,2.961
2018-05-24,2.436
2018-05-28,2.59
2018-06-12,2.7
2018-06-19,2.076
2018-06-20,2.159
2018-06-21,2.142
2018-06-22,2.186
2018-06-25,2.206
2018-06-26,2.238
2018-07-04,2.211
2018-07-05,2.206
2018-07-06,2.193
2018-07-09,2.247
2018-07-10,2.257
2018-07-11,2.255
2018-07-16,2.278
2018-07-18,2.446
2018-07-23,2.28
2018-07-24,2.253
2018-07-26,2.234
2018-07-27,2.233
2018-07-30,2.221
2018-07-31,2.236
2018-08-01,2.25
2018-08-02,2.255
2018-08-03,2.25
2018-08-06,2.272
2018-08-07,2.446
2018-08-08,2.239
2018-08-09,2.275
2018-08-10,2.252
2018-08-13,2.266
2018-08-14,2.273
2018-08-16,2.232
2018-08-20,2.299
2018-08-21,2.329
2018-08-22,2.33
2018-08-23,2.302
2018-08-24,2.303
2018-08-27,2.382
2018-08-28,2.336
2018-08-29,2.307
2018-08-30,2.325
2018-08-31,2.326
2018-09-03,2.319
2018-09-04,2.451
2018-09-05,2.348
2018-09-06,2.352
2018-09-07,2.366
2018-09-10,2.373
2018-09-11,2.355
2018-09-12,2.349
2018-09-13,2.358
2018-09-17,2.352
2018-09-19,2.368
2018-09-20,2.347
2018-09-21,2.355
2018-09-24,2.345
2018-09-25,2.371
2018-09-26,2.351
2018-09-27,2.34
2018-09-28,2.369
2018-10-01,2.371
2018-10-02,2.355
2018-10-04,2.288
2018-10-05,2.27
2018-10-08,2.274
2018-10-09,2.264
2018-10-10,2.277
2018-10-11,2.279
2018-10-12,2.281
2018-10-15,2.27
2018-10-16,2.274
2018-10-17,2.275
2018-10-18,2.282
2018-10-19,2.262
2018-10-22,2.281
2018-10-23,2.292
2018-10-24,2.281
2018-10-25,2.287
2018-10-26,2.296
2018-10-30,2.284
2018-10-31,2.291
2018-11-01,2.276
2018-11-02,2.282
2018-11-05,2.274
2018-11-06,2.281
2018-11-07,2.271
2018-11-08,2.266
2018-11-09,2.28
2018-11-12,2.285
2018-11-13,2.287
2018-11-14,2.267
2018-11-15,2.274
2018-11-16,2.28
2018-11-19,2.277
2018-11-20,2.282
2018-11-21,2.278
2018-11-22,2.263
2018-11-23,2.282
2018-11-26,2.272
2018-11-27,2.267
2018-11-28,2.264
2018-11-29,2.275
2018-11-30,2.28
2018-12-03,2.285
2018-12-04,2.282
2018-12-05,2.282
2018-12-06,2.286
2018-12-07,2.28
2018-12-10,2.272
2018-12-11,2.505
2018-12-12,2.684
2018-12-13,2.737
2018-12-14,2.52
2018-12-17,2.515
2018-12-18,2.497
2018-12-19,2.5
2018-12-20,2.489
2018-12-21,2.489
2018-12-27,2.51
2018-12-28,2.488
2019-01-28,2.248
2019-01-29,2.233
2019-01-30,2.241
2019-01-31,2.249
2019-02-01,2.245
2019-02-04,2.249
2019-02-05,2.258
2019-02-06,2.238
2019-02-07,2.235
2019-02-08,2.239
2019-02-11,2.236
2019-02-13,2.258
2019-02-14,2.245
2019-02-15,2.237
2019-02-18,2.236
2019-02-20,2.239
2019-02-21,2.234
2019-02-22,2.237
2019-02-25,2.248
2019-02-26,2.228
2019-02-27,2.233
2019-02-28,2.24
2019-03-25,2.296
2019-03-27,2.29
2019-03-28,2.192
2019-03-29,2.104
2019-04-01,2.125
2019-04-02,2.145
2019-04-03,2.143
2019-04-04,2.136
2019-04-05,2.137
2019-04-08,2.133
2019-04-10,2.129
2019-04-11,2.146
2019-04-12,2.136
2019-04-15,2.342
2019-04-18,2.326
2019-04-23,2.35
2019-04-24,2.342
2019-04-25,2.343
2019-04-26,2.356
2019-04-29,2.348
2019-04-30,2.324
2019-05-03,2.332
2019-05-06,2.347
2019-05-07,2.346
2019-05-08,2.329
2019-05-09,2.346
2019-05-10,2.326
2019-05-13,2.34
2019-05-14,2.335
2019-05-16,2.325
2019-05-17,2.338
2019-05-20,2.337
2019-05-23,2.33
2019-05-24,2.336
2019-05-27,2.345
2019-05-29,2.333
2019-06-04,2.012
2019-06-05,2.252
2019-06-06,2.252
2019-06-07,2.239
2019-06-11,2.237
2019-06-12,2.243
2019-06-14,2.246
2019-06-17,2.246
2019-06-19,2.236
2019-06-21,2.233
2019-06-24,2.241
2019-06-28,2.238
2019-07-03,2.224
2019-07-08,2.235
2019-07-09,2.226
2019-07-12,2.234
2019-07-15,2.235
2019-07-18,2.252
2019-07-19,2.242
2019-07-22,2.227
2019-07-23,2.233
2019-07-24,2.239
2019-07-25,2.235
2019-07-26,2.223
2019-07-29,2.252
2019-07-30,2.255
2019-07-31,2.259
2019-08-01,2.297
2019-08-02,2.305
2019-08-05,2.286
2019-08-06,2.297
2019-08-07,2.306
2019-08-09,2.288
2019-08-12,2.285
2019-08-13,2.295
2019-08-14,2.302
2019-08-15,2.283
2019-08-16,2.306
2019-08-19,2.479
2019-08-27,2.289
2019-08-28,2.289
2019-08-29,2.295
2019-09-13,2.29
2019-09-16,2.301
2019-09-17,2.295
2019-09-18,2.299
2019-09-20,2.3
2019-09-23,2.291
2019-09-27,2.308
2019-10-01,2.265
2019-10-02,2.195
2019-10-07,2.257
2019-10-09,2.29
2019-10-11,2.288
2019-10-14,2.316
2019-10-15,2.32
2019-10-16,2.316
2019-10-17,2.298
2019-10-18,2.318
