date,close
2018-01-02,63.6
2018-01-03,64.2
2018-01-04,64.4
2018-01-05,63.25
2018-01-08,64.3
2018-01-09,66.6
2018-01-10,65.95
2018-01-11,66.85
2018-01-12,53.65
2018-01-15,67.35
2018-01-16,67.65
2018-01-17,62.4
2018-01-18,53.8
2018-01-19,47.7
2018-01-22,48.54
2018-01-23,67.85
2018-01-24,63.1
2018-01-25,62.7
2018-01-26,63.35
2018-01-29,48.12
2018-01-30,65.52
2018-01-31,62.12
2018-02-01,61.8
2018-02-02,64.6
2018-02-05,63.44
2018-02-06,62.68
2018-02-07,59.86
2018-02-08,59.34
2018-02-09,62.04
2018-02-12,61.98
2018-02-13,61.54
2018-02-14,62.58
2018-02-15,63.66
2018-02-16,64.5
2018-02-19,64.5
2018-02-20,64.5
2018-02-21,63.8
2018-02-22,64.36
2018-02-23,64.62
2018-02-26,66.04
2018-02-27,65.82
2018-02-28,64.74
2018-03-01,59.32
2018-03-02,58.64
2018-03-05,58.76
2018-03-06,60.0
2018-03-07,59.0
2018-03-08,58.86
2018-03-09,60.0
2018-03-12,58.92
2018-03-13,58.56
2018-03-14,58.48
2018-03-15,59.58
2018-03-16,59.58
2018-03-19,59.58
2018-03-20,59.58
2018-03-21,58.94
2018-03-22,56.82
2018-03-23,56.24
2018-03-26,55.7
2018-03-27,56.76
2018-03-28,57.04
2018-03-29,57.16
2018-04-03,56.1
2018-04-04,55.46
2018-04-05,57.08
2018-04-06,54.4
2018-04-09,57.86
2018-04-10,57.24
2018-04-11,56.12
2018-04-12,56.56
2018-04-13,56.64
2018-04-16,56.5
2018-04-17,56.56
2018-04-18,57.06
2018-04-19,54.76
2018-04-20,57.32
2018-04-23,57.8
2018-04-24,54.52
2018-04-25,54.0
2018-04-26,54.88
2018-04-27,53.98
2018-04-30,55.36
2018-05-02,54.94
2018-05-03,54.82
2018-05-04,55.6
2018-05-07,56.06
2018-05-08,53.36
2018-05-09,53.34
2018-05-10,53.0
2018-05-11,53.5
2018-05-14,53.46
2018-05-15,53.46
2018-05-16,53.9
2018-05-17,53.96
2018-05-18,53.8
2018-06-16,0.0
