date,close
2018-01-02,0.69
2018-01-03,0.683
2018-01-04,0.665
2018-01-05,0.664
2018-01-08,0.722
2018-01-09,0.741
2018-01-10,0.765
2018-01-11,0.766
2018-01-12,0.763
2018-01-15,0.771
2018-01-16,0.747
2018-01-17,0.741
2018-01-18,0.752
2018-01-19,0.748
2018-01-22,0.742
2018-01-23,0.741
2018-01-24,0.743
2018-01-25,0.745
2018-01-26,0.742
2018-01-29,0.746
2018-01-30,0.742
2018-01-31,0.743
2018-02-01,0.746
2018-02-02,0.729
2018-02-05,0.683
2018-02-06,0.647
2018-02-07,0.629
2018-02-08,0.632
2018-02-09,0.616
2018-02-12,0.594
2018-02-13,0.592
2018-02-14,0.589
2018-02-15,0.591
2018-02-16,0.595
2018-02-19,0.585
2018-02-20,0.609
2018-02-21,0.605
2018-02-22,0.616
2018-02-23,0.616
2018-02-26,0.609
2018-02-27,0.606
2018-02-28,0.611
2018-03-01,0.65
2018-03-02,0.662
2018-03-05,0.669
2018-03-06,0.671
2018-03-07,0.728
2018-03-08,0.73
2018-03-09,0.732
2018-03-12,0.783
2018-03-13,0.732
2018-03-14,0.768
2018-03-15,0.747
2018-03-16,0.742
2018-03-19,0.743
2018-03-20,0.729
2018-03-21,0.732
2018-03-22,0.728
2018-03-23,0.783
2018-03-26,0.784
2018-03-27,0.777
2018-03-28,0.691
2018-03-29,0.693
2018-04-03,0.707
2018-04-04,0.709
2018-04-05,0.685
2018-04-06,0.671
2018-04-09,0.665
2018-04-10,0.668
2018-04-11,0.673
2018-04-12,0.67
2018-04-13,0.669
2018-04-16,0.663
2018-04-17,0.671
2018-04-18,0.67
2018-04-19,0.669
2018-04-20,0.673
2018-04-23,0.665
2018-04-24,0.664
2018-04-25,0.694
2018-04-26,0.689
2018-04-27,0.693
2018-04-30,0.684
2018-05-02,0.696
2018-05-03,0.696
2018-05-04,0.699
2018-05-07,0.603
2018-05-08,0.622
2018-05-09,0.619
2018-05-10,0.785
2018-05-11,0.794
2018-05-14,0.78
2018-05-15,0.784
2018-05-16,0.742
2018-05-17,0.719
2018-05-18,0.719
2018-05-21,0.723
2018-05-22,0.71
2018-05-23,0.719
2018-05-24,0.722
2018-05-25,0.716
2018-05-28,0.718
2018-05-29,0.653
2018-05-30,0.596
2018-05-31,0.605
2018-06-01,0.595
2018-06-04,0.596
2018-06-05,0.602
2018-06-06,0.603
2018-06-07,0.595
2018-06-08,0.605
2018-06-11,0.647
2018-06-12,0.572
2018-06-13,0.576
2018-06-14,0.578
2018-06-15,0.575
2018-06-18,0.574
2018-06-19,0.552
2018-06-20,0.557
2018-06-21,0.553
2018-06-22,0.556
2018-06-25,0.559
2018-06-26,0.512
2018-06-27,0.512
2018-06-28,0.51
2018-06-29,0.55
2018-07-02,0.536
2018-07-03,0.597
2018-07-04,0.588
2018-07-05,0.595
2018-07-06,0.591
2018-07-09,0.59
2018-07-10,0.547
2018-07-11,0.554
2018-07-12,0.547
2018-07-13,0.55
2018-07-16,0.549
2018-07-17,0.528
2018-07-18,0.51
2018-07-19,0.534
2018-07-20,0.543
2018-07-23,0.55
2018-07-24,0.549
2018-07-25,0.637
2018-07-26,0.607
2018-07-27,0.603
2018-07-30,0.595
2018-07-31,0.604
2018-08-01,0.597
2018-08-02,0.596
2018-08-03,0.528
2018-08-06,0.599
2018-08-07,0.602
2018-08-08,0.786
2018-08-09,0.785
2018-08-10,0.791
2018-08-13,0.746
2018-08-14,1.066
2018-08-15,1.164
2018-08-16,1.147
2018-08-17,1.159
2018-08-20,1.107
2018-08-21,1.108
2018-08-22,0.961
2018-08-23,1.154
2018-08-24,1.107
2018-08-27,1.117
2018-08-28,1.213
2018-08-29,1.104
2018-08-30,1.113
2018-08-31,1.108
2018-09-03,1.102
2018-09-04,1.113
2018-09-05,1.111
2018-09-06,1.107
2018-09-07,1.017
2018-09-10,0.975
2018-09-11,0.979
2018-09-12,0.978
2018-09-13,0.971
2018-09-14,0.978
2018-09-17,0.962
2018-09-18,0.974
2018-09-19,0.979
2018-09-20,0.965
2018-09-21,0.977
2018-09-24,0.966
2018-09-25,0.966
2018-09-26,0.93
2018-09-27,0.919
2018-09-28,1.027
2018-10-01,1.011
2018-10-02,0.97
2018-10-04,0.973
2018-10-05,0.967
2018-10-08,0.977
2018-10-09,0.966
2018-10-10,0.979
2018-10-11,0.963
2018-10-12,0.976
2018-10-15,1.009
2018-10-16,0.927
2018-10-17,0.92
2018-10-18,0.919
2018-10-19,0.93
2018-10-22,0.922
2018-10-23,0.879
2018-10-24,0.878
2018-10-25,0.886
2018-10-26,0.884
2018-10-29,0.877
2018-10-30,0.872
2018-10-31,0.881
2018-11-01,0.879
2018-11-02,0.876
2018-11-05,0.876
2018-11-06,0.881
2018-11-07,0.873
2018-11-08,0.873
2018-11-09,0.828
2018-11-12,0.829
2018-11-13,0.779
2018-11-14,0.784
2018-11-15,0.794
2018-11-16,0.789
2018-11-19,0.788
2018-11-20,0.827
2018-11-21,0.789
2018-11-22,0.793
2018-11-23,0.791
2018-11-26,0.786
2018-11-27,0.792
2018-11-28,0.781
2018-11-29,0.733
2018-11-30,0.74
2018-12-03,0.738
2018-12-04,0.735
2018-12-05,0.667
2018-12-06,0.665
2018-12-07,0.604
2018-12-10,0.598
2018-12-11,0.557
2018-12-12,0.556
2018-12-13,0.507
2018-12-14,0.51
2018-12-17,0.486
2018-12-18,0.505
2018-12-19,0.511
2018-12-20,0.507
2018-12-21,0.512
2018-12-27,0.509
2018-12-28,0.505
2019-01-02,0.509
2019-01-03,0.51
2019-01-04,0.512
2019-01-07,0.513
2019-01-08,0.506
2019-01-09,0.465
2019-01-10,0.464
2019-01-11,0.597
2019-01-14,0.559
2019-01-15,0.581
2019-01-16,0.578
2019-01-17,0.556
2019-01-18,0.583
2019-01-21,0.688
2019-01-22,0.698
2019-01-23,0.691
2019-01-24,0.643
2019-01-25,0.645
2019-01-28,0.652
2019-01-29,0.551
2019-01-30,0.55
2019-01-31,0.556
2019-02-01,0.604
2019-02-04,0.605
2019-02-05,0.619
2019-02-06,0.628
2019-02-07,0.628
2019-02-08,0.624
2019-02-11,0.625
2019-02-12,0.628
2019-02-13,0.62
2019-02-14,0.619
2019-02-15,0.627
2019-02-18,0.621
2019-02-19,0.619
2019-02-20,0.626
2019-02-21,0.63
2019-02-22,0.623
2019-02-25,0.625
2019-02-26,0.635
2019-02-27,0.644
2019-02-28,0.765
2019-03-01,0.711
2019-03-04,0.712
2019-03-05,0.722
2019-03-06,0.696
2019-03-07,0.784
2019-03-08,0.74
2019-03-11,0.736
2019-03-12,0.742
2019-03-13,0.691
2019-03-14,0.699
2019-03-15,0.694
2019-03-18,0.692
2019-03-19,0.667
2019-03-20,0.668
2019-03-21,0.676
2019-03-22,0.667
2019-03-25,0.623
2019-03-26,0.624
2019-03-27,0.629
2019-03-28,0.624
2019-03-29,0.622
2019-04-01,0.623
2019-04-02,0.622
2019-04-03,0.619
2019-04-04,0.624
2019-04-05,0.627
2019-04-08,0.63
2019-04-09,0.63
2019-04-10,0.619
2019-04-11,0.625
2019-04-12,0.63
2019-04-15,0.627
2019-04-16,0.621
2019-04-17,0.624
2019-04-18,0.618
2019-04-23,0.745
2019-04-24,0.972
2019-04-25,1.021
2019-04-26,0.97
2019-04-29,0.92
2019-04-30,1.01
2019-05-02,0.934
2019-05-03,0.929
2019-05-06,1.025
2019-05-07,1.009
2019-05-08,0.97
2019-05-09,0.919
2019-05-10,0.871
2019-05-13,0.886
2019-05-14,0.882
2019-05-15,0.874
2019-05-16,0.683
2019-05-17,0.678
2019-05-20,0.644
2019-05-21,0.641
2019-05-22,0.652
2019-05-23,0.648
2019-05-24,0.644
2019-05-27,0.648
2019-05-28,0.736
2019-05-29,0.739
2019-05-30,0.735
2019-05-31,0.746
2019-06-03,0.74
2019-06-04,0.81
2019-06-05,0.736
2019-06-06,0.737
2019-06-07,0.741
2019-06-11,0.676
2019-06-12,0.666
2019-06-13,0.623
2019-06-14,0.599
2019-06-17,0.785
2019-06-18,0.792
2019-06-19,0.737
2019-06-20,0.744
2019-06-21,0.735
2019-06-24,0.782
2019-06-25,0.781
2019-06-26,0.739
2019-06-27,0.843
2019-06-28,1.209
2019-07-01,1.203
2019-07-02,1.115
2019-07-03,0.933
2019-07-04,1.013
2019-07-05,1.015
2019-07-08,0.968
2019-07-09,0.917
2019-07-10,0.874
2019-07-11,0.874
2019-07-12,0.873
2019-07-15,1.011
2019-07-16,0.92
2019-07-17,1.055
2019-07-18,1.473
2019-07-19,1.915
2019-07-22,1.765
2019-07-23,1.769
2019-07-24,1.573
2019-07-25,1.86
2019-07-26,2.1
2019-07-29,1.858
2019-07-30,1.654
2019-07-31,1.711
2019-08-01,1.524
2019-08-02,1.53
2019-08-05,1.352
2019-08-06,1.611
2019-08-07,1.438
2019-08-08,1.3
2019-08-09,1.304
2019-08-12,1.361
2019-08-13,1.294
2019-08-14,1.149
2019-08-15,1.011
2019-08-16,1.06
2019-08-19,1.336
2019-08-20,1.275
2019-08-21,1.096
2019-08-22,1.109
2019-08-23,1.107
2019-08-26,1.194
2019-08-27,1.149
2019-08-28,1.16
2019-08-29,1.169
2019-08-30,1.163
2019-09-02,1.331
2019-09-03,1.381
2019-09-04,1.333
2019-09-05,1.295
2019-09-06,1.279
2019-09-09,1.24
2019-09-10,1.356
2019-09-11,1.242
2019-09-12,1.298
2019-09-13,1.255
2019-09-16,1.244
2019-09-17,1.24
2019-09-18,1.261
2019-09-19,1.268
2019-09-20,1.397
2019-09-23,1.389
2019-09-24,1.349
2019-09-25,1.386
2019-09-26,1.387
2019-09-27,1.391
2019-09-30,1.359
2019-10-01,1.382
2019-10-02,1.304
2019-10-04,1.162
2019-10-07,1.054
2019-10-08,1.013
2019-10-09,1.141
2019-10-10,1.014
2019-10-11,1.066
2019-10-14,1.058
2019-10-15,1.067
2019-10-16,1.149
2019-10-17,1.323
2019-10-18,1.342
2019-10-21,1.303
2019-10-22,1.299
2019-10-23,1.295
2019-10-24,1.429
2019-10-25,1.394
2019-10-28,1.383
2019-10-29,1.39
2019-10-30,1.387
2019-10-31,1.248
2019-11-01,1.244
2019-11-04,1.377
2019-11-05,1.365
