date,close
2018-01-02,5.71
2018-01-03,5.842
2018-01-04,5.877
2018-01-05,5.893
2018-01-08,5.854
2018-01-09,5.896
2018-01-10,5.922
2018-01-11,5.864
2018-01-12,5.96
2018-01-15,5.959
2018-01-16,5.841
2018-01-17,5.859
2018-01-18,5.714
2018-01-19,5.773
2018-01-22,5.766
2018-01-23,5.823
2018-01-24,5.842
2018-01-25,5.82
2018-01-26,5.837
2018-01-29,5.846
2018-01-30,5.836
2018-01-31,5.733
2018-02-01,5.843
2018-02-02,5.655
2018-02-05,5.544
2018-02-06,5.501
2018-02-07,5.567
2018-02-08,5.478
2018-02-09,5.341
2018-02-12,5.464
2018-02-13,5.503
2018-02-14,5.457
2018-02-15,5.448
2018-02-16,5.384
2018-02-19,5.357
2018-02-20,5.509
2018-02-21,5.429
2018-02-22,5.384
2018-02-23,5.416
2018-02-26,5.482
2018-02-27,5.507
2018-02-28,5.452
2018-03-01,5.446
2018-03-02,5.347
2018-03-05,5.315
2018-03-06,5.27
2018-03-07,5.343
2018-03-08,5.296
2018-03-09,5.396
2018-03-12,5.378
2018-03-13,5.361
2018-03-14,5.262
2018-03-15,5.376
2018-03-16,5.314
2018-03-19,5.254
2018-03-20,5.346
2018-03-21,5.335
2018-03-22,5.3
2018-03-23,5.315
2018-03-26,5.405
2018-03-27,5.32
2018-03-28,5.371
2018-03-29,5.326
2018-04-03,5.511
2018-04-04,5.515
2018-04-05,5.645
2018-04-06,5.605
2018-04-09,5.655
2018-04-10,5.679
2018-04-11,5.842
2018-04-12,5.707
2018-04-13,5.756
2018-04-16,5.675
2018-04-17,5.703
2018-04-18,5.738
2018-04-19,5.815
2018-04-20,5.888
2018-04-23,5.946
2018-04-24,5.993
2018-04-25,5.972
2018-04-26,6.053
2018-04-27,5.94
2018-04-30,5.95
2018-05-02,6.123
2018-05-03,6.169
2018-05-04,6.17
2018-05-07,6.421
2018-05-08,6.336
2018-05-09,6.483
2018-05-10,6.463
2018-05-11,6.325
2018-05-14,6.483
2018-05-15,6.555
2018-05-16,6.572
2018-05-17,6.557
2018-05-18,6.619
2018-05-21,6.554
2018-05-22,6.732
2018-05-23,6.523
2018-05-24,6.402
2018-05-25,6.309
2018-05-28,6.238
2018-05-29,6.253
2018-05-30,6.496
2018-05-31,6.451
2018-06-01,6.491
2018-06-04,6.636
2018-06-05,6.518
2018-06-06,6.575
2018-06-07,6.575
2018-06-08,6.61
2018-06-11,6.686
2018-06-12,6.649
2018-06-13,6.529
2018-06-14,6.583
2018-06-15,6.539
2018-06-18,6.531
2018-06-19,6.459
2018-06-20,6.506
2018-06-21,6.394
2018-06-22,6.462
2018-06-25,6.362
2018-06-26,6.345
2018-06-27,6.467
2018-06-28,6.455
2018-06-29,6.457
2018-07-02,6.542
2018-07-03,6.442
2018-07-04,6.406
2018-07-05,6.581
2018-07-06,6.56
2018-07-09,6.536
2018-07-10,6.547
2018-07-11,6.576
2018-07-12,6.54
2018-07-13,6.481
2018-07-16,6.487
2018-07-17,6.321
2018-07-18,6.245
2018-07-19,6.28
2018-07-20,6.294
2018-07-23,6.352
2018-07-24,6.32
2018-07-25,6.388
2018-07-26,6.312
2018-07-27,6.424
2018-07-30,6.292
2018-07-31,6.363
2018-08-01,6.352
2018-08-02,6.302
2018-08-03,6.33
2018-08-06,6.342
2018-08-07,6.455
2018-08-08,6.46
2018-08-09,6.477
2018-08-10,6.324
2018-08-13,6.284
2018-08-14,6.327
2018-08-15,6.287
2018-08-16,6.174
2018-08-17,6.203
2018-08-20,6.166
2018-08-21,6.122
2018-08-22,6.155
2018-08-23,6.188
2018-08-24,6.333
2018-08-27,6.193
2018-08-28,6.222
2018-08-29,6.203
2018-08-30,6.217
2018-08-31,6.101
2018-09-03,6.156
2018-09-04,6.153
2018-09-05,6.125
