date,close
2018-01-02,7.76
2018-01-03,8.05
2018-01-04,7.84
2018-01-05,8.03
2018-01-08,8.27
2018-01-09,7.95
2018-01-10,7.82
2018-01-11,7.69
2018-01-12,7.62
2018-01-15,8.12
2018-01-16,8.16
2018-01-17,8.08
2018-01-18,8.06
2018-01-19,8.27
2018-01-22,8.79
2018-01-23,8.7
2018-01-24,9.02
2018-01-25,9.19
2018-01-26,9.03
2018-01-29,9.18
2018-01-30,8.83
2018-01-31,8.51
2018-02-01,8.25
2018-02-02,7.92
2018-02-05,7.62
2018-02-06,7.2
2018-02-07,7.95
2018-02-08,7.76
2018-02-09,7.4
2018-02-12,8.0
2018-02-13,7.75
2018-02-14,8.1
2018-02-15,8.11
2018-02-16,7.82
2018-02-19,7.8
2018-02-20,7.53
2018-02-21,7.53
2018-02-22,7.77
2018-02-23,7.53
2018-02-26,7.64
2018-02-27,7.49
2018-02-28,7.42
2018-03-01,7.38
2018-03-02,7.2
2018-03-05,7.18
2018-03-06,7.2
2018-03-07,7.35
2018-03-08,7.22
2018-03-09,7.23
2018-03-12,7.28
2018-03-13,7.2
2018-03-14,7.15
2018-03-15,6.97
2018-03-16,6.96
2018-03-19,7.02
2018-03-20,6.85
2018-03-21,6.9
2018-03-22,6.56
2018-03-23,6.31
2018-03-26,6.5
2018-03-27,6.79
2018-03-28,6.74
2018-03-29,6.51
2018-04-03,6.32
2018-04-04,6.11
2018-04-05,7.13
2018-04-06,7.0
2018-04-09,7.12
2018-04-10,7.24
2018-04-11,7.04
2018-04-12,7.03
2018-04-13,7.19
2018-04-16,7.04
2018-04-17,6.98
2018-04-18,6.96
2018-04-19,6.92
2018-04-20,6.83
2018-04-23,6.91
2018-04-24,7.01
2018-04-25,6.89
2018-04-26,6.89
2018-04-27,6.94
2018-04-30,6.76
2018-05-02,6.91
2018-05-03,6.76
2018-05-04,6.5
2018-05-07,6.54
2018-05-08,6.49
2018-05-09,6.52
2018-05-10,6.55
2018-05-11,6.56
2018-05-14,6.46
2018-05-15,6.44
2018-05-16,6.21
2018-05-17,6.05
2018-05-18,6.04
2018-05-22,6.05
2018-05-23,5.98
2018-05-24,5.98
2018-05-25,6.09
2018-05-28,6.13
2018-05-29,6.06
2018-05-30,5.93
2018-05-31,5.84
2018-06-01,5.24
2018-06-04,4.86
2018-06-05,5.18
2018-06-06,6.06
2018-06-07,6.65
2018-06-08,6.43
2018-06-11,6.0
2018-06-12,6.18
2018-06-13,6.69
2018-06-14,6.35
2018-06-15,6.36
2018-06-18,6.28
2018-06-19,6.1
2018-06-20,6.04
2018-06-21,5.64
2018-06-22,5.5
2018-06-25,5.47
2018-06-26,5.1
2018-06-27,5.32
2018-06-28,5.03
2018-06-29,5.41
2018-07-02,5.8
2018-07-03,5.55
2018-07-04,5.59
2018-07-05,5.69
2018-07-06,5.59
2018-07-09,6.1
2018-07-10,6.2
2018-07-11,5.78
2018-07-12,5.85
2018-07-13,6.05
2018-07-16,6.0
2018-07-17,5.95
2018-07-18,5.88
2018-07-19,5.72
2018-07-20,5.7
2018-07-23,5.92
2018-07-24,5.99
2018-07-25,5.93
2018-07-26,5.92
2018-07-27,5.68
2018-07-30,5.67
2018-07-31,5.51
2018-08-01,5.5
2018-08-02,5.42
2018-08-03,5.48
2018-08-06,5.47
2018-08-07,5.59
2018-08-08,5.5
2018-08-09,5.35
2018-08-10,5.3
2018-08-13,5.25
2018-08-14,4.975
2018-08-15,4.895
2018-08-16,5.03
2018-08-17,5.04
2018-08-20,5.23
2018-08-21,5.16
2018-08-22,5.16
2018-08-23,5.22
2018-08-24,5.22
2018-08-27,5.34
2018-08-28,5.43
2018-08-29,5.2
2018-08-30,5.15
2018-08-31,5.15
2018-09-03,5.36
2018-09-04,5.33
2018-09-05,5.33
2018-09-06,5.57
2018-09-07,6.11
2018-09-10,5.76
2018-09-11,5.6
2018-09-12,5.58
2018-09-13,5.43
2018-09-14,5.45
2018-09-17,5.49
2018-09-18,5.47
2018-09-19,5.42
2018-09-20,5.45
2018-09-21,5.42
2018-09-24,5.3
2018-09-25,5.39
2018-09-26,5.31
2018-09-27,5.33
2018-09-28,5.05
2018-10-01,5.01
2018-10-02,4.935
2018-10-04,5.0
2018-10-05,4.975
2018-10-08,4.95
2018-10-09,4.565
2018-10-10,4.875
2018-10-11,4.7
2018-10-12,4.355
2018-10-15,4.335
2018-10-16,4.47
2018-10-17,4.595
2018-10-18,4.6
