date,close
2018-01-02,7.897
2018-01-03,8.205
2018-01-04,7.876
2018-01-05,8.012
2018-01-08,8.289
2018-01-09,7.853
2018-01-10,7.705
2018-01-11,7.637
2018-01-12,7.68
2018-01-15,8.227
2018-01-16,8.113
2018-01-17,8.266
2018-01-18,8.036
2018-01-19,8.197
2018-01-22,8.819
2018-01-23,8.743
2018-01-24,9.062
2018-01-25,9.351
2018-01-26,9.206
2018-01-29,9.196
2018-01-30,9.068
2018-01-31,8.508
2018-02-01,8.127
2018-02-02,7.93
2018-02-05,7.732
2018-02-06,7.327
2018-02-07,7.98
2018-02-08,7.559
2018-02-09,7.451
2018-02-12,7.942
2018-02-13,7.881
2018-02-14,7.951
2018-02-15,8.023
2018-02-16,7.983
2018-02-19,7.769
2018-02-20,7.603
2018-02-21,7.367
2018-02-22,7.485
2018-02-23,7.604
2018-02-26,7.855
2018-02-27,7.355
2018-02-28,7.354
2018-03-02,7.265
2018-03-05,7.052
2018-03-06,7.205
2018-03-07,7.131
2018-03-08,7.155
2018-03-09,7.056
2018-03-12,7.281
2018-03-13,7.409
2018-03-14,7.155
2018-03-15,6.843
2018-03-16,6.998
2018-03-19,7.082
2018-03-20,6.808
2018-03-21,6.839
2018-03-22,6.653
2018-03-23,6.273
2018-03-26,6.694
2018-03-27,6.716
2018-03-28,6.73
2018-03-29,6.468
2018-04-03,6.398
2018-04-04,6.33
2018-04-05,7.339
2018-04-06,7.151
2018-04-09,6.986
2018-04-10,7.037
2018-04-11,7.15
2018-04-12,7.023
2018-04-13,7.065
2018-04-16,7.232
2018-04-17,7.048
2018-04-18,6.872
2018-04-19,6.867
2018-04-20,6.839
2018-04-23,6.851
2018-04-24,6.907
2018-04-25,6.943
2018-04-26,7.001
2018-04-27,6.884
2018-04-30,6.664
2018-05-02,6.904
2018-05-03,6.885
2018-05-04,6.689
2018-05-07,6.744
2018-05-08,6.327
2018-05-09,6.719
2018-05-10,6.621
2018-05-11,6.615
2018-05-14,6.536
2018-05-15,6.634
2018-05-16,6.328
2018-05-17,5.952
2018-05-18,6.097
2018-05-22,5.952
2018-05-23,6.013
2018-05-24,5.975
2018-05-25,5.919
2018-05-28,6.18
2018-05-29,6.071
2018-05-30,6.142
2018-05-31,5.849
