date,close
2018-01-02,14.4039
2018-01-03,14.4039
2018-01-04,14.1059
2018-01-05,14.2052
2018-01-08,14.6026
2018-01-09,14.5032
2018-01-10,14.3046
2018-01-11,14.8012
2018-01-12,14.9999
2018-01-15,14.8012
2018-01-16,14.8012
2018-01-17,14.8012
2018-01-18,14.8012
2018-01-19,14.8012
2018-01-22,14.8012
2018-01-23,14.8012
2018-01-24,14.9999
2018-01-25,14.5032
2018-01-29,14.9006
2018-01-30,14.8112
2018-02-01,14.5132
2018-02-02,14.5529
2018-02-05,13.8873
2018-02-06,13.2814
2018-02-07,13.4006
2018-02-08,13.0529
2018-02-09,12.0893
2018-02-12,11.7814
2018-02-13,10.9867
2018-02-14,11.8708
2018-02-15,12.2781
2018-02-16,12.6258
2018-02-20,12.745
2018-02-21,12.447
2018-02-22,12.1887
2018-02-23,11.72
2018-02-26,12.13
2018-02-27,13.04
2018-02-28,13.07
2018-03-01,13.18
2018-03-02,13.65
2018-03-05,13.62
2018-03-06,14.01
2018-03-07,14.34
2018-03-08,14.02
2018-03-09,14.15
2018-03-12,14.29
2018-03-13,14.02
2018-03-14,13.96
2018-03-15,14.02
2018-03-16,14.0
2018-03-19,13.22
2018-03-20,12.89
2018-03-21,13.05
2018-03-22,12.51
2018-03-26,11.68
2018-03-27,11.97
2018-03-28,11.75
2018-03-29,12.42
2018-04-03,12.09
2018-04-04,12.03
2018-04-05,12.41
2018-04-06,12.07
2018-04-09,11.98
2018-04-10,12.35
2018-04-11,12.44
2018-04-12,12.38
2018-04-13,12.15
2018-04-16,12.03
2018-04-17,12.32
2018-04-18,12.83
2018-04-19,13.18
2018-04-20,12.99
2018-04-23,13.17
2018-04-24,12.87
2018-04-25,13.04
2018-04-26,13.08
2018-04-27,13.3
2018-04-30,13.14
2018-05-02,10.58
2018-05-03,10.64
2018-05-04,9.84
2018-05-07,10.03
2018-05-08,10.37
2018-05-09,10.51
2018-05-10,11.14
2018-05-11,11.26
2018-05-14,11.03
2018-05-15,10.58
2018-05-16,10.62
2018-05-17,10.95
2018-05-18,10.93
2018-05-22,10.59
2018-05-23,10.32
2018-05-24,9.95
2018-05-25,9.88
2018-05-28,10.0
2018-05-29,10.23
2018-05-30,10.29
2018-05-31,10.01
2018-06-04,10.03
2018-06-05,10.19
2018-06-06,10.15
2018-06-07,10.47
2018-06-08,10.47
2018-06-11,10.63
2018-06-12,10.89
2018-06-13,10.68
2018-06-15,10.47
2018-06-18,10.92
2018-06-19,10.94
2018-06-20,11.45
2018-06-21,11.07
2018-06-22,11.31
2018-06-25,10.77
2018-06-26,10.32
2018-06-27,10.44
2018-06-28,10.32
2018-06-29,10.465
2018-07-02,10.24
2018-07-03,10.485
2018-07-05,10.335
2018-07-06,11.01
2018-07-09,11.08
2018-07-10,11.18
2018-07-11,11.39
2018-07-12,11.08
2018-07-16,10.6
2018-07-17,10.33
2018-07-18,10.46
2018-07-19,10.48
2018-07-20,10.45
2018-07-23,9.9
2018-07-24,10.04
2018-07-25,9.45
2018-07-26,9.56
2018-07-27,9.15
2018-07-30,9.33
2018-07-31,9.4
2018-08-01,6.68
2018-08-02,5.92
2018-08-03,5.67
2018-08-06,6.01
2018-08-07,5.44
2018-08-08,5.22
2018-08-09,4.19
2018-08-10,3.53
2018-08-13,3.75
2018-08-14,4.35
2018-08-15,4.25
2018-08-16,4.06
2018-08-17,3.44
2018-08-20,3.84
2018-08-21,3.89
2018-08-22,3.86
2018-08-23,3.84
2018-08-24,3.9
2018-08-27,4.31
2018-08-28,4.33
2018-08-29,4.43
2018-08-30,4.45
2018-08-31,3.95
2018-09-03,4.1
2018-09-04,4.09
2018-09-05,4.11
2018-09-06,4.27
2018-09-07,4.3
2018-09-10,4.41
2018-09-11,4.17
2018-09-12,4.19
2018-09-13,4.11
2018-09-14,3.9
2018-09-17,3.62
2018-09-18,3.78
2018-09-19,4.01
2018-09-24,4.1
2018-09-25,3.98
2018-09-26,3.95
2018-09-27,3.98
2018-09-28,3.96
2018-10-01,3.88
2018-10-02,3.83
2018-10-05,3.54
2018-10-08,3.72
2018-10-09,3.69
2018-10-10,3.71
2018-10-11,3.48
2018-10-12,3.4
2018-10-15,3.19
2018-10-16,3.38
2018-10-17,3.29
2018-10-18,3.58
2018-10-19,3.44
2018-10-22,3.44
2018-10-23,3.27
2018-10-24,3.18
2018-10-26,3.16
2018-10-29,3.37
2018-10-30,3.14
2018-10-31,3.17
2018-11-01,3.46
2018-11-02,3.92
2018-11-06,4.01
2018-11-07,4.05
2018-11-08,4.25
2018-11-09,4.1
2018-11-12,3.64
2018-11-13,3.63
2018-11-14,3.25
2018-11-15,3.19
2018-11-16,3.17
2018-11-19,3.35
2018-11-20,3.12
2018-11-21,3.0
2018-11-23,3.13
2018-11-26,3.29
2018-11-27,3.1
2018-11-28,2.97
2018-11-29,2.93
2018-11-30,2.94
2018-12-03,2.91
2018-12-04,2.76
2018-12-06,2.6
2018-12-07,2.74
2018-12-10,2.47
2018-12-11,2.57
