date,close
2018-01-02,3.948
2018-01-03,3.866
2018-01-04,3.895
2018-01-05,3.857
2018-01-08,3.696
2018-01-09,3.859
2018-01-10,3.799
2018-01-11,3.781
2018-01-12,3.366
2018-01-15,3.059
2018-01-16,3.086
2018-01-17,3.099
2018-01-18,3.247
2018-01-19,3.291
2018-01-22,3.255
2018-01-23,3.211
2018-01-24,3.171
2018-01-25,3.188
2018-01-26,3.128
2018-01-29,3.181
2018-01-30,3.189
2018-01-31,3.094
2018-02-01,3.189
2018-02-02,3.066
2018-02-05,3.172
2018-02-06,3.073
2018-02-07,3.269
2018-02-08,3.237
2018-02-09,3.257
2018-02-12,3.174
2018-02-13,3.18
2018-02-14,3.41
2018-02-15,3.163
2018-02-16,3.181
2018-02-19,2.982
2018-02-20,2.93
2018-02-21,2.838
2018-02-22,2.844
2018-02-23,2.892
2018-02-26,2.816
2018-02-27,2.828
2018-02-28,2.789
2018-03-01,2.753
2018-03-02,2.325
2018-03-05,2.244
2018-03-06,1.995
2018-03-07,1.918
2018-03-08,1.983
2018-03-09,1.852
2018-03-12,1.98
2018-03-13,1.837
2018-03-14,1.907
2018-03-15,1.992
2018-03-16,2.075
2018-03-19,2.009
2018-03-20,1.98
2018-03-21,1.959
2018-03-22,1.919
2018-03-23,1.893
2018-03-26,1.85
2018-03-27,1.816
2018-03-28,1.824
2018-03-29,1.86
2018-04-03,1.867
2018-04-04,1.979
2018-04-06,1.906
2018-04-09,1.942
2018-04-10,1.868
2018-04-11,1.504
2018-04-12,1.529
2018-04-13,1.533
2018-04-16,1.561
2018-04-17,1.611
2018-04-18,1.5
2018-04-19,1.509
2018-04-20,1.493
2018-04-23,1.509
2018-04-24,1.512
2018-04-25,1.492
2018-04-26,1.442
2018-04-27,1.592
2018-04-30,1.635
2018-05-02,1.594
2018-05-03,1.574
2018-05-04,1.56
2018-05-07,1.559
2018-05-08,1.534
2018-05-09,1.461
2018-05-10,1.461
2018-05-11,1.409
2018-05-14,1.362
2018-05-15,1.311
2018-05-16,1.295
2018-05-17,1.041
2018-05-18,1.35
2018-05-22,1.486
2018-05-23,1.681
2018-05-24,1.626
2018-05-25,1.38
2018-05-28,1.251
2018-05-29,1.326
2018-05-30,1.319
2018-05-31,1.368
2018-06-01,1.6
2018-06-04,1.788
2018-06-05,1.747
2018-06-06,1.723
2018-06-07,1.741
2018-06-08,1.781
2018-06-11,1.764
2018-06-12,1.696
2018-06-13,1.754
2018-06-14,1.766
2018-06-15,1.756
2018-06-18,1.718
2018-06-19,1.586
2018-06-20,1.7
2018-06-21,1.641
2018-06-22,1.664
2018-06-25,1.685
2018-06-26,1.698
2018-06-27,1.702
2018-06-28,1.706
2018-06-29,1.702
2018-07-02,1.742
2018-07-03,1.803
2018-07-04,1.788
2018-07-05,1.951
2018-07-06,2.172
2018-07-09,2.263
2018-07-10,2.621
2018-07-11,2.752
2018-07-12,2.8
2018-07-13,3.02
2018-07-16,3.067
2018-07-17,3.013
2018-07-18,3.071
2018-07-19,3.023
2018-07-20,3.095
2018-07-23,3.091
2018-07-24,3.048
2018-07-25,2.883
2018-07-26,2.809
2018-07-27,2.689
2018-07-30,2.656
2018-07-31,2.597
2018-08-01,2.629
2018-08-02,2.653
2018-08-03,2.666
2018-08-06,2.675
2018-08-07,2.735
2018-08-08,2.663
2018-08-09,2.726
2018-08-10,2.746
2018-08-13,2.736
2018-08-14,2.868
2018-08-15,2.855
2018-08-16,2.938
2018-08-17,2.874
2018-08-20,2.97
2018-08-21,2.906
2018-08-22,2.901
2018-08-23,2.946
2018-08-24,3.012
2018-08-27,2.996
2018-08-28,3.09
2018-08-29,3.178
2018-08-30,3.018
2018-08-31,3.014
2018-09-03,3.068
2018-09-04,2.971
2018-09-05,2.961
2018-09-06,2.961
