date,close
2018-08-02,2.583
2018-08-03,2.584
2018-08-08,2.645
2018-08-14,2.594
2018-09-10,2.801
2018-09-12,3.053
2018-09-13,2.882
2018-09-18,2.853
2018-09-26,2.729
2018-10-05,2.299
2018-10-08,2.296
2018-10-09,2.243
2018-10-10,2.243
2018-10-12,2.114
2018-10-17,2.091
2018-10-19,2.156
2018-10-22,2.193
2018-10-23,2.191
2018-10-26,2.233
2018-10-30,2.665
2018-10-31,2.611
2018-12-04,2.193
2018-12-05,2.191
2018-12-07,2.212
2018-12-10,2.162
2018-12-11,1.863
2018-12-19,2.87
2019-01-18,2.918
2019-01-23,2.944
2019-02-20,1.362
2019-02-21,1.338
2019-02-26,1.342
2019-02-27,1.35
2019-03-04,1.326
2019-03-13,1.195
2019-03-14,1.193
2019-03-18,1.217
2019-03-19,1.192
2019-03-20,1.196
2019-03-21,1.205
2019-04-02,1.053
2019-04-03,1.049
2019-04-05,0.851
2019-04-08,0.828
2019-04-09,0.83
2019-04-11,0.828
2019-04-12,0.832
2019-04-15,0.751
2019-04-16,0.747
2019-04-17,0.748
2019-04-23,0.752
2019-04-24,2.289
2019-05-03,1.102
2019-05-06,1.097
2019-05-08,1.898
2019-05-09,2.268
2019-05-10,2.097
2019-05-14,2.049
2019-05-15,2.092
2019-05-16,2.096
2019-05-17,2.088
2019-05-20,1.887
2019-05-21,2.113
2019-05-22,1.897
2019-05-23,2.026
2019-05-24,2.025
2019-05-27,2.024
2019-05-28,2.052
2019-05-29,2.017
2019-06-03,1.956
2019-06-04,1.964
2019-06-05,1.955
2019-06-17,1.596
2019-06-18,1.599
2019-06-19,1.61
2019-06-21,1.397
2019-06-24,1.394
2019-06-25,1.396
2019-06-27,1.206
2019-06-28,1.788
2019-07-04,2.011
2019-07-15,1.609
2019-07-16,1.591
2019-07-17,1.603
2019-07-18,1.627
2019-07-22,2.02
2019-07-24,0.899
2019-07-30,1.109
2019-07-31,0.999
2019-08-01,0.996
2019-08-02,1.005
2019-08-05,1.104
2019-08-06,1.585
2019-08-07,1.509
2019-08-08,1.19
2019-08-09,1.195
2019-08-12,1.201
2019-08-13,1.19
2019-08-16,1.107
2019-08-28,1.078
2019-08-29,1.077
2019-09-02,1.087
2019-09-03,1.082
2019-09-04,1.537
2019-09-05,1.106
2019-09-26,1.104
2019-10-01,1.106
2019-10-21,1.122
2019-10-25,1.791
2019-10-31,0.803
2019-11-05,0.794
2019-11-08,0.8
2019-11-11,0.788
2019-11-12,2.903
2019-11-13,0.818
2019-11-14,2.806
2019-11-15,1.197
2019-11-18,1.216
2019-11-19,1.207
2019-11-29,1.191
2019-12-04,0.901
2019-12-11,0.922
2019-12-18,0.921
2019-12-30,0.917
2020-01-20,0.92
2020-02-04,0.909
2020-02-10,0.913
2020-04-23,0.931
2020-04-29,1.699
2020-04-30,1.689
2020-05-13,0.134
2020-05-15,1.482
2020-05-18,1.453
2020-05-22,1.345
2020-06-17,1.325
2020-06-30,0.401
2020-08-20,0.799
2020-08-21,0.993
2020-08-25,0.755
2020-08-27,2.212
2020-08-28,1.966
2020-09-02,1.806
2020-10-22,0.223
2020-12-02,0.253
2020-12-07,1.268
2020-12-08,1.233
2020-12-15,0.5
2020-12-22,0.993
2020-12-23,1.199
2020-12-28,0.555
2020-12-29,0.544
2021-01-04,0.531
2021-01-06,0.517
2021-01-14,0.505
2021-01-18,0.495
2021-01-20,0.504
2021-01-25,0.503
2021-01-27,0.503
2021-02-01,0.536
2021-02-02,0.547
2021-02-04,0.517
2021-02-08,0.499
2021-02-09,0.507
2021-02-15,0.495
2021-02-19,0.496
2021-02-22,0.49
2021-03-09,0.252
2021-03-18,0.301
2021-03-22,0.403
2021-03-24,0.447
2021-03-25,0.471
2021-04-01,0.493
2021-04-06,0.498
2021-04-07,0.4
2021-04-08,0.466
2021-04-09,0.419
2021-04-20,0.329
2021-06-07,0.262
2021-06-09,0.448
2021-06-11,0.268
2021-06-25,0.297
2021-07-01,0.319
2021-07-08,0.298
2021-07-09,0.22
2021-07-20,0.211
2021-07-21,0.219
2021-07-26,0.213
2021-10-01,0.202
2021-10-06,0.21
2021-10-07,0.209
2021-10-08,0.212
2021-10-11,0.209
2021-10-12,0.211
2021-10-13,0.22
2021-10-19,0.21
2021-10-20,0.21
2021-10-21,0.211
2021-10-26,0.208
2021-11-03,0.21
2021-11-09,0.208
2021-11-10,0.21
2021-11-11,0.209
2021-11-12,0.209
2021-11-24,0.2
2021-12-22,0.252
2021-12-23,0.253
2021-12-27,0.252
2021-12-28,0.251
2021-12-29,0.252
2021-12-30,0.253
2022-01-03,0.253
2022-01-04,0.253
2022-01-05,0.22
2022-01-06,0.22
2022-01-07,0.219
2022-01-10,0.219
2022-01-11,0.221
2022-01-12,0.22
2022-01-13,0.222
2022-01-14,0.22
2022-01-17,0.219
2022-01-18,0.219
2022-01-19,0.219
2022-01-20,0.221
2022-01-21,0.218
2022-01-24,0.219
2022-01-25,0.22
2022-01-26,0.221
2022-01-27,0.219
2022-01-28,0.22
2022-01-31,0.22
2022-02-01,0.219
2022-02-02,0.2
2022-02-03,0.201
2022-02-04,0.202
2022-02-07,0.201
2022-02-08,0.2
2022-02-09,0.201
2022-02-10,0.2
2022-02-11,0.201
2022-02-14,0.2
2022-02-15,0.199
2022-02-16,0.199
2022-02-17,0.2
2022-02-18,0.2
2022-02-21,0.198
2022-02-22,0.201
2022-02-23,0.202
2022-02-24,0.199
2022-02-25,0.199
2022-02-28,0.2
2022-03-01,0.199
2022-03-02,0.201
2022-03-03,0.201
2022-03-04,0.2
2022-03-07,0.199
2022-03-08,0.199
2022-03-09,0.201
2022-03-10,0.199
2022-03-11,0.199
2022-03-14,0.2
2022-03-15,0.201
2022-03-16,0.2
2022-03-17,0.199
2022-03-18,0.2
2022-03-21,0.199
2022-03-22,0.202
2022-03-23,0.2
2022-03-24,0.2
2022-03-25,0.2
2022-03-28,0.201
2022-03-29,0.2
2022-03-30,0.2
2022-03-31,0.2
2022-04-01,0.201
2022-04-04,0.198
2022-04-05,0.201
2022-04-06,0.199
2022-04-07,0.201
2022-04-08,0.2
2022-04-11,0.19
2022-04-12,0.189
2022-04-13,0.19
2022-04-14,0.192
2022-04-19,0.18
2022-04-20,0.181
2022-04-21,0.181
2022-04-22,0.181
2022-04-25,0.18
2022-04-26,0.181
2022-04-27,0.179
2022-04-28,0.179
2022-04-29,0.181
2022-05-02,0.18
2022-05-03,0.182
2022-05-04,0.18
2022-05-05,0.18
2022-05-06,0.182
2022-05-09,0.18
2022-05-10,0.18
2022-05-11,0.181
2022-05-12,0.18
2022-05-13,0.181
2022-05-16,0.18
2022-05-17,0.181
2022-05-18,0.181
2022-05-19,0.182
2022-05-20,0.182
2022-05-23,0.18
2022-05-24,0.181
2022-05-25,0.182
2022-05-26,0.18
2022-05-27,0.181
2022-05-30,0.18
2022-05-31,0.181
2022-06-01,0.182
2022-06-02,0.181
2022-06-03,0.18
2022-06-06,0.171
2022-06-07,0.126
2022-06-08,0.127
2022-06-09,0.127
2022-06-10,0.125
2022-06-13,0.126
2022-06-14,0.126
2022-06-15,0.126
2022-06-16,0.126
2022-06-17,0.126
2022-06-20,0.126
2022-06-21,0.126
2022-06-22,0.127
2022-06-23,0.126
2022-06-24,0.126
2022-06-27,0.125
2022-06-28,0.126
2022-06-29,0.126
2022-06-30,0.126
2022-07-01,0.124
2022-07-04,0.124
2022-07-05,0.125
2022-07-06,0.124
2022-07-07,0.125
2022-07-08,0.125
2022-07-11,0.101
2022-07-12,0.1
2022-07-13,0.1
2022-07-14,0.101
2022-07-15,0.12
2022-07-18,0.12
2022-07-19,0.119
2022-07-20,0.119
2022-07-21,0.12
2022-07-22,0.121
2022-07-25,0.12
2022-07-26,0.119
2022-07-27,0.12
2022-07-28,0.119
2022-07-29,0.05
2022-08-01,0.05
2022-08-02,0.05
2022-08-03,0.05
2022-08-04,0.05
2022-08-05,0.05
2022-08-08,0.05
2022-08-09,0.05
2022-08-10,0.05
2022-08-11,0.05
2022-08-12,0.05
2022-08-15,0.05
2022-08-16,0.05
2022-08-17,0.05
2022-08-18,0.05
2022-08-19,0.05
2022-08-22,0.05
2022-08-23,0.05
2022-08-24,0.05
2022-08-25,0.05
2022-08-26,0.05
2022-08-29,0.05
2022-08-30,0.05
2022-08-31,0.051
2022-09-01,0.05
2022-09-02,0.05
