date,close
2018-01-02,8.08
2018-01-03,8.62
2018-01-04,8.62
2018-01-05,8.7
2018-01-08,8.64
2018-01-09,8.94
2018-01-10,8.7
2018-01-11,8.62
2018-01-12,8.58
2018-01-15,8.4
2018-01-16,8.3
2018-01-17,8.56
2018-01-18,8.42
2018-01-19,8.5
2018-01-22,8.48
2018-01-23,8.38
2018-01-24,8.46
2018-01-25,8.5
2018-01-26,8.6
2018-01-29,8.5
2018-01-30,8.32
2018-01-31,8.2
2018-02-01,8.08
2018-02-02,7.74
2018-02-05,7.42
2018-02-06,7.44
2018-02-07,7.9
2018-02-08,8.0
2018-02-09,7.6
2018-02-12,7.62
2018-02-13,7.72
2018-02-14,7.7
2018-02-15,7.84
2018-02-16,7.88
2018-02-19,7.9
2018-02-20,7.94
2018-02-21,7.9
2018-02-22,7.8
2018-02-23,7.9
2018-02-26,7.84
2018-02-27,7.86
2018-02-28,7.82
2018-03-01,7.6
2018-03-02,7.68
2018-03-05,7.68
2018-03-06,7.62
2018-03-07,7.7
2018-03-08,7.76
2018-03-09,7.88
2018-03-12,7.7
2018-03-13,7.7
2018-03-14,7.78
2018-03-15,7.86
2018-03-16,7.82
2018-03-19,7.7
2018-03-20,7.76
2018-03-21,7.88
2018-03-22,7.8
2018-03-23,7.76
2018-03-26,7.74
2018-03-27,7.68
2018-03-28,7.46
2018-03-29,7.1
2018-04-03,6.98
2018-04-04,6.86
2018-04-05,6.82
2018-04-06,6.8
2018-04-09,6.8
2018-04-10,6.9
2018-04-11,7.0
2018-04-12,6.92
2018-04-13,7.06
2018-04-16,7.02
2018-04-17,6.94
2018-04-18,7.06
2018-04-19,7.1
2018-04-20,7.02
2018-04-23,7.04
2018-04-24,7.08
2018-04-25,7.08
2018-04-26,7.0
2018-04-27,7.06
2018-04-30,7.0
2018-05-02,6.94
2018-05-03,6.96
2018-05-04,7.08
2018-05-07,7.2
2018-05-08,7.3
2018-05-09,7.4
2018-05-10,7.34
2018-05-11,7.26
2018-05-14,7.24
2018-05-15,7.26
2018-05-16,7.26
2018-05-17,7.16
2018-05-18,7.16
2018-05-22,7.08
2018-05-23,7.04
2018-05-24,6.84
2018-05-25,6.8
2018-05-28,6.9
2018-05-29,6.8
2018-05-30,6.76
2018-05-31,6.76
2018-06-01,6.7
2018-06-04,6.72
2018-06-05,6.72
2018-06-06,6.9
2018-06-07,7.0
2018-06-08,6.92
2018-06-11,6.84
2018-06-12,6.78
2018-06-13,6.74
2018-06-14,6.78
2018-06-15,6.86
2018-06-18,6.72
2018-06-19,6.7
2018-06-20,6.78
2018-06-21,6.7
2018-06-22,6.7
2018-06-25,6.7
2018-06-26,6.7
2018-06-27,6.74
2018-06-28,6.73
2018-06-29,6.73
2018-07-02,6.6
2018-07-03,6.26
2018-07-04,6.46
2018-07-05,6.48
2018-07-06,6.47
2018-07-09,6.54
2018-07-10,6.56
2018-07-11,6.55
2018-07-12,6.46
2018-07-13,6.55
2018-07-16,6.5
2018-07-17,6.5
2018-07-18,6.44
2018-07-19,6.46
2018-07-20,6.44
2018-07-23,6.34
2018-07-24,6.3
2018-07-25,6.52
2018-07-26,6.36
2018-07-27,6.46
2018-07-30,6.42
2018-07-31,6.38
2018-08-01,6.34
2018-08-02,6.34
2018-08-03,6.44
2018-08-06,6.32
2018-08-07,6.36
2018-08-08,6.34
2018-08-09,6.3
2018-08-10,6.22
2018-08-13,6.2
2018-08-14,6.1
2018-08-15,5.76
2018-08-16,5.84
2018-08-17,5.6
2018-08-20,5.58
2018-08-21,5.68
2018-08-22,5.68
2018-08-23,6.08
2018-08-24,6.26
2018-08-27,6.42
2018-08-28,6.4
2018-08-29,6.56
2018-08-30,6.74
2018-08-31,6.78
2018-09-03,6.3
2018-09-04,6.24
2018-09-05,6.42
2018-09-06,6.14
2018-09-07,6.16
2018-09-10,6.0
2018-09-11,6.06
2018-09-12,6.0
2018-09-13,6.06
2018-09-14,6.08
2018-09-17,6.02
2018-09-18,5.92
2018-09-19,5.9
2018-09-20,5.82
2018-09-21,5.84
2018-09-24,5.94
2018-09-25,5.9
2018-09-26,6.04
2018-09-27,6.2
2018-09-28,6.26
2018-10-01,6.18
2018-10-02,6.1
2018-10-04,6.08
2018-10-05,5.98
2018-10-08,5.9
2018-10-09,5.9
2018-10-10,5.8
2018-10-11,5.78
2018-10-12,5.7
2018-10-15,5.84
2018-10-16,5.72
2018-10-17,5.72
2018-10-18,5.68
2018-10-19,5.62
2018-10-22,5.74
2018-10-23,5.66
2018-10-24,5.66
2018-10-25,5.66
2018-10-26,5.52
2018-10-29,5.5
2018-10-30,5.5
2018-10-31,5.62
2018-11-01,5.3
2018-11-02,5.38
2018-11-05,5.62
2018-11-06,5.62
2018-11-07,5.32
2018-11-08,5.24
2018-11-09,5.1
2018-11-12,5.02
2018-11-13,4.75
2018-11-14,4.64
2018-11-15,4.6
2018-11-16,4.68
2018-11-19,4.4
2018-11-20,4.22
2018-11-21,3.85
2018-11-22,3.68
2018-11-23,3.72
2018-11-26,3.63
2018-11-27,3.57
2018-11-28,3.47
2018-11-29,3.41
2018-11-30,3.34
2018-12-03,3.35
2018-12-04,3.39
2018-12-05,3.51
2018-12-06,3.35
2018-12-07,3.3
2018-12-10,3.22
2018-12-11,3.2
2018-12-12,2.9
2018-12-13,2.96
2018-12-14,2.84
2018-12-17,2.81
2018-12-18,2.81
2018-12-19,2.78
2018-12-20,2.65
2018-12-21,2.55
2018-12-27,2.62
2018-12-28,2.62
2019-01-02,2.66
2019-01-03,2.74
2019-01-04,2.7
2019-01-07,2.66
2019-01-08,2.7
2019-01-09,2.8
2019-01-10,2.94
2019-01-11,3.14
2019-01-14,2.93
2019-01-15,2.91
2019-01-16,2.84
2019-01-17,2.84
2019-01-18,2.89
2019-01-21,2.85
2019-01-22,2.9
2019-01-23,2.84
2019-01-24,3.18
2019-01-25,3.46
2019-01-28,3.12
2019-01-29,3.02
2019-01-30,2.97
2019-01-31,2.98
2019-02-01,3.05
2019-02-04,3.1
2019-02-05,3.0
2019-02-06,3.09
2019-02-07,3.08
2019-02-08,3.09
2019-02-11,2.98
2019-02-12,2.96
2019-02-13,2.96
2019-02-14,2.97
2019-02-15,2.96
2019-02-18,2.97
2019-02-19,2.97
2019-02-20,2.95
2019-02-21,2.95
2019-02-22,3.02
2019-02-25,3.04
2019-02-26,3.02
2019-02-27,3.03
2019-02-28,3.01
2019-03-01,3.44
2019-03-04,3.75
2019-03-05,3.94
2019-03-06,3.91
2019-03-07,3.84
2019-03-08,3.73
2019-03-11,3.68
2019-03-12,3.6
2019-03-13,3.65
2019-03-14,3.64
2019-03-15,3.6
2019-03-18,3.67
2019-03-19,3.68
2019-03-20,3.59
2019-03-21,3.58
2019-03-22,3.65
2019-03-25,3.55
2019-03-26,3.55
2019-03-27,3.38
2019-03-28,3.46
2019-03-29,3.48
2019-04-01,3.38
2019-04-02,3.4
2019-04-03,3.39
2019-04-04,3.34
2019-04-05,3.44
2019-04-08,3.45
2019-04-09,3.41
2019-04-10,3.53
2019-04-11,3.56
2019-04-12,3.47
2019-04-15,3.58
2019-04-16,3.63
2019-04-17,3.93
2019-04-18,3.99
2019-04-23,3.82
2019-04-24,3.9
2019-04-25,3.9
2019-04-26,3.89
2019-04-29,3.83
2019-04-30,3.82
2019-05-02,3.83
2019-05-03,3.79
2019-05-06,3.7
2019-05-07,3.64
2019-05-08,3.66
2019-05-09,3.4
2019-05-10,3.43
2019-05-13,3.46
2019-05-14,3.34
2019-05-15,3.37
2019-05-16,3.2
2019-05-17,3.3
2019-05-20,3.27
2019-05-21,3.15
2019-05-22,3.16
2019-05-23,3.15
2019-05-24,3.15
2019-05-27,2.92
2019-05-28,3.11
2019-05-29,3.09
2019-05-30,3.09
2019-05-31,3.03
2019-06-03,2.9
2019-06-04,2.85
2019-06-05,2.92
2019-06-06,2.99
