date,close
2018-01-02,1.315
2018-01-03,1.866
2018-01-04,1.688
2018-01-05,1.819
2018-01-08,1.789
2018-01-09,1.53
2018-01-10,1.753
2018-01-11,1.758
2018-01-12,1.701
2018-01-16,1.542
2018-01-17,1.647
2018-01-18,1.601
2018-01-19,1.501
2018-01-22,1.588
2018-01-23,1.453
2018-01-24,1.397
2018-01-25,1.334
2018-01-26,1.303
2018-01-29,1.388
2018-01-30,1.332
2018-01-31,1.409
2018-02-01,1.359
2018-02-02,1.309
2018-02-05,1.354
2018-02-06,1.355
2018-02-07,1.47
2018-02-08,1.402
2018-02-12,1.388
2018-02-13,1.395
2018-02-14,1.394
2018-02-15,1.366
2018-02-16,1.352
2018-02-19,1.345
2018-02-20,1.347
2018-02-21,1.323
2018-02-22,1.357
2018-02-26,1.31
2018-02-27,1.321
2018-02-28,1.306
2018-03-02,1.274
2018-03-05,1.271
2018-03-06,1.137
2018-03-07,1.139
2018-03-08,1.155
2018-03-13,1.178
2018-03-15,1.203
2018-03-16,1.229
2018-03-19,1.197
2018-03-20,1.265
2018-03-23,1.199
2018-03-26,1.208
2018-03-28,1.139
2018-04-03,1.121
2018-04-04,1.123
2018-04-05,1.115
2018-04-06,1.126
2018-04-10,1.121
2018-04-11,1.114
2018-04-12,1.11
2018-04-13,1.103
2018-04-16,1.144
2018-04-18,1.148
2018-04-19,1.181
2018-04-23,1.189
2018-04-24,1.187
2018-04-25,1.053
2018-04-26,1.049
2018-04-27,0.883
2018-04-30,0.96
2018-05-03,0.863
2018-05-04,0.86
2018-05-07,0.877
2018-05-08,0.826
2018-05-09,0.814
2018-05-11,0.819
2018-05-15,0.836
2018-05-16,0.828
2018-05-17,0.799
2018-05-18,0.801
2018-05-22,0.803
2018-05-29,0.973
2018-05-30,0.797
2018-06-01,0.791
2018-06-04,0.842
2018-06-06,0.816
2018-06-07,0.799
2018-06-08,0.838
2018-06-11,0.907
2018-06-14,0.854
2018-06-18,0.859
2018-06-20,0.808
2018-06-21,0.804
2018-06-27,0.503
2018-06-28,0.449
2018-06-29,0.546
2018-07-02,0.587
2018-07-03,0.59
2018-07-05,0.618
2018-07-06,0.605
2018-07-09,0.6
2018-07-10,0.605
2018-07-11,0.614
2018-07-13,0.661
2018-07-16,0.612
2018-07-18,0.664
2018-07-19,0.661
2018-07-25,0.662
2018-07-26,0.655
2018-08-01,0.657
2018-08-02,0.604
2018-08-03,0.619
2018-08-06,0.62
2018-08-07,0.61
2018-08-08,0.612
2018-08-09,0.623
2018-08-10,0.625
2018-08-13,0.568
2018-08-14,0.6
2018-08-16,0.586
2018-08-17,0.571
2018-08-27,0.588
2018-08-28,0.598
2018-08-29,0.577
2018-08-30,0.582
2018-08-31,0.578
2018-09-04,0.584
2018-09-05,0.579
2018-09-06,0.572
2018-09-07,0.585
2018-09-12,0.591
2018-09-18,0.587
2018-09-19,0.509
2018-09-20,0.66
2018-09-21,0.695
2018-09-24,0.682
2018-09-25,0.807
2018-09-26,0.813
2018-09-27,0.812
2018-09-28,0.812
2018-10-01,0.808
2018-10-04,0.817
2018-10-08,0.832
2018-10-09,0.825
2018-10-10,0.835
2018-10-11,0.829
2018-10-12,0.834
2018-10-15,0.806
2018-10-16,0.766
2018-10-17,0.762
2018-10-18,0.767
2018-10-22,0.774
2018-10-26,0.761
2018-10-29,0.716
2018-10-30,0.718
2018-11-02,0.716
2018-11-05,0.712
2018-11-08,0.717
2018-11-09,0.715
2018-11-13,0.672
2018-11-14,0.67
2018-11-15,0.663
2018-11-19,0.661
2018-11-20,0.645
2018-11-21,0.649
2018-11-22,0.645
2018-11-26,0.648
2018-11-27,0.649
2018-11-28,0.654
2018-11-30,0.646
2018-12-03,0.66
2018-12-04,0.663
2018-12-06,0.67
2018-12-07,0.655
2018-12-10,0.549
2018-12-12,0.558
2018-12-13,0.556
2018-12-14,0.559
2018-12-17,0.6
2018-12-18,0.603
2018-12-19,0.59
2018-12-20,0.598
2018-12-21,0.596
2018-12-27,0.582
2018-12-28,0.556
2019-01-02,0.562
2019-01-03,0.564
2019-01-04,0.563
2019-01-07,0.638
2019-01-09,0.671
2019-01-11,0.684
2019-01-14,0.65
2019-01-16,0.678
2019-01-17,0.658
2019-01-18,0.661
2019-01-21,0.681
2019-01-22,0.673
2019-01-23,0.647
2019-01-25,0.649
2019-01-28,0.651
2019-01-29,0.651
2019-01-30,0.669
2019-01-31,0.666
2019-02-06,0.67
2019-02-08,0.665
2019-02-11,0.652
2019-02-12,0.636
2019-02-13,0.644
2019-02-14,0.648
2019-02-15,0.645
2019-02-18,0.698
2019-03-01,0.7
2019-03-04,0.698
2019-03-05,0.701
2019-03-06,0.738
2019-03-07,0.743
2019-03-08,0.828
2019-03-11,0.726
2019-03-12,0.725
2019-03-13,0.725
2019-03-15,0.729
2019-03-18,0.732
2019-03-19,0.732
2019-04-02,0.727
2019-04-03,0.763
2019-04-04,0.775
2019-04-05,0.769
2019-04-08,0.769
2019-04-09,0.767
2019-04-11,0.745
2019-04-16,0.73
2019-04-17,0.656
2019-04-18,0.647
2019-04-23,0.677
2019-04-24,0.67
2019-04-25,0.687
