date,close
2018-01-02,0.552
2018-01-03,0.57
2018-01-04,0.582
2018-01-05,0.6
2018-01-08,0.612
2018-01-09,0.654
2018-01-10,0.65
2018-01-11,0.648
2018-01-12,0.63
2018-01-15,0.63
2018-01-16,0.63
2018-01-17,0.628
2018-01-18,0.622
2018-01-19,0.638
2018-01-22,0.642
2018-01-23,0.64
2018-01-24,0.644
2018-01-25,0.644
2018-01-26,0.636
2018-01-29,0.616
2018-01-30,0.638
2018-01-31,0.638
2018-02-01,0.758
2018-02-02,0.728
2018-02-05,0.726
2018-02-06,0.7
2018-02-07,0.708
2018-02-08,0.706
2018-02-09,0.706
2018-02-12,0.686
2018-02-13,0.69
2018-02-14,0.692
2018-02-15,0.702
2018-02-16,0.702
2018-02-19,0.702
2018-02-20,0.706
2018-02-21,0.688
2018-02-22,0.7
2018-02-23,0.686
2018-02-26,0.686
2018-02-27,0.688
2018-02-28,0.686
2018-03-01,0.69
2018-03-02,0.694
2018-03-05,0.684
2018-03-06,0.704
2018-03-07,0.688
2018-03-08,0.702
2018-03-09,0.698
2018-03-12,0.738
2018-03-13,0.756
2018-03-14,0.736
2018-03-15,0.76
2018-03-16,0.766
2018-03-19,0.754
2018-03-20,0.762
2018-03-21,0.746
2018-03-22,0.736
2018-03-23,0.72
2018-03-26,0.73
2018-03-27,0.74
2018-03-28,0.71
2018-03-29,0.724
2018-04-03,0.706
2018-04-04,0.716
2018-04-05,0.736
2018-04-06,0.73
2018-04-09,0.726
2018-04-10,0.724
2018-04-11,0.706
2018-04-12,0.714
2018-04-13,0.728
2018-04-16,0.714
2018-04-17,0.716
2018-04-18,0.712
2018-04-19,0.712
2018-04-20,0.722
2018-04-23,0.712
2018-04-24,0.71
2018-04-25,0.712
2018-04-26,0.708
2018-04-27,0.7
2018-04-30,0.696
2018-05-02,0.698
2018-05-03,0.68
2018-05-04,0.702
2018-05-07,0.706
2018-05-08,0.696
2018-05-09,0.698
2018-05-10,0.69
2018-05-11,0.696
2018-05-14,0.69
2018-05-15,0.676
2018-05-16,0.666
2018-05-17,0.662
2018-05-18,0.668
2018-05-22,0.658
2018-05-23,0.66
2018-05-24,0.65
2018-05-25,0.646
2018-05-28,0.654
2018-05-29,0.652
2018-05-30,0.69
2018-05-31,0.682
2018-06-01,0.62
2018-06-04,0.656
2018-06-05,0.636
2018-06-06,0.656
2018-06-07,0.666
2018-06-08,0.66
2018-06-11,0.656
2018-06-12,0.646
2018-06-13,0.65
2018-06-14,0.646
2018-06-15,0.64
2018-06-18,0.597
2018-06-19,0.606
2018-06-20,0.622
2018-06-21,0.617
2018-06-22,0.608
2018-06-25,0.61
2018-06-26,0.601
2018-06-27,0.599
2018-06-28,0.594
2018-06-29,0.605
2018-07-02,0.595
2018-07-03,0.61
2018-07-04,0.608
2018-07-05,0.62
2018-07-06,0.615
2018-07-09,0.63
2018-07-10,0.623
2018-07-11,0.621
2018-07-12,0.619
2018-07-13,0.629
2018-07-16,0.644
2018-07-17,0.622
2018-07-18,0.634
2018-07-19,0.624
2018-07-20,0.618
2018-07-23,0.616
2018-07-24,0.606
2018-07-25,0.61
2018-07-26,0.648
2018-07-27,0.64
2018-07-30,0.646
2018-07-31,0.634
2018-08-01,0.644
2018-08-02,0.652
2018-08-03,0.656
2018-08-06,0.66
2018-08-07,0.672
2018-08-08,0.676
2018-08-09,0.68
2018-08-10,0.676
2018-08-13,0.666
2018-08-14,0.656
2018-08-15,0.65
2018-08-16,0.626
2018-08-17,0.6
2018-08-20,0.628
2018-08-21,0.61
2018-08-22,0.634
2018-08-23,0.606
2018-08-24,0.616
2018-08-27,0.62
2018-08-28,0.614
2018-08-29,0.614
2018-08-30,0.6
2018-08-31,0.61
2018-09-03,0.628
2018-09-04,0.626
2018-09-05,0.612
2018-09-06,0.606
2018-09-07,0.598
2018-09-10,0.61
2018-09-11,0.602
2018-09-12,0.596
2018-09-13,0.6
2018-09-14,0.598
2018-09-17,0.594
2018-09-18,0.584
2018-09-19,0.582
2018-09-20,0.582
2018-09-21,0.57
2018-09-24,0.578
2018-09-25,0.572
2018-09-26,0.58
2018-09-27,0.576
2018-09-28,0.582
2018-10-01,0.588
2018-10-02,0.596
2018-10-04,0.602
2018-10-05,0.594
2018-10-08,0.598
2018-10-09,0.588
2018-10-10,0.59
2018-10-11,0.57
2018-10-12,0.568
2018-10-15,0.558
2018-10-16,0.598
2018-10-17,0.586
2018-10-18,0.586
2018-10-19,0.586
2018-10-22,0.592
2018-10-23,0.586
2018-10-24,0.586
2018-10-25,0.576
2018-10-26,0.562
2018-10-29,0.566
2018-10-30,0.56
2018-10-31,0.481
2018-11-01,0.502
2018-11-02,0.499
2018-11-05,0.514
2018-11-06,0.51
2018-11-07,0.502
2018-11-08,0.508
2018-11-09,0.506
2018-11-12,0.482
2018-11-13,0.477
2018-11-14,0.475
2018-11-15,0.475
2018-11-16,0.476
2018-11-19,0.443
2018-11-20,0.453
2018-11-21,0.442
2018-11-22,0.465
2018-11-23,0.445
2018-11-26,0.478
2018-11-27,0.406
2018-11-28,0.336
2018-11-29,0.384
2018-11-30,0.402
2018-12-03,0.396
2018-12-04,0.409
2018-12-05,0.401
2018-12-06,0.4
2018-12-07,0.404
2018-12-10,0.389
2018-12-11,0.391
2018-12-12,0.394
2018-12-13,0.388
2018-12-14,0.355
2018-12-17,0.295
2018-12-18,0.288
2018-12-19,0.176
2018-12-20,0.205
