date,close
2018-01-02,4.31
2018-01-03,4.33
2018-01-04,4.36
2018-01-05,4.42
2018-01-08,4.45
2018-01-09,4.42
2018-01-10,4.34
2018-01-11,4.26
2018-01-12,4.21
2018-01-15,4.2
2018-01-16,4.2
2018-01-17,4.17
2018-01-18,4.18
2018-01-22,4.21
2018-01-23,4.15
2018-01-24,4.15
2018-01-25,4.04
2018-01-26,3.98
2018-01-29,3.98
2018-01-30,3.93
2018-01-31,3.96
2018-02-01,3.99
2018-02-02,3.85
2018-02-05,3.86
2018-02-06,3.81
2018-02-07,3.78
2018-02-08,3.81
2018-02-09,3.85
2018-02-13,3.88
2018-02-14,3.89
2018-02-15,3.9
2018-02-16,3.93
2018-02-19,3.9
2018-02-20,3.92
2018-02-21,3.92
2018-02-22,3.88
2018-02-23,3.9
2018-02-27,3.91
2018-03-01,3.88
2018-03-02,3.82
2018-03-05,3.79
2018-03-06,3.79
2018-03-08,3.83
2018-03-09,3.83
2018-03-12,3.86
2018-03-13,3.98
2018-03-14,3.9
2018-03-15,3.98
2018-03-16,4.03
2018-03-19,3.97
2018-03-21,3.98
2018-03-22,4.01
2018-03-23,4.0
2018-03-26,4.02
2018-03-27,4.0
2018-03-28,3.89
2018-03-29,3.83
2018-04-03,3.92
2018-04-04,3.86
2018-04-05,3.87
2018-04-06,3.9
2018-04-09,3.9
2018-04-10,3.91
2018-04-11,3.91
2018-04-16,3.94
2018-04-17,3.96
2018-04-19,3.91
2018-04-20,3.91
2018-04-23,3.88
2018-04-24,3.91
2018-04-25,3.9
2018-04-26,3.93
2018-05-02,3.94
2018-05-03,3.94
2018-05-04,3.94
2018-05-07,3.94
2018-05-09,3.95
2018-05-10,3.95
2018-05-11,3.95
2018-05-14,3.95
2018-05-15,3.95
2018-05-17,3.97
2018-05-18,4.04
2018-05-22,3.97
2018-05-23,3.93
2018-05-24,3.89
2018-05-25,3.94
2018-05-28,3.95
2018-05-29,3.98
2018-05-30,3.95
2018-05-31,3.96
2018-06-01,3.94
2018-06-05,3.93
2018-06-07,3.92
2018-06-12,3.89
2018-06-13,3.94
2018-06-14,3.81
2018-06-15,3.86
2018-06-19,3.82
2018-06-20,3.815
2018-06-25,3.725
2018-06-26,3.73
2018-06-27,3.73
2018-06-28,3.815
2018-06-29,3.86
2018-07-02,3.855
2018-07-03,3.83
2018-07-04,3.805
2018-07-05,3.87
2018-07-06,3.82
2018-07-09,3.85
2018-07-10,3.845
2018-07-11,3.79
2018-07-16,3.81
2018-07-17,3.81
2018-07-19,3.81
2018-07-20,3.77
2018-07-23,3.8
2018-07-24,3.8
2018-07-25,3.85
2018-07-26,3.83
2018-07-27,3.79
2018-07-30,3.81
2018-08-01,3.79
2018-08-03,3.8
2018-08-06,4.13
2018-08-07,4.53
2018-08-08,4.58
2018-08-09,4.72
2018-08-10,4.66
2018-08-13,4.58
2018-08-14,4.6
2018-08-15,4.68
2018-08-16,4.69
2018-08-17,4.68
2018-08-20,4.65
2018-08-21,4.64
2018-08-22,4.66
2018-08-23,4.64
2018-08-27,4.65
2018-08-28,4.62
2018-08-29,4.69
2018-08-30,4.69
2018-08-31,4.7
2018-09-03,4.66
2018-09-04,4.66
2018-09-05,4.65
2018-09-06,4.59
2018-09-07,4.59
2018-09-10,4.56
2018-09-11,4.56
2018-09-12,4.56
2018-09-13,4.61
2018-09-14,4.58
2018-09-17,4.57
2018-09-19,4.53
2018-09-20,4.51
2018-09-24,4.45
2018-09-25,4.33
2018-09-26,4.37
2018-09-27,4.34
2018-10-01,4.41
2018-10-02,4.39
2018-10-04,4.5
2018-10-05,4.5
2018-10-08,4.39
2018-10-09,4.36
2018-10-10,4.33
2018-10-11,4.17
2018-10-18,4.18
2018-10-19,4.18
2018-10-23,4.18
2018-10-26,4.14
2018-10-30,4.24
2018-10-31,4.24
2018-11-01,4.2
2018-11-02,4.19
2018-11-07,4.21
2018-11-08,4.27
2018-11-09,4.48
2018-11-13,4.34
2018-11-15,4.32
2018-11-20,4.27
2018-11-21,4.28
2018-11-22,4.27
2018-11-23,4.28
2018-11-26,4.29
2018-11-27,4.26
2018-11-30,4.27
2018-12-03,4.3
2018-12-04,4.33
2018-12-05,4.33
2018-12-06,4.26
2018-12-07,4.31
2018-12-10,4.21
2018-12-12,4.22
2018-12-14,4.21
2018-12-17,4.19
2018-12-18,4.22
2018-12-19,4.21
2018-12-20,4.2
2018-12-27,4.18
2018-12-28,4.16
2019-01-02,4.08
2019-01-03,4.15
2019-01-04,4.16
2019-01-08,4.17
2019-01-09,4.32
2019-01-10,4.26
2019-01-11,4.19
2019-01-14,4.15
2019-01-15,4.15
2019-01-16,4.16
2019-01-17,4.13
2019-01-18,4.14
2019-01-21,4.14
2019-01-22,4.14
2019-01-24,4.08
2019-01-25,4.08
2019-01-28,4.14
2019-01-29,4.34
2019-01-30,4.14
2019-01-31,4.21
2019-02-01,4.19
2019-02-04,4.16
2019-02-05,4.06
2019-02-06,4.06
2019-02-08,4.11
2019-02-11,4.09
2019-02-12,4.15
2019-02-14,4.15
2019-02-15,4.17
2019-02-18,4.18
2019-02-19,4.18
2019-02-20,4.14
2019-02-21,4.16
2019-02-22,4.07
2019-02-25,4.06
2019-02-26,4.1
2019-03-01,4.08
2019-03-04,4.08
2019-03-11,4.08
2019-03-13,4.04
2019-03-14,4.04
2019-03-15,4.03
2019-03-18,4.01
2019-03-19,4.01
2019-03-21,4.02
2019-03-25,3.94
2019-03-27,4.1
2019-03-28,4.12
2019-03-29,4.19
2019-04-01,4.14
2019-04-02,4.1
2019-04-04,4.12
2019-04-05,4.18
2019-04-08,4.16
2019-04-10,4.12
2019-04-11,4.12
2019-04-15,4.16
2019-04-25,4.14
2019-04-29,4.08
2019-04-30,4.1
2019-05-02,4.08
2019-05-06,4.04
2019-05-10,4.06
2019-05-17,4.04
2019-05-20,4.0
2019-05-21,4.06
2019-05-22,4.06
2019-05-23,4.04
2019-05-24,4.02
2019-05-27,4.02
2019-05-28,4.04
2019-06-04,4.02
2019-06-06,4.02
2019-06-11,4.04
