date,close
2018-06-15,29.4
2018-06-18,29.4
2018-06-19,29.195
2018-06-20,28.43
2018-06-21,28.505
2018-06-22,27.62
2018-06-25,26.86
2018-06-26,26.6
2018-06-27,27.4
2018-06-28,28.64
2018-06-29,29.6
2018-07-02,30.5
2018-07-03,30.01
2018-07-04,29.0
2018-07-05,28.8
2018-07-06,29.595
2018-07-09,30.2
2018-07-10,30.1
2018-07-11,30.0
2018-07-12,30.25
2018-07-13,30.185
2018-07-16,30.4
2018-07-17,31.49
2018-07-18,30.275
2018-07-19,29.0
2018-07-20,28.9
2018-07-23,28.7
2018-07-24,28.32
2018-07-25,28.6
2018-07-26,28.7
2018-07-27,29.5
2018-07-30,28.75
2018-07-31,28.63
2018-08-01,26.52
2018-08-02,27.0
2018-08-03,26.26
2018-08-06,26.0
2018-08-07,26.1
2018-08-08,26.385
2018-08-09,26.9
2018-08-10,26.525
2018-08-13,27.66
2018-08-14,26.71
2018-08-15,27.65
2018-08-16,27.99
2018-08-17,28.45
2018-08-20,28.305
2018-08-21,28.59
2018-08-22,28.7
2018-08-23,28.7
2018-08-24,27.91
2018-08-27,27.65
2018-08-28,27.685
2018-08-29,26.745
2018-08-30,26.615
2018-08-31,26.005
2018-09-03,26.265
2018-09-04,25.385
2018-09-05,25.58
2018-09-06,24.1
2018-09-07,23.5
2018-09-10,23.755
2018-09-11,23.21
2018-09-12,22.065
2018-09-13,23.0
2018-09-14,22.915
2018-09-17,22.7
2018-09-18,22.65
2018-09-19,22.5
2018-09-20,22.475
2018-09-21,22.65
2018-09-24,22.505
2018-09-25,23.32
2018-09-26,23.36
2018-09-27,23.3
2018-09-28,22.905
2018-10-01,23.07
2018-10-02,23.16
2018-10-04,23.19
2018-10-05,23.0
2018-10-08,23.15
2018-10-09,22.915
2018-10-10,21.23
2018-10-11,20.2
2018-10-12,19.706
2018-10-15,19.87
2018-10-16,19.51
2018-10-17,19.256
2018-10-18,19.112
2018-10-19,18.82
2018-10-22,18.762
2018-10-23,18.71
2018-10-24,18.892
2018-10-25,18.584
2018-10-26,17.9
2018-10-29,17.4
2018-10-30,16.8
2018-10-31,16.728
2018-11-01,16.576
2018-11-02,16.2
2018-11-05,16.05
2018-11-06,16.0
2018-11-07,15.35
2018-11-08,14.17
2018-11-09,14.1
2018-11-12,13.676
2018-11-13,13.604
2018-11-14,13.45
2018-11-15,12.9
2018-11-16,12.876
2018-11-19,12.834
2018-11-20,12.766
2018-11-21,12.776
2018-11-22,12.872
2018-11-23,12.8
2018-11-26,12.826
2018-11-27,12.95
2018-11-28,13.94
2018-11-29,14.308
2018-11-30,14.658
2018-12-03,15.106
