date,close
2023-01-18,7.232
2023-01-19,7.151
2023-01-20,7.326
2023-01-23,7.229
2023-01-24,7.126
2023-01-25,7.183
2023-01-26,7.047
2023-01-27,6.991
2023-01-30,7.134
2023-01-31,7.056
2023-02-01,7.086
2023-02-02,7.292
2023-02-03,7.17
2023-02-06,7.128
2023-02-07,7.251
2023-02-08,7.174
2023-02-09,7.201
2023-02-10,7.076
2023-02-13,7.077
2023-02-14,7.1
2023-02-15,7.108
2023-02-16,7.07
2023-02-17,7.052
2023-02-20,7.075
2023-02-21,7.068
2023-02-22,7.05
2023-02-23,7.18
2023-02-24,7.064
2023-02-27,7.079
2023-02-28,7.086
2023-03-01,7.107
2023-03-02,7.036
2023-03-03,7.099
2023-03-06,7.102
2023-03-07,7.098
2023-03-08,7.098
2023-03-09,7.115
2023-03-10,7.085
2023-03-13,7.093
2023-03-14,7.139
2023-03-15,7.096
2023-03-16,7.217
2023-03-17,7.12
2023-03-20,7.178
2023-03-21,7.087
2023-03-22,7.063
2023-03-23,7.224
2023-03-24,7.085
2023-03-27,7.258
2023-03-28,7.077
2023-03-29,7.079
2023-03-30,7.068
2023-03-31,7.21
2023-04-03,7.036
2023-04-04,7.06
2023-04-05,7.044
2023-04-06,6.989
2023-04-11,7.002
2023-04-12,7.056
2023-04-13,7.047
2023-04-14,7.124
2023-04-17,7.377
2023-04-18,7.442
2023-04-19,7.445
2023-04-20,7.409
2023-04-21,7.388
