date,close
2018-01-02,2.53
2018-01-03,3.09
2018-01-04,2.53
2018-01-05,3.01
2018-01-08,3.16
2018-01-09,2.95
2018-01-10,2.94
2018-01-11,2.96
2018-01-12,3.06
2018-01-15,2.88
2018-01-16,2.66
2018-01-17,2.4
2018-01-18,2.52
2018-01-19,2.61
2018-01-22,2.63
2018-01-23,2.31
2018-01-24,1.99
2018-01-25,2.17
2018-01-26,2.09
2018-01-29,2.18
2018-01-30,2.18
2018-01-31,2.14
2018-02-01,2.16
2018-02-02,2.13
2018-02-05,2.12
2018-02-06,2.17
2018-02-07,2.15
2018-02-08,2.15
2018-02-09,2.18
2018-02-12,2.11
2018-02-13,2.15
2018-02-14,2.09
2018-02-15,2.12
2018-02-16,2.1
2018-02-19,2.11
2018-02-20,2.1
2018-02-21,2.11
2018-02-22,2.11
2018-02-23,2.13
2018-02-26,2.12
2018-02-27,2.14
2018-02-28,1.995
2018-03-01,2.08
2018-03-02,1.895
2018-03-05,1.845
2018-03-06,1.845
2018-03-07,1.845
2018-03-08,1.815
2018-03-09,1.76
2018-03-12,1.795
2018-03-13,1.755
2018-03-14,1.715
2018-03-15,1.78
2018-03-16,1.735
2018-03-19,1.805
2018-03-20,1.765
2018-03-21,1.73
2018-03-22,1.72
2018-03-23,1.6
2018-03-26,1.67
2018-03-27,1.63
2018-03-28,1.69
2018-03-29,1.71
2018-04-03,1.725
2018-04-04,1.74
2018-04-05,1.71
2018-04-06,1.805
2018-04-09,1.845
2018-04-10,1.835
2018-04-11,1.84
2018-04-12,1.795
2018-04-13,1.82
2018-04-16,1.845
2018-04-17,1.86
2018-04-18,1.835
2018-04-19,1.815
2018-04-20,1.775
2018-04-23,1.795
2018-04-24,1.77
2018-04-25,1.745
2018-04-26,1.69
2018-04-27,1.735
2018-04-30,1.745
2018-05-02,1.755
2018-05-03,1.745
2018-05-04,1.76
2018-05-07,1.755
2018-05-08,1.76
2018-05-09,1.74
2018-05-10,1.71
