date,close
2018-01-02,0.964
2018-01-03,0.958
2018-01-04,0.922
2018-01-05,0.9
2018-01-08,0.874
2018-01-09,0.866
2018-01-10,0.932
2018-01-11,0.932
2018-01-12,0.934
2018-01-15,0.932
2018-01-16,0.97
2018-01-17,0.96
2018-01-18,0.938
2018-01-19,0.92
2018-01-22,0.93
2018-01-23,0.892
2018-01-24,0.85
2018-01-25,0.9
2018-01-26,0.884
2018-01-29,0.908
2018-01-30,0.864
2018-01-31,0.826
2018-02-01,0.802
2018-02-02,0.862
2018-02-05,0.804
2018-02-06,0.774
2018-02-07,0.806
2018-02-08,0.776
2018-02-09,0.784
2018-02-12,0.804
2018-02-13,0.758
2018-02-14,0.77
2018-02-15,0.758
2018-02-16,0.76
2018-02-19,0.766
2018-02-20,0.766
2018-02-21,0.766
2018-02-22,0.772
2018-02-23,1.02
2018-02-26,1.125
2018-02-27,1.13
2018-02-28,1.08
2018-03-01,1.135
2018-03-02,1.045
2018-03-05,0.974
2018-03-06,1.04
2018-03-07,0.96
2018-03-08,0.99
2018-03-09,1.03
2018-03-12,0.99
2018-03-13,1.04
2018-03-14,0.99
2018-03-15,0.99
2018-03-16,1.0
2018-03-19,0.972
2018-03-20,1.06
2018-03-21,0.97
2018-03-22,1.01
2018-03-23,0.95
2018-03-26,0.956
2018-03-27,0.914
2018-03-28,0.888
2018-03-29,0.81
2018-04-03,0.828
2018-04-04,0.794
2018-04-05,0.82
2018-04-06,0.888
2018-04-09,0.854
2018-04-10,0.816
2018-04-11,0.842
2018-04-12,0.86
2018-04-13,0.816
2018-04-16,0.794
2018-04-17,0.812
2018-04-18,0.8
2018-04-19,0.808
2018-04-20,0.888
2018-04-23,0.902
2018-04-24,0.896
2018-04-25,0.886
2018-04-26,0.866
2018-04-27,0.846
2018-04-30,0.842
2018-05-02,0.84
2018-05-03,0.846
2018-05-04,0.85
2018-05-07,0.81
2018-05-08,0.822
2018-05-09,0.82
2018-05-10,0.814
2018-05-11,0.81
