date,close
2018-01-02,2.85
2018-01-03,2.875
2018-01-05,2.775
2018-01-08,2.775
2018-01-11,2.775
2018-01-12,2.775
2018-01-15,2.775
2018-01-17,2.825
2018-01-22,2.75
2018-01-24,2.725
2018-01-25,2.65
2018-01-26,2.675
2018-01-29,2.65
2018-01-30,2.6
2018-01-31,2.5
2018-02-01,2.45
2018-02-02,2.45
2018-02-06,2.45
2018-02-07,2.575
2018-02-09,2.5
2018-02-12,2.525
2018-02-20,2.48
2018-02-21,2.48
2018-02-22,2.43
2018-02-23,2.45
2018-03-02,2.4
2018-03-05,2.38
2018-03-06,2.6
2018-03-07,2.45
2018-03-08,2.25
2018-03-09,2.725
2018-03-12,2.41
2018-03-16,2.38
2018-03-22,2.5
2018-03-23,2.33
2018-03-26,2.4
2018-03-27,2.3
2018-03-28,2.3
2018-03-29,2.3
2018-04-03,2.3
2018-04-04,2.3
2018-04-05,2.45
2018-04-06,2.45
2018-04-09,2.45
2018-04-10,2.2
2018-04-11,2.2
2018-04-12,2.2
2018-04-13,2.5
2018-04-16,2.43
2018-04-17,2.4
2018-04-18,2.49
2018-04-19,2.41
2018-04-20,2.4
2018-04-23,2.41
2018-04-24,2.3
2018-04-26,2.3
2018-04-27,2.28
2018-04-30,2.31
2018-05-02,2.4
2018-05-04,2.38
2018-05-07,2.3
2018-05-08,2.35
2018-05-09,2.38
2018-05-10,2.34
2018-05-11,2.34
2018-05-14,2.35
2018-05-15,2.25
2018-05-16,2.35
2018-05-17,2.3
2018-05-18,2.25
2018-05-22,2.25
2018-05-23,2.2
2018-05-24,2.39
2018-05-25,2.39
2018-05-28,2.42
2018-05-29,2.48
2018-05-30,2.48
2018-06-06,2.32
2018-06-08,2.28
2018-06-11,2.32
2018-06-13,2.32
2018-06-14,2.3
2018-06-15,2.3
2018-06-18,2.0
2018-06-19,2.225
2018-06-20,2.47
2018-06-21,2.385
2018-06-22,2.275
2018-06-26,2.185
2018-06-27,2.185
2018-06-28,2.185
2018-07-02,2.215
2018-07-03,2.23
2018-07-05,2.37
2018-07-06,2.375
2018-07-10,2.365
2018-07-12,2.35
2018-07-13,2.325
2018-07-16,2.38
2018-07-23,2.39
2018-07-26,2.39
2018-08-02,2.32
2018-08-09,2.12
2018-08-14,2.525
2018-08-15,2.42
2018-08-16,2.1
