date,close
2020-01-02,0.912
2020-01-06,0.858
2020-01-07,0.81
2020-01-08,0.77
2020-01-09,0.798
2020-01-10,0.938
2020-01-13,0.993
2020-01-14,1.3
2020-01-15,1.296
2020-01-16,1.246
2020-01-17,1.21
2020-01-20,1.166
2020-01-21,1.156
2020-01-22,1.156
2020-01-23,1.136
2020-01-24,1.08
2020-01-27,1.038
2020-01-28,1.01
2020-01-29,1.0
2020-01-30,0.955
2020-01-31,0.892
2020-02-03,0.944
2020-02-04,0.987
2020-02-05,1.1
2020-02-06,1.13
2020-02-07,1.11
2020-02-10,1.098
2020-02-11,1.034
2020-02-12,0.995
2020-02-13,1.004
2020-02-14,1.044
2020-02-17,1.05
2020-02-19,1.016
2020-02-20,1.026
2020-02-21,0.985
2020-02-24,0.98
2020-02-25,0.953
2020-02-26,0.905
2020-02-27,0.885
2020-02-28,0.905
2020-03-02,0.88
2020-03-03,0.902
2020-03-04,0.863
2020-03-05,0.878
2020-03-06,0.848
2020-03-09,0.838
2020-03-10,0.804
2020-03-12,0.773
2020-03-13,0.765
2020-03-16,0.65
2020-03-17,0.79
2020-03-18,0.75
2020-03-19,0.76
2020-03-20,0.72
2020-03-23,0.62
2020-03-24,0.645
2020-03-25,0.573
2020-03-26,0.545
2020-03-27,0.55
2020-03-30,0.53
2020-04-01,0.51
2020-04-02,0.47
2020-04-03,0.52
2020-04-06,0.53
2020-04-07,0.545
2020-04-08,0.545
2020-04-09,0.52
2020-04-14,0.53
2020-04-15,0.565
2020-04-16,0.57
2020-04-17,0.575
2020-04-20,0.58
2020-04-21,0.535
2020-04-22,0.565
2020-04-23,0.54
2020-04-27,0.52
2020-04-28,0.54
2020-04-29,0.555
2020-04-30,0.62
2020-05-04,0.635
2020-05-05,0.855
2020-05-06,0.77
2020-05-07,0.8
2020-05-08,0.84
2020-05-11,0.84
2020-05-12,0.84
2020-05-13,0.865
2020-05-14,0.92
2020-05-15,0.995
2020-05-18,0.965
2020-05-19,1.0
2020-05-20,0.965
2020-05-21,0.93
2020-05-22,0.895
2020-05-25,0.935
2020-05-26,1.07
2020-05-27,1.02
2020-05-28,0.925
2020-05-29,0.895
2020-06-02,0.815
2020-06-03,0.77
2020-06-04,0.82
2020-06-05,0.75
2020-06-08,0.79
2020-06-09,0.735
2020-06-10,0.74
2020-06-11,0.73
2020-06-12,0.675
2020-06-15,0.66
2020-06-16,0.65
2020-06-17,0.665
2020-06-18,0.64
2020-06-19,0.67
2020-06-22,0.67
2020-06-23,0.6
2020-06-24,0.655
2020-06-25,0.655
2020-06-26,0.65
2020-06-29,0.665
2020-06-30,0.73
2020-07-01,0.73
2020-07-02,0.62
2020-07-03,0.675
2020-07-06,0.575
2020-07-07,0.64
2020-07-08,0.64
2020-07-10,0.785
2020-07-13,0.735
2020-07-15,0.7
2020-07-16,0.735
2020-07-20,0.72
2020-07-21,0.68
2020-07-24,0.665
2020-07-27,0.68
2020-07-30,0.665
2020-08-03,0.665
2020-08-05,0.665
2020-08-07,0.675
2020-08-10,0.665
2020-08-12,0.69
