date,close
2018-01-02,1.8
2018-01-03,1.9
2018-01-04,1.985
2018-01-05,2.1
2018-01-08,2.08
2018-01-09,2.02
2018-01-10,2.05
2018-01-11,2.06
2018-01-12,2.07
2018-01-15,2.04
2018-01-16,2.07
2018-01-17,2.04
2018-01-18,2.01
2018-01-19,2.04
2018-01-22,2.07
2018-01-23,2.18
2018-01-24,2.16
2018-01-25,2.06
2018-01-26,2.06
2018-01-29,2.08
2018-01-30,2.05
2018-01-31,2.08
2018-02-01,2.08
2018-02-02,2.14
2018-02-05,2.08
2018-02-06,2.08
2018-02-07,2.06
2018-02-08,2.07
2018-02-09,2.04
2018-02-12,2.04
2018-02-13,2.02
2018-02-14,1.99
2018-02-15,2.01
2018-02-16,2.06
2018-02-19,2.14
2018-02-20,2.23
2018-02-21,2.08
2018-02-22,2.1
2018-02-23,2.09
2018-02-26,2.11
2018-02-27,2.05
2018-02-28,2.1
2018-03-01,2.06
2018-03-02,1.9
2018-03-05,1.97
2018-03-06,1.995
2018-03-07,1.98
2018-03-08,2.01
2018-03-09,2.01
2018-03-12,1.99
2018-03-13,1.985
2018-03-14,1.985
2018-03-15,1.99
2018-03-16,1.97
2018-03-19,1.995
2018-03-20,1.985
2018-03-21,1.935
2018-03-22,1.985
2018-03-23,1.94
2018-03-26,1.6
2018-03-27,1.725
2018-03-28,1.74
2018-03-29,1.72
2018-04-03,1.65
2018-04-04,1.63
2018-04-05,1.62
2018-04-06,1.635
2018-04-09,1.64
2018-04-10,1.635
2018-04-11,1.63
2018-04-12,1.69
2018-04-13,1.72
2018-04-16,1.7
2018-04-17,1.7
2018-04-18,1.755
2018-04-19,1.78
2018-04-20,1.75
2018-04-23,1.775
2018-04-24,1.795
2018-04-25,1.75
2018-04-26,1.76
2018-04-27,1.74
2018-04-30,1.745
2018-05-02,1.77
2018-05-03,1.755
2018-05-04,1.695
2018-05-07,1.69
2018-05-08,1.755
2018-05-09,1.75
2018-05-10,1.75
2018-05-11,1.675
2018-05-14,1.665
2018-05-15,1.71
2018-05-16,1.755
2018-05-17,1.75
2018-05-18,1.75
2018-05-22,1.75
2018-05-23,1.73
2018-05-24,1.74
2018-05-25,1.74
2018-05-28,1.74
2018-05-29,1.74
2018-05-30,1.72
2018-05-31,1.735
2018-06-01,1.68
2018-06-04,1.64
2018-06-05,1.63
2018-06-06,1.62
2018-06-07,1.635
2018-06-08,1.64
2018-06-11,1.64
2018-06-12,1.655
2018-06-13,1.64
2018-06-14,1.62
2018-06-15,1.625
2018-06-18,1.61
2018-06-19,1.6225
2018-06-20,1.71
2018-06-21,1.695
2018-06-22,1.665
2018-06-25,1.7075
2018-06-26,1.695
2018-06-27,1.67
2018-06-28,1.6725
2018-06-29,1.655
2018-07-02,1.65
2018-07-03,1.7
2018-07-04,1.69
2018-07-05,1.7125
2018-07-06,1.74
2018-07-09,1.745
2018-07-10,1.83
2018-07-11,1.8075
2018-07-12,1.79
2018-07-13,1.785
2018-07-16,1.815
2018-07-17,1.81
2018-07-18,1.83
2018-07-19,1.875
2018-07-20,1.87
2018-07-23,1.86
2018-07-24,1.8
2018-07-25,1.76
2018-07-26,1.76
2018-07-27,1.735
2018-07-30,1.755
2018-07-31,1.76
2018-08-01,1.75
2018-08-02,1.725
2018-08-03,1.685
2018-08-06,1.65
2018-08-07,1.64
2018-08-08,1.64
2018-08-09,1.645
2018-08-10,1.65
2018-08-13,1.655
2018-08-14,1.635
2018-08-15,1.62
2018-08-16,1.615
2018-08-17,1.6
2018-08-20,1.59
2018-08-21,1.45
2018-08-22,1.475
2018-08-23,1.53
2018-08-24,1.515
2018-08-27,1.565
2018-08-28,1.57
2018-08-29,1.575
2018-08-30,1.52
2018-08-31,1.475
2018-09-03,1.375
2018-09-04,1.485
2018-09-05,1.45
2018-09-06,1.445
2018-09-07,1.505
2018-09-10,1.49
2018-09-11,1.575
2018-09-12,1.715
2018-09-13,1.735
2018-09-14,1.89
2018-09-17,1.92
2018-09-18,1.88
2018-09-19,1.815
2018-09-20,1.77
2018-09-21,1.81
2018-09-24,1.81
2018-09-25,1.77
2018-09-26,1.73
2018-09-27,1.735
2018-09-28,1.69
2018-10-01,1.61
2018-10-02,1.545
2018-10-04,1.535
2018-10-05,1.535
2018-10-08,1.54
2018-10-09,1.545
2018-10-10,1.57
2018-10-11,1.545
2018-10-12,1.54
2018-10-15,1.54
2018-10-16,1.535
2018-10-17,1.53
2018-10-18,1.535
2018-10-19,1.56
2018-10-22,1.545
2018-10-23,1.505
2018-10-24,1.505
2018-10-25,1.46
2018-10-26,1.47
2018-10-29,1.47
2018-10-30,1.46
2018-10-31,1.485
2018-11-01,1.485
2018-11-02,1.545
2018-11-05,1.485
2018-11-06,1.485
2018-11-07,1.505
2018-11-08,1.475
2018-11-09,1.47
2018-11-12,1.435
2018-11-13,1.455
2018-11-14,1.5
2018-11-15,1.525
2018-11-16,1.52
2018-11-19,1.405
2018-11-20,1.3
2018-11-21,1.365
2018-11-22,1.37
2018-11-23,1.4
2018-11-26,1.505
2018-11-27,1.425
2018-11-28,1.435
2018-11-29,1.485
2018-11-30,1.51
2018-12-03,1.51
2018-12-04,1.605
2018-12-05,1.495
2018-12-06,1.445
2018-12-07,1.38
2018-12-10,1.4
2018-12-11,1.38
2018-12-12,1.405
2018-12-13,1.43
2018-12-14,1.425
2018-12-17,1.42
2018-12-18,1.4
2018-12-19,1.4
2018-12-20,1.35
2018-12-21,1.37
2018-12-27,1.355
2018-12-28,1.345
2019-01-02,1.425
2019-01-03,1.365
2019-01-04,1.355
2019-01-07,1.36
2019-01-08,1.35
2019-01-09,1.31
2019-01-10,1.32
2019-01-11,1.295
2019-01-14,1.42
2019-01-15,1.405
2019-01-16,1.35
2019-01-17,1.35
2019-01-18,1.345
2019-01-21,1.305
2019-01-22,1.27
2019-01-23,1.28
2019-01-24,1.3
2019-01-25,1.285
2019-01-28,1.325
2019-01-29,1.375
2019-01-30,1.385
2019-01-31,1.34
2019-02-01,1.375
2019-02-04,1.385
2019-02-05,1.385
2019-02-06,1.47
2019-02-07,1.52
2019-02-08,1.46
2019-02-11,1.42
2019-02-12,1.425
2019-02-13,1.455
2019-02-14,1.425
2019-02-15,1.42
2019-02-18,1.46
2019-02-19,1.445
2019-02-20,1.45
2019-02-21,1.46
2019-02-22,1.445
2019-02-25,1.43
2019-02-26,1.44
2019-02-27,1.415
2019-02-28,1.415
2019-03-01,1.415
2019-03-04,1.39
2019-03-05,1.39
2019-03-06,1.415
2019-03-07,1.415
2019-03-08,1.4
2019-03-11,1.405
2019-03-12,1.4
2019-03-13,1.4
2019-03-14,1.4
2019-03-15,1.405
2019-03-18,1.395
2019-03-19,1.395
2019-03-20,1.395
2019-03-21,1.395
2019-03-22,1.395
2019-03-25,1.395
2019-03-26,1.395
2019-03-27,1.395
2019-03-28,1.395
2019-03-29,1.405
2019-04-01,1.4
2019-04-02,1.405
2019-04-03,1.4
2019-04-04,1.395
2019-04-05,1.395
2019-04-08,1.395
2019-04-09,1.395
2019-04-10,1.395
2019-04-11,1.39
2019-04-12,1.4
2019-04-15,1.395
2019-04-16,1.4
2019-04-17,1.4
2019-04-18,1.405
2019-04-23,1.4
2019-04-24,1.405
2019-04-25,1.405
2019-04-26,1.4
2019-04-29,1.405
2019-04-30,1.375
2019-05-02,1.395
2019-05-03,1.395
2019-05-06,1.39
2019-05-07,1.365
2019-05-08,1.36
2019-05-09,1.405
2019-05-10,1.45
2019-05-13,1.365
2019-05-14,1.36
2019-05-15,1.35
2019-05-16,1.375
2019-05-17,1.345
2019-05-20,1.365
2019-05-21,1.37
2019-05-22,1.405
2019-05-23,1.405
2019-05-24,1.385
2019-05-27,1.38
2019-05-28,1.365
2019-05-29,1.295
2019-05-30,1.305
2019-05-31,1.27
2019-06-03,1.235
2019-06-04,1.2
2019-06-05,1.22
2019-06-06,1.225
2019-06-07,1.215
2019-06-11,1.2
2019-06-12,1.2
2019-06-13,1.2
2019-06-14,1.2
2019-06-17,1.195
2019-06-18,1.19
2019-06-19,1.2
2019-06-20,1.2
2019-06-21,1.2
2019-06-24,1.23
2019-06-25,1.24
2019-06-26,1.24
2019-06-27,1.22
2019-06-28,1.18
2019-07-01,1.18
2019-07-02,1.205
2019-07-03,1.23
2019-07-04,1.31
2019-07-05,1.315
2019-07-08,1.32
2019-07-09,1.32
2019-07-10,1.335
2019-07-11,1.32
2019-07-12,1.32
2019-07-15,1.34
2019-07-16,1.34
2019-07-17,1.34
2019-07-18,1.27
2019-07-19,1.33
2019-07-22,1.34
2019-07-23,1.265
2019-07-24,1.265
2019-07-25,1.315
2019-07-26,1.29
2019-07-29,1.285
2019-07-30,1.285
2019-07-31,1.295
2019-08-01,1.265
2019-08-02,1.27
2019-08-05,1.26
2019-08-06,1.255
2019-08-07,1.19
2019-08-08,1.205
2019-08-09,1.27
2019-08-12,1.21
2019-08-13,1.215
2019-08-14,1.21
2019-08-15,1.23
2019-08-16,1.2
2019-08-19,1.225
2019-08-20,1.22
2019-08-21,1.225
2019-08-22,1.225
2019-08-23,1.22
2019-08-26,1.225
2019-08-27,1.185
2019-08-28,1.185
2019-08-29,1.21
2019-08-30,1.245
2019-09-02,1.2
2019-09-03,1.185
2019-09-04,1.205
2019-09-05,1.185
2019-09-06,1.175
2019-09-09,1.15
2019-09-10,1.155
2019-09-11,1.155
2019-09-12,1.155
2019-09-13,1.165
2019-09-16,1.165
2019-09-17,1.21
2019-09-18,1.21
2019-09-19,1.225
2019-09-20,1.16
2019-09-23,1.165
2019-09-24,1.165
2019-09-25,1.17
2019-09-26,1.17
2019-09-27,1.165
2019-09-30,1.17
2019-10-01,1.18
2019-10-02,1.2
2019-10-04,1.15
2019-10-07,1.165
2019-10-08,1.135
2019-10-09,1.155
2019-10-10,1.17
2019-10-11,1.175
2019-10-14,1.16
2019-10-15,1.16
2019-10-16,0.98
2019-10-17,0.94
2019-10-18,0.964
2019-10-21,1.05
2019-10-22,1.01
2019-10-23,1.025
2019-10-24,0.996
2019-10-25,1.01
2019-10-28,0.832
2019-10-29,0.62
2019-10-30,0.744
2019-10-31,0.738
2019-11-01,0.758
2019-11-04,0.79
2019-11-05,0.83
2019-11-06,0.83
2019-11-07,0.816
2019-11-08,0.82
2019-11-11,0.82
2019-11-12,0.85
2019-11-13,0.856
2019-11-14,0.856
2019-11-15,0.85
2019-11-18,0.848
2019-11-19,0.848
2019-11-20,0.858
2019-11-21,0.852
2019-11-22,0.852
2019-11-25,0.852
2019-11-26,0.88
2019-11-27,0.894
2019-11-28,0.912
2019-11-29,1.035
2019-12-02,0.972
2019-12-03,0.996
2019-12-04,1.005
2019-12-05,0.976
2019-12-06,1.01
2019-12-09,1.0
2019-12-10,1.0
2019-12-11,1.0
2019-12-12,1.025
2019-12-13,1.045
2019-12-16,1.05
2019-12-17,1.05
2019-12-18,1.045
2019-12-19,1.05
2019-12-20,1.0
2019-12-23,1.015
2019-12-27,0.96
2019-12-30,1.0
2020-01-02,1.0
2020-01-03,1.01
2020-01-06,1.01
2020-01-07,1.01
2020-01-08,1.005
2020-01-09,0.986
2020-01-10,1.005
2020-01-13,0.992
2020-01-14,0.992
2020-01-15,1.0
2020-01-16,1.005
2020-01-17,0.998
2020-01-20,1.01
2020-01-21,1.015
2020-01-22,1.01
2020-01-23,0.996
2020-01-24,0.992
2020-01-27,1.0
2020-01-28,0.986
2020-01-29,0.984
2020-01-30,0.974
2020-01-31,0.982
2020-02-03,0.938
2020-02-04,0.9
2020-02-05,0.89
2020-02-06,0.87
2020-02-07,0.93
2020-02-10,0.916
2020-02-11,0.81
2020-02-12,0.776
