date,close
2018-01-02,4.824
2018-01-03,5.091
2018-01-04,4.847
2018-01-05,4.99
2018-01-08,4.985
2018-01-09,4.885
2018-01-10,4.925
2018-01-11,4.898
2018-01-12,4.931
2018-01-15,5.044
2018-01-16,4.961
2018-01-17,4.946
2018-01-18,4.968
2018-01-19,4.95
2018-01-22,4.909
2018-01-23,4.894
2018-01-24,4.887
2018-01-25,4.872
2018-01-26,4.898
2018-01-29,4.853
2018-01-30,4.882
2018-01-31,4.854
2018-02-01,4.917
2018-02-02,4.849
2018-02-05,4.894
2018-02-06,4.848
2018-02-07,4.908
2018-02-08,4.936
2018-02-09,4.915
2018-02-12,4.87
2018-02-13,4.816
2018-02-14,4.82
2018-02-15,4.765
2018-02-16,4.811
2018-02-19,4.78
2018-02-20,4.784
2018-02-21,4.757
2018-02-22,4.741
2018-02-23,4.771
2018-02-26,4.812
2018-02-27,4.774
2018-02-28,4.796
2018-03-01,4.667
2018-03-02,4.937
2018-03-05,4.686
2018-03-06,4.662
2018-03-07,4.726
2018-03-08,4.691
2018-03-09,4.724
2018-03-12,4.675
2018-03-13,4.657
2018-03-14,4.712
2018-03-15,4.726
2018-03-16,4.698
2018-03-19,4.759
2018-03-20,4.754
2018-03-21,4.687
2018-03-22,4.815
2018-03-23,4.813
2018-03-26,4.662
2018-03-27,4.719
2018-03-28,4.917
2018-03-29,4.665
2018-04-03,4.832
2018-04-04,4.819
2018-04-05,4.75
2018-04-06,4.753
2018-04-09,4.629
2018-04-10,4.662
2018-04-11,4.644
2018-04-12,4.682
2018-04-13,4.691
2018-04-16,4.72
2018-04-17,4.651
2018-04-18,4.727
2018-04-19,4.718
2018-04-20,4.651
2018-04-23,4.692
2018-04-24,4.719
2018-04-25,4.695
2018-04-26,4.703
2018-04-27,4.67
2018-04-30,4.8
2018-05-02,4.69
2018-05-03,4.702
2018-05-04,4.718
2018-05-07,4.949
2018-05-08,4.695
2018-05-09,4.677
2018-05-10,4.693
2018-05-11,4.701
2018-05-14,4.682
2018-05-15,4.646
2018-05-16,4.556
2018-05-17,4.629
2018-05-18,4.599
2018-05-22,4.694
2018-05-23,4.643
2018-05-24,4.687
2018-05-25,4.665
2018-05-28,4.719
2018-05-29,4.713
2018-05-30,4.674
2018-05-31,4.674
2018-06-01,4.712
2018-06-04,4.714
2018-06-05,4.645
2018-06-06,4.712
2018-06-07,4.689
2018-06-08,4.708
2018-06-11,4.666
2018-06-12,4.706
2018-06-13,5.057
2018-06-14,4.812
2018-06-15,4.809
2018-06-18,4.745
2018-06-19,4.828
2018-06-20,4.824
2018-06-21,4.826
2018-06-22,4.756
2018-06-25,4.75
2018-06-26,4.78
2018-06-27,4.775
2018-06-28,4.776
2018-06-29,4.776
2018-07-02,4.787
2018-07-03,5.021
2018-07-04,4.773
2018-07-05,4.805
2018-07-06,4.812
2018-07-09,4.767
2018-07-10,4.757
2018-07-11,4.803
2018-07-12,4.801
2018-07-13,4.783
2018-07-16,4.752
2018-07-17,4.826
2018-07-18,4.83
2018-07-19,4.754
2018-07-20,4.819
2018-07-23,4.804
2018-07-24,4.769
2018-07-25,4.762
2018-07-26,4.787
2018-07-27,4.822
2018-07-30,4.784
2018-07-31,4.771
2018-08-01,4.735
2018-08-02,4.756
2018-08-03,4.786
2018-08-06,4.759
2018-08-07,4.754
2018-08-08,4.748
2018-08-09,4.765
2018-08-10,4.767
2018-08-13,4.768
2018-08-14,4.802
2018-08-15,4.819
2018-08-16,4.747
2018-08-17,4.797
2018-08-20,4.757
2018-08-21,4.759
2018-08-22,4.795
2018-08-23,4.8
2018-08-24,4.831
2018-08-27,4.748
2018-08-28,4.787
2018-08-29,4.761
2018-08-30,5.173
2018-08-31,5.096
2018-09-03,4.926
2018-09-04,5.113
2018-09-05,5.12
2018-09-06,4.879
2018-09-07,4.894
2018-09-10,5.034
2018-09-11,4.923
2018-09-12,5.034
2018-09-13,5.031
2018-09-14,5.094
2018-09-17,5.095
2018-09-18,5.127
2018-09-19,5.098
2018-09-20,5.084
2018-09-21,5.159
2018-09-24,5.316
2018-09-25,5.284
2018-09-26,5.302
2018-09-27,5.156
2018-09-28,5.209
2018-10-01,5.168
2018-10-02,5.216
2018-10-04,5.146
2018-10-05,5.226
2018-10-08,5.196
2018-10-09,5.159
2018-10-10,5.188
2018-10-11,5.103
2018-10-12,5.079
2018-10-15,5.043
2018-10-16,5.448
2018-10-17,5.11
2018-10-18,5.071
2018-10-19,5.113
2018-10-22,5.037
2018-10-23,5.051
2018-10-24,4.882
2018-10-25,4.851
2018-10-26,5.096
2018-10-29,5.042
2018-10-30,5.192
2018-10-31,5.128
2018-11-01,5.092
2018-11-02,5.162
2018-11-05,5.151
2018-11-06,5.164
2018-11-07,5.094
2018-11-08,5.227
2018-11-09,5.222
2018-11-12,5.03
2018-11-13,4.958
2018-11-14,4.957
2018-11-15,5.135
2018-11-16,5.103
2018-11-19,5.113
2018-11-20,5.069
2018-11-21,4.981
2018-11-22,5.0
2018-11-23,5.12
2018-11-26,5.018
2018-11-27,5.067
2018-11-28,5.108
2018-11-29,5.087
2018-11-30,5.063
2018-12-03,4.909
2018-12-04,5.062
2018-12-05,4.783
2018-12-06,4.802
2018-12-07,4.784
2018-12-10,5.034
2018-12-11,4.927
2018-12-12,4.839
2018-12-13,4.933
2018-12-14,4.862
2018-12-17,4.896
2018-12-18,4.908
2018-12-19,4.883
2018-12-20,4.905
2018-12-21,4.701
2018-12-27,4.76
2018-12-28,4.844
2019-01-02,4.921
2019-01-03,4.913
2019-01-04,4.928
2019-01-07,5.02
2019-01-08,5.174
2019-01-09,5.101
2019-01-10,5.148
2019-01-11,5.118
2019-01-14,5.162
2019-01-15,5.174
2019-01-16,5.228
2019-01-17,5.161
2019-01-18,5.185
2019-01-21,5.146
2019-01-22,5.209
