date,close
2018-01-02,2.265
2018-01-03,2.245
2018-01-04,2.246
2018-01-05,2.199
2018-01-08,2.209
2018-01-09,2.16
2018-01-10,2.18
2018-01-11,2.245
2018-01-12,2.247
2018-01-15,2.216
2018-01-16,2.199
2018-01-17,2.182
2018-01-18,2.2
2018-01-19,2.291
2018-01-22,2.288
2018-01-23,2.281
2018-01-24,2.279
2018-01-25,2.294
2018-01-26,2.257
2018-01-29,2.237
2018-01-30,2.211
2018-01-31,2.239
2018-02-01,2.212
2018-02-02,2.198
2018-02-05,2.155
2018-02-06,2.096
2018-02-07,2.091
2018-02-08,2.079
2018-02-09,2.06
2018-02-12,2.075
2018-02-13,2.077
2018-02-14,2.026
2018-02-15,2.038
2018-02-16,2.102
2018-02-19,2.154
2018-02-20,2.059
2018-02-21,1.971
2018-02-22,1.974
2018-02-23,1.961
2018-02-26,1.967
2018-02-27,1.968
2018-02-28,1.997
2018-03-01,1.999
2018-03-02,1.908
2018-03-05,1.818
2018-03-06,1.782
2018-03-07,1.788
2018-03-08,1.799
2018-03-09,1.796
2018-03-12,1.783
2018-03-13,1.899
2018-03-14,1.817
2018-03-15,1.91
2018-03-16,1.817
2018-03-19,1.817
2018-03-20,1.856
2018-03-21,1.773
2018-03-22,1.776
2018-03-23,1.772
2018-03-26,1.817
2018-03-27,1.75
2018-03-28,1.735
2018-03-29,1.801
2018-04-03,1.766
2018-04-04,1.817
2018-04-05,1.775
2018-04-06,1.803
2018-04-09,1.809
2018-04-10,1.83
2018-04-11,1.814
2018-04-12,1.925
2018-04-13,1.951
2018-04-16,1.986
2018-04-17,1.999
2018-04-18,2.025
2018-04-19,1.779
2018-04-20,1.981
2018-04-23,2.006
2018-05-03,1.927
2018-05-04,2.003
2018-05-08,1.994
2018-05-18,2.005
2018-05-28,2.012
2018-05-30,2.003
2018-06-01,2.001
2018-06-04,1.896
2018-06-06,1.877
2018-06-08,1.891
2018-06-11,1.888
2018-06-14,1.837
2018-06-15,1.831
2018-06-21,1.437
2018-06-25,1.473
2018-06-28,1.492
2018-07-02,1.478
2018-07-05,1.485
2018-07-10,1.493
2018-07-11,1.501
2018-07-16,1.533
2018-07-17,1.531
2018-07-18,1.486
2018-07-25,1.499
2018-07-26,1.502
2018-08-01,1.495
2018-08-07,1.503
2018-08-13,1.497
2018-08-14,1.505
2018-08-15,1.507
2018-08-20,1.5
2018-08-27,1.492
2018-08-28,1.505
2018-08-29,1.494
2018-08-30,1.465
2018-09-04,1.475
2018-09-05,1.47
2018-09-06,1.475
2018-09-07,1.468
2018-09-10,1.469
2018-09-27,1.492
2018-10-01,1.51
2018-10-10,1.512
2018-10-12,1.505
2018-10-16,1.505
2018-10-17,1.498
2018-10-18,1.5
2018-10-29,1.504
2018-11-01,1.494
2018-11-02,1.491
2018-11-05,1.503
2018-11-07,1.493
2018-11-08,1.499
2018-11-09,1.5
2018-11-13,1.49
2018-11-21,1.5
2018-11-22,1.491
2018-11-26,1.511
2018-11-28,1.5
2018-11-30,1.506
2018-12-03,1.491
2018-12-12,1.503
2018-12-13,1.5
2018-12-14,1.489
2018-12-18,1.49
2018-12-19,1.496
2018-12-20,1.501
2018-12-27,1.49
2018-12-28,1.505
2019-01-02,1.49
2019-01-04,1.498
2019-01-11,1.579
2019-01-17,1.571
2019-01-21,1.566
2019-01-24,1.571
2019-01-25,1.563
2019-01-29,1.574
2019-01-30,1.557
2019-01-31,1.56
2019-02-04,1.563
2019-02-06,1.576
2019-02-08,1.562
2019-02-12,1.56
2019-02-14,1.566
2019-02-15,1.569
2019-02-20,1.574
2019-02-21,1.576
2019-02-25,1.578
2019-03-12,1.567
2019-03-13,1.564
2019-03-15,1.569
2019-03-18,1.586
2019-04-02,1.546
2019-04-08,1.545
2019-04-16,1.545
2019-05-08,1.549
2019-05-16,1.539
2019-05-21,1.544
2019-06-06,1.52
2019-06-20,1.533
2019-07-04,1.536
2019-07-18,1.55
2019-07-26,1.507
2019-08-01,1.477
2019-08-06,1.479
2019-08-07,1.466
2019-08-08,1.433
2019-09-19,1.424
2019-09-23,1.406
2019-09-30,1.393
2019-10-02,1.396
2019-10-08,1.409
2019-10-10,1.4
2019-10-11,1.405
2019-10-14,1.392
2019-10-15,1.393
2019-10-17,1.392
2019-10-18,1.399
2019-10-23,1.39
2019-10-24,1.398
2019-10-29,1.406
2019-10-30,1.403
2019-10-31,1.395
2019-11-01,1.403
2019-11-04,1.407
2019-11-05,1.394
2019-11-06,1.394
2019-11-07,1.389
2019-11-08,1.393
2019-11-11,1.404
2019-11-12,1.39
2019-11-13,1.392
2019-11-14,1.404
2019-11-15,1.368
2019-11-18,1.375
2019-11-19,1.366
2019-11-21,1.362
2019-11-25,1.374
2019-11-26,1.368
2019-12-11,1.37
2019-12-12,1.37
2019-12-13,1.365
2019-12-16,1.37
2019-12-17,1.358
2019-12-18,1.372
2019-12-19,1.378
2019-12-23,1.366
2019-12-27,1.367
2019-12-30,1.377
2020-01-02,1.379
2020-01-03,1.37
2020-01-06,1.371
2020-01-08,1.37
2020-01-15,1.362
2020-01-22,1.372
2020-01-28,1.369
2020-01-30,1.367
2020-02-05,1.377
2020-02-06,1.368
2020-02-07,1.362
2020-02-11,1.376
2020-02-14,1.372
2020-02-17,1.368
2020-02-18,1.366
2020-02-19,1.376
2020-02-20,1.37
2020-02-21,1.362
2020-02-24,1.357
2020-02-25,1.362
2020-02-26,1.364
2020-02-27,1.367
2020-02-28,1.355
2020-03-03,1.353
2020-03-05,1.359
2020-03-06,1.358
2020-03-09,1.35
2020-03-10,1.354
2020-03-11,1.352
2020-03-17,1.353
2020-03-23,1.357
2020-03-25,1.371
2020-03-26,1.353
2020-03-27,1.359
2020-03-30,1.334
2020-03-31,1.336
2020-04-06,1.33
2020-04-07,1.332
2020-04-09,1.325
2020-04-14,1.334
2020-04-15,1.319
2020-04-16,1.307
2020-04-17,1.303
2020-04-20,1.305
2020-04-21,1.301
2020-04-23,1.297
2020-04-27,1.305
2020-04-28,1.297
2020-04-30,1.295
2020-05-04,1.29
2020-05-06,1.305
2020-05-07,1.265
2020-05-11,1.273
2020-05-12,1.27
2020-05-13,1.273
2020-05-14,1.271
2020-05-15,1.244
2020-05-18,1.232
2020-05-19,1.231
2020-05-20,1.238
2020-05-26,1.238
2020-05-27,1.236
2020-05-29,1.193
2020-06-02,1.194
2020-06-04,1.191
2020-06-05,1.187
2020-06-08,1.142
2020-06-09,1.134
2020-06-10,1.135
2020-06-11,1.147
2020-06-12,1.15
2020-06-15,1.14
2020-06-16,1.138
2020-06-17,1.14
2020-06-18,1.137
2020-06-19,1.138
2020-06-23,1.142
2020-06-24,1.138
2020-06-26,1.13
2020-06-30,1.139
2020-07-06,1.138
2020-07-07,1.135
2020-07-09,1.146
2020-07-10,1.13
2020-07-13,1.137
2020-07-14,1.141
2020-07-15,1.135
2020-07-16,1.131
2020-07-17,1.14
2020-07-20,1.138
2020-07-23,1.136
2020-07-24,1.145
2020-07-30,1.131
2020-08-03,1.134
2020-08-04,1.137
2020-08-05,1.119
2020-08-06,1.12
2020-08-07,1.163
2020-08-10,1.199
2020-08-11,1.211
2020-08-12,1.223
2020-08-13,1.245
2020-08-17,1.239
2020-08-19,1.273
2020-08-20,1.298
2020-08-21,1.298
2020-08-28,1.347
2020-09-07,1.341
2020-09-08,1.35
2020-09-09,1.344
2020-09-10,1.355
2020-09-11,1.349
2020-09-14,1.348
2020-09-15,1.351
2020-09-16,1.346
2020-09-17,1.341
2020-09-18,1.339
2020-09-21,1.345
2020-09-22,1.345
2020-09-23,1.361
2020-09-24,1.348
2020-09-25,1.347
2020-09-28,1.358
2020-09-29,1.347
2020-09-30,1.338
2020-10-01,1.346
2020-10-02,1.347
2020-10-05,1.35
2020-10-06,1.347
2020-10-07,1.348
2020-10-08,1.352
2020-10-09,1.355
2020-10-19,1.347
2020-10-20,1.348
2020-10-21,1.344
2020-10-22,1.344
2020-10-23,1.358
2020-10-26,1.345
2020-10-27,1.353
2020-10-28,1.344
2020-10-29,1.348
2020-11-02,1.343
2020-11-03,1.343
2020-11-04,1.357
2020-11-10,1.36
2020-11-11,1.353
2020-11-16,1.35
2020-11-17,1.354
2020-11-18,1.347
2020-11-19,1.35
2020-11-20,1.344
2020-11-23,1.353
2020-11-24,1.356
2020-11-25,1.351
2020-11-26,1.345
2020-11-27,1.35
2020-11-30,1.344
2020-12-01,1.349
2020-12-02,1.352
2020-12-03,1.347
2020-12-04,1.35
2020-12-07,1.356
2020-12-14,1.356
2020-12-15,1.353
2020-12-16,1.339
2020-12-17,1.354
2020-12-18,1.347
2020-12-21,1.34
2020-12-22,1.339
2020-12-23,1.35
2020-12-28,1.343
2020-12-29,1.34
2020-12-30,1.354
2021-01-04,1.348
2021-01-05,1.347
2021-01-06,1.347
2021-01-07,1.355
2021-01-08,1.357
2021-01-11,1.338
2021-01-12,1.343
2021-01-13,1.35
2021-01-14,1.355
2021-01-15,1.351
2021-01-18,1.345
2021-01-19,1.351
2021-01-20,1.343
2021-01-21,1.352
2021-01-22,1.349
2021-01-25,1.349
2021-01-26,1.35
2021-01-27,1.343
2021-01-28,1.347
2021-01-29,1.351
2021-02-01,1.356
2021-02-02,1.35
2021-02-03,1.353
2021-02-05,1.352
2021-02-08,1.349
2021-02-09,1.353
2021-02-10,1.351
2021-02-11,1.348
2021-02-12,1.345
2021-02-15,1.353
2021-02-16,1.349
2021-02-17,1.348
2021-02-18,1.348
2021-02-19,1.348
2021-02-25,1.341
2021-02-26,1.353
2021-03-01,1.363
2021-03-02,1.352
2021-03-04,1.366
2021-03-09,1.356
2021-03-10,1.358
2021-03-11,1.354
2021-03-15,1.367
2021-03-16,1.362
2021-03-17,1.367
2021-03-19,1.364
2021-03-22,1.356
