date,close
2018-01-02,3.0
2018-01-03,3.14
2018-01-04,3.05
2018-01-05,3.03
2018-01-08,3.12
2018-01-09,2.99
2018-01-10,3.02
2018-01-11,2.98
2018-01-12,2.96
2018-01-15,2.93
2018-01-16,2.94
2018-01-17,2.95
2018-01-18,2.92
2018-01-19,2.9
2018-01-22,2.92
2018-01-23,2.98
2018-01-24,3.01
2018-01-25,2.94
2018-01-26,2.95
2018-01-29,2.94
2018-01-30,2.88
2018-01-31,2.87
2018-02-01,2.86
2018-02-02,2.83
2018-02-05,2.83
2018-02-06,2.73
2018-02-07,2.78
2018-02-08,2.7
2018-02-09,2.57
2018-02-12,2.6
2018-02-13,2.68
2018-02-14,2.65
2018-02-15,2.63
2018-02-16,2.68
2018-02-19,2.7
2018-02-20,2.7
2018-02-21,2.76
2018-02-22,2.7
2018-02-23,2.74
2018-02-26,2.71
2018-02-27,2.74
2018-02-28,2.68
2018-03-01,2.74
2018-03-02,2.62
2018-03-05,2.75
2018-03-06,2.72
2018-03-07,2.68
2018-03-08,2.7
2018-03-09,2.67
2018-03-12,2.7
2018-03-13,2.66
2018-03-14,2.69
2018-03-15,2.7
2018-03-16,2.68
2018-03-19,2.65
2018-03-20,2.7
2018-03-21,2.7
2018-03-22,2.67
2018-03-23,2.6
2018-03-26,2.67
2018-03-27,2.61
2018-03-28,2.52
2018-03-29,2.61
2018-04-03,2.52
2018-04-04,2.51
2018-04-05,2.58
2018-04-06,2.54
2018-04-09,2.53
2018-04-10,2.36
2018-04-11,2.34
2018-04-12,2.35
2018-04-13,2.35
2018-04-16,2.45
2018-04-17,2.45
2018-04-18,2.61
2018-04-19,2.58
2018-04-20,2.55
2018-04-23,2.62
2018-04-24,2.55
2018-04-25,2.65
2018-04-26,2.71
2018-04-27,2.82
2018-04-30,2.94
2018-05-02,2.9
2018-05-03,2.98
2018-05-04,2.96
2018-05-07,2.95
2018-05-08,3.01
2018-05-09,3.0
2018-05-10,2.98
2018-05-11,3.02
2018-05-14,3.02
2018-05-15,3.01
2018-05-16,3.0
2018-05-17,3.01
2018-05-18,3.01
2018-05-22,2.99
2018-05-23,3.02
2018-05-24,3.11
2018-05-25,3.18
2018-05-28,3.15
2018-05-29,3.2
2018-05-30,3.27
2018-05-31,3.2
2018-06-01,3.28
2018-06-04,3.35
2018-06-05,3.39
2018-06-06,3.4
2018-06-07,3.42
2018-06-08,3.5
2018-06-11,3.53
2018-06-12,3.6
2018-06-13,3.53
2018-06-14,3.46
2018-06-15,3.45
2018-06-18,3.475
2018-06-19,3.49
2018-06-20,3.49
2018-06-21,3.47
2018-06-22,3.53
2018-06-25,3.47
2018-06-26,3.49
2018-06-27,3.515
2018-06-28,3.48
2018-06-29,3.565
2018-07-02,3.5
2018-07-03,3.49
2018-07-04,3.52
2018-07-05,3.53
2018-07-06,3.58
2018-07-09,3.53
2018-07-10,3.6
2018-07-11,3.595
2018-07-12,3.625
2018-07-13,3.735
2018-07-16,3.71
2018-07-17,3.66
2018-07-18,3.8
2018-07-19,3.75
2018-07-20,3.78
2018-07-23,3.53
2018-07-24,3.67
2018-07-25,3.77
2018-07-26,3.77
2018-07-27,3.79
2018-07-30,3.83
2018-07-31,3.84
2018-08-01,3.8
2018-08-02,3.84
2018-08-03,3.84
2018-08-06,3.7
2018-08-07,3.91
2018-08-08,3.75
2018-08-09,3.82
2018-08-10,3.77
2018-08-13,3.76
2018-08-14,3.6
2018-08-15,3.45
2018-08-16,3.53
2018-08-17,3.45
2018-08-20,3.51
2018-08-21,3.54
2018-08-22,3.5
2018-08-23,3.63
2018-08-24,3.63
2018-08-27,3.65
2018-08-28,3.64
2018-08-29,3.7
2018-08-30,3.57
2018-08-31,3.59
2018-09-03,3.48
2018-09-04,3.62
2018-09-05,3.51
2018-09-06,3.53
2018-09-07,3.46
2018-09-10,3.42
2018-09-11,3.41
2018-09-12,3.36
2018-09-13,3.43
2018-09-14,3.59
2018-09-17,3.55
2018-09-18,3.63
