date,close
2022-07-18,80.87
2022-07-19,81.66
2022-07-20,82.74
2022-07-21,83.78
2022-07-22,83.15
2022-07-25,82.29
2022-07-26,84.23
2022-07-27,86.05
2022-07-28,86.35
2022-07-29,86.39
2022-08-01,90.75
2022-08-02,88.58
2022-08-03,90.62
2022-08-04,90.62
2022-08-05,88.55
2022-08-08,90.23
2022-08-09,88.08
2022-08-10,88.19
2022-08-11,90.0
2022-08-12,91.27
2022-08-15,92.75
2022-08-16,86.82
2022-08-17,86.82
2022-08-18,86.82
2022-08-19,91.31
2022-08-22,92.9
2022-08-23,92.91
2022-08-24,90.96
2022-08-25,91.62
2022-08-26,87.69
2022-08-29,85.81
2022-08-30,84.88
2022-08-31,83.57
2022-09-01,81.19
2022-09-02,80.92
2022-09-05,80.92
2022-09-06,79.65
2022-09-07,79.32
2022-09-08,80.67
2022-09-09,81.57
2022-09-12,81.02
2022-09-13,80.19
2022-09-14,79.48
2022-09-15,77.12
2022-09-16,74.96
2022-09-19,73.91
2022-09-20,73.52
2022-09-21,74.88
2022-09-22,72.77
2022-09-23,71.53
2022-09-26,71.67
2022-09-27,72.92
2022-09-28,72.69
2022-09-29,72.0
2022-09-30,72.0
2022-10-03,72.0
2022-10-04,73.15
2022-10-05,74.76
2022-10-06,75.23
2022-10-07,74.06
2022-10-10,74.44
2022-10-11,73.53
2022-10-12,71.72
2022-10-13,71.11
2022-10-14,71.11
2022-10-17,70.9
2022-10-18,71.72
2022-10-19,71.91
2022-10-20,73.32
2022-10-21,73.09
2022-10-24,72.78
2022-10-25,74.95
2022-10-26,73.69
2022-10-27,73.96
2022-10-28,75.06
2022-10-31,75.35
2022-11-01,75.71
2022-11-02,75.64
2022-11-03,74.62
2022-11-04,71.96
2022-11-07,71.07
2022-11-08,64.98
2022-11-09,57.16
2022-11-10,54.75
2022-11-11,54.49
2022-11-14,55.63
2022-11-15,55.68
2022-11-16,53.33
2022-11-17,53.61
2022-11-18,54.24
2022-11-21,53.99
2022-11-22,53.46
2022-11-23,53.31
2022-11-24,53.57
2022-11-25,54.08
2022-11-28,52.91
2022-11-29,51.79
2022-11-30,51.13
2022-12-01,52.02
2022-12-02,51.43
2022-12-05,52.3
2022-12-06,52.3
2022-12-07,49.995
2022-12-08,52.75
2022-12-09,51.92
2022-12-12,51.03
2022-12-13,52.27
2022-12-14,51.95
2022-12-15,51.95
2022-12-16,49.025
2022-12-19,48.075
2022-12-20,48.24
2022-12-21,47.945
2022-12-22,46.235
2022-12-23,47.38
2022-12-27,47.13
2022-12-28,47.045
2022-12-29,47.855
2022-12-30,47.66
2023-01-02,48.915
2023-01-03,50.02
2023-01-04,50.45
2023-01-05,50.44
2023-01-06,51.25
2023-01-09,52.97
2023-01-10,52.64
2023-01-11,52.49
2023-01-12,52.57
2023-01-13,52.46
2023-01-16,53.24
2023-01-17,53.62
2023-01-18,53.98
2023-01-19,53.63
