date,close
2018-01-02,1.452
2018-01-03,1.6
2018-01-04,1.59
2018-01-05,1.54
2018-01-08,1.486
2018-01-09,1.514
2018-01-10,1.52
2018-01-11,1.46
2018-01-12,1.55
2018-01-15,1.61
2018-01-16,1.746
2018-01-17,1.778
2018-01-18,1.792
2018-01-19,1.846
2018-01-22,1.826
2018-01-23,1.72
2018-01-24,1.74
2018-01-25,1.684
2018-01-26,1.702
2018-01-29,1.752
2018-01-30,1.56
2018-01-31,1.62
2018-02-01,1.61
2018-02-02,1.55
2018-02-05,1.5
2018-02-06,1.486
2018-02-07,1.468
2018-02-08,1.42
2018-02-09,1.44
2018-02-12,1.438
2018-02-13,1.48
2018-02-14,1.456
2018-02-15,1.474
2018-02-16,1.448
2018-02-19,1.46
2018-02-20,1.486
2018-02-21,1.476
2018-02-22,1.464
2018-02-23,1.426
2018-02-26,1.502
2018-02-27,1.502
2018-02-28,1.458
2018-03-01,1.416
2018-03-02,1.306
2018-03-05,1.35
2018-03-06,1.36
2018-03-07,1.35
2018-03-08,1.44
2018-03-09,1.442
2018-03-12,1.432
2018-03-13,1.4
2018-03-14,1.392
2018-03-15,1.45
2018-03-16,1.434
2018-03-19,1.48
2018-03-20,1.458
2018-03-21,1.488
2018-03-22,1.08
2018-03-23,1.08
2018-03-26,1.1
2018-03-27,1.05
2018-03-28,0.958
2018-03-29,0.962
2018-04-03,0.922
2018-04-04,0.858
2018-04-05,0.957
2018-04-06,0.955
2018-04-09,0.92
2018-04-10,1.03
2018-04-11,0.96
2018-04-12,1.006
2018-04-13,1.036
2018-04-16,1.006
2018-04-17,1.074
2018-04-18,1.116
2018-04-19,1.082
2018-04-20,1.078
2018-04-23,1.076
2018-04-24,1.076
2018-04-25,1.0
2018-04-26,1.034
2018-04-27,1.04
2018-04-30,1.046
2018-05-02,1.04
2018-05-03,1.04
2018-05-04,1.05
2018-05-07,1.054
2018-05-08,1.056
2018-05-09,0.979
2018-05-10,1.0
2018-05-11,0.993
2018-05-14,0.986
2018-05-15,0.996
2018-05-16,1.004
2018-05-17,1.03
2018-05-18,1.036
2018-05-22,1.04
2018-05-23,1.024
2018-05-24,1.03
2018-05-25,1.032
2018-05-28,0.98
2018-05-29,0.98
2018-05-30,1.194
2018-05-31,1.04
2018-06-01,1.08
2018-06-04,1.05
2018-06-05,1.02
2018-06-06,1.066
2018-06-07,1.056
2018-06-08,1.05
2018-06-11,0.973
2018-06-12,0.954
2018-06-13,0.899
2018-06-14,0.85
2018-06-15,0.875
2018-06-18,0.8605
2018-06-19,0.828
2018-06-20,0.819
2018-06-21,0.7645
2018-06-22,0.768
2018-06-25,0.7025
2018-06-26,0.755
2018-06-27,0.7755
2018-06-28,0.7755
2018-06-29,0.765
2018-07-02,0.7855
2018-07-03,0.813
2018-07-04,0.831
2018-07-05,0.81
2018-07-06,0.815
2018-07-09,0.815
2018-07-10,0.83
2018-07-11,0.815
2018-07-12,0.783
2018-07-13,0.765
2018-07-16,0.759
2018-07-17,0.76
2018-07-18,0.765
2018-07-19,0.647
2018-07-20,0.64
2018-07-23,0.585
2018-07-24,0.585
2018-07-25,0.585
2018-07-26,0.6
2018-07-27,0.601
2018-07-30,0.605
2018-07-31,0.603
2018-08-01,0.612
2018-08-02,0.579
2018-08-03,0.566
2018-08-06,0.617
2018-08-07,0.606
2018-08-08,0.614
2018-08-09,0.611
2018-08-10,0.605
2018-08-13,0.598
2018-08-14,0.599
2018-08-15,0.55
2018-08-16,0.495
2018-08-17,0.517
2018-08-20,0.527
2018-08-21,0.542
2018-08-22,0.574
2018-08-23,0.618
2018-08-24,0.576
2018-08-27,0.585
2018-08-28,0.58
2018-08-29,0.573
2018-08-30,0.566
2018-08-31,0.544
2018-09-03,0.541
2018-09-04,0.553
2018-09-05,0.538
2018-09-06,0.53
2018-09-07,0.53
2018-09-10,0.558
2018-09-11,0.53
2018-09-12,0.516
2018-09-13,0.54
2018-09-14,0.546
2018-09-17,0.536
2018-09-18,0.541
2018-09-19,0.565
2018-09-20,0.541
2018-09-21,0.628
