date,close
2018-01-02,6.42
2018-01-03,6.67
2018-01-04,6.72
2018-01-05,6.48
2018-01-08,6.65
2018-01-09,6.84
2018-01-10,6.58
2018-01-11,6.62
2018-01-12,6.6
2018-01-15,6.67
2018-01-16,6.58
2018-01-17,6.57
2018-01-18,6.55
2018-01-19,6.92
2018-01-22,6.9
2018-01-23,6.97
2018-01-24,6.68
2018-01-25,6.79
2018-01-26,6.65
2018-01-29,6.64
2018-01-30,6.6
2018-01-31,6.66
2018-02-01,6.53
2018-02-02,6.2
2018-02-05,5.81
2018-02-06,5.57
2018-02-07,5.83
2018-02-08,5.51
2018-02-09,5.41
2018-02-12,7.03
2018-02-13,6.99
2018-02-14,7.07
2018-02-15,7.57
2018-02-16,7.71
2018-02-19,7.5
2018-02-20,7.48
2018-02-21,7.27
2018-02-22,7.0
2018-02-23,7.15
2018-02-26,7.43
2018-02-27,7.18
2018-02-28,7.03
2018-03-01,6.67
2018-03-02,6.73
2018-03-05,6.75
2018-03-06,6.56
2018-03-07,6.49
2018-03-08,6.35
2018-03-09,6.35
2018-03-12,6.46
2018-03-13,6.41
2018-03-14,6.37
2018-03-15,6.31
2018-03-16,6.37
2018-03-19,6.3
2018-03-20,6.3
2018-03-21,6.29
2018-03-22,6.0
2018-03-23,5.93
2018-03-26,5.92
2018-03-27,5.76
2018-03-28,5.72
2018-03-29,5.83
2018-04-03,5.71
2018-04-04,5.56
2018-04-05,5.87
2018-04-06,5.51
2018-04-09,5.62
2018-04-10,5.46
2018-04-11,5.64
2018-04-12,5.48
2018-04-13,5.47
2018-04-16,5.43
2018-04-17,5.47
2018-04-18,5.48
2018-04-19,5.38
2018-04-20,5.33
2018-04-23,5.37
2018-04-24,5.37
2018-04-25,5.25
2018-04-26,5.3
2018-04-27,5.32
2018-04-30,5.18
2018-05-02,5.22
2018-05-03,5.53
2018-05-04,5.46
2018-05-07,6.04
2018-05-08,6.0
2018-05-09,5.97
2018-05-10,5.87
2018-05-11,5.83
2018-05-14,5.8
