date,close
2018-01-02,2.255
2018-01-03,2.595
2018-01-04,2.43
2018-01-05,2.44
2018-01-08,2.45
2018-01-09,2.49
2018-01-10,2.52
2018-01-11,2.505
2018-01-12,2.555
2018-01-15,2.52
2018-01-16,2.485
2018-01-17,2.45
2018-01-18,2.305
2018-01-19,2.265
2018-01-22,2.275
2018-01-23,2.35
2018-01-24,2.35
2018-01-25,2.38
2018-01-26,2.365
2018-01-29,2.49
2018-01-30,2.495
2018-01-31,2.42
2018-02-01,2.46
2018-02-02,2.44
2018-02-05,2.31
2018-02-06,2.235
2018-02-07,2.385
2018-02-08,2.25
2018-02-09,2.19
2018-02-12,2.105
2018-02-13,2.11
2018-02-14,2.365
2018-02-15,2.33
2018-02-16,2.295
2018-02-19,2.29
2018-02-20,2.24
2018-02-21,2.22
2018-02-22,2.25
2018-02-23,2.21
2018-02-26,2.285
2018-02-27,2.265
2018-02-28,2.21
2018-03-01,2.2
2018-03-02,2.14
2018-03-05,2.15
2018-03-06,2.155
2018-03-07,2.185
2018-03-08,2.16
2018-03-09,2.135
2018-03-12,2.16
2018-03-13,2.155
2018-03-14,2.1
2018-03-15,2.115
2018-03-16,2.135
2018-03-19,2.11
2018-03-20,2.115
2018-03-21,2.105
2018-03-22,2.025
2018-03-23,1.928
2018-03-26,1.89
2018-03-27,1.822
2018-03-28,1.84
2018-03-29,1.76
2018-04-03,1.662
2018-04-04,1.502
2018-04-05,1.6
2018-04-06,1.768
2018-04-09,1.7
2018-04-10,1.694
2018-04-11,1.634
2018-04-12,1.562
2018-04-13,1.596
2018-04-16,1.61
2018-04-17,1.696
2018-04-18,1.65
2018-04-19,1.644
2018-04-20,1.644
2018-04-23,1.582
2018-04-24,1.552
2018-04-25,1.544
2018-04-26,1.45
2018-04-27,0.9
2018-04-30,0.91
2018-05-02,1.03
2018-05-03,0.934
2018-05-04,1.0
2018-05-07,1.004
2018-05-08,0.987
2018-05-09,0.964
2018-05-10,0.944
2018-05-11,0.958
2018-05-14,0.979
2018-05-15,0.961
2018-05-16,0.959
2018-05-17,0.947
