date,close
2018-01-02,2.061
2018-01-03,1.975
2018-01-04,2.053
2018-01-05,2.044
2018-01-08,2.048
2018-01-09,2.039
2018-01-10,2.141
2018-01-11,2.147
2018-01-12,1.996
2018-01-15,2.376
2018-01-16,2.378
2018-01-17,2.571
2018-01-18,2.378
2018-01-19,2.08
2018-01-22,1.858
2018-01-23,1.866
2018-01-24,1.859
2018-01-25,1.668
2018-01-26,1.69
2018-01-29,1.788
2018-01-30,1.62
2018-01-31,1.489
2018-02-01,1.778
2018-02-02,1.602
2018-02-05,1.452
2018-02-06,1.408
2018-02-07,1.446
2018-02-08,1.641
2018-02-09,1.428
2018-02-12,1.485
2018-02-13,1.466
2018-02-14,1.453
2018-02-15,1.61
2018-02-16,1.496
2018-02-19,1.436
2018-02-20,1.397
2018-02-21,1.597
2018-02-22,1.365
2018-02-23,1.402
2018-02-26,1.387
2018-02-27,1.489
2018-02-28,1.384
2018-03-01,1.47
2018-03-02,1.596
2018-03-05,1.48
2018-03-06,1.398
2018-03-07,1.357
2018-03-08,1.306
2018-03-09,1.35
2018-03-12,1.159
2018-03-13,1.327
2018-03-14,1.196
2018-03-15,1.19
2018-03-16,1.177
2018-03-19,1.161
2018-03-20,1.009
2018-03-21,0.891
2018-03-22,1.0
2018-03-23,1.097
2018-03-26,1.203
2018-03-27,1.03
2018-04-05,1.22
2018-04-06,1.195
2018-04-09,1.002
2018-04-11,1.064
2018-04-12,1.091
2018-04-13,1.081
2018-04-16,1.079
2018-04-19,0.997
2018-04-20,1.103
2018-04-23,0.916
2018-04-24,0.993
2018-04-25,0.949
2018-04-26,0.952
2018-04-27,0.945
2018-04-30,1.125
2018-05-08,1.14
2018-05-09,0.994
2018-05-10,0.993
2018-05-11,0.9
2018-05-14,0.892
2018-05-15,0.914
2018-05-16,0.9
2018-05-17,0.895
2018-05-18,0.901
2018-05-22,1.096
2018-05-23,1.034
2018-05-24,1.007
2018-05-28,0.857
2018-05-29,1.064
2018-05-30,0.938
2018-05-31,0.9
2018-06-01,0.762
2018-06-04,0.947
2018-06-05,0.878
2018-06-06,0.982
2018-06-07,0.816
2018-06-08,0.84
2018-06-11,0.837
2018-06-12,0.841
2018-06-13,0.858
2018-06-14,0.846
2018-06-15,0.842
2018-06-18,0.674
2018-06-19,0.746
2018-06-20,0.826
2018-06-22,0.687
2018-06-27,0.703
2018-06-28,0.732
2018-07-05,0.742
2018-07-09,0.673
2018-07-11,0.66
2018-07-12,0.688
2018-07-13,0.894
2018-07-16,0.776
2018-07-18,0.654
2018-07-23,0.618
2018-07-26,0.555
2018-07-27,0.536
2018-07-30,0.595
2018-07-31,0.534
2018-08-01,0.514
2018-08-02,0.522
2018-08-03,0.56
2018-08-06,0.569
2018-08-07,0.73
2018-08-09,0.586
2018-08-10,0.589
2018-08-13,0.567
2018-08-14,0.503
2018-08-15,0.448
2018-08-16,0.482
2018-08-17,0.482
2018-08-20,0.48
2018-08-21,0.48
2018-08-22,0.479
2018-08-23,0.481
2018-08-24,0.477
2018-08-27,0.45
2018-08-28,0.453
2018-08-29,0.456
2018-08-30,0.454
2018-08-31,0.453
2018-09-03,0.482
2018-09-04,0.459
2018-09-05,0.468
2018-09-06,0.467
2018-09-07,0.446
2018-09-10,0.447
2018-09-11,0.475
2018-09-12,0.468
2018-09-13,0.411
2018-09-14,0.409
2018-09-24,0.371
2018-09-25,0.37
2018-09-26,0.371
2018-09-27,0.39
2018-09-28,0.385
2018-10-02,0.406
2018-10-04,0.35
2018-10-05,0.348
2018-10-08,0.35
2018-10-09,0.348
2018-10-10,0.352
2018-10-11,0.351
2018-10-12,0.349
2018-10-15,0.349
2018-10-16,0.369
2018-10-17,0.372
2018-10-18,0.371
2018-10-19,0.45
2018-10-22,0.451
2018-10-23,0.369
2018-10-24,0.369
2018-10-25,0.436
2018-10-26,0.371
2018-11-07,0.309
2018-11-08,0.308
2018-11-09,0.309
2018-11-12,0.31
2018-11-13,0.324
2018-11-14,0.339
2018-11-15,0.309
2018-11-16,0.31
2018-11-19,0.31
2018-11-20,0.307
2018-11-23,0.306
2018-11-26,0.25
2018-11-28,0.397
2018-11-29,0.288
2018-12-03,0.288
2018-12-07,0.273
2018-12-12,0.26
2018-12-21,0.248
2019-01-02,0.234
2019-01-04,0.248
2019-01-11,0.208
2019-01-14,0.199
2019-01-15,0.3
2019-01-21,0.228
2019-01-22,0.377
2019-01-24,0.28
2019-01-28,0.21
2019-01-29,0.209
2019-01-30,0.297
2019-02-08,0.336
2019-02-11,0.332
2019-02-14,0.233
2019-02-15,0.223
2019-02-18,0.219
2019-02-19,0.24
2019-02-20,0.25
2019-02-21,0.319
2019-02-25,0.243
2019-02-26,0.252
2019-02-27,0.25
2019-02-28,0.251
2019-03-01,0.24
2019-03-04,0.259
2019-03-05,0.259
2019-03-06,0.263
2019-03-07,0.262
2019-03-08,0.26
2019-03-11,0.345
2019-03-12,0.264
2019-03-13,0.279
2019-03-14,0.281
2019-03-15,0.279
2019-03-18,0.281
2019-03-19,0.353
2019-03-20,0.333
2019-03-21,0.357
2019-03-25,0.356
2019-03-27,0.409
2019-04-08,0.283
2019-04-09,0.261
2019-04-10,0.261
2019-04-11,0.413
2019-04-16,0.726
2019-04-17,0.422
2019-04-18,0.58
2019-04-23,0.613
2019-04-24,0.684
2019-04-25,0.706
2019-04-26,0.664
2019-04-29,0.664
2019-05-08,0.487
2019-05-09,0.61
2019-05-14,0.44
2019-05-16,0.343
2019-05-17,0.362
2019-05-20,0.361
2019-05-21,0.36
2019-05-22,0.347
2019-05-23,0.344
2019-05-24,0.34
2019-05-27,0.351
2019-05-28,0.348
2019-05-29,0.32
2019-05-30,0.318
2019-05-31,0.32
2019-06-03,0.479
2019-06-04,0.361
2019-06-05,0.537
2019-06-12,0.444
2019-06-13,0.479
2019-06-18,0.508
2019-06-20,0.399
2019-06-21,0.398
2019-06-24,0.42
2019-06-25,0.42
2019-06-26,0.393
2019-06-27,0.394
2019-06-28,0.359
2019-07-01,0.474
2019-07-02,0.401
2019-07-03,0.402
2019-07-04,0.398
2019-07-05,0.4
2019-07-08,0.462
2019-07-09,0.398
2019-07-10,0.401
2019-07-11,0.401
2019-07-12,0.398
2019-07-15,0.397
2019-07-16,0.402
2019-07-17,0.4
2019-07-18,0.398
2019-07-19,0.468
2019-07-22,0.457
2019-07-23,0.457
2019-07-25,0.419
2019-07-26,0.422
2019-07-29,0.393
2019-07-30,0.39
2019-07-31,0.392
2019-08-01,0.318
2019-08-02,0.359
2019-08-05,0.36
2019-08-06,0.362
2019-08-07,0.363
2019-08-08,0.426
2019-08-09,0.389
2019-08-12,0.369
2019-08-13,0.368
2019-08-14,0.44
2019-08-16,0.401
2019-08-19,0.34
2019-08-20,0.374
2019-08-21,0.341
2019-08-22,0.341
2019-08-23,0.341
2019-08-26,0.338
2019-08-27,0.341
2019-08-28,0.341
2019-08-29,0.339
2019-08-30,0.339
2019-09-02,0.33
2019-09-03,0.329
2019-09-04,0.3
2019-09-05,0.3
2019-09-06,0.303
2019-09-09,0.35
2019-09-10,0.336
2019-09-11,0.355
2019-09-12,0.301
2019-09-13,0.3
2019-09-16,0.299
2019-09-17,0.3
2019-09-18,0.298
2019-09-19,0.356
2019-09-20,0.411
2019-09-25,0.373
2019-09-26,0.302
2019-09-27,0.297
2019-09-30,0.409
2019-10-02,0.445
2019-10-11,0.426
2019-10-15,0.303
2019-10-16,0.299
2019-10-17,0.3
2019-10-18,0.417
2019-10-22,0.349
2019-10-23,0.3
2019-10-25,0.42
2019-11-01,0.347
2019-11-04,0.342
2019-11-05,0.299
2019-11-06,0.3
2019-11-07,0.299
2019-11-08,0.321
2019-11-11,0.319
2019-11-12,0.32
2019-11-13,0.2
2019-11-14,0.301
2019-11-15,0.241
2019-11-18,0.378
2019-11-20,0.344
2019-11-28,0.263
2019-11-29,0.249
2019-12-02,0.25
2019-12-03,0.27
2019-12-04,0.271
2019-12-05,0.307
2019-12-10,0.325
2019-12-12,0.399
2019-12-17,0.268
2019-12-18,0.24
2019-12-19,0.241
2019-12-20,0.241
2019-12-23,0.241
2019-12-27,0.24
2019-12-30,0.239
2020-01-02,0.19
2020-01-06,0.22
2020-01-07,0.315
2020-01-10,0.25
2020-01-13,0.201
2020-01-15,0.2
2020-01-16,0.201
2020-01-17,0.221
2020-01-20,0.22
2020-01-21,0.297
2020-01-23,0.25
2020-01-24,0.251
2020-01-27,0.251
2020-01-28,0.249
2020-01-29,0.25
2020-01-30,0.203
2020-01-31,0.201
2020-02-03,0.219
2020-02-04,0.218
2020-02-05,0.22
2020-02-06,0.22
2020-02-07,0.219
2020-02-10,0.22
2020-02-11,0.221
2020-02-12,0.219
2020-02-13,0.199
2020-02-14,0.2
2020-02-17,0.198
2020-02-18,0.201
2020-02-19,0.199
2020-02-20,0.203
2020-02-21,0.201
2020-02-24,0.201
2020-02-25,0.201
2020-02-26,0.201
2020-02-27,0.2
2020-02-28,0.2
2020-03-03,0.17
2020-03-04,0.169
2020-03-05,0.169
2020-03-06,0.15
2020-03-09,0.149
2020-03-10,0.15
2020-03-11,0.151
2020-03-12,0.151
2020-03-13,0.15
2020-03-16,0.15
2020-03-17,0.288
2020-03-20,0.199
2020-03-23,0.352
2020-03-25,0.242
2020-03-26,0.354
2020-03-27,0.584
2020-03-30,0.586
2020-04-01,0.411
2020-04-02,0.472
2020-04-06,1.194
2020-04-07,0.797
2020-04-08,1.095
2020-04-09,1.1
2020-04-14,0.511
2020-04-15,0.7
2020-04-16,0.645
2020-04-17,0.523
2020-04-20,0.674
2020-04-21,0.422
2020-04-22,0.42
2020-04-23,0.622
2020-04-24,0.922
2020-04-27,0.654
2020-04-28,0.5
2020-04-29,0.59
2020-04-30,0.553
2020-05-04,0.545
2020-05-05,0.595
2020-05-06,0.6
2020-05-07,0.621
2020-05-08,0.616
2020-05-15,0.5
2020-05-18,0.424
2020-05-19,0.565
2020-05-20,0.497
2020-05-21,0.491
2020-05-22,0.498
2020-05-25,0.5
2020-05-26,0.444
2020-05-27,0.445
2020-05-28,0.44
2020-05-29,0.403
2020-06-02,0.353
2020-06-03,0.354
2020-06-04,0.443
2020-06-05,0.442
2020-06-08,0.406
2020-06-09,0.376
2020-06-10,0.393
2020-06-11,0.4
2020-06-12,0.403
2020-06-15,0.403
2020-06-16,0.375
2020-06-17,0.421
2020-06-18,0.402
2020-06-19,0.401
2020-06-22,0.406
2020-06-23,0.37
2020-06-24,0.418
2020-06-25,0.434
2020-06-26,0.437
2020-06-29,0.439
2020-06-30,0.343
2020-07-01,0.259
2020-07-02,0.264
2020-07-03,0.261
2020-07-08,0.297
2020-07-09,0.225
2020-07-10,0.199
2020-07-13,0.293
2020-07-15,0.407
2020-07-16,0.413
2020-07-17,0.414
2020-07-20,0.424
2020-07-21,0.218
2020-07-23,0.347
2020-07-24,0.356
2020-07-27,0.367
2020-07-28,0.217
2020-07-29,0.2
2020-07-30,0.211
2020-07-31,0.376
2020-08-03,0.383
2020-08-04,0.388
2020-08-05,0.395
2020-08-06,0.405
2020-08-07,0.412
2020-08-10,0.409
2020-08-11,0.469
2020-08-12,0.323
2020-08-14,0.253
2020-08-17,0.211
2020-08-18,0.25
2020-08-19,0.22
2020-08-20,0.252
2020-08-21,0.224
2020-08-25,0.299
2020-08-26,0.299
2020-08-27,0.253
2020-08-28,0.253
2020-08-31,0.249
2020-09-01,0.221
2020-09-02,0.231
2020-09-03,0.218
2020-09-04,0.23
2020-09-07,0.23
2020-09-08,0.232
2020-09-09,0.231
2020-09-10,0.229
2020-09-11,0.231
2020-09-14,0.23
2020-09-15,0.232
2020-09-16,0.309
2020-09-17,0.349
2020-09-18,0.356
2020-09-21,0.312
2020-09-23,0.243
2020-09-24,0.333
2020-09-25,0.303
2020-09-28,0.318
2020-10-05,0.25
2020-10-06,0.241
2020-10-07,0.221
2020-10-08,0.303
2020-10-09,0.309
2020-10-16,0.296
2020-10-19,0.299
2020-10-22,0.25
2020-10-23,0.242
2020-10-26,0.228
2020-10-27,0.229
2020-10-28,0.231
2020-10-29,0.234
2020-10-30,0.23
2020-11-04,0.228
2020-11-05,0.134
2020-11-06,0.136
2020-11-09,0.274
2020-11-10,0.272
2020-11-11,0.273
2020-11-12,0.272
2020-11-13,0.269
2020-11-16,0.269
2020-11-17,0.273
2020-11-18,0.269
2020-11-19,0.271
2020-11-23,0.199
2020-11-25,0.293
2020-11-26,0.204
2020-11-27,0.2
2020-11-30,0.201
2020-12-01,0.2
2020-12-02,0.199
2020-12-03,0.201
2020-12-04,0.2
2020-12-07,0.2
2020-12-08,0.198
2020-12-09,0.21
2020-12-10,0.249
2020-12-11,0.211
2020-12-14,0.223
2020-12-15,0.213
2020-12-16,0.22
2020-12-17,0.222
2020-12-18,0.221
2020-12-21,0.222
2020-12-22,0.222
2020-12-23,0.221
2020-12-28,0.271
2020-12-29,0.224
2020-12-30,0.222
2021-01-04,0.199
2021-01-05,0.353
2021-01-06,0.359
2021-01-07,0.363
2021-01-11,0.3
2021-01-18,0.297
2021-01-19,0.415
2021-01-20,0.416
2021-01-21,0.303
2021-01-25,0.376
2021-01-27,0.296
2021-01-28,0.335
2021-01-29,0.345
2021-02-01,0.212
2021-02-02,0.25
2021-02-03,0.247
2021-02-04,0.241
2021-02-05,0.392
2021-02-08,0.354
2021-02-09,0.356
2021-02-10,0.366
2021-02-12,0.371
2021-02-15,0.37
2021-02-16,0.368
2021-02-17,0.365
2021-02-18,0.371
2021-02-19,0.374
2021-02-22,0.285
2021-02-23,0.269
2021-02-24,0.269
2021-02-25,0.271
2021-02-26,0.275
2021-03-01,0.278
2021-03-02,0.258
2021-03-03,0.262
2021-03-04,0.262
2021-03-05,0.261
2021-03-08,0.261
2021-03-09,0.259
2021-03-10,0.262
2021-03-11,0.262
2021-03-12,0.262
2021-03-15,0.261
2021-03-16,0.259
2021-03-17,0.26
2021-03-18,0.268
2021-03-19,0.271
2021-03-22,0.268
2021-03-23,0.274
2021-03-24,0.271
2021-03-25,0.268
2021-03-26,0.221
2021-03-29,0.249
2021-03-30,0.221
2021-03-31,0.248
2021-04-01,0.223
2021-04-06,0.222
2021-04-07,0.222
2021-04-08,0.221
2021-04-09,0.221
2021-04-12,0.223
2021-04-13,0.221
2021-04-19,0.18
2021-04-20,0.065
2021-04-21,0.195
2021-04-23,0.188
2021-04-26,0.086
2021-04-27,0.109
2021-04-28,0.085
2021-04-29,0.129
2021-04-30,0.127
2021-05-03,0.127
2021-05-04,0.126
2021-05-05,0.085
2021-05-06,0.08
2021-05-07,0.119
2021-05-11,0.06
2021-05-13,0.052
2021-05-14,0.05
2021-05-17,0.05
2021-05-18,0.05
2021-05-19,0.05
2021-05-20,0.05
2021-05-21,0.05
2021-05-25,0.05
2021-05-26,0.05
2021-05-27,0.05
2021-05-28,0.05
2021-05-31,0.05
2021-06-01,0.051
2021-06-02,0.05
2021-06-03,0.05
2021-06-04,0.05
2021-06-07,0.05
2021-06-08,0.061
2021-06-09,0.08
2021-06-18,0.118
2021-06-21,0.07
2021-06-22,0.118
2021-06-23,0.101
2021-06-24,0.109
2021-06-25,0.109
2021-06-28,0.109
2021-06-29,0.109
2021-06-30,0.109
2021-07-01,0.108
2021-07-02,0.109
2021-07-05,0.108
2021-07-06,0.11
2021-07-07,0.11
2021-07-08,0.108
2021-07-09,0.075
2021-07-12,0.069
2021-07-13,0.074
2021-07-14,0.068
2021-07-15,0.068
2021-07-16,0.068
2021-07-19,0.068
2021-07-20,0.068
2021-07-21,0.068
2021-07-22,0.068
2021-07-23,0.068
2021-07-26,0.069
2021-07-27,0.067
2021-07-28,0.068
2021-07-29,0.068
2021-07-30,0.069
2021-08-02,0.068
2021-08-03,0.068
2021-08-04,0.069
2021-08-05,0.067
2021-08-06,0.08
2021-08-09,0.08
2021-08-10,0.068
2021-08-11,0.068
2021-08-12,0.068
2021-08-13,0.07
2021-08-16,0.068
2021-08-17,0.068
2021-08-18,0.068
2021-08-19,0.068
2021-08-20,0.068
2021-08-23,0.068
2021-08-24,0.069
2021-08-25,0.068
2021-08-26,0.068
2021-08-27,0.068
2021-08-30,0.068
2021-08-31,0.068
2021-09-01,0.068
2021-09-02,0.068
2021-09-03,0.068
2021-09-06,0.068
2021-09-07,0.068
2021-09-08,0.068
2021-09-09,0.069
2021-09-10,0.068
2021-09-13,0.068
2021-09-14,0.051
2021-09-15,0.045
2021-09-16,0.045
2021-09-17,0.045
2021-09-20,0.051
2021-09-21,0.045
2021-09-22,0.045
2021-09-23,0.051
2021-09-24,0.045
2021-09-27,0.051
2021-09-28,0.045
2021-09-29,0.045
2021-09-30,0.045
2021-10-01,0.045
2021-10-04,0.045
2021-10-05,0.045
2021-10-06,0.045
2021-10-07,0.045
2021-10-08,0.045
2021-10-11,0.045
2021-10-12,0.046
2021-10-13,0.045
2021-10-14,0.045
2021-10-15,0.045
2021-10-18,0.046
2021-10-19,0.046
2021-10-20,0.045
2021-10-21,0.045
