date,close
2018-01-02,2.51
2018-01-03,2.55
2018-01-04,2.72
2018-01-05,2.79
2018-01-08,2.77
2018-01-09,2.77
2018-01-10,2.28
2018-01-11,2.23
2018-01-12,2.21
2018-01-15,2.19
2018-01-16,2.19
2018-01-17,2.17
2018-01-18,2.12
2018-01-19,2.14
2018-01-22,2.12
2018-01-23,2.17
2018-01-24,2.24
2018-01-25,2.25
2018-01-26,2.25
2018-01-29,2.2
2018-01-30,2.16
2018-01-31,2.18
2018-02-01,2.23
2018-02-02,2.14
2018-02-05,2.16
2018-02-06,2.08
2018-02-07,2.06
2018-02-08,2.07
2018-02-09,2.07
2018-02-12,2.1
2018-02-13,2.05
2018-02-14,2.12
2018-02-15,2.14
2018-02-16,2.14
2018-02-19,2.15
2018-02-20,2.24
2018-02-21,2.24
2018-02-22,2.15
2018-02-23,2.09
2018-02-26,2.07
2018-02-27,2.06
2018-02-28,2.03
2018-03-01,1.995
2018-03-02,1.94
2018-03-05,1.915
2018-03-06,1.92
2018-03-07,1.805
2018-03-08,1.815
2018-03-09,1.765
2018-03-12,1.695
2018-03-13,1.735
2018-03-14,1.75
2018-03-15,1.76
2018-03-16,2.05
2018-03-19,2.0
2018-03-20,2.25
2018-03-21,2.16
2018-03-22,2.0
2018-03-23,2.06
2018-03-26,1.935
2018-03-27,1.99
2018-03-28,1.99
2018-03-29,1.99
2018-04-03,2.08
2018-04-04,2.16
2018-04-05,2.07
2018-04-06,2.05
2018-04-09,2.17
2018-04-10,2.2
2018-04-11,2.03
2018-04-12,2.03
2018-04-13,2.05
2018-04-16,2.05
2018-04-17,2.05
2018-04-18,2.05
2018-04-19,1.99
2018-04-20,2.02
2018-04-23,1.92
2018-04-24,1.985
2018-04-25,1.985
2018-04-26,1.985
2018-04-27,1.985
2018-04-30,1.985
2018-05-02,1.955
2018-05-03,1.955
2018-05-04,2.08
2018-05-07,2.08
2018-05-08,2.13
2018-05-09,2.13
2018-05-10,2.07
2018-05-11,2.22
2018-05-14,2.26
2018-05-15,2.16
2018-05-16,2.18
2018-05-17,2.14
2018-05-18,2.18
2018-05-21,2.18
2018-05-22,2.18
2018-05-23,2.18
2018-05-24,2.16
2018-05-25,2.16
2018-05-28,2.16
2018-05-29,2.16
2018-05-30,2.18
2018-05-31,2.15
2018-06-01,2.15
2018-06-04,2.15
2018-06-05,2.15
2018-06-06,2.13
2018-06-07,2.11
2018-06-08,2.11
2018-06-11,2.11
2018-06-12,2.04
2018-06-13,2.04
2018-06-14,2.05
2018-06-15,2.04
2018-06-18,2.035
2018-06-19,2.005
2018-06-20,1.995
2018-06-21,1.995
2018-06-22,1.995
2018-06-25,1.995
2018-06-26,2.015
2018-06-27,1.995
2018-06-28,1.995
2018-06-29,1.965
2018-07-02,1.965
2018-07-03,1.965
2018-07-04,1.965
2018-07-05,1.93
2018-07-06,1.9025
2018-07-09,1.9025
2018-07-10,1.93
2018-07-11,1.915
2018-07-12,1.915
2018-07-13,1.895
2018-07-16,1.88
2018-07-17,1.915
2018-07-18,1.935
2018-07-19,1.975
2018-07-20,1.975
2018-07-23,1.935
2018-07-24,1.935
2018-07-25,1.96
2018-07-26,2.0
2018-07-27,1.96
2018-07-30,1.92
2018-07-31,1.96
2018-08-01,1.96
2018-08-02,1.96
2018-08-03,1.96
2018-08-06,1.96
2018-08-07,1.96
2018-08-08,1.85
2018-08-09,1.85
2018-08-10,1.85
2018-08-13,1.85
2018-08-14,1.75
2018-08-15,1.82
2018-08-16,1.82
2018-08-17,1.795
2018-08-20,1.795
2018-08-21,1.755
2018-08-22,1.755
2018-08-23,1.815
2018-08-24,1.795
2018-08-27,1.8
2018-08-28,1.8
2018-08-29,1.725
2018-08-30,1.73
2018-08-31,1.745
2018-09-03,1.675
2018-09-04,1.625
2018-09-05,1.625
2018-09-06,1.655
2018-09-07,1.625
2018-09-10,1.56
2018-09-11,1.56
2018-09-12,1.58
2018-09-13,1.665
2018-09-14,1.64
2018-09-17,1.64
2018-09-18,1.68
2018-09-19,1.77
2018-09-20,1.685
2018-09-21,1.665
2018-09-24,1.64
2018-09-25,1.675
2018-09-26,1.645
2018-09-27,1.645
2018-09-28,1.605
2018-10-01,1.605
2018-10-02,1.615
2018-10-04,1.715
2018-10-05,1.715
2018-10-08,1.68
2018-10-09,1.61
2018-10-10,1.535
2018-10-11,1.535
2018-10-12,1.535
2018-10-15,1.535
2018-10-16,1.495
2018-10-17,1.495
2018-10-18,1.52
2018-10-19,1.445
2018-10-22,1.445
2018-10-23,1.445
2018-10-24,1.445
2018-10-25,1.425
2018-10-26,1.405
2018-10-29,1.39
2018-10-30,1.39
2018-10-31,1.39
2018-11-01,1.39
2018-11-02,1.39
2018-11-05,1.46
2018-11-06,1.405
2018-11-07,1.535
2018-11-08,1.545
2018-11-09,1.535
2018-11-12,1.6
2018-11-13,1.6
2018-11-14,1.57
2018-11-15,1.57
2018-11-16,1.595
2018-11-19,1.54
2018-11-20,1.545
2018-11-21,1.545
2018-11-22,1.66
2018-11-23,1.635
2018-11-26,1.655
2018-11-27,1.69
2018-11-28,1.69
2018-11-29,1.79
2018-11-30,1.765
2018-12-03,1.87
2018-12-04,1.8
2018-12-05,1.8
2018-12-06,1.8
2018-12-07,1.76
2018-12-10,1.76
2018-12-11,1.76
2018-12-12,1.675
2018-12-13,1.675
2018-12-14,1.66
2018-12-17,1.585
2018-12-18,1.585
2018-12-19,1.585
2018-12-20,1.465
2018-12-21,1.685
2018-12-27,1.67
2018-12-28,1.7
2019-01-02,1.7
2019-01-03,1.7
2019-01-04,1.7
2019-01-07,1.7
2019-01-08,1.72
2019-01-09,1.72
2019-01-10,1.72
2019-01-11,1.72
2019-01-14,1.72
2019-01-15,1.72
2019-01-16,1.72
2019-01-17,1.72
2019-01-18,1.56
2019-01-21,1.545
2019-01-22,1.575
2019-01-23,1.575
2019-01-24,1.565
2019-01-25,1.545
2019-01-28,1.545
2019-01-29,1.545
2019-01-30,1.545
2019-01-31,1.545
2019-02-01,1.545
2019-02-04,1.515
2019-02-05,1.515
2019-02-06,1.515
2019-02-07,1.495
2019-02-08,1.495
2019-02-11,1.495
2019-02-12,1.495
2019-02-13,1.495
2019-02-14,1.475
2019-02-15,1.525
2019-02-18,1.525
2019-02-19,1.525
2019-02-20,1.525
2019-02-21,1.495
2019-02-22,1.45
2019-02-25,1.475
2019-02-26,1.49
2019-02-27,1.49
2019-02-28,1.49
2019-03-01,1.4
2019-03-04,1.495
2019-03-05,1.495
2019-03-06,1.49
2019-03-07,1.49
2019-03-08,1.49
2019-03-11,1.46
2019-03-12,1.46
2019-03-13,1.46
2019-03-14,1.46
2019-03-15,1.45
2019-03-18,1.48
2019-03-19,1.415
2019-03-20,1.415
2019-03-21,1.415
2019-03-22,1.415
2019-03-25,1.415
2019-03-26,1.415
2019-03-27,1.415
2019-03-28,1.46
2019-03-29,1.46
2019-04-01,1.43
2019-04-02,1.43
2019-04-03,1.48
2019-04-04,1.57
2019-04-05,1.66
2019-04-08,1.7
2019-04-09,1.68
2019-04-10,1.62
2019-04-11,1.59
2019-04-12,1.57
2019-04-15,1.57
2019-04-16,1.57
2019-04-17,1.57
2019-04-18,1.59
2019-04-23,1.59
2019-04-24,1.54
2019-04-25,1.46
2019-04-26,1.47
2019-04-29,1.46
2019-04-30,1.46
2019-05-02,1.46
2019-05-03,1.46
2019-05-06,1.46
2019-05-07,1.46
2019-05-08,1.46
2019-05-09,1.46
2019-05-10,1.46
2019-05-13,1.46
2019-05-14,1.45
2019-05-15,1.45
2019-05-16,1.4
2019-05-17,1.4
2019-05-20,1.4
2019-05-21,1.4
2019-05-22,1.4
2019-05-23,1.35
2019-05-24,1.35
2019-05-27,1.36
2019-05-28,1.36
2019-05-29,1.49
2019-05-30,1.49
2019-05-31,1.46
2019-06-03,1.46
2019-06-04,1.46
2019-06-05,1.46
2019-06-06,1.46
2019-06-07,1.6
2019-06-11,1.63
2019-06-12,1.63
2019-06-13,1.58
2019-06-14,1.6
2019-06-17,1.6
2019-06-18,1.55
2019-06-19,1.61
2019-06-20,1.61
2019-06-21,1.61
2019-06-24,1.58
2019-06-25,1.58
2019-06-26,1.59
2019-06-27,1.55
2019-06-28,1.55
2019-07-01,1.55
2019-07-02,1.55
2019-07-03,1.55
2019-07-04,1.48
2019-07-05,1.47
2019-07-08,1.47
2019-07-09,1.43
2019-07-10,1.43
2019-07-11,1.43
2019-07-12,1.43
2019-07-15,1.43
2019-07-16,1.42
2019-07-17,1.42
2019-07-18,1.42
2019-07-19,1.42
2019-07-22,1.5
2019-07-23,1.5
2019-07-24,1.5
2019-07-25,1.5
2019-07-26,1.45
2019-07-29,1.52
2019-07-30,1.52
2019-07-31,1.53
2019-08-01,1.52
2019-08-02,1.44
2019-08-05,1.39
2019-08-06,1.34
2019-08-07,1.37
2019-08-08,1.34
2019-08-09,1.34
2019-08-12,1.34
2019-08-13,1.35
2019-08-14,1.35
2019-08-15,1.35
2019-08-16,1.35
2019-08-19,1.35
2019-08-20,1.35
2019-08-21,1.35
2019-08-22,1.35
2019-08-23,1.34
2019-08-26,1.36
2019-08-27,1.35
2019-08-28,1.35
2019-08-29,1.36
2019-08-30,1.41
2019-09-02,1.41
2019-09-03,1.41
2019-09-04,1.27
2019-09-05,1.34
2019-09-06,1.32
