date,close
2018-01-02,1.7905
2018-01-03,2.0187
2018-01-04,2.3698
2018-01-05,2.3698
2018-01-08,2.1591
2018-01-09,1.9309
2018-01-10,1.8081
2018-01-11,1.7905
2018-01-12,1.7729
2018-01-15,1.8432
2018-01-16,1.6852
2018-01-17,1.5974
2018-01-18,1.7466
2018-01-19,1.7729
2018-01-22,1.7203
2018-01-23,1.7905
2018-01-24,1.8432
2018-01-25,1.7905
2018-01-26,1.8256
2018-01-29,1.9485
2018-01-30,1.8081
2018-01-31,1.7554
2018-02-01,1.8607
2018-02-02,1.7729
2018-02-05,1.5272
2018-02-06,1.2727
2018-02-07,1.2814
2018-02-08,1.3341
2018-02-09,1.2902
2018-02-12,1.4043
2018-02-13,1.3517
2018-02-14,1.4131
2018-02-15,1.3604
2018-02-16,1.3165
2018-02-19,1.378
2018-02-21,1.3517
2018-02-22,1.3604
2018-02-23,1.3604
2018-02-26,1.3517
2018-02-27,1.3955
2018-03-01,1.3429
2018-03-02,1.299
2018-03-05,1.3868
2018-03-06,1.3868
2018-03-08,1.299
2018-03-09,1.299
2018-03-12,1.2814
2018-03-13,1.3165
2018-03-14,1.1673
2018-03-15,1.141
2018-03-16,1.1498
2018-03-19,1.1586
2018-03-20,1.1673
2018-03-21,1.1849
2018-03-22,1.2288
2018-03-23,1.1937
2018-03-26,1.0532
2018-03-27,1.1498
2018-03-29,1.1322
2018-04-03,1.0796
2018-04-04,1.1586
2018-04-05,1.2288
2018-04-06,1.2376
2018-04-09,1.2024
2018-04-10,1.1849
2018-04-11,1.1673
2018-04-12,1.2288
2018-04-13,1.141
2018-04-16,1.1147
2018-04-17,1.2288
2018-04-18,1.2112
2018-04-19,1.2639
2018-04-23,1.1937
2018-04-24,1.1937
2018-04-26,1.2288
2018-04-27,1.2463
2018-04-30,1.22
2018-05-02,1.31
2018-05-03,1.3
2018-05-04,1.2
2018-05-07,1.2
2018-05-08,1.2
2018-05-09,1.22
2018-05-11,1.17
2018-05-14,1.12
2018-05-15,1.09
2018-05-16,1.07
2018-05-17,1.08
2018-05-18,1.08
2018-05-22,1.13
2018-05-23,1.27
2018-05-24,1.33
2018-05-25,1.45
2018-05-28,1.45
2018-05-30,1.3
2018-05-31,1.36
2018-06-05,1.28
2018-06-07,1.24
2018-06-08,1.24
2018-06-12,1.31
2018-06-14,1.5
2018-06-15,1.49
2018-06-19,1.27
2018-06-20,1.185
2018-06-21,1.14
2018-06-22,1.095
2018-06-25,1.075
2018-06-26,1.125
2018-06-27,1.08
2018-06-28,1.07
2018-06-29,1.08
2018-07-02,1.07
2018-07-03,1.07
2018-07-04,1.135
2018-07-06,1.075
2018-07-09,1.075
2018-07-10,1.075
2018-07-11,1.16
2018-07-12,1.105
2018-07-13,1.135
2018-07-16,1.11
2018-07-17,1.09
2018-07-18,1.09
2018-07-20,1.08
2018-07-23,1.06
2018-07-24,1.06
2018-07-25,1.04
2018-07-26,1.05
2018-07-27,1.06
2018-07-30,1.06
2018-08-01,1.08
2018-08-02,1.1
2018-08-03,1.04
2018-08-07,1.05
2018-08-08,1.05
2018-08-09,1.08
2018-08-10,1.15
2018-08-14,1.17
2018-08-15,1.22
2018-08-16,1.11
2018-08-17,1.15
2018-08-20,1.07
2018-08-21,1.08
2018-08-23,1.06
2018-08-31,1.06
2018-09-03,1.11
2018-09-04,1.08
2018-09-06,1.09
2018-09-07,1.09
2018-09-10,1.06
2018-09-11,1.07
2018-09-12,1.05
2018-09-18,1.06
2018-09-21,1.05
2018-09-25,1.07
2018-10-01,1.06
2018-10-02,1.07
2018-10-04,1.05
2018-10-05,1.06
2018-10-08,1.07
2018-10-09,1.07
2018-10-10,1.06
2018-10-11,0.99
2018-10-12,0.99
2018-10-15,0.995
2018-10-16,0.995
2018-10-17,1.01
2018-10-19,0.99
2018-10-22,0.985
2018-10-23,0.935
2018-10-24,0.94
2018-10-30,0.98
2018-11-01,0.94
2018-11-02,0.925
2018-11-05,0.925
2018-11-06,0.89
2018-11-08,0.855
2018-11-09,0.885
2018-11-13,0.82
2018-11-14,0.85
2018-11-15,0.89
2018-11-16,0.88
2018-11-19,0.975
2018-11-20,0.95
2018-11-21,0.915
2018-11-22,0.915
2018-11-23,0.95
2018-11-26,0.925
2018-11-27,0.92
2018-11-28,0.97
2018-11-29,0.96
2018-11-30,0.93
2018-12-03,0.955
2018-12-04,0.98
2018-12-05,0.915
2018-12-07,0.87
2018-12-10,0.9
2018-12-12,0.9
2018-12-13,0.845
2018-12-14,0.83
2018-12-17,0.845
2018-12-18,0.84
2018-12-19,0.89
2018-12-20,0.85
2018-12-21,0.925
2018-12-27,0.91
2019-01-02,0.9
2019-01-03,0.9
2019-01-07,0.895
2019-01-09,0.88
2019-01-10,0.95
2019-01-11,1.0
2019-01-15,0.95
2019-01-16,0.975
2019-01-17,0.99
2019-01-18,0.92
2019-01-21,0.95
2019-01-22,0.95
2019-01-23,0.945
2019-01-24,1.0
2019-01-25,0.98
2019-01-28,0.985
2019-01-31,0.99
2019-02-01,1.03
2019-02-04,1.01
2019-02-05,0.96
2019-02-06,0.985
2019-02-07,1.02
2019-02-08,0.99
2019-02-11,1.02
2019-02-12,0.975
2019-02-13,0.975
2019-02-14,1.02
2019-02-15,1.01
2019-02-18,1.03
2019-02-19,1.05
2019-02-20,1.03
2019-02-21,1.01
2019-02-26,1.0
2019-03-01,1.01
2019-03-04,1.0
2019-03-05,1.0
2019-03-06,1.0
2019-03-08,1.0
2019-03-12,1.04
2019-03-13,1.01
2019-03-14,1.01
2019-03-15,1.0
2019-03-18,0.985
2019-03-19,0.985
2019-03-21,0.985
2019-03-22,0.95
2019-03-26,0.98
2019-04-10,0.915
2019-04-11,1.02
2019-04-12,0.92
2019-04-16,0.885
2019-04-18,0.905
2019-04-26,0.88
2019-04-29,0.885
2019-04-30,0.91
2019-05-02,0.87
2019-05-06,0.85
2019-05-08,0.835
2019-05-14,0.675
2019-05-15,0.675
2019-05-16,0.67
2019-05-21,0.665
2019-05-22,0.69
2019-05-23,0.69
2019-05-24,0.695
2019-05-27,0.715
2019-05-29,0.72
2019-05-31,0.72
2019-06-04,0.77
2019-06-07,0.73
2019-06-12,0.705
2019-06-19,0.75
2019-06-21,0.75
2019-06-24,0.815
2019-06-25,0.735
2019-06-26,0.78
2019-06-28,0.84
2019-07-04,0.865
2019-07-09,0.835
2019-07-10,0.835
2019-07-11,0.835
2019-07-12,0.835
2019-07-15,0.835
2019-07-17,0.845
2019-07-22,0.87
2019-07-23,0.845
2019-07-26,0.805
2019-07-29,0.78
2019-07-31,0.815
2019-08-01,0.83
2019-08-02,0.79
2019-08-07,0.765
2019-08-15,0.785
2019-08-19,0.785
2019-08-27,0.75
2019-08-28,0.73
2019-08-29,0.685
2019-08-30,0.705
2019-09-02,0.66
2019-09-03,0.68
2019-09-04,0.68
2019-09-05,0.68
2019-09-06,0.68
2019-09-18,0.67
2019-09-30,0.6
2019-10-01,0.655
2019-10-02,0.665
2019-10-15,0.62
2019-10-17,0.59
2019-10-22,0.54
2019-10-23,0.51
2019-10-24,0.486
2019-10-25,0.486
2019-10-28,0.486
2019-10-29,0.5
2019-10-30,0.525
2019-10-31,0.53
2019-11-01,0.496
2019-11-12,0.54
2019-11-15,0.53
2019-11-28,0.505
2019-11-29,0.54
2019-12-02,0.52
2019-12-03,0.535
2019-12-04,0.505
2019-12-05,0.535
2019-12-06,0.535
2019-12-09,0.535
2019-12-10,0.535
2019-12-12,0.52
2019-12-13,0.515
2019-12-16,0.505
2019-12-17,0.515
2019-12-27,0.515
2019-12-30,0.52
2020-01-06,0.496
2020-01-08,0.456
2020-01-09,0.496
2020-01-10,0.468
2020-01-13,0.458
2020-01-14,0.492
2020-01-16,0.505
2020-01-17,0.505
2020-01-21,0.515
2020-01-22,0.56
2020-01-23,0.6
2020-01-24,0.65
2020-01-27,0.61
2020-01-28,0.595
2020-01-31,0.615
2020-02-03,0.635
2020-02-04,0.585
2020-02-05,0.64
2020-02-06,0.69
2020-02-07,0.76
2020-02-11,0.795
2020-02-12,0.79
2020-02-14,0.765
2020-02-17,0.73
2020-02-19,0.745
2020-02-24,0.68
2020-02-25,0.72
2020-02-26,0.725
2020-02-27,0.62
2020-02-28,0.61
2020-03-03,0.61
2020-03-04,0.615
2020-03-11,0.615
2020-03-12,0.56
2020-03-13,0.505
2020-03-16,0.452
2020-03-17,0.424
2020-03-18,0.418
2020-03-20,0.47
2020-03-23,0.44
2020-03-24,0.456
2020-03-25,0.446
2020-03-31,0.472
2020-04-01,0.44
2020-04-02,0.456
2020-04-03,0.426
2020-04-07,0.462
2020-04-09,0.43
2020-04-17,0.42
2020-04-21,0.428
2020-04-27,0.406
2020-04-28,0.406
2020-04-29,0.414
2020-04-30,0.4
2020-05-04,0.416
2020-05-06,0.404
2020-05-07,0.4
2020-05-08,0.384
2020-05-18,0.378
2020-05-20,0.37
2020-05-25,0.414
2020-05-26,0.42
2020-05-28,0.412
2020-05-29,0.446
2020-06-02,0.505
2020-06-03,0.505
2020-06-08,0.505
2020-06-10,0.505
2020-06-12,0.505
2020-06-15,0.505
2020-06-16,0.525
2020-06-18,0.545
2020-06-19,0.545
2020-06-22,0.545
2020-06-23,0.625
2020-06-24,0.77
2020-06-25,0.715
2020-06-26,0.725
2020-06-29,0.81
2020-06-30,0.79
2020-07-01,0.775
2020-07-02,0.73
2020-07-03,0.78
2020-07-06,0.76
2020-07-07,0.79
2020-07-08,0.775
2020-07-09,0.8
2020-07-10,0.8
2020-07-13,0.845
2020-07-14,0.85
2020-07-15,0.9
2020-07-16,0.9
2020-07-17,0.885
2020-07-20,0.945
2020-07-21,1.03
2020-07-22,1.06
2020-07-23,1.06
2020-07-24,1.03
2020-07-27,1.04
2020-07-28,1.02
2020-07-29,1.02
2020-07-30,1.01
2020-07-31,1.02
2020-08-03,1.02
2020-08-04,1.02
2020-08-05,1.02
2020-08-06,1.03
2020-08-07,1.03
2020-08-10,1.02
2020-08-11,1.02
2020-08-12,1.01
2020-08-13,1.01
2020-08-14,0.97
2020-08-18,1.0
2020-08-19,1.0
2020-08-20,1.0
2020-08-21,0.99
2020-08-24,0.945
2020-08-25,0.95
2020-08-26,0.985
2020-08-27,0.95
2020-08-28,1.04
2020-08-31,1.07
2020-09-01,1.03
2020-09-02,1.08
2020-09-03,1.05
2020-09-04,1.03
2020-09-07,1.14
2020-09-08,1.02
2020-09-09,1.07
2020-09-10,1.05
2020-09-11,1.06
2020-09-14,0.975
2020-09-15,0.98
2020-09-16,0.985
2020-09-17,0.98
2020-09-18,0.99
2020-09-21,0.945
2020-09-22,0.97
2020-09-23,0.955
2020-09-24,0.965
2020-09-25,0.925
2020-09-29,1.0
2020-09-30,1.01
2020-10-01,0.96
2020-10-02,0.955
2020-10-05,0.985
2020-10-06,1.05
2020-10-07,1.03
2020-10-08,1.01
2020-10-09,0.97
2020-10-12,0.93
2020-10-13,1.03
2020-10-14,0.96
2020-10-15,0.95
2020-10-16,0.95
2020-10-19,0.945
2020-10-21,0.92
2020-10-22,0.96
2020-10-23,0.99
2020-10-26,0.96
2020-10-27,0.96
2020-10-28,0.865
2020-10-29,0.89
2020-10-30,0.885
2020-11-02,0.925
2020-11-03,0.935
2020-11-04,0.925
2020-11-05,0.94
2020-11-06,0.93
2020-11-09,0.915
2020-11-10,0.895
2020-11-11,0.855
2020-11-12,0.84
2020-11-13,0.92
2020-11-16,0.98
2020-11-17,1.01
2020-11-18,0.965
2020-11-19,0.99
2020-11-20,0.975
2020-11-23,0.975
2020-11-24,0.965
2020-11-25,0.955
2020-11-26,0.975
2020-11-27,0.98
2020-11-30,0.97
2020-12-01,0.98
2020-12-02,0.995
2020-12-03,0.985
2020-12-07,0.995
2020-12-08,0.985
2020-12-09,1.01
2020-12-10,0.97
2020-12-11,0.965
2020-12-14,0.945
2020-12-15,0.96
2020-12-16,0.99
2020-12-17,0.99
2020-12-18,0.99
2020-12-21,0.965
2020-12-22,0.96
2020-12-23,0.945
2020-12-28,0.94
2020-12-29,0.915
2020-12-30,0.98
2021-01-04,0.885
2021-01-05,0.935
2021-01-06,0.975
2021-01-07,0.975
2021-01-08,0.985
2021-01-11,0.98
2021-01-12,0.99
2021-01-13,0.975
2021-01-14,0.975
2021-01-15,0.96
2021-01-18,0.985
2021-01-19,1.02
2021-01-20,1.05
2021-01-21,1.18
2021-01-22,1.16
2021-01-25,1.26
2021-01-26,1.88
2021-01-27,1.84
2021-01-28,2.0
2021-01-29,1.98
2021-02-01,1.65
2021-02-02,1.73
2021-02-03,1.78
2021-02-04,1.76
2021-02-05,1.69
2021-02-08,1.65
2021-02-09,1.48
2021-02-10,1.65
2021-02-11,1.55
2021-02-12,1.51
2021-02-15,1.71
2021-02-16,1.76
2021-02-17,1.73
2021-02-18,1.58
2021-02-19,1.64
2021-02-22,1.52
2021-02-23,1.38
2021-02-24,1.59
2021-02-25,1.64
2021-02-26,1.58
2021-03-01,1.57
2021-03-02,1.56
2021-03-03,1.54
2021-03-04,1.35
2021-03-05,1.4
2021-03-08,1.46
2021-03-09,1.38
2021-03-10,1.42
2021-03-11,1.4
2021-03-12,1.34
2021-03-16,1.35
2021-03-18,1.43
2021-03-19,1.48
2021-03-22,1.45
2021-03-23,1.43
2021-03-24,1.43
2021-03-25,1.33
2021-03-26,1.35
2021-03-29,1.39
2021-03-30,1.37
2021-03-31,1.38
2021-04-01,1.4
2021-04-06,1.38
2021-04-07,1.38
2021-04-08,1.45
2021-04-09,1.5
2021-04-12,1.54
2021-04-13,1.55
2021-04-14,1.44
2021-04-15,1.44
2021-04-16,1.44
2021-04-19,1.42
2021-04-20,1.47
2021-04-21,1.43
2021-04-22,1.39
2021-04-23,1.38
2021-04-26,1.33
2021-04-27,1.35
2021-04-28,1.37
2021-04-29,1.38
2021-04-30,1.39
2021-05-03,1.42
2021-05-04,1.4
2021-05-05,1.46
2021-05-06,1.45
2021-05-07,1.53
2021-05-10,1.47
2021-05-11,1.43
2021-05-12,1.44
2021-05-13,1.47
2021-05-14,1.46
2021-05-17,1.54
2021-05-18,1.56
2021-05-19,1.47
2021-05-20,1.5
2021-05-21,1.51
2021-05-25,1.73
2021-05-26,1.63
2021-05-27,1.65
2021-05-28,1.64
2021-05-31,1.6
2021-06-01,1.72
2021-06-02,1.72
2021-06-03,1.78
2021-06-04,1.73
2021-06-07,1.68
2021-06-08,1.67
2021-06-09,1.68
2021-06-10,1.68
2021-06-11,1.65
2021-06-14,1.67
2021-06-15,1.67
2021-06-16,1.63
2021-06-17,1.6
2021-06-18,1.61
2021-06-21,1.6
2021-06-22,1.61
2021-06-23,1.6
2021-06-24,1.64
2021-06-25,1.62
2021-06-28,1.65
2021-06-29,1.65
2021-06-30,1.69
2021-07-01,1.79
2021-07-02,1.7
2021-07-05,1.71
2021-07-06,1.72
2021-07-07,1.71
2021-07-08,1.7
2021-07-09,1.76
2021-07-12,1.7
2021-07-13,1.69
2021-07-14,1.7
2021-07-15,1.7
2021-07-16,1.75
2021-07-19,1.68
2021-07-20,1.55
2021-07-21,1.61
2021-07-22,1.66
2021-07-23,1.64
2021-07-26,1.58
2021-07-27,1.51
2021-07-28,1.53
2021-07-29,1.54
2021-07-30,1.52
2021-08-02,1.55
2021-08-03,1.49
2021-08-04,1.54
2021-08-05,1.59
2021-08-06,1.6
2021-08-09,1.62
2021-08-10,1.63
2021-08-11,1.63
2021-08-12,1.6
2021-08-13,1.61
2021-08-16,1.5
2021-08-17,1.52
2021-08-18,1.52
2021-08-19,1.49
2021-08-20,1.47
2021-08-23,1.49
2021-08-25,1.47
2021-08-26,1.49
2021-08-27,1.5
2021-08-30,1.5
2021-08-31,1.53
2021-09-01,1.57
2021-09-02,1.57
2021-09-03,1.57
2021-09-06,1.58
2021-09-07,1.59
2021-09-08,1.61
2021-09-09,1.61
2021-09-10,1.56
2021-09-13,1.66
2021-09-14,1.6
2021-09-15,1.57
2021-09-17,1.55
2021-09-20,1.5
2021-09-21,1.47
2021-09-22,1.48
2021-09-23,1.47
2021-09-24,1.46
2021-09-27,1.54
2021-09-28,1.5
2021-09-30,1.51
2021-10-01,1.56
2021-10-04,1.48
2021-10-05,1.52
2021-10-06,1.45
2021-10-07,1.5
2021-10-08,1.53
2021-10-12,1.52
2021-10-13,1.53
2021-10-14,1.51
2021-10-15,1.48
2021-10-18,1.48
2021-10-19,1.5304
2021-10-20,1.61
2021-10-21,1.5556
2021-10-22,1.6286
2021-10-25,1.535
2021-10-26,1.545
2021-10-27,1.555
2021-10-28,1.54
2021-10-29,1.56
2021-11-01,1.54
2021-11-02,1.54
2021-11-03,1.585
2021-11-04,1.52
2021-11-05,1.5202
2021-11-08,1.51
2021-11-09,1.52
2021-11-10,1.5132
2021-11-11,1.51
2021-11-12,1.515
2021-11-15,1.53
2021-11-16,1.525
2021-11-17,1.5196
2021-11-18,1.49
2021-11-19,1.615
2021-11-22,1.57
2021-11-23,1.58
2021-11-24,1.585
2021-11-25,1.5794
2021-11-26,1.5464
2021-11-29,1.539
2021-11-30,1.525
2021-12-01,1.54
2021-12-02,1.55
2021-12-03,1.535
2021-12-06,1.5252
2021-12-07,1.589
2021-12-08,1.5696
2021-12-09,1.54
2021-12-10,1.52
2021-12-13,1.5396
2021-12-14,1.5396
2021-12-15,1.4902
2021-12-16,1.485
2021-12-17,1.455
2021-12-20,1.5084
2021-12-21,1.4552
2021-12-22,1.475
2021-12-23,1.45
2021-12-27,1.46
2021-12-28,1.3702
2021-12-29,1.3688
2021-12-30,1.365
2022-01-03,1.42
2022-01-04,1.4744
2022-01-05,1.4376
2022-01-06,1.422
2022-01-07,1.437
2022-01-10,1.407
2022-01-11,1.395
2022-01-12,1.3706
2022-01-13,1.3456
2022-01-14,1.339
2022-01-17,1.3
2022-01-18,1.2704
2022-01-19,1.2376
2022-01-20,1.24
2022-01-21,1.12
2022-01-24,1.025
2022-01-25,1.15
2022-01-26,1.0448
2022-01-27,1.066
2022-01-28,1.18
2022-02-02,1.13
2022-02-03,1.0944
2022-02-04,1.0844
2022-02-07,1.0994
2022-02-08,1.0744
2022-02-09,1.077
2022-02-10,1.0744
2022-02-11,1.07
2022-02-14,0.99
2022-02-17,1.0636
2022-02-18,1.1052
2022-02-21,1.075
2022-02-22,1.12
2022-02-23,1.12
2022-02-24,0.945
2022-02-25,0.97
2022-02-28,1.13
2022-03-01,1.03
2022-03-02,0.975
2022-03-03,1.02
2022-03-04,0.985
2022-03-07,0.97
2022-03-08,0.86
2022-03-09,0.84
2022-03-10,1.01
2022-03-11,1.12
2022-03-14,1.05
2022-03-15,1.1
2022-03-16,1.02
2022-03-17,1.06
2022-03-18,1.07
2022-03-21,1.14
2022-03-22,1.17
2022-03-23,1.19
2022-03-24,1.36
2022-03-25,1.42
2022-03-28,1.45
2022-03-29,1.41
2022-03-30,1.39
2022-03-31,1.37
2022-04-01,1.395
2022-04-04,1.355
2022-04-05,1.37
2022-04-06,1.33
2022-04-07,1.335
2022-04-08,1.375
2022-04-11,1.355
2022-04-12,1.28
2022-04-13,1.28
2022-04-14,1.225
2022-04-19,1.27
2022-04-21,1.265
2022-04-25,1.25
2022-04-26,1.135
2022-04-27,1.145
2022-04-29,1.125
2022-05-02,1.08
2022-05-04,1.045
2022-05-05,1.03
2022-05-06,1.05
2022-05-09,1.005
2022-05-10,1.07
2022-05-12,0.98
2022-05-13,1.0
2022-05-16,0.986
2022-05-17,1.035
2022-05-18,1.015
2022-05-19,0.92
2022-05-20,0.926
2022-05-24,0.94
2022-05-25,0.94
2022-05-26,0.94
2022-05-27,0.966
2022-05-30,1.105
2022-05-31,1.03
2022-06-01,1.075
2022-06-02,1.07
2022-06-03,1.02
2022-06-07,1.045
2022-06-08,1.075
2022-06-09,1.105
2022-06-10,1.065
2022-06-13,1.015
2022-06-14,0.976
2022-06-15,0.966
2022-06-16,0.97
2022-06-17,1.005
2022-06-20,0.95
2022-06-23,0.91
2022-06-24,0.99
2022-06-27,1.025
2022-06-28,0.95
2022-06-29,0.96
2022-06-30,0.906
2022-07-01,0.906
2022-07-04,0.98
2022-07-06,0.946
2022-07-08,0.906
2022-07-12,1.01
2022-07-13,0.932
2022-07-14,0.9
2022-07-15,0.91
2022-07-18,0.844
2022-07-19,0.818
2022-07-20,0.828
2022-07-21,0.854
2022-07-22,0.866
2022-07-25,0.92
2022-07-26,1.03
2022-07-27,1.04
2022-07-28,0.92
2022-07-29,0.896
2022-08-01,0.9
2022-08-02,0.95
2022-08-03,0.926
2022-08-04,0.926
2022-08-05,1.0
2022-08-08,0.94
2022-08-09,0.956
2022-08-10,0.97
2022-08-11,1.0
2022-08-12,0.966
2022-08-15,0.95
2022-08-16,0.926
2022-08-17,0.862
2022-08-18,0.862
2022-08-19,0.92
2022-08-22,0.85
2022-08-23,0.852
2022-08-24,0.85
2022-08-25,0.85
2022-08-26,0.86
2022-08-29,0.874
2022-08-30,0.862
2022-08-31,0.86
2022-09-01,0.792
2022-09-02,0.88
2022-09-05,0.854
2022-09-06,0.832
2022-09-07,0.814
2022-09-08,0.812
2022-09-09,0.816
2022-09-12,0.82
2022-09-13,0.836
2022-09-14,0.818
2022-09-15,0.814
2022-09-16,0.798
2022-09-19,0.798
2022-09-20,0.756
2022-09-21,0.754
2022-09-22,0.794
2022-09-23,0.762
2022-09-26,0.76
2022-09-27,0.764
2022-09-28,0.77
2022-09-29,0.788
2022-09-30,0.78
2022-10-03,0.806
2022-10-04,0.81
2022-10-05,0.85
2022-10-06,0.912
2022-10-07,0.91
2022-10-10,0.886
2022-10-11,0.846
2022-10-12,0.83
2022-10-13,0.81
2022-10-14,0.8
2022-10-17,0.804
2022-10-18,0.752
2022-10-19,0.846
2022-10-20,0.882
2022-10-21,0.864
2022-10-24,0.866
2022-10-25,0.802
2022-10-26,0.83
2022-10-27,0.81
2022-10-28,0.776
2022-10-31,0.816
2022-11-01,0.86
2022-11-02,0.826
2022-11-03,0.83
2022-11-04,0.856
2022-11-07,0.86
2022-11-08,0.81
2022-11-09,0.81
2022-11-10,0.812
2022-11-11,0.8
2022-11-14,0.826
2022-11-15,0.826
2022-11-16,0.856
2022-11-17,0.836
2022-11-18,0.84
2022-11-21,0.84
2022-11-22,0.832
2022-11-23,0.788
2022-11-24,0.802
2022-11-25,0.802
2022-11-28,0.83
2022-11-29,0.816
2022-11-30,0.814
2022-12-01,0.796
2022-12-02,0.788
2022-12-05,0.816
2022-12-06,0.81
2022-12-07,0.836
2022-12-08,0.856
2022-12-09,0.83
2022-12-12,0.94
2022-12-13,0.856
2022-12-14,0.86
2022-12-15,0.86
2022-12-16,0.91
2022-12-19,0.93
2022-12-20,0.94
2022-12-21,0.856
2022-12-22,0.926
2022-12-23,0.956
2022-12-27,0.89
2022-12-28,0.91
2022-12-29,0.99
2022-12-30,0.9
2023-01-02,0.946
2023-01-03,0.946
2023-01-04,0.936
2023-01-05,0.93
2023-01-06,0.92
2023-01-09,0.926
2023-01-10,0.93
2023-01-11,0.966
2023-01-12,1.035
2023-01-13,1.0
2023-01-16,1.0
2023-01-17,1.0
2023-01-18,0.976
2023-01-19,0.96
2023-01-20,0.96
2023-01-23,0.946
2023-01-24,0.95
2023-01-25,0.906
2023-01-26,0.932
2023-01-27,0.932
2023-01-30,0.946
2023-01-31,0.906
2023-02-01,0.856
2023-02-02,0.89
2023-02-03,0.92
2023-02-06,0.89
2023-02-07,0.882
2023-02-08,0.88
2023-02-09,0.86
2023-02-10,0.846
2023-02-13,0.84
2023-02-14,0.84
2023-02-15,0.86
2023-02-16,0.876
2023-02-17,0.85
2023-02-20,0.846
2023-02-21,0.9
2023-02-22,0.88
2023-02-23,0.85
2023-02-24,0.836
2023-02-27,0.852
2023-02-28,0.85
2023-03-01,0.85
2023-03-02,0.856
2023-03-03,0.856
2023-03-06,0.856
2023-03-07,0.826
2023-03-08,0.826
2023-03-09,0.866
2023-03-10,0.866
2023-03-13,0.806
2023-03-14,0.776
2023-03-15,0.73
2023-03-16,0.75
2023-03-17,0.724
2023-03-20,0.71
2023-03-21,0.662
2023-03-22,0.662
2023-03-23,0.654
2023-03-24,0.586
2023-03-27,0.636
2023-03-28,0.63
2023-03-29,0.63
2023-03-30,0.712
2023-03-31,0.722
2023-04-03,0.765
2023-04-04,0.765
2023-04-05,0.63
2023-04-06,0.58
2023-04-11,0.575
2023-04-12,0.645
2023-04-13,0.605
2023-04-14,0.62
2023-04-17,0.615
2023-04-18,0.615
2023-04-19,0.585
2023-04-20,0.585
2023-04-21,0.585
2023-04-24,0.585
2023-04-25,0.615
2023-04-26,0.565
2023-04-27,0.565
2023-04-28,0.565
2023-05-02,0.53
2023-05-03,0.52
2023-05-04,0.55
2023-05-05,0.55
2023-05-08,0.55
2023-05-09,0.55
2023-05-10,0.52
2023-05-11,0.52
2023-05-12,0.52
2023-05-15,0.56
2023-05-16,0.525
2023-05-17,0.555
2023-05-18,0.55
2023-05-19,0.57
2023-05-22,0.615
2023-05-23,0.615
2023-05-24,0.59
2023-05-25,0.585
2023-05-26,0.595
2023-05-29,0.595
2023-05-30,0.56
2023-05-31,0.525
2023-06-01,0.492
2023-06-02,0.54
2023-06-05,0.54
2023-06-06,0.55
2023-06-07,0.59
2023-06-08,0.54
2023-06-09,0.55
2023-06-12,0.55
2023-06-13,0.545
2023-06-14,0.56
2023-06-15,0.535
2023-06-16,0.5
2023-06-19,0.5
2023-06-20,0.486
2023-06-21,0.49
2023-06-22,0.496
2023-06-23,0.496
2023-06-26,0.565
2023-06-27,0.585
2023-06-28,0.535
2023-06-29,0.58
2023-06-30,0.58
2023-07-03,0.575
2023-07-04,0.575
2023-07-05,0.62
2023-07-06,0.575
2023-07-07,0.565
2023-07-10,0.565
2023-07-11,0.565
2023-07-12,0.58
2023-07-13,0.57
2023-07-14,0.57
2023-07-17,0.565
2023-07-18,0.565
2023-07-19,0.555
2023-07-20,0.58
2023-07-21,0.565
2023-07-24,0.545
2023-07-25,0.545
2023-07-26,0.545
2023-07-27,0.54
2023-07-28,0.51
2023-07-31,0.555
2023-08-01,0.6
2023-08-02,0.57
2023-08-03,0.535
2023-08-04,0.535
2023-08-07,0.535
