date,close
2020-03-23,7.05
2020-03-24,7.05
2020-03-25,6.85
2020-03-26,6.6
2020-03-27,5.3
2020-03-30,4.36
2020-03-31,4.2
2020-04-01,4.38
2020-04-02,3.84
2020-04-03,4.04
2020-04-06,4.0
2020-04-07,3.96
2020-04-08,2.78
2020-04-09,2.56
2020-04-14,2.02
2020-04-15,1.72
2020-04-16,1.84
2020-04-17,1.45
2020-04-20,1.51
2020-04-21,1.39
2020-04-22,1.37
2020-04-23,1.18
2020-04-24,1.39
2020-04-27,1.17
2020-04-28,1.16
2020-04-29,1.22
2020-04-30,1.11
2020-05-04,1.11
2020-05-05,1.01
2020-05-06,0.955
2020-05-07,0.8
2020-05-08,0.83
2020-05-11,0.9
2020-05-12,1.01
2020-05-13,0.9
2020-05-14,0.925
2020-05-15,1.07
2020-05-18,1.17
2020-05-19,1.01
2020-05-20,1.6
2020-05-21,1.98
2020-05-22,2.7
2020-05-25,3.18
2020-05-26,2.54
2020-05-27,2.4
2020-05-28,2.42
2020-05-29,1.97
2020-06-02,2.2
2020-06-03,2.28
2020-06-04,2.14
2020-06-05,1.87
2020-06-08,2.0
2020-06-09,1.95
2020-06-10,1.8
2020-06-11,1.47
2020-06-12,1.47
2020-06-15,1.42
2020-06-16,1.43
2020-06-17,1.6
2020-06-18,1.44
2020-06-19,1.34
2020-06-22,1.39
2020-06-23,1.49
2020-06-24,1.3
2020-06-25,1.4
2020-06-26,1.39
2020-06-29,1.33
2020-06-30,1.34
2020-07-01,1.37
2020-07-02,1.43
2020-07-03,1.54
2020-07-06,1.51
2020-07-07,1.45
2020-07-08,1.37
2020-07-09,1.4
2020-07-10,1.26
2020-07-13,1.28
2020-07-14,1.17
2020-07-15,1.12
2020-07-16,1.03
2020-07-17,1.17
2020-07-20,1.21
2020-07-23,1.17
2020-07-24,1.09
2020-07-27,1.13
2020-07-28,1.47
2020-07-29,1.68
2020-07-30,1.95
2020-07-31,1.88
2020-08-03,1.76
2020-08-04,1.5
2020-08-05,1.31
2020-08-06,1.47
2020-08-07,1.52
2020-08-10,1.65
2020-08-11,1.58
2020-08-12,1.74
2020-08-13,1.57
2020-08-14,1.62
2020-08-17,1.64
2020-08-18,1.5
2020-08-19,1.5
2020-08-20,1.46
2020-08-21,1.39
2020-08-24,1.33
2020-08-25,1.28
2020-08-26,1.32
2020-08-27,1.42
2020-08-28,1.41
2020-08-31,1.41
2020-09-01,1.38
2020-09-02,1.39
2020-09-03,1.51
2020-09-04,1.38
2020-09-07,1.37
2020-09-08,1.32
2020-09-09,1.29
2020-09-10,1.21
2020-09-11,1.15
2020-09-14,1.24
2020-09-15,1.21
2020-09-16,1.16
2020-09-17,1.16
2020-09-18,1.06
2020-09-21,1.19
2020-09-22,1.43
2020-09-23,1.3
2020-09-24,1.16
2020-09-25,1.27
2020-09-28,1.22
2020-09-29,1.17
2020-09-30,1.19
2020-10-01,1.18
2020-10-02,1.2
2020-10-05,1.22
2020-10-06,1.15
2020-10-07,1.14
2020-10-08,1.1
2020-10-09,1.13
2020-10-12,1.11
2020-10-13,1.11
2020-10-14,1.07
2020-10-15,1.07
2020-10-16,1.07
2020-10-19,1.04
2020-10-20,1.05
2020-10-21,1.05
2020-10-22,1.01
2020-10-23,1.02
2020-10-26,0.9
2020-10-27,0.93
2020-10-28,0.95
2020-10-29,0.93
2020-10-30,0.915
2020-11-02,0.935
2020-11-03,0.98
2020-11-04,0.91
2020-11-05,0.935
2020-11-06,0.89
2020-11-09,0.915
2020-11-10,0.875
2020-11-11,0.88
2020-11-12,0.825
2020-11-13,0.805
2020-11-16,0.81
2020-11-17,0.725
2020-11-18,0.735
2020-11-19,0.695
2020-11-20,0.64
2020-11-23,0.67
2020-11-24,0.67
2020-11-25,0.68
2020-11-26,0.68
2020-11-27,0.68
2020-11-30,0.68
2020-12-01,0.7
2020-12-02,0.67
2020-12-03,0.71
2020-12-04,0.67
2020-12-07,0.635
2020-12-08,0.525
2020-12-09,0.452
2020-12-10,0.515
2020-12-11,0.505
2020-12-14,0.49
2020-12-15,0.53
2020-12-16,0.525
2020-12-17,0.51
2020-12-18,0.49
2020-12-21,0.468
2020-12-22,0.464
2020-12-23,0.442
2020-12-28,0.51
2020-12-29,0.545
2020-12-30,0.476
2021-01-04,0.48
2021-01-05,0.462
2021-01-06,0.46
2021-01-07,0.442
2021-01-08,0.42
2021-01-11,0.426
2021-01-12,0.424
2021-01-13,0.398
2021-01-14,0.42
2021-01-15,0.404
2021-01-18,0.4
2021-01-19,0.386
2021-01-20,0.39
2021-01-21,0.386
2021-01-22,0.466
2021-01-25,0.545
2021-01-26,0.52
2021-01-27,0.494
2021-01-28,0.535
2021-01-29,0.52
2021-02-01,0.53
2021-02-02,0.47
2021-02-04,0.515
2021-02-05,0.515
2021-02-08,0.498
2021-02-09,0.53
2021-02-10,0.54
2021-02-11,0.515
2021-02-12,0.525
2021-02-15,0.535
2021-02-16,0.53
2021-02-17,0.49
2021-02-18,0.486
2021-02-19,0.492
