date,close
2018-01-02,46.8
2018-01-03,46.2
2018-01-04,46.2
2018-01-05,46.0
2018-01-08,45.6
2018-01-09,46.8
2018-01-10,45.4
2018-01-11,46.8
2018-01-12,49.2
2018-01-15,48.8
2018-01-16,48.8
2018-01-17,49.2
2018-01-18,48.8
2018-01-19,48.8
2018-01-22,48.8
2018-01-23,49.0
2018-01-24,45.8
2018-01-25,44.2
2018-01-26,44.4
2018-01-29,44.6
2018-01-30,44.67
2018-01-31,44.88
2018-02-01,45.54
2018-02-02,44.97
2018-02-05,43.65
2018-02-06,41.28
2018-02-07,43.4
2018-02-08,42.14
2018-02-09,41.24
2018-02-12,41.18
2018-02-13,42.06
2018-02-14,42.21
2018-02-15,41.8
2018-02-16,42.69
2018-02-19,42.39
2018-02-20,43.02
2018-02-21,43.43
2018-02-22,43.18
2018-02-23,42.75
2018-02-27,44.02
2018-02-28,43.89
2018-03-02,42.99
2018-03-05,43.07
2018-03-06,43.89
2018-03-07,42.91
2018-03-08,44.15
2018-03-09,44.14
2018-03-12,45.37
2018-03-13,45.55
2018-03-14,45.58
2018-03-15,45.18
2018-03-16,45.52
2018-03-19,45.83
2018-03-20,45.11
2018-03-21,45.11
2018-03-22,44.95
2018-03-23,44.52
2018-03-26,43.68
2018-03-27,44.05
2018-03-28,44.13
2018-03-29,43.62
2018-04-03,43.07
2018-04-04,42.98
2018-04-05,44.2
2018-04-06,44.1
2018-04-09,42.97
2018-04-10,42.09
2018-04-11,41.96
2018-04-12,41.4
2018-04-13,42.85
2018-04-16,43.58
2018-04-17,44.11
2018-04-18,43.91
2018-04-19,44.4
2018-04-20,44.4
2018-04-23,44.91
2018-04-24,44.49
2018-04-25,43.92
2018-04-26,43.98
2018-04-27,44.16
2018-04-30,43.98
2018-05-02,43.7
2018-05-03,43.5
2018-05-04,43.02
2018-05-07,43.81
2018-05-08,43.33
2018-05-09,44.05
2018-05-10,43.7
2018-05-11,44.28
2018-05-14,44.0
2018-05-15,44.0
2018-05-16,44.01
2018-05-17,45.41
2018-05-18,45.06
2018-05-22,46.16
2018-05-23,45.08
2018-05-24,46.22
2018-05-25,47.82
2018-05-28,47.62
2018-05-29,47.87
2018-05-30,46.92
2018-05-31,46.58
2018-06-01,46.83
2018-06-04,47.19
2018-06-05,47.0
2018-06-06,44.62
2018-06-07,45.64
2018-06-08,45.17
2018-06-11,46.9
2018-06-12,46.43
2018-06-13,46.36
2018-06-14,46.07
2018-06-15,47.22
2018-06-18,47.23
2018-06-19,46.7
2018-06-21,46.56
2018-06-22,46.36
2018-06-25,43.99
2018-06-26,43.88
2018-06-27,43.66
2018-06-28,43.1
2018-06-29,42.56
2018-07-03,42.92
2018-07-04,41.75
2018-07-05,41.91
2018-07-06,41.91
