date,close
2018-01-02,3.054
2018-01-03,3.003
2018-01-04,3.2
2018-01-05,3.226
2018-01-08,3.194
2018-01-09,3.3
2018-01-10,3.18
2018-01-11,3.187
2018-01-12,3.657
2018-01-15,3.576
2018-01-16,6.861
2018-01-17,6.517
2018-01-18,6.274
2018-01-19,5.905
2018-01-22,5.664
2018-01-23,5.34
2018-01-24,5.466
2018-01-25,5.282
2018-01-26,5.252
2018-01-29,5.956
2018-01-30,5.706
2018-01-31,5.96
2018-02-01,5.763
2018-02-02,5.862
2018-02-05,5.851
2018-02-06,6.193
2018-02-07,5.845
2018-02-08,5.934
2018-02-09,5.808
2018-02-12,5.794
2018-02-13,5.773
2018-02-14,5.56
2018-02-15,5.424
2018-02-16,5.291
2018-02-19,5.432
2018-02-20,5.699
2018-02-21,7.283
2018-02-22,7.817
2018-02-23,7.578
2018-02-26,7.663
2018-02-27,7.522
2018-02-28,7.761
2018-03-01,7.765
2018-03-02,8.198
2018-03-05,7.7
2018-03-06,7.703
2018-03-07,7.498
2018-03-08,7.312
2018-03-09,7.294
2018-03-12,7.025
2018-03-13,7.062
2018-03-14,7.019
2018-03-15,6.723
2018-03-16,6.805
2018-03-19,6.861
2018-03-20,6.863
2018-03-21,6.706
2018-03-22,5.32
2018-03-23,5.351
2018-03-26,5.455
2018-03-27,5.41
2018-03-28,5.701
2018-03-29,5.604
2018-04-03,5.526
2018-04-04,5.601
2018-04-05,5.552
2018-04-06,5.849
2018-04-09,6.191
2018-04-10,5.912
2018-04-11,5.962
2018-04-12,6.17
2018-04-13,6.2
2018-04-16,6.168
2018-04-17,5.626
2018-04-18,5.922
2018-04-19,5.904
2018-04-20,6.345
2018-04-23,6.046
2018-04-24,6.158
2018-04-25,6.42
2018-04-26,6.066
2018-04-27,6.347
2018-04-30,6.305
2018-05-02,8.149
2018-05-03,7.185
2018-05-04,7.305
2018-05-07,6.797
2018-05-08,7.23
2018-05-09,6.998
2018-05-10,6.992
2018-05-11,6.977
2018-05-14,7.439
2018-05-15,6.986
2018-05-16,7.042
2018-05-17,6.979
2018-05-18,7.015
2018-05-22,7.64
2018-05-23,7.562
2018-05-24,7.004
2018-05-25,7.024
2018-05-28,6.694
2018-05-29,6.737
2018-05-30,6.388
2018-05-31,6.426
2018-06-01,6.329
2018-06-04,6.348
2018-06-05,5.783
2018-06-06,5.839
2018-06-07,5.584
2018-06-08,5.92
2018-06-11,5.612
2018-06-12,5.844
2018-06-13,5.766
2018-06-14,5.621
2018-06-15,5.639
2018-06-18,5.672
2018-06-19,5.712
2018-06-20,5.657
2018-06-21,5.6
2018-06-22,5.351
2018-06-25,5.308
2018-06-26,5.307
2018-06-27,5.37
2018-06-28,5.104
2018-06-29,5.0
2018-07-02,4.61
2018-07-03,4.756
2018-07-04,4.739
2018-07-05,4.758
2018-07-06,4.676
