date,close
2018-01-02,1.082
2018-01-03,1.083
2018-01-04,1.072
2018-01-05,1.082
2018-01-08,1.088
2018-01-09,1.073
2018-01-10,1.082
2018-01-11,1.103
2018-01-12,1.077
2018-01-15,1.088
2018-01-16,1.079
2018-01-17,1.084
2018-01-18,1.042
2018-01-19,1.071
2018-01-22,1.073
2018-01-23,1.042
2018-01-24,1.036
2018-01-25,1.079
2018-01-26,1.081
2018-01-29,1.066
2018-01-30,1.062
2018-01-31,1.061
2018-02-01,1.069
2018-02-02,1.07
2018-02-05,1.066
2018-02-06,1.07
2018-02-07,1.062
2018-02-08,1.083
2018-02-09,1.09
2018-02-12,1.088
2018-02-13,1.024
2018-02-14,1.01
2018-02-15,1.014
2018-02-16,1.026
2018-02-19,1.004
2018-02-20,1.041
2018-02-21,1.017
2018-02-22,1.007
2018-02-23,1.007
2018-02-26,1.007
2018-02-27,1.016
2018-02-28,1.016
2018-03-01,1.005
2018-03-02,0.993
2018-03-05,0.99
2018-03-06,0.985
2018-03-07,0.988
2018-03-08,1.02
2018-03-09,1.023
2018-03-12,1.059
2018-03-13,1.037
2018-03-14,0.99
2018-03-15,0.987
2018-03-16,1.009
2018-03-19,1.011
2018-03-20,1.024
2018-03-21,0.982
2018-03-22,1.007
2018-03-23,0.985
2018-03-26,1.004
2018-03-27,0.986
2018-03-28,1.015
2018-03-29,0.987
2018-04-03,1.03
2018-04-04,1.048
2018-04-05,1.011
2018-04-06,1.019
2018-04-09,0.985
2018-04-10,1.013
2018-04-11,1.013
2018-04-12,0.99
2018-04-13,1.015
2018-04-16,1.021
2018-04-17,1.028
2018-04-18,1.029
2018-04-19,1.033
2018-04-20,0.99
2018-04-23,1.015
2018-04-24,1.02
2018-04-25,0.983
2018-04-26,1.012
2018-04-27,1.017
2018-04-30,0.986
2018-05-02,1.032
2018-05-03,1.03
2018-05-04,1.025
2018-05-07,0.99
2018-05-08,0.993
2018-05-09,1.021
2018-05-10,1.003
2018-05-11,0.997
2018-05-14,0.998
