date,close
2019-04-01,1.954
2019-04-02,1.98
2019-04-03,2.385
2019-04-04,2.295
2019-04-05,2.21
2019-04-08,2.39
2019-04-09,2.395
2019-04-10,3.48
2019-04-11,5.1
2019-04-12,5.6
2019-04-15,5.78
2019-04-16,5.77
2019-04-17,5.03
2019-04-18,4.9
2019-04-23,4.825
2019-04-24,4.785
2019-04-25,4.8
2019-04-26,4.8
2019-04-29,4.63
2019-04-30,4.63
2019-05-02,4.335
2019-05-03,4.545
2019-05-06,4.49
2019-05-07,4.54
2019-05-08,4.59
2019-05-09,4.5
2019-05-10,4.51
2019-05-13,4.405
2019-05-14,4.675
2019-05-15,4.84
2019-05-16,4.74
2019-05-17,4.74
2019-05-20,4.74
2019-05-21,4.89
2019-05-22,4.865
2019-05-23,4.935
2019-05-24,5.3
2019-05-27,5.7
2019-05-28,5.74
2019-05-29,5.4
2019-05-30,5.36
2019-05-31,5.35
2019-06-03,5.23
2019-06-04,5.25
2019-06-05,5.23
2019-06-06,5.18
2019-06-07,5.15
2019-06-11,5.25
2019-06-12,5.28
2019-06-13,5.18
2019-06-14,5.28
2019-06-17,5.32
2019-06-18,5.3
2019-06-19,5.4
2019-06-20,5.56
2019-06-21,5.68
2019-06-24,5.54
2019-06-25,5.53
2019-06-26,5.54
2019-06-27,5.54
2019-06-28,5.54
2019-07-01,5.5
2019-07-02,5.35
2019-07-03,5.34
2019-07-04,5.33
2019-07-05,5.4
2019-07-08,5.39
2019-07-09,6.01
2019-07-10,5.92
2019-07-11,5.88
2019-07-12,5.91
2019-07-15,6.15
2019-07-16,7.59
2019-07-17,7.91
2019-07-18,7.12
2019-07-19,7.0
2019-07-22,7.19
2019-07-23,7.28
2019-07-24,7.41
2019-07-25,7.41
2019-07-26,7.49
2019-07-29,7.41
2019-07-30,7.53
2019-07-31,7.11
2019-08-01,6.86
2019-08-02,6.27
2019-08-05,6.0
2019-08-06,6.31
2019-08-07,6.85
2019-08-08,6.81
2019-08-12,6.53
2019-08-13,6.33
2019-08-14,6.4
2019-08-15,6.09
2019-08-16,6.31
2019-08-19,6.31
2019-08-20,6.61
2019-08-21,6.6
2019-08-22,6.61
2019-08-23,6.5
2019-08-26,6.55
2019-08-27,6.44
2019-08-28,6.49
2019-08-29,6.5
2019-08-30,6.47
2019-09-02,6.46
2019-09-03,6.48
2019-09-04,6.41
2019-09-05,6.45
2019-09-06,6.34
2019-09-09,6.13
2019-09-10,6.15
2019-09-11,6.14
2019-09-12,6.36
2019-09-13,6.42
2019-09-16,6.39
2019-09-17,6.23
2019-09-18,6.23
2019-09-19,6.24
2019-09-20,6.23
2019-09-23,6.22
2019-09-24,6.21
2019-09-25,6.1
2019-09-26,6.15
2019-09-27,5.93
2019-09-30,5.77
2019-10-01,5.97
2019-10-02,6.0
2019-10-04,5.99
2019-10-07,5.91
2019-10-08,5.82
2019-10-09,5.76
2019-10-10,5.77
2019-10-11,5.75
2019-10-14,5.86
2019-10-15,5.86
2019-10-16,5.84
2019-10-17,5.81
2019-10-18,5.78
2019-10-21,5.97
2019-10-22,6.07
2019-10-24,5.59
2019-10-25,5.68
2019-10-28,5.57
2019-10-29,5.52
2019-10-30,5.36
2019-10-31,5.3
2019-11-01,5.27
2019-11-04,5.44
2019-11-05,5.29
2019-11-06,5.4
2019-11-07,5.37
2019-11-08,5.35
2019-11-11,5.3
2019-11-12,5.28
2019-11-13,5.25
2019-11-14,5.35
2019-11-15,5.34
2019-11-18,5.24
2019-11-19,5.09
2019-11-20,5.17
2019-11-21,5.3
2019-11-22,5.25
2019-11-25,5.28
2019-11-26,5.23
2019-11-27,5.37
2019-11-29,5.09
2019-12-02,5.28
2019-12-03,5.26
2019-12-04,5.25
2019-12-05,5.13
2019-12-06,5.13
2019-12-09,5.13
2019-12-10,5.07
2019-12-11,5.06
2019-12-12,5.11
2019-12-13,5.15
2019-12-16,5.2
2019-12-17,5.2
2019-12-18,5.23
2019-12-19,5.18
2019-12-20,5.19
2019-12-23,5.1
2019-12-27,5.21
2019-12-30,5.08
2020-01-03,5.13
2020-01-06,5.15
2020-01-07,5.15
2020-01-08,5.1
2020-01-09,5.19
2020-01-10,5.16
2020-01-13,6.06
2020-01-14,7.35
2020-01-15,7.67
2020-01-16,7.48
2020-01-17,6.75
2020-01-20,6.67
2020-01-21,6.64
2020-01-22,6.97
2020-01-23,7.18
2020-01-24,6.94
2020-01-27,6.54
2020-01-28,6.62
2020-01-29,6.72
2020-01-30,6.38
2020-01-31,6.16
2020-02-03,6.03
2020-02-04,5.91
2020-02-05,5.72
2020-02-06,5.98
2020-02-07,5.89
2020-02-10,6.25
2020-02-11,6.53
2020-02-12,6.49
2020-02-13,6.32
2020-02-14,6.2
2020-02-17,6.17
2020-02-18,5.95
2020-02-19,6.03
2020-02-20,5.98
2020-02-21,5.84
2020-02-24,5.46
2020-02-25,5.42
2020-02-26,5.35
2020-02-27,5.1
2020-02-28,4.555
2020-03-02,5.1
2020-03-03,5.34
2020-03-04,5.22
2020-03-05,4.96
2020-03-06,4.785
2020-03-09,4.7
2020-03-10,5.75
2020-03-11,4.59
2020-03-12,3.87
2020-03-13,3.77
2020-03-16,4.1
2020-03-17,4.2
2020-03-18,3.855
2020-03-19,3.93
2020-03-20,3.995
2020-03-23,3.825
2020-03-24,3.965
2020-03-25,4.195
2020-03-26,4.255
2020-03-27,4.115
2020-03-30,3.98
2020-03-31,3.97
2020-04-03,3.815
2020-04-06,3.9
2020-04-07,4.125
2020-04-08,4.025
2020-04-09,4.1
2020-04-14,4.01
2020-04-15,3.905
2020-04-16,4.4
2020-04-17,4.465
2020-04-20,4.385
2020-04-21,4.29
2020-04-22,4.315
2020-04-23,4.345
2020-04-24,4.355
2020-04-27,4.41
2020-04-28,4.465
2020-04-29,4.205
2020-04-30,4.125
2020-05-04,3.985
2020-05-05,4.0
2020-05-06,3.93
2020-05-07,3.975
2020-05-08,3.965
2020-05-11,3.92
2020-05-12,3.98
2020-05-13,3.925
2020-05-14,3.7
2020-05-15,3.69
2020-05-18,3.75
2020-05-19,3.725
2020-05-20,3.86
2020-05-21,3.925
2020-05-22,3.885
2020-05-25,3.77
2020-05-26,3.93
2020-05-27,4.01
2020-05-28,4.095
2020-05-29,3.975
