date,close
2022-01-06,5.76
2022-01-07,6.417
2022-01-10,5.934
2022-01-11,6.4425
2022-01-12,6.795
2022-01-13,6.626
2022-01-14,6.803
2022-01-17,6.4685
2022-01-18,6.1145
2022-01-19,6.0295
2022-01-20,6.348
2022-01-21,5.5075
2022-01-24,4.2376
2022-01-25,4.6386
2022-01-26,4.786
2022-01-27,4.5512
2022-01-28,4.5186
2022-01-31,4.6354
2022-02-01,4.9324
2022-02-02,4.7524
2022-02-03,4.6314
2022-02-04,5.028
2022-02-07,5.6505
2022-02-08,5.349
2022-02-09,5.47
2022-02-10,5.451
2022-02-11,5.055
2022-02-14,4.7056
2022-02-15,4.9542
2022-02-16,4.7986
2022-02-17,4.646
2022-02-18,4.467
2022-02-21,4.264
2022-02-22,4.0408
2022-02-23,4.2528
2022-02-24,3.819
2022-02-25,4.1046
2022-02-28,4.4468
2022-03-01,4.6408
2022-03-02,4.6514
2022-03-03,4.5144
2022-03-04,4.237
2022-03-07,4.214
2022-03-08,4.1618
2022-03-09,4.4954
2022-03-10,4.2096
2022-03-11,4.498
2022-03-14,4.3738
2022-03-15,4.378
2022-03-16,4.4932
2022-03-17,4.6696
2022-03-18,4.666
2022-03-21,4.6656
2022-03-22,4.957
2022-03-23,5.1715
2022-03-24,5.2865
2022-03-25,5.1355
2022-03-28,5.684
2022-03-29,5.6265
2022-03-30,5.4605
2022-03-31,5.4365
2022-04-01,5.427
2022-04-04,5.486
2022-04-05,5.5305
2022-04-06,5.018
2022-04-07,4.9094
2022-04-08,5.0535
2022-04-11,4.4156
2022-04-12,4.4128
2022-04-13,4.524
2022-04-14,4.416
2022-04-19,4.6186
2022-04-20,4.7164
2022-04-21,4.791
2022-04-22,4.5276
2022-04-25,4.3826
2022-04-26,4.2646
2022-04-27,4.2048
2022-04-28,4.2084
2022-04-29,4.1104
2022-05-02,3.7028
2022-05-03,3.7242
2022-05-04,3.715
2022-05-05,3.648
2022-05-06,3.5598
2022-05-09,2.8256
2022-05-10,2.9016
2022-05-11,2.4634
2022-05-12,2.1968
2022-05-13,2.7706
2022-05-16,2.741
2022-05-17,2.6802
2022-05-18,2.4458
2022-05-19,2.5526
2022-05-20,2.3816
2022-05-23,2.62
2022-05-24,2.4292
2022-05-25,2.4376
2022-05-26,2.31
2022-05-27,2.3658
2022-05-30,2.5424
2022-05-31,2.514
2022-06-01,2.4982
2022-06-02,2.3696
2022-06-03,2.291
2022-06-06,2.3922
2022-06-07,2.2432
2022-06-08,2.2592
2022-06-09,2.283
2022-06-10,2.1838
2022-06-13,1.704
2022-06-14,1.8294
2022-06-15,1.7779
2022-06-16,1.8337
2022-06-17,1.7862
2022-06-20,1.9103
2022-06-21,2.0128
2022-06-22,1.8868
2022-06-23,1.8466
2022-06-24,1.9945
2022-06-27,1.9544
2022-06-28,1.8819
2022-06-29,1.7734
2022-06-30,1.6851
2022-07-01,1.6555
2022-07-04,1.7238
2022-07-05,1.6499
2022-07-06,1.6965
2022-07-07,1.7505
2022-07-08,1.7604
2022-07-11,1.6771
2022-07-12,1.6089
2022-07-13,1.5407
2022-07-14,1.5892
2022-07-15,1.694
2022-07-18,1.872
2022-07-19,1.9129
2022-07-20,1.9575
2022-07-21,1.8105
2022-07-22,1.8621
2022-07-25,1.7396
2022-07-26,1.6198
2022-07-27,1.6789
2022-07-28,1.9316
2022-07-29,2.0162
2022-08-01,2.0882
2022-08-02,1.969
2022-08-03,2.0304
2022-08-04,2.0032
2022-08-05,2.0668
2022-08-08,2.2634
2022-08-09,2.155
2022-08-10,2.3652
2022-08-11,2.3084
2022-08-12,2.3202
2022-08-15,2.1912
2022-08-16,2.1642
2022-08-17,2.0704
2022-08-18,2.0904
2022-08-19,1.8463
2022-08-22,1.7719
2022-08-23,1.8696
2022-08-24,1.8826
2022-08-25,1.8453
2022-08-26,1.7758
2022-08-29,1.7802
2022-08-30,1.7284
2022-08-31,1.7451
2022-09-01,1.7203
2022-09-02,1.8474
2022-09-05,1.8512
2022-09-06,1.8687
2022-09-07,1.751
2022-09-08,1.7938
2022-09-09,1.9258
2022-09-12,1.936
2022-09-13,1.7841
2022-09-14,1.7709
2022-09-15,1.705
2022-09-16,1.6844
2022-09-19,1.5624
2022-09-20,1.5513
2022-09-21,1.55
2022-09-22,1.5611
2022-09-23,1.5579
2022-09-26,1.6068
2022-09-27,1.6377
2022-09-28,1.5699
2022-09-29,1.5616
2022-09-30,1.5948
2022-10-03,1.5439
2022-10-04,1.5864
2022-10-05,1.5535
2022-10-06,1.5707
2022-10-07,1.5504
2022-10-10,1.5588
2022-10-11,1.5292
2022-10-13,1.4681
2022-10-14,1.5035
2022-10-17,1.5285
2022-10-18,1.5049
2022-10-19,1.5145
2022-10-20,1.5025
2022-10-21,1.4179
2022-10-24,1.4344
2022-10-25,1.5051
2022-10-26,1.5991
2022-10-27,1.583
2022-10-28,1.5756
2022-10-31,1.6279
2022-11-01,1.5876
2022-11-02,1.5583
2022-11-03,1.5843
2022-11-04,1.6651
2022-11-07,1.7508
2022-11-08,1.6917
2022-11-09,1.4507
2022-11-10,1.497
2022-11-11,1.3625
2022-11-14,1.4251
2022-11-15,1.4716
2022-11-16,1.394
2022-11-17,1.3906
2022-11-18,1.393
2022-11-21,1.2625
2022-11-22,1.2985
2022-11-23,1.3098
2022-11-24,1.3183
