date,close
2019-09-20,1.349
2019-12-02,1.2785
2020-03-11,1.2169
2020-10-05,1.378
2020-12-03,1.662
2020-12-04,1.71
2020-12-07,1.694
2020-12-08,1.656
2020-12-09,1.72
2020-12-10,1.722
2020-12-11,1.704
2020-12-14,1.66
2020-12-15,1.71
2020-12-16,1.692
2020-12-17,1.69
2020-12-18,1.7
2020-12-21,1.7
2020-12-22,1.694
2020-12-23,1.7
2020-12-28,1.706
2020-12-29,1.706
2020-12-30,1.684
2021-01-04,1.728
2021-01-05,1.748
2021-01-06,1.712
2021-01-07,1.692
2021-01-08,1.7
2021-01-11,1.676
2021-01-12,1.682
2021-01-13,1.668
2021-01-14,1.67
2021-01-15,1.63
2021-01-18,1.638
2021-01-19,1.628
2021-01-20,1.66
2021-01-21,1.67
2021-01-22,1.664
2021-01-25,1.686
2021-01-26,1.67
2021-01-27,1.7
2021-02-19,2.365
