date,close
2018-01-02,21.12
2018-01-03,21.46
2018-01-04,22.5
2018-01-05,22.36
2018-01-08,23.0
2018-01-09,22.6
2018-01-10,22.5
2018-01-11,22.64
2018-01-12,22.74
2018-01-15,22.52
2018-01-16,22.86
2018-01-17,22.64
2018-01-18,22.1
2018-01-19,22.56
2018-01-22,22.34
2018-01-23,22.6
2018-01-24,23.6
2018-01-25,23.32
2018-01-26,23.96
2018-01-29,24.88
2018-01-30,24.12
2018-01-31,23.48
2018-02-01,23.38
2018-02-02,23.34
2018-02-05,21.64
2018-02-06,21.28
2018-02-07,22.04
2018-02-08,22.6
2018-02-09,21.78
2018-02-12,22.36
2018-02-13,23.02
2018-02-14,23.3
2018-02-15,23.72
2018-02-16,23.86
2018-02-19,23.92
2018-02-20,24.12
2018-02-21,24.08
2018-02-22,24.12
2018-02-23,24.2
2018-02-26,24.04
2018-02-27,24.88
2018-02-28,24.7
2018-03-01,24.5
2018-03-02,23.4
2018-03-05,23.24
2018-03-06,24.56
2018-03-07,24.8
2018-03-08,24.64
2018-03-09,24.74
2018-03-12,24.6
2018-03-13,24.72
2018-03-14,24.72
2018-03-15,25.8
2018-03-16,25.78
2018-03-19,25.84
2018-03-20,25.66
2018-03-21,25.9
2018-03-22,25.82
2018-03-23,24.62
2018-03-26,24.96
2018-03-27,26.14
2018-03-28,25.46
2018-03-29,24.84
2018-04-03,24.36
2018-04-04,23.98
2018-04-05,23.98
2018-04-06,24.64
2018-04-09,24.84
2018-04-10,25.82
2018-04-11,25.74
2018-04-12,25.26
2018-04-13,25.7
2018-04-16,25.42
2018-04-17,24.88
2018-04-18,24.76
2018-04-19,24.3
2018-04-20,24.06
2018-04-23,24.36
2018-04-24,23.96
2018-04-25,23.84
2018-04-26,23.7
2018-04-27,24.56
2018-04-30,23.96
2018-05-02,24.18
2018-05-03,24.68
2018-05-04,24.04
2018-05-07,24.66
2018-05-08,23.66
2018-05-09,23.28
2018-05-10,23.62
2018-05-11,23.8
2018-05-14,23.82
2018-05-15,24.3
2018-05-16,24.56
2018-05-17,24.46
2018-05-18,24.56
2018-05-22,24.96
2018-05-23,24.82
2018-05-24,24.58
2018-05-25,24.44
2018-05-28,23.66
2018-05-29,22.7
2018-05-30,23.06
2018-05-31,24.2
2018-06-01,24.28
2018-06-04,24.2
2018-06-05,24.2
2018-06-06,24.48
2018-06-07,24.9
2018-06-08,24.86
2018-06-11,24.86
2018-06-12,24.66
2018-06-13,25.2
2018-06-14,26.0
2018-06-15,25.94
2018-06-18,25.7
2018-06-19,25.48
2018-06-20,26.1
2018-06-21,26.5
2018-06-22,26.0
2018-06-25,26.68
2018-06-26,26.1
2018-06-27,25.94
2018-06-28,26.18
2018-06-29,26.34
2018-07-02,27.64
2018-07-03,27.92
2018-07-04,27.52
2018-07-05,28.0
2018-07-06,27.92
2018-07-09,29.2
2018-07-10,29.12
2018-07-11,29.02
2018-07-12,29.28
2018-07-13,29.52
2018-07-16,29.3
2018-07-17,30.08
2018-07-18,30.02
2018-07-19,29.76
2018-07-20,30.48
2018-07-23,29.76
2018-07-24,29.0
2018-07-25,30.5
2018-07-26,30.68
2018-07-27,30.0
2018-07-30,31.54
2018-07-31,30.5
2018-08-01,30.08
2018-08-02,30.1
2018-08-03,29.94
2018-08-06,30.44
2018-08-07,31.0
2018-08-08,30.2
2018-08-09,30.16
2018-08-10,30.02
2018-08-13,29.1
2018-08-14,29.26
2018-08-15,29.0
2018-08-16,28.54
2018-08-17,28.44
2018-08-20,29.5
2018-08-21,29.92
2018-08-22,29.72
2018-08-23,29.68
2018-08-24,30.08
2018-08-27,30.3
2018-08-28,30.6
2018-08-29,30.34
2018-08-30,29.96
2018-08-31,30.12
2018-09-03,29.7
2018-09-04,29.5
2018-09-05,29.7
2018-09-06,28.54
2018-09-07,28.44
2018-09-10,28.62
2018-09-11,29.26
2018-09-12,29.16
2018-09-13,28.88
2018-09-14,28.54
2018-09-17,27.3
2018-09-18,26.74
2018-09-19,26.74
2018-09-20,27.6
2018-09-21,27.18
2018-09-24,26.92
2018-09-25,27.68
2018-09-26,27.28
2018-09-27,26.98
2018-09-28,26.86
2018-10-01,26.64
2018-10-02,27.16
2018-10-04,27.26
2018-10-05,27.4
2018-10-08,26.38
2018-10-09,26.34
2018-10-10,25.94
2018-10-11,24.72
2018-10-12,25.02
2018-10-15,25.22
2018-10-16,25.1
2018-10-17,25.8
2018-10-18,26.02
2018-10-19,25.7
2018-10-22,26.3
2018-10-23,25.0
2018-10-24,24.7
2018-10-25,24.28
2018-10-26,24.3
2018-10-29,25.12
2018-10-30,25.18
2018-10-31,25.02
2018-11-01,25.38
2018-11-02,25.64
2018-11-05,24.96
2018-11-06,24.46
2018-11-07,25.24
2018-11-08,25.26
2018-11-09,25.4
2018-11-12,25.38
2018-11-13,24.36
2018-11-14,24.44
2018-11-15,24.34
2018-11-16,24.26
2018-11-19,23.86
2018-11-20,23.1
2018-11-21,22.9
2018-11-22,23.0
2018-11-23,22.9
2018-11-26,23.18
2018-11-27,23.24
2018-11-28,23.18
2018-11-29,23.5
2018-11-30,23.56
2018-12-03,23.06
2018-12-04,22.76
2018-12-05,22.48
2018-12-06,21.68
2018-12-07,21.78
2018-12-10,21.32
2018-12-11,21.08
2018-12-12,21.02
2018-12-13,21.38
2018-12-14,21.78
2018-12-17,21.84
2018-12-18,20.5
2018-12-19,20.7
2018-12-20,19.97
2018-12-21,19.49
2018-12-27,19.91
2018-12-28,20.26
2019-01-02,20.1
2019-01-03,20.08
2019-01-04,19.73
2019-01-07,20.38
2019-01-08,20.92
2019-01-09,21.34
2019-01-10,21.4
2019-01-11,21.32
2019-01-14,21.02
2019-01-15,21.08
2019-01-16,21.08
2019-01-17,21.1
2019-01-18,21.66
2019-01-21,21.82
2019-01-22,21.44
2019-01-23,21.32
2019-01-24,21.86
2019-01-25,22.02
2019-01-28,22.02
2019-01-29,22.1
2019-01-30,22.46
2019-01-31,22.28
2019-02-01,21.98
2019-02-04,21.88
2019-02-05,21.84
2019-02-06,22.28
2019-02-07,21.94
2019-02-08,21.3
2019-02-11,21.26
2019-02-12,21.82
2019-02-13,22.22
2019-02-14,21.78
2019-02-15,21.1
2019-02-18,21.86
2019-02-19,22.04
2019-02-20,21.72
2019-02-21,21.78
2019-02-22,21.4
2019-02-25,20.98
2019-02-26,20.82
2019-02-27,21.12
2019-02-28,20.68
2019-03-01,20.62
2019-03-04,21.4
2019-03-05,21.64
2019-03-06,21.52
2019-03-07,21.74
2019-03-08,21.96
2019-03-11,22.08
2019-03-12,22.12
2019-03-13,22.28
2019-03-14,23.2
2019-03-15,23.1
2019-03-18,22.96
2019-03-19,23.18
2019-03-20,22.96
2019-03-21,22.86
2019-03-22,22.92
2019-03-25,22.3
2019-03-26,22.16
2019-03-27,22.24
2019-03-28,22.32
2019-03-29,22.5
2019-04-01,22.98
2019-04-02,22.9
2019-04-03,23.26
2019-04-04,23.24
2019-04-05,23.06
2019-04-08,22.68
2019-04-09,23.24
2019-04-10,22.48
2019-04-11,22.16
2019-04-12,21.96
2019-04-15,22.44
2019-04-16,23.32
2019-04-17,23.08
2019-04-18,23.2
2019-04-23,23.06
2019-04-24,23.32
2019-04-25,22.76
2019-04-26,23.3
2019-04-29,23.32
2019-04-30,23.4
2019-05-02,23.5
2019-05-03,23.52
2019-05-06,24.18
2019-05-07,23.94
2019-05-08,23.8
2019-05-09,24.38
2019-05-10,23.82
2019-05-13,23.12
2019-05-14,22.86
2019-05-15,23.56
2019-05-16,23.36
2019-05-17,23.18
2019-05-20,22.88
2019-05-21,22.54
2019-05-22,22.46
2019-05-23,22.42
