date,close
2018-01-02,1.447
2018-01-03,1.513
2018-01-04,1.455
2018-01-05,1.453
2018-01-08,1.451
2018-01-09,1.449
2018-01-10,1.33
2018-01-11,1.501
2018-01-12,1.519
2018-01-15,1.401
2018-01-16,1.527
2018-01-17,1.446
2018-01-18,1.446
2018-01-19,1.492
2018-01-22,1.504
2018-01-23,1.489
2018-01-24,1.519
2018-01-25,1.47
2018-01-26,1.446
2018-01-29,1.451
2018-01-30,1.456
2018-01-31,1.658
2018-02-01,1.473
2018-02-02,1.5
2018-02-05,1.555
2018-02-06,1.532
2018-02-07,1.522
2018-02-08,1.532
2018-02-09,1.653
2018-02-12,1.649
2018-02-13,1.655
2018-02-14,1.65
2018-02-15,1.642
2018-02-16,1.653
2018-02-19,1.661
2018-02-20,1.638
2018-02-21,1.653
2018-02-22,1.638
2018-02-23,1.656
2018-02-26,1.664
2018-02-27,1.647
2018-02-28,1.684
2018-03-01,1.673
2018-03-02,1.658
2018-03-05,1.67
2018-03-08,1.662
2018-03-09,1.679
2018-03-12,1.675
2018-03-13,1.666
2018-03-15,1.642
2018-03-16,1.682
2018-03-19,1.671
2018-03-20,1.843
2018-03-22,2.345
2018-03-23,2.16
2018-03-26,1.885
2018-03-29,1.782
2018-04-03,2.062
2018-04-06,1.88
2018-04-09,2.26
2018-04-10,2.068
2018-04-11,2.075
2018-04-24,2.246
2018-04-25,2.207
2018-04-26,2.237
2018-04-30,2.241
2018-05-02,2.287
2018-05-03,2.289
2018-05-04,2.272
2018-05-07,2.284
2018-05-08,2.344
2018-05-09,2.3
2018-05-10,2.376
2018-05-11,2.424
2018-05-25,2.2
2018-05-29,2.138
2018-05-30,2.139
2018-05-31,2.335
2018-06-07,2.243
2018-06-11,2.232
2018-06-12,2.244
2018-06-13,2.23
2018-06-14,2.214
2018-06-15,2.337
2018-06-18,2.257
2018-06-20,2.342
2018-07-02,2.429
2018-07-03,2.044
2018-07-04,2.007
2018-07-05,2.019
2018-07-09,2.024
2018-07-10,2.017
2018-07-11,2.034
2018-07-12,2.029
2018-07-13,2.012
2018-07-16,2.005
2018-07-17,2.006
2018-07-18,2.014
2018-07-19,2.017
2018-07-20,2.008
2018-07-23,2.021
2018-07-24,2.02
2018-07-26,2.017
2018-07-27,2.007
2018-08-29,2.239
2018-08-30,2.243
2018-08-31,2.093
2018-09-03,2.093
2018-09-05,2.084
2018-09-06,2.09
2018-09-07,2.259
2018-09-12,2.043
2018-09-13,2.068
2018-09-18,2.286
2018-09-19,2.325
2018-09-20,2.343
2018-09-25,2.329
2018-09-27,2.159
2018-09-28,2.148
2018-10-01,2.146
2018-10-02,2.345
