date,close
2018-01-02,9.05
2018-01-05,9.15
2018-01-08,8.95
2018-01-09,9.1
2018-01-11,9.2
2018-01-12,9.1
2018-01-15,9.25
2018-01-22,9.05
2018-01-23,9.05
2018-01-24,9.05
2018-01-25,8.95
2018-01-30,9.0
2018-01-31,8.95
2018-02-02,8.8
2018-02-05,8.35
2018-02-06,8.15
2018-02-08,7.7
2018-02-09,7.25
2018-02-12,8.1
2018-02-14,8.3
2018-02-15,8.6
2018-02-16,9.05
2018-02-19,9.55
2018-02-20,9.85
2018-02-21,9.8
2018-02-22,9.5
2018-02-23,9.5
2018-02-26,9.4
2018-02-27,9.4
2018-03-02,9.15
2018-03-05,9.1
2018-03-06,9.1
2018-03-07,9.05
2018-03-09,8.95
2018-03-12,9.0
2018-03-14,8.9
2018-03-15,8.45
2018-03-16,8.75
2018-03-19,8.8
2018-03-22,8.1
2018-03-23,7.9
2018-03-26,7.95
2018-03-28,7.75
2018-03-29,7.8
2018-04-03,7.65
2018-04-04,7.7
2018-04-06,7.8
2018-04-09,7.55
2018-04-10,7.55
2018-04-11,7.7
2018-04-12,7.65
2018-04-19,7.95
2018-04-20,8.05
2018-04-23,8.15
2018-04-25,8.15
2018-04-30,8.15
2018-05-03,8.45
2018-05-04,8.5
2018-05-07,8.5
2018-05-09,8.5
2018-05-11,8.55
2018-05-14,8.45
2018-05-15,8.1
2018-05-17,8.15
2018-05-18,8.2
2018-05-23,8.2
2018-05-24,8.1
2018-05-28,8.15
2018-05-30,8.25
2018-05-31,8.35
2018-06-01,8.15
2018-06-11,7.95
2018-06-12,8.05
2018-06-13,8.05
2018-06-15,7.95
2018-06-20,7.725
2018-06-21,7.725
2018-06-25,7.625
2018-06-26,7.825
2018-06-27,7.875
2018-07-06,7.75
2018-07-09,7.775
2018-07-10,7.2
2018-07-11,7.175
2018-07-16,7.25
2018-07-18,7.2
2018-07-19,6.8
2018-07-20,6.8
2018-07-23,6.65
2018-07-24,6.75
2018-07-27,6.7
2018-08-02,6.95
2018-08-07,7.25
2018-08-08,6.95
2018-08-09,6.95
2018-08-15,6.8
2018-08-16,6.75
2018-08-17,6.75
2018-08-23,6.75
2018-08-27,7.15
2018-08-28,7.35
2018-08-29,7.45
2018-08-30,7.2
2018-08-31,7.2
2018-09-04,6.9
2018-09-05,6.95
2018-09-06,7.1
2018-09-07,7.05
2018-09-10,7.15
2018-09-12,7.25
2018-09-13,7.45
2018-09-14,7.35
2018-09-17,7.1
2018-09-19,7.15
2018-09-20,7.4
2018-09-24,7.6
2018-09-25,7.4
2018-09-26,7.5
2018-09-27,8.0
2018-09-28,8.05
2018-10-01,8.95
2018-10-02,8.8
2018-10-04,9.0
2018-10-05,9.05
2018-10-08,9.15
2018-10-09,9.1
2018-10-10,9.1
2018-10-11,8.35
2018-10-12,8.5
2018-10-15,8.65
2018-10-16,8.65
2018-10-17,8.95
2018-10-18,9.0
2018-10-19,8.9
2018-10-22,8.55
2018-10-23,8.35
2018-10-25,8.3
2018-10-29,8.45
2018-10-30,8.2
2018-10-31,8.2
2018-11-01,8.15
2018-11-08,8.15
2018-11-12,7.9
2018-11-13,7.9
2018-11-14,8.05
2018-11-15,7.7
2018-11-16,7.35
2018-11-19,7.65
2018-11-20,7.75
2018-11-23,7.6
2018-11-26,7.85
2018-11-28,7.55
2018-12-03,7.7
2018-12-04,7.5
2018-12-05,7.3
2018-12-06,7.15
2018-12-07,7.1
2018-12-10,6.75
2018-12-11,6.95
2018-12-17,7.1
2018-12-18,7.15
2018-12-20,7.0
2018-12-21,6.95
2018-12-27,7.0
2018-12-28,7.1
2019-01-02,7.1
2019-01-04,7.2
2019-01-07,7.2
2019-01-08,7.35
2019-01-10,7.25
2019-01-11,7.4
2019-01-14,7.0
2019-01-15,7.05
2019-01-17,6.85
2019-01-18,7.0
2019-01-21,7.05
2019-01-25,7.25
2019-01-28,7.2
2019-01-29,7.15
2019-01-31,7.05
2019-02-01,7.05
2019-02-04,6.7
2019-02-05,6.5
2019-02-06,6.1
2019-02-07,6.0
2019-02-08,5.9
2019-02-11,5.6
2019-02-12,5.6
2019-02-13,5.25
2019-02-14,5.3
2019-02-15,5.6
2019-02-18,5.95
2019-02-19,6.15
2019-02-20,6.1
2019-02-25,6.45
2019-02-26,6.55
2019-02-27,6.75
2019-02-28,7.0
2019-03-01,6.95
2019-03-04,6.95
2019-03-06,6.7
2019-03-08,6.4
2019-03-11,6.7
2019-03-13,6.7
2019-03-15,6.75
2019-03-19,6.65
2019-03-20,6.55
2019-03-21,6.5
2019-03-25,6.4
2019-03-26,6.4
2019-03-27,7.0
2019-03-28,7.1
2019-04-01,7.35
2019-04-02,8.0
2019-04-04,8.05
2019-04-08,7.8
2019-04-09,8.1
2019-04-10,8.05
2019-04-17,8.0
2019-04-18,8.0
2019-04-23,7.95
2019-04-24,7.9
2019-04-25,8.05
2019-04-26,8.0
2019-04-30,8.1
2019-05-02,7.9
2019-05-06,7.9
2019-05-08,7.8
2019-05-10,7.75
2019-05-13,7.65
2019-05-16,7.9
2019-05-17,7.8
2019-05-20,7.65
2019-05-23,7.7
2019-05-24,7.7
2019-05-28,7.9
2019-05-29,7.8
2019-05-31,7.55
2019-06-04,7.55
2019-06-07,7.6
2019-06-11,7.65
2019-06-12,7.6
2019-06-13,7.75
2019-06-14,7.5
2019-06-17,7.5
2019-06-18,8.0
2019-06-19,7.9
2019-06-21,7.75
2019-06-24,7.8
2019-06-25,7.8
2019-06-26,7.65
2019-06-27,7.75
2019-06-28,7.9
2019-07-01,7.9
2019-07-02,8.05
2019-07-03,7.8
2019-07-04,8.0
2019-07-05,7.95
2019-07-08,7.3
2019-07-09,7.65
2019-07-10,7.2
2019-07-11,7.4
2019-07-12,7.5
2019-07-15,6.9
2019-07-16,6.75
2019-07-17,7.25
2019-07-18,6.75
2019-07-19,6.8
2019-07-22,6.85
2019-07-23,6.7
2019-07-24,6.7
2019-07-25,6.85
2019-07-26,6.85
2019-07-29,6.2
2019-07-30,6.85
2019-07-31,6.55
2019-08-02,6.85
2019-08-05,6.6
2019-08-06,6.55
2019-08-07,6.65
2019-08-08,5.8
2019-08-09,6.05
2019-08-12,6.1
2019-08-13,6.15
2019-08-14,6.05
2019-08-16,5.95
2019-08-19,6.3
2019-08-20,6.6
2019-08-21,6.55
2019-08-27,6.05
2019-08-28,6.15
2019-08-29,6.3
2019-09-03,6.45
2019-09-05,6.3
2019-09-06,6.3
2019-09-11,6.35
2019-09-16,6.3
2019-09-18,6.15
2019-09-23,6.15
2019-09-24,6.15
2019-09-25,6.1
2019-09-26,6.1
2019-09-27,6.1
2019-10-02,6.05
2019-10-04,6.05
2019-10-08,6.05
2019-10-10,6.05
2019-10-11,6.05
2019-10-16,6.0
2019-10-21,6.05
2019-10-23,6.05
2019-10-24,5.8
2019-10-29,5.7
2019-10-31,5.5
2019-11-05,5.55
2019-11-06,5.85
2019-11-12,5.9
2019-11-14,5.85
2019-11-15,5.8
2019-11-18,5.95
2019-11-20,5.95
2019-11-21,5.95
2019-11-22,5.95
2019-11-26,6.05
2019-11-27,6.05
2019-12-09,5.95
2019-12-10,6.2
2019-12-11,6.25
2019-12-13,6.2
2019-12-19,6.25
2019-12-23,6.25
2019-12-27,6.3
2019-12-30,6.55
2020-01-02,6.85
2020-01-03,6.65
2020-01-06,6.75
2020-01-09,6.65
2020-01-13,6.6
2020-01-17,6.35
2020-01-20,6.6
2020-01-24,6.4
2020-01-27,6.35
2020-01-28,6.2
2020-01-30,6.15
2020-01-31,6.15
2020-02-04,6.3
2020-02-05,6.1
2020-02-06,6.35
2020-02-07,6.45
2020-02-10,6.45
2020-02-11,6.4
2020-02-13,6.45
2020-02-14,6.15
2020-02-17,6.4
2020-02-18,6.55
2020-02-19,6.8
2020-02-20,6.8
2020-02-21,7.05
2020-02-24,7.1
2020-02-25,6.9
2020-02-26,6.45
2020-02-27,6.25
2020-02-28,5.9
2020-03-02,5.9
2020-03-04,6.0
2020-03-06,5.95
2020-03-09,6.1
2020-03-10,5.9
2020-03-12,5.75
2020-03-13,5.9
2020-03-16,6.0
2020-03-18,6.15
2020-03-19,5.95
2020-03-20,5.75
2020-03-23,6.0
2020-03-25,5.8
2020-03-30,5.3
2020-03-31,5.5
2020-04-02,5.9
2020-04-08,5.85
2020-04-14,5.7
2020-04-15,5.7
2020-04-16,6.0
2020-04-22,5.9
2020-04-23,5.65
2020-04-24,5.65
2020-04-29,5.85
2020-05-06,5.65
2020-05-08,5.9
2020-05-11,6.05
2020-05-12,6.05
2020-05-14,6.25
2020-05-15,6.25
2020-05-18,6.2
2020-05-19,6.2
2020-05-22,6.1
2020-05-25,6.2
2020-05-26,6.25
2020-05-29,6.2
2020-06-02,6.2
2020-06-03,6.2
2020-06-05,6.35
2020-06-09,6.4
2020-06-11,6.55
2020-06-12,6.35
2020-06-15,6.65
2020-06-16,6.5
2020-06-17,6.65
2020-06-18,6.45
2020-06-19,6.65
2020-06-22,6.55
2020-06-23,6.55
2020-06-25,6.85
2020-07-07,6.4
2020-07-08,6.55
2020-07-09,6.7
2020-07-10,6.85
2020-07-13,6.95
2020-07-14,6.95
2020-07-16,6.95
2020-07-22,6.75
2020-07-27,6.7
2020-07-28,6.7
2020-08-03,6.7
2020-08-06,6.95
2020-08-10,7.1
2020-08-11,7.15
2020-08-18,7.45
2020-08-24,7.35
2020-08-31,6.8
2020-09-02,6.8
2020-09-28,7.1
2020-10-05,6.9
2020-10-09,6.7
2020-10-26,6.75
2020-10-28,6.65
2020-10-29,6.7
2020-10-30,6.7
2020-11-02,6.7
2020-11-03,6.5
2020-11-04,6.65
2020-11-09,7.6
2020-11-10,7.1
2020-11-12,6.95
