date,close
2018-01-02,1.151
2018-01-03,1.096
2018-01-04,1.058
2018-01-05,1.02
2018-01-08,1.04
2018-01-09,1.035
2018-01-10,1.025
2018-01-11,1.024
2018-01-12,1.014
2018-01-15,1.014
2018-01-16,1.031
2018-01-17,1.019
2018-01-18,1.022
2018-01-19,1.014
2018-01-22,0.967
2018-01-23,1.067
2018-01-24,1.08
2018-01-25,1.059
2018-01-26,1.011
2018-01-29,1.01
2018-01-30,0.954
2018-01-31,0.937
2018-02-01,0.968
2018-02-02,0.999
2018-02-05,0.994
2018-02-06,1.024
2018-02-07,0.991
2018-02-08,1.036
2018-02-09,1.031
2018-02-12,1.036
2018-02-13,1.04
2018-02-14,1.035
2018-02-15,1.034
2018-02-16,1.044
2018-02-19,1.058
2018-02-20,1.034
2018-02-21,0.986
2018-02-22,0.969
2018-02-23,0.95
2018-02-26,0.905
2018-02-27,0.886
2018-02-28,0.884
2018-03-01,0.816
2018-03-02,0.816
2018-03-05,0.816
2018-03-06,0.797
2018-03-07,0.694
2018-03-08,0.822
2018-03-09,0.829
2018-03-12,0.819
2018-03-13,0.841
2018-03-14,0.826
2018-03-15,0.818
2018-03-16,0.889
2018-03-19,0.902
2018-03-20,0.889
2018-03-21,0.893
2018-03-22,0.891
2018-03-23,0.906
2018-03-26,0.899
2018-03-27,0.892
2018-03-28,0.902
2018-03-29,0.933
2018-04-03,0.987
2018-04-04,0.953
2018-04-05,0.979
2018-04-06,0.995
2018-04-09,0.987
2018-04-10,1.0
2018-04-11,1.012
2018-04-12,1.005
2018-04-13,0.958
2018-04-16,0.941
2018-04-17,0.908
2018-04-18,1.001
2018-04-19,0.976
2018-04-20,0.955
2018-04-23,0.931
2018-04-24,0.964
2018-04-25,0.952
2018-04-26,0.918
2018-04-27,0.888
2018-04-30,0.872
2018-05-02,0.85
2018-05-03,0.841
2018-05-04,0.878
2018-05-07,0.902
2018-05-08,0.982
2018-05-09,0.954
2018-05-10,0.924
2018-05-11,0.913
2018-05-14,0.907
2018-05-15,0.894
2018-05-16,0.913
2018-05-17,0.907
2018-05-18,0.896
2018-05-22,0.906
2018-05-23,0.902
2018-05-24,0.928
2018-05-25,0.901
2018-05-28,0.91
2018-05-29,0.898
2018-05-30,0.876
2018-05-31,0.868
2018-06-01,0.841
2018-06-04,0.812
2018-06-05,1.011
2018-06-06,0.991
2018-06-07,0.939
2018-06-08,0.976
2018-06-11,0.974
2018-06-12,0.925
2018-06-13,0.888
2018-06-14,0.913
2018-06-15,0.882
2018-06-18,0.874
2018-06-19,0.849
2018-06-20,0.922
2018-06-21,0.929
2018-06-22,0.923
2018-06-25,0.897
2018-06-26,0.892
2018-06-27,0.857
2018-06-28,0.844
2018-06-29,0.832
2018-07-02,0.856
2018-07-03,0.836
2018-07-04,0.814
2018-07-05,0.798
2018-07-06,0.774
2018-07-09,0.82
2018-07-10,0.815
2018-07-11,0.8
2018-07-12,0.796
2018-07-13,0.777
2018-07-16,0.769
2018-07-17,0.775
2018-07-18,0.77
2018-07-19,0.78
2018-07-20,0.774
2018-07-23,0.77
2018-07-24,0.766
2018-07-25,0.761
2018-07-26,0.781
2018-07-27,0.775
2018-07-30,0.764
2018-07-31,0.77
2018-08-01,0.75
2018-08-02,0.756
2018-08-03,0.714
2018-08-06,0.732
2018-08-07,0.708
2018-08-08,1.033
2018-08-09,0.621
2018-08-10,0.766
2018-08-13,0.744
2018-08-14,0.891
2018-08-15,0.889
2018-08-16,0.815
2018-08-20,0.802
2018-08-21,0.792
2018-08-22,0.776
2018-08-23,0.792
2018-08-24,0.791
2018-08-27,0.757
2018-08-28,0.755
2018-08-29,0.732
2018-08-30,0.757
2018-08-31,0.777
2018-09-03,0.793
2018-09-04,0.775
2018-09-05,0.994
2018-09-06,0.814
2018-09-07,0.804
2018-09-10,0.826
2018-09-11,0.927
2018-09-12,0.849
2018-09-13,0.832
2018-09-14,0.813
2018-09-17,0.798
2018-09-18,0.777
2018-09-19,0.762
2018-09-20,0.769
2018-09-21,0.745
2018-09-24,0.724
2018-09-25,0.723
2018-09-26,0.7
2018-09-27,0.909
2018-09-28,0.877
2018-10-01,0.869
2018-10-02,0.843
2018-10-04,0.822
2018-10-05,0.802
2018-10-08,0.807
2018-10-09,0.871
2018-10-10,0.856
2018-10-11,0.836
2018-10-12,0.818
2018-10-15,0.806
2018-10-16,0.785
2018-10-17,0.768
2018-10-18,0.751
2018-10-19,0.73
2018-10-22,0.687
2018-10-23,0.735
2018-10-24,0.718
2018-10-25,0.698
2018-10-26,0.681
2018-10-30,0.682
2018-10-31,0.647
2018-11-01,0.692
2018-11-02,0.698
2018-11-05,0.68
2018-11-06,0.655
2018-11-07,0.65
2018-11-08,0.692
2018-11-09,0.669
2018-11-12,0.661
2018-11-13,0.646
