date,close
2018-01-02,0.553
2018-01-03,0.695
2018-01-04,0.731
2018-01-05,0.735
2018-01-08,0.757
2018-01-09,0.68
2018-01-10,0.665
2018-01-11,0.68
2018-01-12,0.656
2018-01-15,0.654
2018-01-16,0.64
2018-01-17,0.621
2018-01-18,0.635
2018-01-19,0.607
2018-01-22,0.606
2018-01-23,0.613
2018-01-24,0.594
2018-01-25,1.04
2018-01-26,0.98
2018-01-29,1.009
2018-01-30,1.353
2018-01-31,1.215
2018-02-01,1.264
2018-02-02,1.213
2018-02-05,1.026
2018-02-06,1.152
2018-02-07,1.177
2018-02-08,1.179
2018-02-09,1.177
2018-02-12,1.22
2018-02-13,1.242
2018-02-14,1.327
2018-02-15,1.295
2018-02-16,1.199
2018-02-19,1.202
2018-02-20,1.341
2018-02-21,1.34
2018-02-22,1.275
2018-02-23,1.316
2018-02-26,1.279
2018-02-27,1.155
2018-02-28,1.106
2018-03-01,1.245
2018-03-02,1.279
2018-03-05,1.299
2018-03-06,1.276
2018-03-07,1.467
2018-03-08,1.505
2018-03-09,1.887
2018-03-12,2.295
2018-03-13,2.091
2018-03-14,2.153
2018-03-15,2.012
2018-03-16,1.981
2018-03-19,1.636
2018-03-20,1.787
2018-03-21,1.896
2018-03-22,1.828
2018-03-23,1.923
2018-03-26,1.912
2018-03-27,1.935
2018-03-28,1.723
2018-03-29,1.893
2018-04-03,1.646
2018-04-04,1.607
2018-04-05,1.564
2018-04-06,1.605
2018-04-09,1.603
2018-04-10,1.578
2018-04-11,1.607
2018-04-12,1.477
2018-04-13,1.455
2018-04-16,1.377
2018-04-17,1.168
2018-04-18,1.197
2018-04-19,1.138
2018-04-20,1.002
2018-04-23,0.905
2018-04-24,0.979
2018-04-25,0.963
2018-04-26,0.983
2018-04-27,0.879
2018-04-30,0.922
2018-05-02,0.682
2018-05-03,0.821
2018-05-04,0.864
2018-05-07,0.812
2018-05-08,0.823
2018-05-09,0.806
2018-05-10,0.766
2018-05-11,0.778
2018-05-14,0.733
2018-05-15,0.718
2018-05-16,0.783
2018-05-17,0.738
2018-05-18,0.874
2018-05-21,0.882
2018-05-22,0.895
2018-05-23,0.858
2018-05-24,0.898
2018-05-25,0.672
2018-05-28,0.745
2018-05-29,0.703
2018-05-30,0.674
2018-05-31,0.844
2018-06-01,0.821
2018-06-04,0.835
2018-06-05,0.771
2018-06-06,0.801
2018-06-07,0.801
2018-06-08,0.762
2018-06-11,0.716
2018-06-12,0.712
2018-06-13,0.671
2018-06-14,0.626
2018-06-15,0.639
2018-06-18,0.571
2018-06-19,0.485
2018-06-20,0.601
2018-06-21,0.553
2018-06-22,0.534
2018-06-25,0.505
2018-06-26,0.498
2018-06-27,0.486
2018-06-28,0.449
2018-06-29,0.422
2018-07-02,0.475
2018-07-03,0.419
2018-07-04,0.427
2018-07-05,0.486
2018-07-06,0.438
2018-07-09,0.487
2018-07-10,0.574
2018-07-11,0.562
2018-07-12,0.54
2018-07-13,0.597
2018-07-16,0.535
2018-07-17,0.449
2018-07-18,0.532
2018-07-19,0.522
2018-07-20,0.473
2018-07-23,0.423
2018-07-24,0.43
2018-07-25,0.414
2018-07-26,0.41
2018-07-27,0.406
2018-07-30,0.352
2018-07-31,0.364
2018-08-01,0.365
2018-08-02,0.349
2018-08-03,0.304
2018-08-06,0.258
2018-08-07,0.314
2018-08-08,0.377
2018-08-09,0.309
2018-08-10,0.274
2018-08-13,0.298
2018-08-14,0.288
2018-08-15,0.284
2018-08-16,0.224
2018-08-17,0.225
2018-08-20,0.245
2018-08-21,0.262
2018-08-22,0.263
2018-08-23,0.351
2018-08-24,0.359
2018-08-27,0.746
2018-08-28,0.581
2018-08-29,0.483
2018-08-30,0.461
2018-08-31,0.424
2018-09-03,0.378
2018-09-04,0.344
2018-09-05,0.367
2018-09-06,0.362
2018-09-07,0.363
2018-09-10,0.371
2018-09-11,0.358
2018-09-12,0.348
2018-09-13,0.349
2018-09-14,0.332
