date,close
2018-01-02,24.5
2018-01-03,24.55
2018-01-04,24.6
2018-01-05,24.75
2018-01-08,24.2
2018-01-09,24.5
2018-01-10,23.25
2018-01-11,23.2
2018-01-12,23.05
2018-01-15,23.2
2018-01-16,23.0
2018-01-17,23.3
2018-01-18,22.65
2018-01-19,23.05
2018-01-22,22.5
2018-01-23,23.0
2018-01-24,23.1
2018-01-25,23.05
2018-01-26,23.05
2018-01-29,22.7
2018-01-30,22.8
2018-01-31,22.85
2018-02-01,22.6
2018-02-02,22.75
2018-02-05,22.7
2018-02-06,21.65
2018-02-07,23.45
2018-02-08,22.15
2018-02-09,22.1
2018-02-12,22.65
2018-02-13,22.45
2018-02-14,22.3
2018-02-15,22.4
2018-02-16,22.55
2018-02-19,22.6
2018-02-20,22.4
2018-02-21,23.5
2018-02-22,23.4
2018-02-23,23.6
2018-02-26,23.8
2018-02-27,24.0
2018-02-28,24.65
2018-03-01,24.35
2018-03-02,23.65
2018-03-05,23.15
2018-03-06,23.2
2018-03-07,23.2
2018-03-08,22.25
2018-03-09,22.7
2018-03-12,23.0
2018-03-13,21.45
2018-03-14,21.55
2018-03-15,22.7
2018-03-16,22.5
2018-03-19,22.25
2018-03-20,22.3
2018-03-21,22.65
2018-03-22,22.55
2018-03-23,22.4
2018-03-26,21.85
2018-03-27,21.95
2018-03-28,21.85
2018-03-29,21.8
2018-04-03,21.8
2018-04-04,21.45
2018-04-05,21.6
2018-04-06,21.7
2018-04-09,22.0
2018-04-10,22.4
2018-04-11,22.35
2018-04-12,23.05
2018-04-13,23.0
2018-04-16,22.9
2018-04-17,23.05
2018-04-18,23.0
2018-04-19,22.9
2018-04-20,22.85
2018-04-23,23.05
2018-04-24,22.75
2018-04-25,22.5
2018-04-26,22.75
2018-04-27,23.0
2018-04-30,23.55
2018-05-02,23.55
2018-05-03,23.7
2018-05-04,23.65
2018-05-07,23.15
2018-05-08,23.1
2018-05-09,23.15
2018-05-10,23.0
2018-05-11,22.7
2018-05-14,23.35
2018-05-15,23.05
2018-05-16,23.05
2018-05-17,22.9
2018-05-18,23.15
2018-05-22,23.2
2018-05-23,22.8
2018-05-24,23.2
2018-05-25,23.05
2018-05-28,23.15
2018-05-29,22.75
2018-05-30,22.1
2018-05-31,22.5
2018-06-01,22.0
2018-06-04,22.2
2018-06-05,22.45
2018-06-06,22.3
2018-06-07,21.9
2018-06-08,21.1
2018-06-11,21.4
2018-06-12,21.35
2018-06-13,21.25
2018-06-14,21.0
2018-06-15,20.65
2018-06-18,20.8
2018-06-19,20.8
2018-06-20,20.5
2018-06-21,19.8
2018-06-22,19.46
2018-06-25,20.75
2018-06-26,20.75
2018-06-27,20.0
2018-06-28,19.94
2018-06-29,20.0
2018-07-02,20.25
2018-07-03,20.3
2018-07-04,19.88
2018-07-05,19.86
2018-07-06,19.92
2018-07-09,20.2
2018-07-10,19.94
2018-07-11,19.7
2018-07-12,19.66
2018-07-13,19.28
