date,close
2018-01-02,4.169
2018-01-03,4.347
2018-01-04,4.513
2018-01-05,4.526
2018-01-08,4.512
2018-01-09,4.49
2018-01-10,4.425
2018-01-11,4.412
2018-01-12,4.493
2018-01-15,4.477
2018-01-16,4.497
2018-01-17,4.532
2018-01-18,4.219
2018-01-19,4.261
2018-01-22,4.526
2018-01-23,4.357
2018-01-24,4.27
2018-01-25,4.28
2018-01-26,4.413
2018-01-29,4.517
2018-01-30,4.565
2018-01-31,4.595
2018-02-01,4.332
2018-02-02,4.202
2018-02-05,4.305
2018-02-06,4.308
2018-02-07,4.243
2018-02-08,4.112
2018-02-09,4.356
2018-02-12,4.306
2018-02-13,4.399
2018-02-14,4.086
2018-02-15,4.084
2018-02-16,4.209
2018-02-19,4.195
2018-02-20,4.045
2018-02-21,4.044
2018-02-22,4.086
2018-02-23,4.072
2018-02-27,4.149
2018-03-01,4.098
2018-03-02,4.11
2018-03-05,4.1
2018-03-06,4.073
2018-03-07,4.146
2018-03-08,4.089
2018-03-09,4.054
2018-03-12,4.12
2018-03-13,4.103
2018-03-14,4.431
2018-03-15,4.261
2018-03-16,4.25
2018-03-19,4.231
2018-03-20,4.192
2018-03-21,4.219
2018-03-22,4.113
2018-03-23,4.093
2018-03-26,4.103
2018-03-27,4.389
2018-03-28,4.1
2018-03-29,4.267
2018-04-03,4.106
2018-04-04,4.093
2018-04-05,4.063
2018-04-06,3.978
2018-04-09,4.008
2018-04-10,4.005
2018-04-11,4.377
2018-04-12,4.416
2018-04-13,4.372
2018-04-16,4.292
2018-04-17,4.357
2018-04-18,4.376
2018-04-19,4.45
2018-04-20,4.521
2018-04-23,4.478
2018-04-24,4.462
2018-04-25,4.425
2018-04-26,4.298
2018-04-27,4.506
2018-04-30,4.372
2018-05-02,4.332
2018-05-03,4.406
2018-05-04,4.418
2018-05-07,4.661
2018-05-08,4.53
2018-05-09,4.53
2018-05-10,4.722
2018-05-11,4.583
2018-05-14,4.533
2018-05-15,4.55
2018-05-16,4.569
2018-05-17,4.528
2018-05-18,4.574
2018-05-22,4.566
2018-05-23,4.549
2018-05-24,4.615
2018-05-25,4.615
2018-05-28,4.664
2018-05-31,4.914
2018-06-01,5.23
2018-06-04,4.881
2018-06-05,5.453
2018-06-06,5.351
2018-06-07,5.403
2018-06-08,5.459
2018-06-11,5.396
2018-06-12,5.358
2018-06-13,5.405
2018-06-14,5.547
2018-06-15,5.565
2018-06-18,5.157
2018-06-19,5.151
2018-06-20,5.139
2018-06-21,5.232
2018-06-22,5.172
2018-06-25,5.29
2018-06-26,5.184
2018-06-27,5.136
2018-06-28,5.22
2018-06-29,5.28
2018-07-02,5.668
2018-07-03,5.51
2018-07-04,5.374
2018-07-05,5.366
2018-07-06,5.533
2018-07-09,5.189
2018-07-10,5.315
2018-07-11,5.416
2018-07-12,5.933
2018-07-13,6.475
2018-07-16,6.522
2018-07-17,6.388
2018-07-18,5.464
2018-07-19,5.612
2018-07-20,5.665
2018-07-23,5.667
2018-07-24,5.696
2018-07-25,5.72
2018-07-26,5.723
2018-07-27,5.619
2018-07-30,5.658
2018-07-31,5.565
2018-08-01,5.36
2018-08-02,5.245
2018-08-03,5.179
2018-08-06,5.192
2018-08-09,4.987
2018-08-10,4.943
2018-08-14,4.798
2018-08-15,4.921
2018-08-16,4.843
2018-08-17,4.889
2018-08-20,4.965
2018-08-21,4.973
2018-08-22,4.909
2018-08-23,4.93
2018-08-24,5.073
2018-08-27,4.965
2018-08-28,4.852
2018-08-29,4.881
2018-08-30,4.909
2018-08-31,4.922
2018-09-03,4.84
2018-09-04,4.879
2018-09-05,4.867
2018-09-06,4.803
2018-09-07,4.879
2018-09-10,4.913
2018-09-11,4.887
2018-09-12,5.018
2018-09-13,4.91
2018-09-14,4.781
2018-09-17,4.776
2018-09-18,4.77
2018-09-19,4.868
2018-09-20,4.789
2018-09-21,4.848
2018-09-24,4.792
2018-09-25,4.882
2018-09-26,4.719
2018-09-27,4.519
2018-09-28,4.514
2018-10-01,4.52
2018-10-02,4.494
2018-10-04,4.445
2018-10-05,4.523
2018-10-08,4.53
2018-10-09,4.49
2018-10-10,4.38
2018-10-11,4.351
2018-10-16,4.362
2018-10-18,4.219
2018-10-19,4.213
2018-10-22,4.258
2018-10-23,4.206
2018-10-31,4.212
2018-11-01,4.362
2018-11-08,4.26
2018-11-09,4.293
2018-11-12,4.245
2018-11-13,4.249
2018-11-14,4.282
2018-11-15,4.268
2018-11-16,4.285
2018-11-19,4.233
2018-11-21,4.197
2018-11-22,4.24
2018-11-23,3.949
2018-11-26,3.896
2018-11-27,3.95
2018-11-28,3.924
2018-11-29,3.958
2018-11-30,3.959
2018-12-03,3.929
2018-12-04,3.891
2018-12-05,3.898
2018-12-06,3.99
2018-12-07,3.993
2018-12-10,3.73
2018-12-11,3.788
2018-12-12,3.701
2018-12-13,3.726
2018-12-14,3.995
2018-12-20,3.701
2018-12-21,3.683
2018-12-27,3.418
2018-12-28,3.405
2019-01-02,3.403
2019-01-04,3.446
2019-01-07,3.369
2019-01-10,3.981
2019-01-11,3.942
2019-01-14,3.934
2019-01-15,3.948
2019-01-16,3.917
2019-01-17,3.927
2019-01-18,3.908
2019-01-21,3.959
2019-01-22,3.956
2019-01-23,3.983
2019-01-24,3.978
2019-01-25,4.277
2019-01-28,4.07
2019-01-29,4.226
2019-01-30,4.253
2019-01-31,4.24
2019-02-08,4.04
2019-02-11,4.027
2019-02-13,4.44
2019-02-14,4.047
2019-02-15,4.006
2019-02-18,4.027
2019-02-19,4.037
2019-02-20,4.02
2019-02-21,4.071
2019-02-22,4.024
2019-02-25,4.042
2019-02-26,4.185
2019-02-27,4.309
2019-02-28,4.226
2019-03-01,4.203
2019-03-04,4.229
2019-03-05,4.223
2019-03-06,4.034
2019-03-07,4.01
2019-03-08,4.036
2019-03-18,3.826
2019-03-19,3.938
2019-03-21,3.753
2019-03-26,3.663
2019-03-27,3.73
2019-03-28,3.765
2019-03-29,3.744
2019-04-01,4.114
2019-04-02,4.123
2019-04-04,4.156
2019-04-08,4.386
2019-04-10,4.213
2019-04-11,4.011
2019-04-12,3.98
2019-04-15,4.013
2019-04-16,4.008
2019-04-17,3.966
