date,close
2018-01-02,9.139
2018-01-03,9.194
2018-01-04,9.233
2018-01-05,9.305
2018-01-08,9.11
2018-01-09,9.254
2018-01-10,9.269
2018-01-11,9.296
2018-01-12,9.253
2018-01-15,9.139
2018-01-16,8.98
2018-01-17,9.095
2018-01-18,9.205
2018-01-19,8.973
2018-01-22,9.121
2018-01-23,8.963
2018-01-24,8.855
2018-01-25,8.656
2018-01-26,8.408
2018-01-29,8.457
2018-01-30,8.481
2018-01-31,8.497
2018-02-01,8.502
2018-02-02,8.537
2018-02-05,8.455
2018-02-06,8.511
2018-02-07,8.486
2018-02-08,8.511
2018-02-09,8.459
2018-02-12,8.578
2018-02-13,8.458
2018-02-14,8.523
2018-02-15,8.45
2018-02-16,8.435
2018-02-19,8.461
2018-02-20,8.468
2018-02-21,8.471
2018-02-22,8.484
2018-02-23,8.451
2018-02-26,8.525
2018-02-27,8.484
2018-02-28,8.473
2018-03-01,8.443
2018-03-02,8.493
2018-03-05,8.456
2018-03-06,8.483
2018-03-07,8.543
2018-03-08,8.491
2018-03-09,8.467
2018-03-12,7.869
2018-03-13,7.776
2018-03-14,7.816
2018-03-15,8.024
2018-03-16,7.946
2018-03-19,8.003
2018-03-20,8.009
2018-03-21,7.535
2018-03-22,7.439
2018-03-23,7.527
2018-03-26,7.499
2018-03-27,7.496
2018-03-28,7.515
2018-03-29,7.497
2018-04-03,7.498
2018-04-04,7.462
2018-04-05,7.472
2018-04-06,7.472
2018-04-09,7.487
2018-04-10,7.518
2018-04-11,7.488
2018-04-12,7.491
2018-04-13,7.516
2018-04-16,7.569
2018-04-17,7.126
2018-04-18,6.797
2018-04-19,6.845
2018-04-20,6.893
2018-04-23,6.895
2018-04-24,6.854
2018-04-25,6.822
2018-04-26,6.822
2018-04-27,6.577
2018-04-30,6.555
2018-05-02,6.553
2018-05-03,6.549
2018-05-04,6.524
2018-05-07,6.535
2018-05-08,6.556
2018-05-09,6.548
2018-05-10,6.489
2018-05-11,6.577
2018-05-14,6.562
2018-05-15,6.527
2018-05-16,6.514
2018-05-17,6.524
2018-05-18,6.534
2018-05-21,6.547
2018-05-22,6.593
2018-05-23,6.575
2018-05-24,6.557
2018-05-25,6.541
2018-05-28,6.544
2018-05-29,6.528
2018-05-30,6.523
2018-05-31,6.555
2018-06-01,6.603
2018-06-04,6.551
2018-06-05,6.558
2018-06-06,6.55
2018-06-07,6.581
2018-06-08,6.506
2018-06-11,6.597
2018-06-12,6.557
2018-06-13,6.513
2018-06-14,6.489
2018-06-15,6.943
2018-06-18,6.956
2018-06-19,6.958
2018-06-20,6.973
2018-06-21,7.019
2018-06-22,7.025
2018-06-25,7.003
2018-06-26,6.948
2018-06-27,6.959
2018-06-28,6.997
2018-06-29,7.01
2018-07-02,6.989
2018-07-03,6.971
2018-07-04,6.959
2018-07-05,7.006
2018-07-06,7.471
2018-07-09,7.482
2018-07-10,7.049
2018-07-11,6.967
2018-07-12,7.029
2018-07-13,6.956
2018-07-16,6.997
2018-07-17,6.954
2018-07-18,6.941
2018-07-19,6.955
2018-07-20,6.985
2018-07-23,7.025
2018-07-24,7.011
2018-07-25,7.001
2018-07-26,7.057
2018-07-27,6.986
2018-07-30,7.0
2018-07-31,7.041
2018-08-01,6.956
2018-08-02,6.97
2018-08-03,7.0
2018-08-06,6.975
2018-08-07,6.983
2018-08-08,7.005
2018-08-09,6.951
2018-08-10,6.956
2018-08-13,7.001
2018-08-14,7.007
2018-08-15,7.039
2018-08-16,6.987
2018-08-17,6.988
2018-08-20,6.996
2018-08-21,6.997
2018-08-22,7.012
2018-08-23,6.978
2018-08-24,7.02
2018-08-27,6.759
2018-08-28,6.304
2018-08-29,6.251
2018-08-30,6.319
2018-08-31,6.306
2018-09-03,6.316
2018-09-04,6.299
2018-09-05,6.297
2018-09-06,6.294
2018-09-07,6.262
2018-09-10,6.276
2018-09-11,6.29
2018-09-12,6.337
2018-09-13,6.295
2018-09-14,6.276
2018-09-17,6.285
2018-09-18,6.295
2018-09-19,6.273
2018-09-20,6.315
2018-09-21,6.262
2018-09-24,6.312
2018-09-25,6.291
2018-09-26,6.311
2018-09-27,6.288
2018-09-28,6.333
2018-10-01,5.784
2018-10-02,5.728
2018-10-04,5.775
2018-10-05,5.77
2018-10-08,5.719
2018-10-09,5.79
2018-10-10,5.797
2018-10-11,5.748
2018-10-12,5.739
