date,close
2021-06-16,25.49
2021-06-17,25.45
2021-06-18,25.3
2021-06-21,26.0
2021-06-22,26.03
2021-06-23,25.9
2021-06-24,26.1
2021-06-25,26.0
2021-06-28,26.0
2021-06-29,25.75
2021-06-30,25.5
2021-07-01,24.96
2021-07-02,25.05
2021-07-05,24.96
2021-07-06,24.95
2021-07-07,24.75
2021-07-08,24.8
2021-07-09,24.34
2021-07-12,24.35
2021-07-13,24.34
2021-07-14,25.0
2021-07-15,25.45
2021-07-16,25.21
2021-07-19,25.2
2021-07-20,25.35
2021-07-21,25.3
2021-07-22,25.7
2021-07-23,25.78
2021-07-26,25.44
2021-07-27,24.84
2021-07-28,24.92
2021-07-29,25.31
2021-07-30,24.56
2021-08-02,24.7
2021-08-03,24.0
2021-08-04,23.88
2021-08-05,23.86
2021-08-06,23.72
2021-08-09,23.68
2021-08-10,23.7
2021-08-11,23.25
2021-08-12,23.25
2021-08-13,23.27
2021-08-16,23.22
2021-08-17,23.44
2021-08-18,23.0
2021-08-19,22.46
2021-08-20,22.5
2021-08-23,22.23
2021-08-24,22.44
2021-08-25,22.26
2021-08-26,22.31
2021-08-27,22.89
2021-08-30,23.3
2021-08-31,23.0
2021-09-01,22.8
2021-09-02,22.72
2021-09-03,22.98
2021-09-06,23.28
2021-09-07,22.72
2021-09-08,22.3
2021-09-09,22.28
2021-09-10,22.4
2021-09-13,22.2
2021-09-14,21.8
2021-09-15,21.6
2021-09-16,21.8
2021-09-17,21.6
2021-09-20,21.4
2021-09-21,21.6
2021-09-22,21.6
2021-09-23,23.4
2021-09-24,23.6
2021-09-27,23.2
2021-09-28,23.2
2021-09-29,24.0
2021-09-30,24.4
2021-10-01,23.0
2021-10-04,22.2
2021-10-05,22.0
2021-10-06,22.0
2021-10-07,21.8
2021-10-08,21.2
2021-10-11,20.2
2021-10-12,20.2
2021-10-13,20.0
2021-10-14,19.4
2021-10-15,19.8
2021-10-18,20.0
2021-10-19,20.0
2021-10-20,20.2
