date,close
2018-01-02,1.2
2018-01-03,1.31
2018-01-04,1.32
2018-01-08,1.29
2018-01-09,1.34
2018-01-11,1.4
2018-01-12,1.34
2018-01-15,1.33
2018-01-16,1.37
2018-01-17,1.31
2018-01-19,1.31
2018-01-22,1.35
2018-01-23,1.35
2018-01-24,1.33
2018-01-25,1.33
2018-01-26,1.33
2018-01-31,1.3
2018-02-01,1.17
2018-02-02,1.18
2018-02-05,1.15
2018-02-06,1.09
2018-02-08,1.01
2018-02-09,1.05
2018-02-12,1.11
2018-02-14,1.09
2018-02-15,1.13
2018-02-21,1.14
2018-02-23,1.15
2018-02-27,1.09
2018-02-28,1.04
2018-03-01,1.04
2018-03-02,1.01
2018-03-06,1.07
2018-03-07,1.18
2018-03-12,1.12
2018-03-13,1.07
2018-03-14,1.04
2018-03-15,1.04
2018-03-16,0.98
2018-03-19,0.97
2018-03-20,1.01
2018-03-21,1.06
2018-03-22,0.995
2018-03-23,0.995
2018-03-26,0.995
2018-03-27,1.01
2018-03-29,0.95
2018-04-03,0.975
2018-04-05,0.915
2018-04-09,0.985
2018-04-10,1.03
2018-04-18,1.06
2018-04-19,1.08
2018-04-20,1.1
2018-04-23,1.1
2018-04-24,1.07
2018-04-25,1.1
2018-04-26,1.1
2018-05-07,1.02
2018-05-14,1.03
2018-05-15,0.985
2018-05-30,0.99
2018-05-31,0.98
2018-06-04,0.97
2018-06-07,0.97
2018-06-12,0.97
2018-06-22,0.93
2018-06-27,0.8675
2018-07-03,0.8675
2018-07-04,0.8625
2018-07-05,0.8075
2018-07-20,0.805
2018-07-26,0.77
2018-08-01,0.835
2018-08-02,0.805
2018-08-06,0.805
2018-08-07,0.84
2018-08-08,0.84
2018-08-09,0.84
2018-08-13,0.73
2018-08-14,0.73
2018-08-15,0.76
2018-08-20,0.795
2018-09-05,0.765
2018-09-06,0.73
2018-09-07,0.73
2018-09-14,0.705
2018-09-17,0.88
2018-09-18,0.74
2018-09-19,0.74
2018-09-20,0.72
2018-09-26,0.675
2018-10-04,0.6
2018-10-08,0.67
2018-10-09,0.625
2018-10-12,0.635
2018-10-15,0.615
2018-10-23,0.49
2018-10-24,0.53
2018-10-26,0.545
2018-11-05,0.505
2018-11-06,0.322
2018-11-07,0.326
2018-11-12,0.26
2018-11-13,0.256
2018-11-14,0.254
2018-11-15,0.185
2018-11-19,0.268
2018-11-20,0.294
2018-11-21,0.28
2018-11-26,0.282
2018-11-28,0.268
2018-11-29,0.286
2018-12-05,0.242
2018-12-06,0.246
2018-12-17,0.258
2018-12-18,0.236
2018-12-19,0.234
2018-12-20,0.234
2018-12-21,0.262
2018-12-27,0.26
2019-01-07,0.238
2019-01-09,0.22
2019-01-14,0.286
2019-01-15,0.394
2019-01-22,0.278
2019-01-29,0.258
2019-02-12,0.27
2019-02-18,0.268
2019-02-26,0.258
2019-03-18,0.236
2019-03-21,0.274
2019-03-25,0.236
2019-03-27,0.238
2019-03-29,0.242
2019-04-02,0.24
2019-04-12,0.272
2019-04-16,0.24
2019-04-17,0.284
2019-04-26,0.248
2019-05-03,0.248
2019-05-10,0.248
2019-05-24,0.248
2019-05-28,0.26
2019-06-11,0.216
2019-06-13,0.254
2019-06-20,0.244
2019-07-08,0.256
2019-07-15,0.236
2019-07-29,0.242
2019-07-31,0.238
2019-08-08,0.238
2019-09-12,0.232
2019-09-18,0.18
2019-09-19,0.165
2019-09-20,0.158
2019-09-23,0.158
2019-09-24,0.177
2019-09-25,0.177
2019-09-26,0.178
2019-10-01,0.17
2019-10-02,0.168
2019-10-08,0.16
2019-10-14,0.228
2019-10-23,0.21
2019-10-24,0.167
2019-10-29,0.149
2019-10-30,0.164
2019-10-31,0.17
2019-11-01,0.155
2019-11-07,0.17
2019-11-08,0.18
2019-11-12,0.18
2019-11-13,0.18
2019-11-18,0.16
2019-11-20,0.155
2019-11-22,0.16
2019-11-27,0.127
2019-11-28,0.121
2019-11-29,0.149
2019-12-02,0.19
2019-12-03,0.166
2019-12-04,0.166
2019-12-05,0.161
2019-12-06,0.158
2019-12-09,0.165
2019-12-12,0.162
2019-12-16,0.161
2019-12-17,0.15
2019-12-18,0.125
2019-12-19,0.128
2019-12-20,0.128
2019-12-23,0.128
2019-12-27,0.128
2019-12-30,0.126
2020-01-03,0.06
2020-01-06,0.131
2020-01-07,0.1
2020-01-08,0.05
2020-01-09,0.05
2020-01-13,0.1
2020-01-16,0.05
2020-01-20,0.05
2020-01-22,0.051
2020-01-23,0.1
2020-01-24,0.1
