ticker,name,sector,delisting_date,last_price,peak_price,spread_pct,slippage_bps
05Y.XETRA,Vivoryon Therapeutics N.V.,Unknown,2022-05-03,8.92,22.45,0.5,25
1FC.XETRA,Facc AG,Unknown,2025-09-16,9.7,23.9461,0.5,25
2INV.XETRA,2invest AG,Unknown,2026-01-06,11.4,173.34,0.5,25
4XT.XETRA,XPhyto Therapeutics Corp,Unknown,2022-11-15,0.375,2.28,0.5,25
5CV.XETRA,CureVac NV,Unknown,2026-01-05,3.892,119.6,0.5,25
5GH.XETRA,Guardant Health Inc.,Unknown,2022-08-10,50.22,157.6,0.5,25
8DEA.XETRA,8DEA,Unknown,2022-05-30,13.255,61.0,0.5,25
8NI.XETRA,Nikola Corporation,Unknown,2024-06-24,10.473,733.8,0.5,25
93M.XETRA,MPH Health Care AG,Unknown,2021-01-27,22.7,52.5236,0.5,25
99SC.XETRA,NeXR Technologies SE,Unknown,2021-01-27,4.88,64.8,0.5,25
9VC.XETRA,ATAI Life Sciences NV,Unknown,2025-12-30,3.426,10.7,0.5,25
ADD.XETRA,Adler Modemärkte AG,Unknown,2021-03-23,0.414,6.6677,0.5,25
AM3D.XETRA,SLM Solutions Group AG,Unknown,2023-08-18,18.96,49.0,0.5,25
APPH.XETRA,Apontis Pharma AG,Unknown,2025-11-14,11.0,26.9,0.5,25
AR4.XETRA,AURELIUS Equity Opportunities SE & Co. KGaA,Unknown,2023-07-03,17.57,53.7384,0.5,25
B4B.XETRA,Metro AG,Unknown,2025-04-17,5.22,13.2236,0.5,25
B4B3.XETRA,Metro AG vz. (Pref Shares),Unknown,2025-04-17,5.0,12.7651,0.5,25
B5A.XETRA,Bauer AG,Unknown,2023-06-22,6.34,29.1029,0.5,25
BNT1.XETRA,EYEMAXX Real Estate AG,Unknown,2021-12-17,0.12,11.6058,0.5,25
BTBB.XETRA,Sleepz AG,Unknown,2019-08-22,0.145,1.6,0.5,25
C0M.XETRA,Compleo Charging Solutions AG,Unknown,2023-04-05,2.815,109.1774,0.5,25
CC1.XETRA,Consus Real Estate AG,Unknown,2022-09-26,0.16,8.96,0.5,25
CEC1.XETRA,Ceconomy AG,Unknown,2022-06-01,3.74,10.2507,0.5,25
CMTX.XETRA,Lyxor Core Euro Government Bond,Unknown,2022-11-23,10.0,170.485,0.5,25
CNW.XETRA,co.don AG,Unknown,2022-09-30,0.245,9.19,0.5,25
COP.XETRA,CompuGroup Medical SE & Co. KGaA,Unknown,2025-06-24,22.66,79.1844,0.5,25
CRZK.XETRA,CR Capital AG,Unknown,2025-09-17,0.42,8.622,0.5,25
DBD.XETRA,Diebold Nixdorf Inc,Unknown,2022-06-01,2.96,14.9999,0.5,25
DFV.XETRA,DFV Deutsche Familienversicherung AG,Unknown,2024-12-02,6.45,26.5,0.5,25
DIC.XETRA,DIC Asset AG,Unknown,2026-04-02,1.42,13.9405,0.5,25
DIS.XETRA,Diskus Werke AG,Unknown,2023-03-31,6.3,17.622,0.5,25
DRI.XETRA,1&1 Drillisch AG,Unknown,2021-08-04,25.12,71.1514,0.5,25
EBE.XETRA,aifinyo AG,Unknown,2024-03-13,4.3,18.4,0.5,25
EFF.XETRA,Deutsche Effecten- und Wechsel-Beteiligungsgesellschaft AG,Unknown,2026-01-09,3.36,22.6,0.5,25
ELO1.XETRA,ELO1,Unknown,2022-05-03,9.1,23.005,0.5,25
ETE.XETRA,Ekotechnika AG,Unknown,2023-11-02,8.2,23.0,0.5,25
FRU.XETRA,Multitude SE,Unknown,2024-08-29,5.27,28.6221,0.5,25
FSNT.XETRA,Fashionette AG,Unknown,2023-11-14,5.24,39.0,0.5,25
GAI.XETRA,SGT German Private Equity GmbH & Co. KGaA,Unknown,2024-08-14,0.945,1.96,0.5,25
GAZ.XETRA,Public Joint Stock Company Gazprom,Unknown,2022-04-12,2.7,9.185,0.5,25
H5E.XETRA,HELMA Eigenheimbau Aktiengesellschaft,Unknown,2024-06-19,0.26,61.7973,0.5,25
H9Y.XETRA,HanseYachts AG,Unknown,2024-05-20,2.56,10.7454,0.5,25
HAEK.XETRA,Haemato AG,Unknown,2024-02-29,21.4,47.5453,0.5,25
HEMP.XETRA,DEUTSCHE CANNABIS AG O.N.,Unknown,2019-12-19,0.644,3.16,0.5,25
HPBK.XETRA,Heliad Equity Partners GmbH & Co. KGaA,Unknown,2023-10-16,4.48,13.9,0.5,25
IC8.XETRA,InCity Immobilien AG,Unknown,2026-01-29,0.438,1.49,0.5,25
ICP.XETRA,Panamax AG,Unknown,2020-06-02,0.2,2.2,0.5,25
INR_old.XETRA,INR,Unknown,2023-07-07,1.7775,7.2559,0.5,25
INW1.XETRA,GBS Software AG,Unknown,2022-06-01,2.43,6.5,0.5,25
IS8.XETRA,ifa systems AG,Unknown,2023-10-12,2.4,9.1,0.5,25
ISH2.XETRA,INTERSHOP Communications Aktiengesellschaft,Unknown,2020-02-12,0.776,2.23,0.5,25
IVX.XETRA,InVision Aktiengesellschaft,Unknown,2024-02-23,6.0,33.2,0.5,25
KTEK.XETRA,Katek Se,Unknown,2024-05-20,15.15,31.9,0.5,25
L1OA.XETRA,Lloyd Fonds AG,Unknown,2023-01-06,7.44,16.4895,0.5,25
LDF.XETRA,Linus Digital Finance AG,Unknown,2024-12-10,1.72,39.1,0.5,25
LEN.XETRA,Lenzing Aktiengesellschaft,Unknown,2025-09-16,26.2,125.4874,0.5,25
LOUD.XETRA,DEAG Deutsche Entertainment Aktiengesellschaft,Unknown,2021-04-09,3.11,6.3,0.5,25
LUS.XETRA,Lang & Schwarz Aktiengesellschaft,Unknown,2022-04-13,19.3,41.1885,0.5,25
M0YN.XETRA,Mynaric AG,Unknown,2025-05-30,0.532,86.0,0.5,25
M3BK.XETRA,Pyramid AG,Unknown,2025-11-18,1.1,8.4109,0.5,25
MA1.XETRA,MAX 21 AG,Unknown,2021-02-01,2.95,11.13,0.5,25
MDG1.XETRA,Medigene AG,Unknown,2025-05-15,0.1335,36.0473,0.5,25
MOR.XETRA,Morphosys AG O.N.,Unknown,2024-08-20,67.25,136.2,0.5,25
MWB.XETRA,mwb fairtrade Wertpapierhandelsbank AG,Unknown,2024-03-20,3.1,16.9826,0.5,25
N4G.XETRA,The Naga Group AG,Unknown,2025-12-19,3.175,119.6,0.5,25
NGLB.XETRA,Anglo American plc,Unknown,2025-07-31,25.0,51.9972,0.5,25
NIIN.XETRA,niiio finance group AG,Unknown,2024-07-03,0.66,2.3698,0.5,25
NWO.XETRA,New Work SE,Unknown,2024-08-27,66.5,343.484,0.5,25
O2C.XETRA,Petro Welt Technologies AG,Unknown,2023-08-08,2.24,7.44,0.5,25
OYC.XETRA,Delta Air Lines Inc.,Unknown,2020-10-21,26.49,56.39,0.5,25
PBY.XETRA,Publity AG,Unknown,2024-08-01,1.555,35.8222,0.5,25
PLKB.XETRA,PLKB,Unknown,2023-10-05,0.9699,6.803,0.5,25
PSH.XETRA,Sernova Corp,Unknown,2025-02-14,0.145,1.43,0.5,25
RDAM.XETRA,RDAM,Unknown,2024-05-10,2.1388,7.7615,0.5,25
S6P.XETRA,Spielvereinigung Unterhaching Fussb,Unknown,2025-04-01,1.6,9.5899,0.5,25
SFD1.XETRA,Softline AG,Unknown,2024-01-23,0.9,13.2,0.5,25
SHA.XETRA,Schaeffler AG Pref,Unknown,2024-09-24,4.316,9.8898,0.5,25
SHWK.XETRA,SHS VIVEON AG,Unknown,2024-07-03,3.0,16.0,0.5,25
SUSE.XETRA,SUSE S.A.,Unknown,2023-11-13,10.89,33.1638,0.5,25
SYAB.XETRA,Synlab AG,Unknown,2024-07-19,11.02,22.5386,0.5,25
TC1.XETRA,Tele Columbus AG,Unknown,2021-12-17,3.14,9.4944,0.5,25
TRU.XETRA,Traumhaus AG,Unknown,2024-02-14,0.282,19.3567,0.5,25
USX1.XETRA,United States Steel Corporation,Unknown,2020-02-21,8.436,37.33,0.5,25
V3S.XETRA,Vectron Systems AG,Unknown,2024-09-30,12.15,27.9952,0.5,25
VAR1.XETRA,Varta AG,Unknown,2025-03-11,1.211,173.034,0.5,25
VBX_old.XETRA,Voltabox AG,Unknown,2022-01-18,1.432,26.642,0.5,25
VFP.XETRA,V.F. Corporation,Unknown,2025-08-19,11.326,75.7112,0.5,25
VG8.XETRA,Varengold Bank AG,Unknown,2025-08-20,2.56,8.3,0.5,25
VSC.XETRA,4SC AG,Unknown,2023-02-10,2.5,40.3039,0.5,25
W8A.XETRA,Walgreens Boots Alliance Inc,Unknown,2025-08-28,10.282,49.4454,0.5,25
WIG1_old.XETRA,Sporttotal AG,Unknown,2019-08-29,1.07,4.59,0.5,25
WSO1.XETRA,wallstreet:online AG,Unknown,2022-11-02,6.96,29.2,0.5,25
YOU.XETRA,ABOUT YOU Holding AG,Unknown,2025-11-06,6.67,26.1,0.5,25
ZSOL.XETRA,Solutiance AG,Unknown,2022-08-24,1.432,4.8451,0.5,25
03G.F,GASLOG PARTNERS UTS,Unknown,2023-02-07,7.391,15.775,0.5,25
07S.F,SECUREWORKS C. A DL-01,Unknown,2025-02-04,8.028,21.985,0.5,25
0C8.F,Catalent Inc,Unknown,2024-12-18,60.05,121.187,0.5,25
0EV.F,Elevate Credit Inc,Unknown,2023-02-28,1.732,9.141,0.5,25
0HR.F,EVERFUEL A/S DK -10,Unknown,2025-01-02,1.045,9.394,0.5,25
0IK_old.F,NGM Biopharmaceuticals Inc,Unknown,2024-04-05,1.41,26.148,0.5,25
0JV.F,IBIO INC. DL -001,Unknown,2024-01-29,3.52,1265.836,0.5,25
0K3.F,TFF PHARMAC.INC. DL-001,Unknown,2024-02-16,8.916,411.408,0.5,25
0M4.F,Mersana Therapeutics Inc,Unknown,2025-09-25,5.296,559.124,0.5,25
0MB.F,Marrone Bio Innovations Inc,Unknown,2022-07-12,0.97,2.647,0.5,25
0MV.F,ALPHA MOS INH.EO 020,Unknown,2025-01-03,0.464,9.24,0.5,25
0QL.F,VIRGIN GALACTIC HLDGS,Unknown,2024-08-15,5.856,220.023,0.5,25
0RK.F,EXSCIENTIA SP.ADRS,Unknown,2024-11-20,4.326,20.955,0.5,25
0VV.F,ViacomCBS Inc,Unknown,2025-08-06,15.232,75.755,0.5,25
0VVB.F,ViacomCBS Inc,Unknown,2025-08-08,9.629,74.781,0.5,25
0WQ0.F,G MINING VENTURES CORP,Unknown,2024-07-18,1.643,6.97,0.5,25
0XJ.F,MUSCLE MAKER DL-0001,Unknown,2024-12-18,2.589,27.946,0.5,25
0XZ.F,Silvergate Capital Corporation,Unknown,2023-05-10,1.122,194.232,0.5,25
0ZB.F,CONVERGE TECHNOLOGY SOL.,Unknown,2025-04-23,3.747,8.524,0.5,25
13T1.F,TCS Group Holding PLC,Unknown,2022-03-02,9.029,95.89,0.5,25
165_old.F,9F Inc,Unknown,2023-01-17,0.136,12.459,0.5,25
17LA.F,Lenta PLC,Unknown,2022-02-28,1.004,5.631,0.5,25
18G.F,ITACONIX PLC,Unknown,2023-10-19,1.498,10.402,0.5,25
18Y.F,SRG Mining Inc,Unknown,2024-07-04,0.335,1.464,0.5,25
1BO.F,BALYO S.A. EO -08,Unknown,2026-04-24,0.542,6.269,0.5,25
1BU0.F,AVANT BRANDS INC.,Unknown,2024-10-30,0.565,19.836,0.5,25
1CCA.F,LIDA RESOURCES INC,Unknown,2024-04-24,0.209,4.574,0.5,25
1DB.F,DoValue,Unknown,2024-11-21,3.796,58.908,0.5,25
1F8.F,Fincantieri S.p.A,Unknown,2024-08-15,4.879,11.643,0.5,25
1FG.F,FibroGen Inc,Unknown,2025-08-15,5.572,1423.564,0.5,25
1GU.F,Grubhub Inc,Unknown,2021-06-14,49.685,127.448,0.5,25
1K0.F,IGM BIOSCIENCES DL-01,Unknown,2025-08-15,1.082,96.782,0.5,25
1LV.F,SATSUMA PHARMACEUTICALS,Unknown,2023-06-09,1.023,30.386,0.5,25
1M4_old.F,MSG Networks Inc,Unknown,2021-07-08,11.76,24.009,0.5,25
1N7.F,Nevro Corp,Unknown,2025-04-03,5.295,150.815,0.5,25
1NQ.F,DIGIHOST TECHN. INC. O.N.,Unknown,2025-05-02,1.174,9.405,0.5,25
1OZ.F,OZON HOLDINGS (SP.ADS)/1,Unknown,2023-12-06,7.02,55.803,0.5,25
1P5.F,PAVMED INC DL-001,Unknown,2024-02-06,2.656,120.562,0.5,25
1P6.F,Berry Petroleum Corp,Unknown,2026-02-18,2.614,8.009,0.5,25
1R8.F,Radius Heal,Unknown,2022-08-12,9.76,32.598,0.5,25
1RA1.F,ROS AGRO PLC GDR REG S 1,Unknown,2022-02-28,5.048,15.062,0.5,25
1T9.F,Tarkett,Unknown,2025-12-23,16.889,34.915,0.5,25
1TM.F,Mithra Pharmaceuticals Sa,Unknown,2024-09-27,0.174,36.797,0.5,25
1UI.F,Unieuro S.p.A,Unknown,2025-01-08,11.544,23.153,0.5,25
1V3.F,COUCHBASE INC. DL-00001,Unknown,2025-10-23,0.134,42.231,0.5,25
1W80.F,WISEKEY INTL.H.ADR NEW 10,Unknown,2023-09-04,2.204,45.452,0.5,25
1YI1.F,Purple Biotech Ltd,Unknown,2024-11-14,6.164,240.115,0.5,25
1YT.F,HUT 8 MINING CORP (NEW),Unknown,2023-12-01,1.955,14.038,0.5,25
1ZD.F,INTEROIL EXPL.+PRO.NK-50,Unknown,2024-03-22,0.231,7.823,0.5,25
20D.F,Cidara Therapeutics Inc,Unknown,2024-06-24,9.514,132.781,0.5,25
21J.F,Jounce Therapeutics Inc,Unknown,2023-05-04,1.704,22.639,0.5,25
21P1.F,Aurora Cannabis Inc,Unknown,2024-04-18,6.141,1179.022,0.5,25
22X.F,SERNEKE GROUP AB B O.N.,Unknown,2023-07-06,2.322,7.31,0.5,25
241A.F,Centennial Resource Development Inc,Unknown,2022-09-05,7.438,19.417,0.5,25
256.F,AZURE POWER GLOBAL DL-01,Unknown,2023-07-17,1.472,42.611,0.5,25
25K.F,Karyopharm Therapeutics Inc,Unknown,2025-04-28,4.73,368.827,0.5,25
26M.F,Mirati Ther,Unknown,2024-01-23,52.988,200.597,0.5,25
26N.F,Netcents Technology Inc,Unknown,2022-10-20,0.211,2.12,0.5,25
27F.F,Kala Pharmaceuticals Inc,Unknown,2022-10-20,0.21,16.244,0.5,25
27P.F,PACT GROUP HLDGS,Unknown,2025-08-04,0.502,3.12,0.5,25
27V.F,Avantium N.V,Unknown,2025-07-18,15.092,77.948,0.5,25
2990.F,BEST INC. SPONS. ADR/1A,Unknown,2023-06-05,2.218,217.624,0.5,25
2AR1.F,ARMOUR Residential REIT Inc,Unknown,2023-11-30,15.996,84.283,0.5,25
2BV.F,Brightcove Inc,Unknown,2025-02-05,4.226,20.334,0.5,25
2C0.F,Coupa Software Inc,Unknown,2023-02-28,75.752,299.743,0.5,25
2E4A.F,ERYTECH Pharma S.A,Unknown,2023-11-16,4.247,98.243,0.5,25
2E7.F,Everbridge Inc,Unknown,2024-07-02,32.415,148.397,0.5,25
2ET.F,ETALON GROUP GDR REGS 1,Unknown,2024-02-14,0.165,1.626,0.5,25
2FJ.F,PIERREL S.P.A.,Unknown,2023-08-18,1.519,7.745,0.5,25
2H2A.F,Two Harbors Investments Corp,Unknown,2022-11-01,3.565,12.707,0.5,25
2IU.F,BOXLIG.CORP CL.A DL-0001,Unknown,2023-08-15,2.02,23.682,0.5,25
2K7.F,TCR2 Therapeutics Inc,Unknown,2023-05-31,1.44,27.511,0.5,25
2K90.F,MOMENTIVE GLOBAL DL-01,Unknown,2023-05-31,8.695,23.075,0.5,25
2KZ.F,Kezar Life Sciences Inc,Unknown,2024-12-27,6.961,281.784,0.5,25
2OW.F,Silk Road Medical Inc,Unknown,2024-09-19,24.426,58.859,0.5,25
2P1.F,Greenyard NV,Unknown,2025-09-05,7.137,19.781,0.5,25
2Q3.F,9 Meters Biopharma Inc,Unknown,2022-10-17,0.2,22.779,0.5,25
2QL0.F,FIRE+FLOWERS HLDGS CORP.,Unknown,2023-07-17,0.197,8.053,0.5,25
2QV0.F,CHEMOMAB THERAP. ADR/20,Unknown,2025-10-27,2.922,82.296,0.5,25
2RH.F,RedHill Biopharma Ltd,Unknown,2023-03-22,3.867,383.828,0.5,25
2RS.F,MINEHUB TECHNOLOGIES INC.,Unknown,2024-04-30,0.12,2.595,0.5,25
2SA0.F,SALMONES CAMANCHACA S.A.,Unknown,2024-10-28,1.087,4.342,0.5,25
2SX.F,Scpharmaceuticals Inc,Unknown,2025-10-08,4.765,12.204,0.5,25
2T3.F,Safehold Inc,Unknown,2023-03-30,26.768,68.255,0.5,25
2TS.F,Tile Shop Holdings Inc,Unknown,2026-01-13,2.943,7.544,0.5,25
2TS0.F,Tile Shop Holdings Inc.,Unknown,2026-01-13,2.933,7.338,0.5,25
2TX.F,ASENSUS SURGICAL DL-001,Unknown,2024-08-22,0.3,75.202,0.5,25
2U1.F,2U Inc,Unknown,2024-08-14,6.034,2532.495,0.5,25
2UH.F,ANGI Homeservices Inc,Unknown,2025-05-22,14.07,147.67,0.5,25
2VT.F,Lipocine Inc,Unknown,2023-07-12,3.672,51.475,0.5,25
2W6.F,Mustang Bio Inc,Unknown,2023-04-03,4.86,64.779,0.5,25
2XA.F,AA plc,Unknown,2021-03-10,0.406,1.867,0.5,25
2YK.F,ANTARES VISION SPA O.N.,Unknown,2026-03-30,4.915,13.004,0.5,25
32GA.F,Thunderbird Entertainment Group Inc,Unknown,2026-02-02,1.011,3.532,0.5,25
3510.F,LIVEONE INC. DL-001,Unknown,2025-11-26,3.533,51.956,0.5,25
358.F,BALLYS CORP. DL-01,Unknown,2025-02-10,17.392,62.027,0.5,25
35L.F,PHERECYDES PHARMA EO 1,Unknown,2023-06-27,1.932,9.722,0.5,25
35X.F,AgroFresh Solutions Inc,Unknown,2023-03-30,2.698,6.58,0.5,25
366.F,AzurRx BioPharma Inc,Unknown,2021-09-10,0.522,2.932,0.5,25
36N0.F,ABAXX TECHNOLOGIES INC.,Unknown,2023-07-20,4.873,9.973,0.5,25
3AI.F,Alteryx Inc,Unknown,2024-03-18,44.589,159.164,0.5,25
3AR.F,Argo Group International Holdings Ltd,Unknown,2023-11-15,27.372,64.871,0.5,25
3BE.F,TRINITY EXP.+PROD.DL 001,Unknown,2024-08-01,0.665,2.252,0.5,25
3IX.F,Innergex Renewable Energy Inc,Unknown,2025-07-22,8.505,17.453,0.5,25
3JE.F,SC.BIOGAS FUELS INTL.O.N.,Unknown,2024-04-08,1.71,5.938,0.5,25
3K6.F,ESR GROUP LTD.,Unknown,2025-06-30,1.376,2.78,0.5,25
3NTA.F,Navios Maritime Holdings Inc,Unknown,2023-12-13,2.116,11.555,0.5,25
3TT.F,TECNOTREE OYJ,Unknown,2024-06-21,5.136,33.776,0.5,25
3TW.F,COINSHARES I. LS-000247,Unknown,2026-04-13,4.155,14.556,0.5,25
3VM1.F,MODELON AB AK B,Unknown,2024-11-28,0.866,4.467,0.5,25
3YK.F,KALEYRA INC. DL -0001,Unknown,2023-05-09,2.401,35.963,0.5,25
40Y1.F,ESPORTS ENTMT GRP DL-001,Unknown,2023-04-20,6.312,1703.661,0.5,25
43T.F,Tabula Rasa HealthCare Inc,Unknown,2023-11-03,9.599,77.558,0.5,25
43V.F,PURPOSE MARIJ.OPP. TR.UTS,Unknown,2025-03-13,1.47,6.857,0.5,25
47K.F,ARRIVAL GROUP EO -10,Unknown,2023-06-15,5.013,949.235,0.5,25
47N.F,CITIUS PHARMAC. DL -001,Unknown,2025-01-24,3.291,82.45,0.5,25
4880.F,WESTRN ASS.MORT.CA.NEW,Unknown,2023-12-06,7.932,65.333,0.5,25
48L.F,BEYOND AIR INC. DL-0001,Unknown,2025-09-11,3.264,293.216,0.5,25
48Q.F,X4 PHARMACEUTIC. DL-001,Unknown,2025-06-26,4.914,298.32,0.5,25
48X.F,SUMMA SILVER CORP.,Unknown,2025-08-06,0.242,2.086,0.5,25
49Q.F,QUANTAFUEL AS NK -01,Unknown,2024-02-07,0.532,4.457,0.5,25
49S0.F,SUPERDRY PLC UNSPON.ADR 1,Unknown,2024-01-10,0.365,3.592,0.5,25
49Y0.F,AVENUE THERAP. DL-0001,Unknown,2024-06-25,3.373,1182.939,0.5,25
4AR.F,AIRNET TECHN. ADR 1,Unknown,2024-02-13,1.665,22.224,0.5,25
4B3.F,Big Lots Inc,Unknown,2024-09-11,0.195,53.979,0.5,25
4CR1.F,Chimera Investment Corporation,Unknown,2024-07-22,13.846,34.879,0.5,25
4DA.F,OX2 AB,Unknown,2024-10-23,3.98,10.024,0.5,25
4DY.F,4D PHARMA PLC LS -0025,Unknown,2023-02-16,0.157,1.9,0.5,25
4DY0.F,4D PHARMA PLC SP.ADR/8,Unknown,2023-03-29,2.207,10.766,0.5,25
4EG.F,ENGlobal Corporation,Unknown,2021-08-18,1.575,7.247,0.5,25
4GSN.F,SINGULARITY FUTURE TECHN.,Unknown,2024-04-11,3.046,168.332,0.5,25
4GT1.F,LIVEVOX HOLDINGS DL-0001,Unknown,2023-12-27,3.275,7.408,0.5,25
4MN.F,Minerva Neurosciences Inc,Unknown,2022-06-20,0.37,13.617,0.5,25
4NE1.F,ACCOLADE INC. DL-0001,Unknown,2025-04-08,3.189,46.005,0.5,25
