Code,Name,Isin,Country,Exchange,Currency,Type
02M,The Mosaic Company,US61945C1036,Germany,XETRA,EUR,Common Stock
05Y,Vivoryon Therapeutics N.V.,NL00150002Q7,Germany,XETRA,EUR,Common Stock
0IIA,GPF Physical Gold ETC,XS2265368097,Germany,XETRA,EUR,Common Stock
0IIB,GPF Physical Silver ETC,XS2265369574,Germany,XETRA,EUR,Common Stock
0IIC,GPF Physical Platinum ETC,XS2265369731,Germany,XETRA,EUR,Common Stock
0IID,GPF Physical Palladium ETC,XS2265370234,Germany,XETRA,EUR,Common Stock
0S6,Cerence Inc,US1567271093,Germany,XETRA,EUR,Common Stock
0UB,UBS Group AG,CH0244767585,Germany,XETRA,EUR,Common Stock
0YU,YUM CHINA HLDGS    DL-01,US98850P1093,Germany,XETRA,EUR,Common Stock
13B,Bpost SA de Droit Public,BE0974268972,Germany,XETRA,EUR,Common Stock
1CO,COVESTRO V AG,DE000A40KY26,Germany,XETRA,EUR,Common Stock
1COV,Covestro AG,DE0006062144,Germany,XETRA,EUR,Common Stock
1FC,Facc AG,AT00000FACC2,Germany,XETRA,EUR,Common Stock
1I9A,1I9A,SE0016101844,Germany,XETRA,EUR,Common Stock
1Q5,Dropbox Inc,US26210C1045,Germany,XETRA,EUR,Common Stock
1Q7,Asmallworld AG,CH0404880129,Germany,XETRA,EUR,Common Stock
1SQ,Swissquote Group Holding SA,CH0010675863,Germany,XETRA,EUR,Common Stock
1YQA,1YQA,CH0435377954,Germany,XETRA,EUR,Common Stock
27S,Albertsons Companies Inc.,US0130911037,Germany,XETRA,EUR,Common Stock
2EM,Ergomed,GB00BN7ZCY67,Germany,XETRA,EUR,Common Stock
2FB,Fortune Brands Home & Security Inc,US34964C1062,Germany,XETRA,EUR,Common Stock
2FI,Fiat Chrysler Automobiles N.V,NL0010877643,Germany,XETRA,EUR,Common Stock
2HP,Hewlett Packard Enterprise Co,US42824C1099,Germany,XETRA,EUR,Common Stock
2HQ,Tilray Inc,US88688T1007,Germany,XETRA,EUR,Common Stock
2II,ITT Inc.,US45073V1089,Germany,XETRA,EUR,Common Stock
2INV,2invest AG,DE000A3H3L44,Germany,XETRA,EUR,Common Stock
2NJ,Covetrus Inc.,US22304C1009,Germany,XETRA,EUR,Common Stock
2QU,Onoff AG,DE000A2BPNB1,Germany,XETRA,EUR,Common Stock
2X0,CORTEVA INC.      DL -01,US22052L1044,Germany,XETRA,EUR,Common Stock
2XT,DXC TECHNOLOGY CO. DL-01,US23355L1061,Germany,XETRA,EUR,Common Stock
37C,CNH Industrial N.V.,NL0010545661,Germany,XETRA,EUR,Common Stock
3KO,Kontoor Brands Inc.,US50050N1037,Germany,XETRA,EUR,Common Stock
3LUA,3LUA,DK0061540341,Germany,XETRA,EUR,Common Stock
3P7,Pandora A/S,DK0060252690,Germany,XETRA,EUR,Common Stock
3RB,Reckitt Benckiser Group plc,GB00B24CGK77,Germany,XETRA,EUR,Common Stock
47I,Arconic Corp,US03966V1070,Germany,XETRA,EUR,Common Stock
48Z,Howmet Aerospace Inc,US4432011082,Germany,XETRA,EUR,Common Stock
49Z,49Z,SE0013647385,Germany,XETRA,EUR,Common Stock
4A3,4A3,NL0015285941,Germany,XETRA,EUR,Common Stock
4PG,Otis Worldwide Corp,US68902V1070,Germany,XETRA,EUR,Common Stock
4PN,Carrier Global Corp,US14448C1045,Germany,XETRA,EUR,Common Stock
4TO,Mainz Biomed B.V.,NL0015000LC2,Germany,XETRA,EUR,Common Stock
4XT,XPhyto Therapeutics Corp,CA98421R1055,Germany,XETRA,EUR,Common Stock
5CV,CureVac NV,NL0015436031,Germany,XETRA,EUR,Common Stock
5EA,Elanco Animal Health Inc,US28414H1032,Germany,XETRA,EUR,Common Stock
5GH,Guardant Health Inc.,US40131M1099,Germany,XETRA,EUR,Common Stock
