ticker,name,sector,country,currency,slippage_bps,local_id,delisting_date,med_turnover,isin,home
2INV.XETRA,2INV,Unknown,Germany,EUR,25,,2026-01-06,56494.7,DE000A3H3L44,2INV.XETRA
AM3D.XETRA,AM3D,Unknown,Germany,EUR,25,,2023-08-18,534939.11,DE000A111338,AM3D.XETRA
AMMN.XETRA,AMMN,Unknown,Germany,EUR,25,,2025-01-03,525212422500.0,DE000A2GSVV5,AMMN.XETRA
AR4.XETRA,AR4,Unknown,Germany,EUR,25,,2023-07-03,2613369.66195,DE000A0JK2A8,AR4.XETRA
B4B.XETRA,B4B,Unknown,Germany,EUR,25,,2025-04-17,3811609.4560000002,DE000BFB0019,B4B.XETRA
B5A.XETRA,B5A,Unknown,Germany,EUR,25,,2023-06-22,211149.9484,DE0005168108,B5A.XETRA
C0M.XETRA,C0M,Unknown,Germany,EUR,25,,2023-04-05,575120.0,DE000A2QDNX9,C0M.XETRA
CC1.XETRA,CC1,Unknown,Germany,EUR,25,,2022-09-26,116785.06,DE000A2DA414,CC1.XETRA
COP.XETRA,COP,Unknown,Germany,EUR,25,,2025-06-24,2797262.1290499996,DE000A288904,COP.XETRA
DISH.US,DISH,Unknown,USA,EUR,25,,2024-01-04,81057319.21370572,US25470M1099,DISH.US
EVR.LSE,EVR,Unknown,UK,EUR,25,,2022-03-22,11270536.480724089,GB00B71N6K86,EVR.LSE
TPG.XETRA,TPG,Unknown,Germany,EUR,25,,2026-03-11,90999.275,DE000A2QEFA1,TPG.XETRA
OGZPY.US,OGZPY,Unknown,USA,EUR,25,,2022-08-03,1413600.5821223387,US3682872078,OGZPY.US
H5E.XETRA,H5E,Unknown,Germany,EUR,25,,2024-06-19,100747.63785,DE000A0EQ578,H5E.XETRA
KTEK.XETRA,KTEK,Unknown,Germany,EUR,25,,2024-05-20,69624.45,DE000A2TSQH7,KTEK.XETRA
KU2.XETRA,KU2,Unknown,Germany,EUR,25,,2022-11-10,201642.5502,DE0006204407,KU2.XETRA
LUS.XETRA,LUS,Unknown,Germany,EUR,25,,2022-04-13,137640.1368,DE0006459324,LUS.XETRA
M0YN.XETRA,M0YN,Unknown,Germany,EUR,25,,2025-05-30,119282.625,DE000A31C305,M0YN.XETRA
MDG1.XETRA,MDG1,Unknown,Germany,EUR,25,,2025-05-15,123715.41750000001,DE000A40ESG2,MDG1.XETRA
MOR.XETRA,MOR,Unknown,Germany,EUR,25,,2024-08-20,10022374.54,DE0006632003,MOR.XETRA
NWO.XETRA,NWO,Unknown,Germany,EUR,25,,2024-08-27,570697.8625,DE000NWRK013,NWO.XETRA
ODP.US,ODP,Unknown,USA,EUR,25,,2025-12-17,12472934.16053215,US88337F1057,ODP.US
PBY.XETRA,PBY,Unknown,Germany,EUR,25,,2024-08-01,95246.7126,DE0006972508,PBY.XETRA
SHA.XETRA,SHA,Unknown,Germany,EUR,25,,2024-09-24,3668757.3538999995,DE000SHA0159,SHA.XETRA
SYAB.XETRA,SYAB,Unknown,Germany,EUR,25,,2024-07-19,1010652.0362999999,DE000A2TSL71,SYAB.XETRA
TC1.XETRA,TC1,Unknown,Germany,EUR,25,,2021-12-17,574095.36855,DE000TCAG172,TC1.XETRA
V3S.XETRA,V3S,Unknown,Germany,EUR,25,,2024-09-30,113777.43999999999,DE000A0KEXC7,V3S.XETRA
