ticker,name,sector,country,currency,slippage_bps,local_id,delisting_date
01P.F,"MEDPACE HOLDINGS   DL-,01",Unknown,—,EUR,10,A2APTV,
02B.F,"BLACKLINE INC.  DL-,01",Unknown,—,EUR,30,A2AS8C,
02V.F,VILLAGE FARMS INTL INC.,Unknown,—,EUR,50,A0YJNB,
038.F,NOVOCURE LTD,Unknown,—,EUR,29,A140ML,
046.F,FERRARI GROUP PLC EO 1,Unknown,—,EUR,50,A4122L,
04K.F,KNIGHT THERAPEUTICS,Unknown,—,EUR,43,A1XE7A,
04Q.DE,NORDEA BANK ABP,Banking & Finance,Finland,EUR,18,A2N6F4,
04X.F,"PERSONALIS INC. DL-,001",Biotech & Nanotech,USA,EUR,40,A2PLTK,
061.F,DOCEBO INC.,Unknown,—,EUR,32,A2PQ7E,
06M0.F,MATERIALISE SP.ADR 1,Unknown,—,EUR,43,A112H0,
079A.F,BLACKSTONE MORTGAGE TRUST INC. REG. SHS CL. A DL -,Unknown,—,EUR,32,A1T90Y,
07G0.DE,CORPAY INC.,Unknown,—,EUR,10,A407W7,
08D.DE,"MIRUM PHARMAC.   DL-,0001",Unknown,—,EUR,21,A2PM29,
08T.F,TOURMALINE OIL CORP.,Oil & Gas,Canada,EUR,29,A1C8W0,
096.DE,"HUBSPOT INC.      DL-,001",Unknown,—,EUR,15,A12CWQ,
0AJ.F,"STRIDE INC.   DL -,0001",Unknown,—,EUR,30,A2QJVN,
0AK.DE,ARAMARK,Unknown,—,EUR,30,A1W92R,
0AV.F,"WAGA ENERGY (PROM.)EO-,01",Unknown,—,EUR,43,A3C5KU,
0B2.DE,BAWAG GROUP AG,Banking & Finance,Austria,EUR,31,A2DYJN,
0B7.F,BOSSARD HOLDING,Various services,Switzerland,EUR,24,A111WS,
0C6.F,"CARGURUS INC. REGISTERED SHS CL.A DL-,001",Internet & Software,USA,EUR,43,A2DX5H,
0DA.F,"DORIAN LPG LTD     DL-,01",Unknown,—,EUR,28,A1135G,
0EF.DE,"E.L.F. BEAUTY INC  DL-,01",Pharma & Cosmetics,USA,EUR,21,A2ARZ4,
0FA.F,"FARMLAND PARTNERS  DL-,01",Unknown,—,EUR,40,A1XE4J,
0FE.F,YUBICO AB,Unknown,—,EUR,19,A2QRSP,
0FG.F,"ADV. FLOWER CAP   DL -,01",Unknown,—,EUR,50,A2QMDB,
0FY.F,"EQUILLIUM INC.   DL-,0001",Unknown,—,EUR,41,A2N7B3,
0G31.F,VIZSLA SILVER CORP.,Unknown,—,EUR,48,A40EG3,
0G93.F,"GLOBUS MARITIME  DL -,004",Unknown,—,EUR,50,A2QEX8,
0GE.F,RVRC HOLDING AB,Unknown,—,EUR,50,A3CR3B,
0GJ.F,CAPSTONE COPPER CORP.,Unknown,—,EUR,50,A3DH8D,
0GS.F,GUIDEWIRE SOFTWARE INC.,Unknown,—,EUR,9,A1JS4X,
0GT.F,"STOKE THERAPEUT.DL-,001",Unknown,—,EUR,31,A2PLTL,
0GV.F,"SURO CAPITAL CORP. DL-,01",Unknown,—,EUR,25,A2P7YR,
0H9.F,SEIBU HOLDINGS,Unknown,—,EUR,50,A110N4,
0HE1.F,AYA GOLD + SILVER INC.,Unknown,—,EUR,16,A2QAQY,
0HF.F,"PULLUP ENTERTAIN. EO 1,20",Unknown,—,EUR,50,A14NXK,
0HV.F,"ENVISTA HOLDINGS   DL-,01",Healthcare & Medicine,USA,EUR,47,A2PN69,
0I6.F,BANCA IFIS S.P.A.    EO 1,Banking & Finance,Italy,EUR,42,764940,
0K91.F,QUANTUM BIOPHARMA LTD.,Unknown,—,EUR,49,A2P8F1,
0KG.F,"RUNWAY G.F.CORP. DL -,01",Unknown,—,EUR,48,A3C53D,
0L5.DE,LAMB WESTON HOLDINGS INC.,Food,USA,EUR,31,A2ATEK,
0L8.F,"LANTHEUS HLDGS     DL-,01",Unknown,—,EUR,17,A117UE,
0LQ.F,"EURODRY LTD.   DL -,01",Unknown,—,EUR,26,A2JMZB,
0MS.F,"FIRST ADVANTAGE   DL-,001",Unknown,—,EUR,35,A3CR1M,
0N5.F,"XOMETRY INC.CL.A -,000001",Unknown,—,EUR,20,A3CTJB,
0NU.F,NUTANIX INC. A,Internet & Software,USA,EUR,30,A2ACQE,
0O2.F,"SAGIMET BIOSC.CL.A -,0001",Unknown,—,EUR,36,A3CPAM,
0OE.F,ORION S.A.,Unknown,—,EUR,35,A1183M,
0OK.F,OKTA INC. CL.A    O.N.,Internet & Software,USA,EUR,10,A2DNKR,
0OM.F,"ORION MARINE GROUP DL-,01",Machinery & Equipment,USA,EUR,40,A0NDW6,
0ON.F,EXCHANGE INCOME CORP.,Unknown,—,EUR,50,A1C30Q,
0OT.F,"OCULAR THERAPEUT.DL-,0001",Biotech & Nanotech,USA,EUR,32,A1180P,
0OV1.F,OVS S.P.A.,Unknown,—,EUR,35,A14PJ1,
0P1A.F,"TURTLE BEACH      DL-,001",Unknown,—,EUR,44,A2JHVL,
0P8.F,PENUMBRA INC.,Unknown,—,EUR,11,A14Y65,
