ticker,isin,country
01P.F,US58506Q1094,—
02B.F,US09239B1098,—
02V.F,CA92707Y1088,—
038.F,JE00BYSS4X48,—
046.F,GB00BN0VZ646,—
04K.F,CA4990531069,—
04Q.DE,FI4000297767,Finland
04X.F,US71535D1063,USA
061.F,CA25609L1058,—
06M0.F,,—
079A.F,US09257W1009,—
07G0.DE,,—
08D.DE,,—
08T.F,CA89156V1067,Canada
096.DE,,—
0AJ.F,US86333M1080,—
0AK.DE,,—
0AV.F,FR0012532810,—
0B2.DE,AT0000BAWAG2,Austria
0B7.F,,Switzerland
0C6.F,US1417881091,USA
0DA.F,MHY2106R1100,—
0EF.DE,,USA
0FA.F,US31154R1095,—
0FE.F,SE0015657788,—
0FG.F,US00109K1051,—
0FY.F,US29446K1060,—
0G31.F,,—
0G93.F,MHY272651263,—
0GE.F,SE0015962485,—
0GJ.F,AU0000318552,—
0GS.F,US40171V1008,—
0GT.F,US86150R1077,—
0GV.F,US86887Q1094,—
0H9.F,JP3417200007,—
0HE1.F,CA05466C1095,—
0HF.F,FR0012419307,—
0HV.F,US29415F1049,USA
0I6.F,IT0003188064,Italy
0K91.F,CA74764Y2050,—
0KG.F,,—
0L5.DE,,USA
0L8.F,US5165441032,—
0LQ.F,MHY235081079,—
0MS.F,US31846B1089,—
0N5.F,US98423F1093,—
0NU.F,US67059N1081,USA
0O2.F,US7867001049,—
0OE.F,LU1092234845,—
0OK.F,US6792951054,USA
0OM.F,US68628V3087,USA
0ON.F,CA3012831077,—
0OT.F,US67576A1007,USA
0OV1.F,IT0005043507,—
0P1A.F,US9004502061,—
0P8.F,US70975L1070,—
0PN.F,SE0015960935,—
0PQ.F,NL0010872495,—
0PT.F,IE00B91XRN20,Irland
0PY.F,US70432V1026,USA
0Q0.F,KYG851581069,—
0Q2.F,US74736L1098,—
0QF.F,US60770K1079,USA
0QH.F,US76674Q1076,—
0QL0.F,US92766K1060,—
0QQA.F,BMG359472021,—
0R1.F,DK0060634707,—
0R6.F,CA76131D1033,Canada
0R7.F,FR0000039091,France
0RL0.F,US76119X1054,—
0S1.DE,,—
0S6.F,US1567271093,—
0SE0.F,US78435P1057,—
0SU.F,US25402D1028,USA
0SZ.F,US75574U1016,—
0T5.F,US90041L1052,—
0TB.F,KYG8807B1068,—
0UB.DE,,Switzerland
