Local_ID,ticker,Name,Country,Sector,Bid,Ask,Diff_Pct,Perf_1Y
A41H43,,01 QUANTUM INC.,,,0.3130 €,0.3370 €,-0.31 %,-
A2LQ2D,Z29.DE,029 GROUP SE INH O.N.,,,40.4000 €,41.0000 €,0.00 %,+3.83 %
554550,1U1.DE,1+1 AG  INH O.N.,Germany,Telecommunications,24.3000 €,24.4500 €,-1.81 %,+34.92 %
A2PPQJ,1KJ.F,"10X GENOMICS  DL -,00001",,,24.8650 €,25.0150 €,-0.60 %,+174.81 %
511880,,11 88 0 SOLUTIONS AG,Germany,Telecommunications,0.4620 €,0.5150 €,-0.41 %,-25.54 %
A1J1ZZ,,"11 BIT STUDIOS SA ZY -,10",,,32.5400 €,33.8200 €,-0.60 %,-34.54 %
A40ZAX,,111 INC.  ADR/20 CL.A,,,4.2000 €,4.3400 €,+9.77 %,-44.43 %
A2P4HL,,123FAHRSCHULE SE INH O.N.,,,2.2000 €,2.3800 €,-2.55 %,-44.71 %
A2PMPY,,1911 GOLD CORP.,,,0.4070 €,0.4240 €,+8.91 %,-
A2PNW9,,2020 BULKERS LTD  DL 1,,,0.3550 €,0.3850 €,-0.80 %,-96.69 %
A2JN55,52C.F,"2CRSI S.A.  EO-,09",,,49.0800 €,49.5600 €,-0.58 %,+780.39 %
A0HL8N,2GB.DE,2G ENERGY AG,Germany,Others,64.2000 €,64.6000 €,+5.62 %,+84.63 %
A3H3L4,,2INVEST AG  NA O.N.,,,8.5000 €,8.7800 €,+0.12 %,-29.26 %
888346,,"3 D SYS CORP.     DL-,001",USA,Internet & Software,2.5880 €,2.6140 €,-0.38 %,+66.29 %
A0RPSW,,361 DEGREES INTERNATIONAL LTD REGI.SHARES REG.S HK,,,0.5140 €,0.5510 €,+2.11 %,+3.17 %
A41TV6,,374WATER INC.    NEW O.N.,,,1.9600 €,2.0400 €,-6.10 %,-
A0MSCV,,3D OIL LTD. REGISTERED SHARES O.N.,,,0.0460 €,0.0470 €,+1.09 %,-17.12 %
A0MU9Q,IGQ5.F,3I GROUP,Great Britain,Banking & Finance,26.7600 €,27.1500 €,+2.43 %,-47.05 %
A2LQHH,,3I INFRASTRUCTURE,,,4.2200 €,4.3600 €,-2.05 %,-
851745,MMM.DE,"3M CO. DL-,50",USA,Consumer goods Diverse,136.7500 €,137.0000 €,+0.37 %,+8.84 %
A119T1,,3P LEARNING LTD,,,0.1410 €,0.2260 €,0.00 %,-
A14T7Q,,"3SBIO INC.     DL -,00001",,,1.7890 €,1.8930 €,+1.83 %,-30.19 %
516790,,3U HOLDING AG,Germany,Telecommunications,1.0900 €,1.1250 €,-1.12 %,-24.20 %
A3CWA4,,4BASEBIO PLC         EO 1,,,5.9000 €,6.3000 €,0.00 %,-50.20 %
A3DM8R,,4C GROUP AB,,,0.6710 €,0.6800 €,+1.35 %,-55.93 %
A2QAMP,,4DMEDICAL LTD.,,,2.2200 €,2.3200 €,+2.71 %,-
916232,,"4IMPRINT GRP     LS-,3846",Great Britain,Various commercial firms,42.6000 €,44.4000 €,+1.87 %,+5.46 %
A3DZX6,C4G0.F,51 TALK ONL. SP.ADR A  60,,,17.4000 €,17.5000 €,-5.42 %,-22.15 %
A40YYW,J9I1.F,5E ADVANCED MATLS NEW,,,1.4800 €,1.5000 €,+2.41 %,-
A0NAH2,EMB.F,5N PLUS INC.,,,24.1600 €,24.3800 €,-2.14 %,+317.16 %
A2H8WL,,"5TH PLANET GAMES  DK -,50",,,0.0970 €,0.1270 €,-5.08 %,-
A41V2S,,6K ADDITIVE INC.,,,0.3720 €,0.4280 €,+5.82 %,-
A1JBGJ,,74SOFTWARE           EO 2,,,37.3000 €,37.9000 €,-1.70 %,-3.53 %
A11QW6,HRPK.DE,7C SOLARPARKEN AG  O.N.,Germany,Others,1.7700 €,1.7950 €,+0.85 %,-9.13 %
A1W8Q8,,"80 MILE PLC     LS -,0001",,,0.0065 €,0.0100 €,+3.13 %,-
A14PRT,,88 ENERGY LTD,,,0.0124 €,0.0220 €,+17.81 %,+9.77 %
A0F640,,"888 HOLDINGS PLC  LS-,005",Gibraltar,Others,0.5360 €,0.5450 €,-0.55 %,-14.80 %
907912,EGT.F,"8X8               DL-,001",USA,Internet & Software,1.5200 €,1.5400 €,+2.68 %,-4.49 %
A3DWPZ,,"9 METERS BIOPHARM.DL-,001",,,0.0205 €,0.0205 €,+32.26 %,0.00 %
A3D360,,9F INC.    ADR/20 CL.A,,,1.3600 €,1.4300 €,+3.33 %,-64.47 %
A1JXU7,,A G BARR PLC,Great Britain,Alcohol & Tobacco,7.5500 €,7.8000 €,-1.29 %,-6.21 %
A2JCUX,,A-LIVING SM.CI.SV. H YC 1,,,0.2140 €,0.2860 €,+0.40 %,-28.03 %
A12AGY,,A.H.T. SYNGAS TECH.  EO 1,,,2.9400 €,3.1600 €,+0.66 %,-34.42 %
861837,,A.P. MOELLER - MAERSK,Denmark,Machinery & Equipment,"2,371.0000 €","2,375.0000 €",-4.81 %,+52.64 %
A14WZ1,,A.P.MOELL-M.B U.ADR 1/200,,,11.7000 €,12.0000 €,-4.82 %,+52.29 %
861929,DP4B.SG,A.P.MOLLER-MAERSK A/S NAVNE-AKTIER A DK 1000,Denmark,Machinery & Equipment,"2,302.0000 €","2,324.0000 €",-4.30 %,+50.31 %
A1TNNN,,A.S.CREATION TAPETEN NA,Germany,Forestry,7.6500 €,7.9500 €,+0.65 %,-1.62 %
A40PMN,,A+W FOOD SVCS OF CDA INC.,,,22.2000 €,23.2000 €,+0.89 %,-3.43 %
A1XEYC,8A0.F,A10 NETWORKS INC.,USA,Computer & Network,27.3800 €,27.5400 €,-3.00 %,+82.76 %
A1JB6S,,A2 MILK CO. LTD.,,,3.5800 €,3.7200 €,+10.27 %,-27.55 %
915445,EAM.F,"A2A S.P.A.        EO 0,52",Italy,Energy & Water,2.2730 €,2.2760 €,-1.37 %,-1.56 %
A3E19M,MKC0.F,AAC CLYDE SPACE AB   O.N.,,,14.2400 €,14.3200 €,-0.56 %,+49.04 %
A0RGJS,A2X.F,AAC TECHNOLOG.HLDG.ADR/,,,4.7400 €,4.8000 €,+1.06 %,+8.76 %
A1J083,,"AAC TECHNOLOG.HLDG.DL-,01",Hongkong,Electronics & Semiconductors,4.6880 €,4.7640 €,+0.61 %,+5.33 %
A2JNX7,6AA0.F,"AAK AB NAM. SK 1,67",,,21.7600 €,21.9600 €,-0.36 %,-9.67 %
A0MQ1F,AACA.SG,"AALBERTS NV       EO -,25",Netherlands,Various services,40.0600 €,40.2600 €,+2.01 %,+21.43 %
A2PG32,,AALLON GROUP OYJ,,,8.8000 €,9.2400 €,-0.44 %,-19.47 %
894255,AAO.DE,"AAON INC.         DL-,004",,,109.9000 €,110.1000 €,-1.01 %,+73.20 %
A3H210,,AAP IMPLANTATE AG KONV.,Germany,Biotech & Nanotech,1.7600 €,1.9200 €,-2.65 %,+32.63 %
A3E1ZL,,AAPKI VENTURES INC.  O.N.,,,0.0170 €,0.0730 €,-18.18 %,+1.85 %
862821,ARZ.F,AAR CORP.            DL 1,USA,Aircraft & Space,111.4000 €,111.6000 €,+1.46 %,+85.09 %
A1W10J,,"AB AMBER GRID     EO 0,29",,,1.1100 €,1.3300 €,0.00 %,-0.41 %
A1W36D,,"AB DYNAMICS PLC   LS -,01",,,11.6000 €,13.0000 €,+1.65 %,-40.00 %
919214,,AB EFFECTENBET.,,,11.0000 €,13.5000 €,0.00 %,-
A2JFPL,,"AB NOVATURAS      EO -,03",,,0.6200 €,0.7380 €,-1.88 %,-37.09 %
A0LA5E,,AB S.A.              ZY 1,,,31.6500 €,32.6500 €,-0.62 %,+43.46 %
A1JY3V,,AB SAGAX A,,,13.6500 €,15.6000 €,+0.86 %,-
A1T7SE,EFE.F,AB SAGAX B,,,14.5900 €,14.7000 €,+0.72 %,-22.60 %
A2DGP1,,AB SAGAX D,,,3.1350 €,3.3700 €,-0.46 %,-
A1CXBG,,"AB SCIENCE S.A.    EO-,01",France,Biotech & Nanotech,0.8820 €,0.8960 €,-1.50 %,-23.56 %
A0M2DF,,"AB VILKUSKIU PIEN.EO 0,29",,,13.1000 €,13.9500 €,+2.66 %,+15.32 %
A3ESK4,,ABACUS GROUP HOLDINGS UTS,,,0.5970 €,0.6270 €,+0.49 %,-10.96 %
A3EGK4,36N.F,ABAXX TECHNOLOGIES INC.,,,28.0000 €,28.4000 €,+19.49 %,+278.95 %
