ticker,name,sector,country,currency,slippage_bps,local_id,isin,home,delisting_date,med_turnover
PRY.MI,Prysmian,Unknown,IT,EUR,25,,IT0004176001,PRY.MI,,71547703.20982933
ENEL.MI,Enel,Unknown,IT,EUR,25,,IT0003128367,ENEL.MI,,152140370.12995815
UCG.MI,UniCredit,Unknown,IT,EUR,25,,IT0005239360,UCG.MI,,304316699.2605972
ISP.MI,Intesa Sanpaolo,Unknown,IT,EUR,25,,IT0000072618,ISP.MI,,243523372.57833266
LDO.MI,Leonardo-Finmeccanica,Unknown,IT,EUR,25,,IT0003856405,LDO.MI,,119080645.07113457
ENI.MI,Eni,Unknown,IT,EUR,25,,IT0003132476,ENI.MI,,144001395.05036116
G.MI,Assicurazioni Generali,Unknown,IT,EUR,25,,IT0000062072,G.MI,,79503604.42493057
PST.MI,Poste Italiane,Unknown,IT,EUR,25,,IT0003796171,PST.MI,,30468502.850726128
TRN.MI,Terna,Unknown,IT,EUR,25,,IT0003242622,TRN.MI,,28869444.286707878
1913.HK,Prada,Unknown,IT,EUR,25,,IT0003874101,1913.HK,,74216737.75852966
CPR.MI,Davide Campari-Milano,Unknown,IT,EUR,25,,NL0015435975,CPR.MI,,35176877.9076066
UNI.MI,Unipol,Unknown,IT,EUR,25,,IT0004810054,UNI.MI,,21102795.380491257
BAMI.MI,Banco BPM,Unknown,IT,EUR,25,,IT0005218380,BAMI.MI,,68505201.22487164
PIRC.MI,Pirelli & C.,Unknown,IT,EUR,25,,IT0005278236,PIRC.MI,,9474272.456859112
MONC.MI,Moncler,Unknown,IT,EUR,25,,IT0004965148,MONC.MI,,44753307.431453705
A2A.MI,A2A,Unknown,IT,EUR,25,,IT0001233417,A2A.MI,,17294475.39155066
SPM.MI,Saipem,Unknown,IT,EUR,25,,IT0005495657,SPM.MI,,77607029.96210694
BPE.MI,BPER Banca,Unknown,IT,EUR,25,,IT0000066123,BPE.MI,,82785353.45865393
SRG.MI,SNAM,Unknown,IT,EUR,25,,IT0003153415,SRG.MI,,29009461.93170643
IG.MI,Italgas,Unknown,IT,EUR,25,,IT0005211237,IG.MI,,18905602.574632406
LTMC.MI,Lottomatica,Unknown,IT,EUR,25,,IT0005541336,LTMC.MI,,11292284.675102234
BZU.MI,Buzzi Unicem,Unknown,IT,EUR,25,,IT0001347308,BZU.MI,,17404525.038095474
BMED.MI,Banca Mediolanum,Unknown,IT,EUR,25,,IT0004776628,BMED.MI,,16038522.041484356
WBD.MI,Webuild,Unknown,IT,EUR,25,,IT0003865570,WBD.MI,,5315633.850619793
MFEA.MI,MFE-MediaForEurope,Unknown,IT,EUR,25,,NL0015001OI1,MFEA.MI,,3130719.7290929556
JUVE.MI,Juventus Football Club,Unknown,IT,EUR,25,,IT0005572778,JUVE.MI,,2240538.248897791
REC.MI,Recordati,Unknown,IT,EUR,25,,IT0003828271,REC.MI,,13262149.895425797
MB.MI,Mediobanca,Unknown,IT,EUR,25,,IT0000062957,MB.MI,,31928475.216143608
AZM.MI,Azimut Holding,Unknown,IT,EUR,25,,IT0003261697,AZM.MI,,15452961.74520111
SOL.MI,SOL,Unknown,IT,EUR,25,,IT0001206769,SOL.MI,,1292235.923948288
BRE.MI,Brembo SpA,Unknown,IT,EUR,25,,NL0015001KT6,BRE.MI,,3574000.3573589325
LUVE.MI,LU-VE S.p.A.,Unknown,IT,EUR,25,,IT0005107492,LUVE.MI,,295936.0816497803
TIP.MI,Tamburi Investment Partners,Unknown,IT,EUR,25,,IT0003153621,TIP.MI,,1291977.2310519218
CMB.MI,Cembre S.p.A.,Unknown,IT,EUR,25,,IT0001128047,CMB.MI,,414744.69873046875
DNR.MI,Industrie De Nora,Unknown,IT,EUR,25,,IT0005186371,DNR.MI,,1078072.4615225792
DIA.MI,DiaSorin,Unknown,IT,EUR,25,,IT0003492391,DIA.MI,,13626042.123794556
FBK.MI,FinecoBank,Unknown,IT,EUR,25,,IT0000072170,FBK.MI,,29226982.182933807
COM.MI,Comer Industries  S.p.A.,Unknown,IT,EUR,25,,IT0005246191,COM.MI,,112139.90990924835
TNXT.MI,Tinexta,Unknown,IT,EUR,25,,IT0005037210,TNXT.MI,,1352906.8819675446
PRYMY,Prysmian (ADR),Unknown,IT,EUR,25,,US74440L1061,PRYMY,,1945974.1508483887
FINMY,Leonardo (ADR),Unknown,IT,EUR,25,,US52660W1018,FINMY,,1596464.98336792
SFER.MI,Salvatore Ferragamo,Unknown,IT,EUR,25,,IT0004712375,SFER.MI,,2832819.0362062454
TIT.MI,Telecom Italia,Unknown,IT,EUR,25,,IT0005712671,TIT.MI,,67916828.28530335
UNCRY,UniCredit (ADR),Unknown,IT,EUR,25,,US9046784065,UNCRY,,9602871.099090576
CALT.MI,Caltagirone S.p.A.,Unknown,IT,EUR,25,,IT0003127930,CALT.MI,,140813.21846461296
ANGL.ST,Angler Gaming,Unknown,IT,EUR,25,,MT0000650102,ANGL.ST,,193678.66403651237
IP.MI,Interpump Group,Unknown,IT,EUR,25,,IT0001078911,IP.MI,,8320454.41822052
BST.MI,Banca Sistema,Unknown,IT,EUR,25,,IT0003173629,BST.MI,,331303.2852162719
