ticker,local_id,name,country,sector,currency,slippage_bps
B3K.SG,869057,ACKERMANS + VAN HAAREN,Belgien,Construction & Construction Materials,EUR,4
1NBA.F,A2ASUV,ANHEUSER-BUSCH INBEV,Belgien,Food,EUR,4
IDV1.F,886939,INDUSTRIVAERDEN,Sweden,Investments & Holdings,EUR,4
TEX.SG,906997,CASTELLUM AB,Sweden,Real Estate,EUR,4
PTX.DE,A2QA4J,PALANTIR TECHNOLOGIES INC,USA,Internet & Software,EUR,5
8FS.MU,852448,SOFINA,Belgien,Banking & Finance,EUR,5
DFK0.F,906866,"AMAZON.COM INC.    DL-,01",USA,Internet & Software,EUR,5
2FE.DE,A2ACKK,FERRARI N.V.,Netherlands,Vehicles,EUR,5
EIA.F,615402,ELISA OYJ,Finland,Telecommunications,EUR,5
APC.DE,865985,Apple Inc.,USA,Computer & Network,EUR,5
34D.F,A0MTB2,DIASORIN,Italy,Others,EUR,6
RPL.SG,881026,UPM KYMMENE,Finland,Forestry,EUR,6
MDO.DE,856958,MCDONALDS CORP.,USA,Hospitality and Tourism,EUR,6
BPM.MU,A2DJF1,BANCO BPM SPA,Italy,Banking & Finance,EUR,7
XONA.F,852549,EXXON MOBIL CORP.,USA,Oil & Gas,EUR,7
MUV2.DE,843002,MUENCH.RUECKVERS.VNA O.N.,Germany,Insurance,EUR,8
MC.SW,853292,"LVMH               EO 0,3",France,Textiles & Clothes,EUR,8
ENA.MU,871028,ENDESA,Spain,Energy & Water,EUR,8
CH6.F,876514,CLEAN HARBORS INC.,USA,Environment & Recycling,EUR,8
IC2.DE,A1W5H0,INTERCONT. EXCHANGE,USA,Internet & Software,EUR,8
AMKBY,861837,A.P. MOELLER - MAERSK,Denmark,Machinery & Equipment,EUR,8
UNP.SG,858144,UNION PACIFIC,USA,Transport,EUR,8
OK3.F,870494,OSHKOSH CORP.,USA,Vehicles,EUR,9
SKWC.F,887029,SSAB,Sweden,Others,EUR,9
STT,864777,STATE STREET,USA,Banking & Finance,EUR,9
MHG.DE,157781,MOLINA HEALTHCARE INC.,USA,Healthcare & Medicine,EUR,9
1HTA.F,A0YAKV,HYATT HOTELS CORP.,USA,Hospitality and Tourism,EUR,9
6MK.DE,A0YD8Q,MERCK & CO,USA,Pharma & Cosmetics,EUR,9
WTY.F,A2AC3K,WILLIS TOWERS WATSON,USA,Various services,EUR,9
AE9.F,860325,Agnico Eagle Mines Ltd.,Canada,Resources,EUR,9
GJO,852009,"PFIZER INC. DL-,05",USA,Pharma & Cosmetics,EUR,9
PKA.F,932483,PACKAGING CORP. OF AMER.,USA,Others,EUR,9
CA8A.F,906006,CACI INTERNATIONAL INC.,USA,Internet & Software,EUR,9
SPU.F,853887,SNAP ON,USA,Various services,EUR,9
FKM.F,A0B8L8,AKER ASA,Norway,Investments & Holdings,EUR,9
COF.F,914421,COFINIMMO,Belgien,Real Estate,EUR,9
NKE,866993,NIKE INC CL B,USA,Various commercial firms,EUR,9
HSBA.L,924838,"LENNOX INTERNATIONAL INC. REGISTERED SHARES DL -,0",USA,Machinery & Equipment,EUR,9
