Local_ID,Name,Country,Sector,Bid,Ask
888346,"3 D SYS CORP.     DL-,001",USA,Internet & Software,2.5880 €,2.6140 €
861837,A.P. MOELLER - MAERSK,Denmark,Machinery & Equipment,"2,371.0000 €","2,375.0000 €"
919730,ABB N,Switzerland,Electronics & Semiconductors,88.6400 €,88.8800 €
850103,ABBOTT LABS,USA,Healthcare & Medicine,76.0800 €,76.3800 €
A3EWCP,ABIVAX SA SP.ADR  O.N.,,,83.0000 €,84.0000 €
A40CV1,ABRASILV. RES.CORP.  O.N.,,,9.2650 €,9.3300 €
985331,ACADIA RLTY TRUST  DL-001,,,19.0000 €,19.2000 €
564723,"ACTIA GROUP SA INH.EO-,75",France,Electronics & Semiconductors,3.8400 €,3.8700 €
A2PLR5,"AD.BIOTECH.CORP. DL-,0001",,,15.3050 €,15.3950 €
189900,ADF GRP INC. SV,,,9.1500 €,9.2500 €
A2JD07,ADMICOM OYJ,,,27.3500 €,27.5500 €
A2DSHL,ADTALEM GLOBAL EDUCATION INC. REGISTERED SHARES DL,USA,Various services,110.9000 €,111.1000 €
A3EVGW,AEGON LTD. NY SHARES 1,,,7.4500 €,7.5500 €
A115QU,AF POEYRY AB B FRIA,,,10.4200 €,10.5100 €
A2QL1G,"AFFIRM HLDGS A  DL-,00001",USA,Banking & Finance,57.0100 €,57.2300 €
A3CU0W,"AG MORTG.INV.NEW DL-,01",,,6.7000 €,6.8000 €
929138,"AGILENT TECHS INC. DL-,01",USA,Electronics & Semiconductors,111.3500 €,111.5500 €
890700,"AGREE RLTY CORP. DL-,0001",,,65.4000 €,65.8000 €
A2ANT0,"AHOLD DELHAIZE,KON.EO-,01",Netherlands,Department stores & Retail,36.3600 €,36.4900 €
854912,AIR PRODS & CHEM,USA,Chemistry,244.7000 €,245.1000 €
A1XBMK,AIRBUS SE /UNSP.ADRS,Netherlands,Aircraft & Space,44.6000 €,45.2000 €
A4270Y,"AKARI THER.ADR/80000 -,01",,,11.5460 €,11.6160 €
A14YJM,ALBERTSONS COS INC.DL-001,,,13.3300 €,13.4100 €
A2DSXM,"ALD EO 1,50",France,Various services,11.7600 €,11.8100 €
A0YDAV,ALGONQUIN POWER + UTILIT.,Canada,Energy & Water,5.1200 €,5.1620 €
A117ME,ALIBABA GR.HLDG SP.ADR 8,China,Internet & Software,97.0000 €,97.5000 €
A2PVFU,ALIBABA GROUP HLDG LTD,China,Internet & Software,12.1300 €,12.2200 €
A2QQFM,ALMAWAVE SPA,,,4.2850 €,4.3000 €
A414Q8,ALMONTY INDUSTRY O.N.,,,15.2250 €,15.3150 €
A14Y6H,"ALPHABET INC.CL.C DL-,001",USA,Internet & Software,309.8500 €,310.2000 €
918312,"ALTEN SAEO 1,05",France,Internet & Software,60.9000 €,61.1500 €
918692,AM.AXLE + MFG HLDGS DL-01,USA,Vehicles,5.4500 €,5.5000 €
A1C2FD,AMARESCO INC.CL.A DL-0001,,,24.2000 €,24.3000 €
A41557,AMARIN CORP.ADR NEW 2025,,,13.1000 €,13.2000 €
A3D7MZ,AMC ENTERTAINM.HLD.A  NEW,,,2.0000 €,2.0200 €
A1JBRG,"AMC NETWORKS INC.A DL-,01",USA,Others,8.7000 €,8.7500 €
850222,"AMER. EL. PWR     DL 6,50",USA,Energy & Water,112.2600 €,112.5000 €
894969,AMER. FINL GRP,USA,Insurance,115.8000 €,116.0000 €
A417ZH,AMERICAN INT.INS GRP O.N.,,,14.7000 €,14.8000 €
A1JRLA,"AMERICAN TOWER DL -,01",USA,Others,161.1000 €,161.4500 €
A0Q9XQ,"AMERICOLD RLTY TR. DL-,01",,,12.4000 €,12.5000 €
A0F55S,"AMERIPRISE FINL    DL-,01",USA,Insurance,396.5000 €,397.3000 €
A1W3P0,AMERN HOME.4 RENT A DL-01,,,28.6000 €,28.8000 €
798185,"AMN HEALTHCARE SVS DL-,01",USA,Healthcare & Medicine,26.6000 €,26.8000 €
A2JLMD,"AMNEAL PHMCTCLS, INC.",,,14.0000 €,14.1000 €
852176,"AMSTERD.COMM.      EO-,45",,,22.7000 €,22.9500 €
A0N916,ANHEUSER-BUSCH INBEV ADR,,,71.5000 €,72.5000 €
A3DUCY,"ANNALY CAP.MGMT   DL -,01",,,19.0050 €,19.1150 €
A0MVDZ,ANTA SPORTS PRODUCTION,Hongkong,Various commercial firms,8.3550 €,8.4540 €
A3C3AG,ANTIN INFRASTR.PRT EO 1,,,9.6700 €,9.7000 €
A2QJPQ,"APARTM.INV. MGMT A DL-,01",USA,Real Estate,2.4800 €,2.5000 €
886255,APETIT OYJ           EO 2,,,10.0000 €,10.1500 €
A2QR0K,"APPLOVIN CORP.A  -,00003",,,428.7000 €,429.5500 €
886413,"APTARGRP INC.      DL-,01",USA,Consumer goods Diverse,101.7000 €,101.9000 €
A0CAPU,"ARBOR RLTY TR.INC. DL-,01",,,4.4980 €,4.5440 €
A3D7B0,"ARCADIA BIOSC.NEW.DL-,001",,,2.5200 €,2.5400 €
A1H9NG,ARCOS DORADOS HLDGS IND.A,,,7.6400 €,7.7000 €
A2N87U,ARES MNGMT CORP.CL.A,,,116.5000 €,116.7500 €
A3DTTG,ARIS MNG.CORP.,,,13.6900 €,13.7700 €
A3C7YC,"ARISTON HOLD.N.V.  EO-,01",,,3.2100 €,3.2400 €
A2JRL0,"ARLO TECHS INC.   DL-,001",USA,Telecommunications,11.1700 €,11.2300 €
875189,ARR.DIG.INFRASTRUCT. DL 1,,,35.2000 €,35.4000 €
A1JU4Y,ARTISAN PART.AS.M.A DL-01,,,30.9800 €,31.1600 €
868730,"ASM INTL N.V.      EO-,04",Netherlands,Electronics & Semiconductors,"1,010.0000 €","1,014.5000 €"
A0X96X,"ASM INTL N.V. NY/1 EO-,04",,,"1,000.0000 €","1,010.0000 €"
A1J85V,"ASML HOLDING NY    EO-,09",Netherlands,Electronics & Semiconductors,"1,610.0000 €","1,620.0000 €"
A3CL8W,"AST SPACEMOBIL.A DL-,0001",,,72.2000 €,72.5000 €
A0HL9Z,AT&T INC.,USA,Telecommunications,20.3100 €,20.3500 €
A142QE,"ATALAYA MNG PLC LS-,075",,,9.3000 €,9.4000 €
866126,ATCO LTD CL. I NON VTG,,,44.6000 €,44.8000 €
A3DLJK,ATLAS COPCO B FR. RED.SHS,,,15.0450 €,15.1900 €
A14PY2,"AUTO TRADER GRP PLCLS0,01",Great Britain,Internet & Software,5.3500 €,5.4000 €
906892,AUTOLIV INC.,,,111.0000 €,112.0000 €
A2PG8N,"AVANZA BK HLDG AB SK 0,50",,,34.6800 €,35.0200 €
A3D38R,"AYTU BIOPHARMA  DL -,0001",,,1.8900 €,1.8900 €
A0B6Q3,AZIMUT HLDG S.P.A.,Italy,Banking & Finance,36.5600 €,36.9000 €
A3DLKE,"BACHEM HLDG NA   SF 0,01",Switzerland,Pharma & Cosmetics,71.6000 €,71.9000 €
A0YCQ6,BAIDU INC. O.N.,,,12.5620 €,12.6640 €
A0RENB,BALLARD PWR SYS,Canada,Others,3.6620 €,3.6980 €
A0YBKP,BANCO SANT.SPON.ADS/1 UTS,,,4.6800 €,4.7200 €
A2H7JF,"BANDWID.INC. CL.A DL-,001",,,56.0000 €,56.5000 €
858388,BANKAMERICA,USA,Banking & Finance,48.3200 €,48.4200 €
A40E6D,"BAR.+NO. E. DL-,01",,,9.6000 €,9.6500 €
A2JQ1X,BAUSCH HEALTH COS.,Canada,Pharma & Cosmetics,4.3480 €,4.3920 €
876152,"BCO BIL.VIZ.ARG.ADR EO,-4",Spain,Banking & Finance,20.1000 €,20.2000 €
A2JLD1,"BE SEMICON.INDSINH.EO-,01",Netherlands,Various services,321.9000 €,324.2000 €
A40H9N,"BERKELEY GR.HL LS-,056110",,,39.6000 €,40.0000 €
A0YJQ2,"BERKSH. H.B NEW DL-,00333",USA,Investments & Holdings,421.9000 €,422.3500 €
522130,BERL.EFFEKTENGES.AG O.N.,,,73.5000 €,74.5000 €
A3EQAC,"BGC GROUP INC.A    DL-,01",,,10.2000 €,10.3000 €
A2PX00,BICO GROUP AK B  O.N.,,,1.5020 €,1.5080 €
A2P9T5,"BIGCOMMERCE HLD. 1 -,0001",,,2.3200 €,2.3400 €
A2PWWA,"BILL.COM HLDGS DL-,00001",USA,Banking & Finance,28.6000 €,28.7000 €
850386,BK MONTREAL          CD 2,Canada,Banking & Finance,145.4000 €,145.7000 €
A0MVKA,"BK N.Y. MELLON    DL -,01",USA,Banking & Finance,124.0000 €,125.0000 €
850388,BK NOVA SCOTIA,Canada,Banking & Finance,72.4700 €,72.7600 €
A2DR6L,BK OF IRELD GRP      EO 1,Irland,Banking & Finance,17.5500 €,17.6750 €
A40PW4,BLACKROCK FDG INC. O.N.,,,889.6000 €,891.4000 €
A3DHXC,BLACKSTONE SECD LEND.FD,,,20.5500 €,20.6700 €
859376,BLOCK -HR- INC.,USA,Banking & Finance,31.4800 €,31.6700 €
A2PPPV,"BLUE OWL CAPITAL   DL-,01",,,9.6310 €,9.7090 €
887771,BNP PARIBAS INH.     EO 2,France,Banking & Finance,96.4500 €,96.7400 €
923203,"BOK FINL CORP.  DL-,00006",,,116.0000 €,117.0000 €
A419U9,"BOLT BIOTHE.NEW DL-,00001",,,5.8100 €,5.8300 €
A3DMVH,BOMBARDIER INC. CL. A,,,191.0000 €,193.0000 €
898161,BOST. BEER CO.INC.A DL-01,USA,Alcohol & Tobacco,157.1000 €,157.4000 €
884113,BOSTON SCIEN CP,USA,Healthcare & Medicine,40.5100 €,40.6700 €
A1J2CL,BOUYGUES UNSP.ADR 1/5/EO1,,,9.9500 €,10.1000 €
850517,BP PLC,Great Britain,Oil & Gas,6.1370 €,6.1700 €
850518,"BP PLC SP.ADR/6 DL -,25",USA,Oil & Gas,36.9000 €,37.1000 €
A1W0FA,BPOST S.A. COMPARTMENT A,Belgien,Transport,1.6920 €,1.7140 €
A2DRA8,BQUE CTLE JURA  NA  SF 14,,,99.0000 €,100.0000 €
900104,"BRADY CORP.N.V.C.A DL-,01",USA,Computer & Network,71.0000 €,71.5000 €
875818,BRANDYWINE RLTY TR. SBI,,,2.7860 €,2.8140 €
264748,"BRINKS CO., THE      DL 1",USA,Others,88.0000 €,88.5000 €
850501,BRISTOL-MYERS SQUIBBDL-10,USA,Pharma & Cosmetics,49.1200 €,49.4200 €
916671,BRIT.AMER.TOBACCO ADR/,USA,Alcohol & Tobacco,53.5000 €,54.0000 €
866131,BRITISH AEROSPAC,Great Britain,Aircraft & Space,22.1900 €,22.4300 €
A3D2W7,BRKFLD AS.M.LTD CL.A,,,40.6300 €,40.8700 €
A0MMP1,BROADRIDGE FINL SOL.DL-01,USA,Internet & Software,125.2000 €,125.4000 €
A40WAH,BROOKFIELD INFR.EX.SUB.A,,,34.8400 €,35.0400 €
A40WAG,BROOKFIELD RENEW.CL.A SV,,,31.4100 €,31.7200 €
A1WZCD,BRP INC. SUBORD.VOT. O.N.,,,51.9500 €,52.2500 €
887375,BURE EQUITY NPV,,,24.7800 €,25.0400 €
A14V4U,"BWX TECHS INC.     DL-,01",,,167.4000 €,167.7000 €
A117Q0,"C.D.DIS.INT.LOG.HD.EO-,20",,,34.1200 €,34.1800 €
876520,CA IMMOB.ANL.,Austria,Real Estate,23.0000 €,23.2000 €
A14UTJ,"CAIRN HOMES (WI) EO -,001",,,2.2350 €,2.2550 €
A2QGVC,"CALIFORNA RESOURC. DL-,01",,,50.5200 €,50.8200 €
985335,"CAMDEN PTY TR. SBI DL-,01",USA,Real Estate,99.0000 €,99.5000 €
858397,CANADIAN TIRE CORP.LTD.CL,Canada,Department stores & Retail,115.1000 €,115.7000 €
893413,"CAPITAL ONE FINL   DL-,01",USA,Banking & Finance,159.0000 €,159.3000 €
923189,CAPITAL STHWEST CORP.DL 1,,,20.3200 €,20.4200 €
A3CNAX,"CAPTOR THHERAP.  ZY-,10",,,18.5800 €,18.6400 €
A2P1UY,"CARRIER GLBL CORP  DL-,01",USA,Others,60.3800 €,60.5000 €
777514,CARTER S INC.,USA,Textiles & Clothes,36.8000 €,37.2000 €
885039,CASEY'S GENL STORES,USA,Department stores & Retail,773.0000 €,774.6000 €
A0ERJT,"CATANA GROUP SA IN.EO 0,5",France,Hospitality and Tourism,2.2350 €,2.2500 €
918957,CATER. INTL SVCS-CISINH.,,,17.8500 €,18.0500 €
A3ETW1,CATERP.INC CDR CIBC REG.S,,,40.2000 €,40.8000 €
A1CZTX,"CBOE GLOB.MKTS INC.DL-,01",USA,Banking & Finance,255.2000 €,256.0000 €
A3CWG0,"CCC INT.SOL.HLDG.DL-,0001",,,3.9800 €,4.0200 €
869653,CCL IND. INC. CL.-B-,Canada,Others,51.5000 €,52.0000 €
602282,CDN APARTMENT PROP. REAL,,,22.0050 €,22.1950 €
865114,CDN NAT. RES LTD,Canada,Resources,39.1200 €,39.3600 €
868439,CDN UTILITIES LTD A,Canada,Energy & Water,31.7800 €,32.1600 €
906379,"CECO ENVIRONMTL    DL-,01",,,83.4800 €,83.8200 €
A14RZD,CELLNEX TELECOM SAU,Spain,Telecommunications,28.7500 €,28.8500 €
925905,CEMEX SAB.CPO SP.ADR/10,Mexiko,Construction & Construction Materials,11.2000 €,11.3000 €
A0ES9N,"CF INDS HLDGS      DL-,01",USA,Resources,94.4600 €,94.8400 €
A2PDWM,CGI INC. A SV,Canada,Internet & Software,57.5200 €,57.7600 €
A40E2T,"CHIMERA INV.NOV 23 DL-,01",,,11.5000 €,11.6000 €
909622,CHINA MOBILE LTD.,,,8.4550 €,8.5550 €
850576,CIBC,Canada,Banking & Finance,97.8900 €,98.2900 €
905176,CIE DES ALPES (CDA),France,Real Estate,22.7500 €,22.9000 €
878440,CINCINNATI FINL      DL 2,USA,Insurance,145.9500 €,146.2500 €
A3EMDE,"CINEVERSE CORP.    DL-,01",,,2.4400 €,2.4400 €
A41CUN,"CIRSA ENTER.ACT.SP.EO-,50",,,12.5600 €,12.6400 €
A14RG7,CK HUTCHISON HLDGS ADR 1,,,7.6000 €,7.7000 €
A41YK5,CLEARMIND MEDI.INC.O.N.,,,1.0600 €,1.0700 €
A2JEX2,"CM.COM N.V.        EO,-06",,,6.8200 €,6.8700 €
A0ER78,COFFEE HLDG CO.INC.DL-001,,,3.4000 €,3.4200 €
A2QP7J,"COINBASE GLB.CL.A -,00001",USA,Banking & Finance,138.1200 €,138.4000 €
A14UB1,COLLIERS INTL GRP INC. SV,Canada,Real Estate,84.0000 €,84.5000 €
A2PFNM,COMER INDS S.P.A.,,,49.7000 €,50.2000 €
A2DNSP,COMET HLDG AG NA    SF  1,Switzerland,Others,413.2000 €,415.2000 €
A0B7E5,"COML VEHICLE GROUP DL-,01",,,4.6400 €,4.7000 €
859672,COMMERCE BANCSHS INC. DL5,USA,Banking & Finance,48.2000 €,48.4000 €
A2DY1Q,"COMPASS ADR/1 NEW LS -,10",,,29.0000 €,29.4000 €
A1405G,COMSTOCK HLDG COS A DL-01,,,13.5000 €,13.6000 €
A0JM27,CONSTELLATION SOFTWARE,Canada,Internet & Software,"1,802.0000 €","1,815.0000 €"
A402VX,COOPER COS. INC. O.N.,,,58.5700 €,58.8100 €
A1H5BU,"COOPER STANDARD HL.DL-,01",,,25.4000 €,25.5400 €
893229,"COVENANT LOG.GRP.A DL-,01",,,39.2000 €,39.4000 €
913709,CPH GROUP AG NAA,,,61.2000 €,61.8000 €
884343,CRED. ACC. CORP.,,,472.0000 €,474.0000 €
A0MRKW,CRED.AG.M.D.LANGUEDOC CCI,,,98.3300 €,99.1200 €
A0MUJB,CRED.AGR.BRIE P.CCI N.EO5,,,37.7400 €,37.9950 €
887537,CRED.AGR.ILE FR.CCI  EO 4,,,121.5800 €,122.2800 €
692139,CRED.AGR.M.ATL.VEND. NOM.,,,178.2400 €,179.9200 €
792678,CRED.AGR.M.LOI+H.CCI NOM.,,,119.6600 €,120.6400 €
792682,CRED.AGR.M.NORM.CCI NOM.,,,177.2200 €,179.8200 €
792686,CRED.AGR.M.RHONE CCI NOM.,,,250.3000 €,252.3500 €
A1W5UR,"CRITEO SA SP.ADR1 EO-,025",,,15.3000 €,15.4000 €
A12GN3,CROWN CASTLE INTERNATL CORP.,USA,Telecommunications,79.5000 €,80.0000 €
922406,CUMULEX N.V. B,,,1.3100 €,1.3100 €
A2QFQU,"CURIOSITYSTREAM A -,0001",,,2.1800 €,2.2000 €
A40B55,CVC CAP. PART. GBP  O.N.,,,12.9400 €,13.0000 €
A3EM26,D AMICO INTL SHIP.SA,,,7.5300 €,7.6400 €
A3DSV9,"D-WAVE QUATUM    DL-,0001",,,20.1300 €,20.2200 €
A1H5AN,D'IETEREN GROUP P.S.,Belgien,Others,169.6000 €,169.9000 €
A1J5S8,DAVE & BUSTER S ENTERTAIN.INC. REGISTERED SHARES D,USA,Others,11.1000 €,11.2000 €
A2N6WP,"DELL TECHS INC. C  DL-,01",USA,Computer & Network,341.8500 €,342.5000 €
850857,DEN DANSKE BANK,Denmark,Banking & Finance,45.2500 €,45.6100 €
A2PXS1,"DIVERSIFIED HLTHC.TR.-,01",USA,Real Estate,7.7890 €,7.8510 €
915210,DO + CO AG,Austria,Hospitality and Tourism,204.5000 €,206.5000 €
932798,DOMINION RESOURCES,USA,Energy & Water,58.5600 €,58.7800 €
A41HBK,"DORMAKABA HLDG NA.SF 0,01",,,56.2000 €,56.6000 €
A2QJP8,DOTTIKON ES HLDG NAM.,Switzerland,Chemistry,315.5000 €,317.5000 €
A4081R,DOUYU INTL SPONS.ADRS ON,,,4.2600 €,4.3200 €
A0MXRT,DRDGOLD LTD. RC 1 ADR/10,,,20.2000 €,20.4000 €
A2QL6Z,"DRIVEN BRANDS HLDG.DL-,01",,,11.5000 €,11.6000 €
A0MRDY,DSV PANALPINA BONUS-AKT.,Denmark,Transport,214.8000 €,215.8000 €
A417BU,EASTERLY GOVT P. NEW O.N.,,,20.8000 €,21.0000 €
985160,"EASTGRP PTIES   DL -,0001",USA,Real Estate,177.0000 €,178.0000 €
A3CWAH,EL.EN. S.P.A.,,,16.4100 €,16.5600 €
A2PFD8,ELLINGTON FINL INC.,,,11.8000 €,11.9000 €
A1T940,ELLINGTON RESID.MTG SBI,,,4.0000 €,4.0400 €
A403M5,"EMEIS ACT.NOM.    EO 10,-",,,14.0400 €,14.2400 €
A2PZ6B,"EMERALD HLDG INC.  DL-,01",,,4.3200 €,4.3600 €
A0LC2W,"EMERGENT BIOSOLNS DL-,001",USA,Pharma & Cosmetics,7.1400 €,7.2000 €
593186,EMS-CHEMIE HLDG NAM.SF-01,Switzerland,Chemistry,758.5000 €,762.0000 €
885427,ENBRIDGE INC.,Canada,Oil & Gas,48.7750 €,49.0650 €
A0MQWE,"ENCE ENERGIA+CELUL.EO-,90",,,2.4220 €,2.4540 €
906980,ENERGIAS PORTUGUES,Portugal,Energy & Water,4.4670 €,4.4820 €
A3EJMU,ENERGY FOCUS INC. DL-0001,,,3.1000 €,3.1200 €
A3DEVQ,"ENERGY VAULT H.A DL-,0001",,,3.7020 €,3.7400 €
A3CSM9,ENVIPCO HLDG CVA B,,,4.0300 €,4.0650 €
A3CPHU,EPIROC AB A,,,24.3700 €,24.6000 €
A14M21,"EQUINIX INC.      DL-,001",USA,Computer & Network,911.8000 €,913.8000 €
A2JLT6,"EQUINOR ASA ADR/1 NK 2,50",,,31.2000 €,31.4000 €
857463,ERICSSON A (FRIA),Sweden,Telecommunications,10.6400 €,10.7200 €
909943,ERSTE GROUP BNK INH. O.N.,Austria,Banking & Finance,107.3000 €,108.2000 €
A1W1SJ,ESPER.THERAP.(NEW) DL-001,,,2.7160 €,2.7440 €
A2JN57,"ESSENT.PRP.REAL.TR. -,01",,,26.7500 €,26.9100 €
A2PZEK,"ESSENTIAL UTILIC.  DL-,50",USA,Environment & Recycling,32.3300 €,32.5300 €
863195,"ESSILORLUXO. INH. EO -,18",France,Healthcare & Medicine,184.5500 €,185.0500 €
A2DS2Z,ESSITY AB NAMN-AKTIER A,,,24.4000 €,24.4500 €
A2DS20,ESSITY AB NAMN-AKTIER B,Sweden,Pharma & Cosmetics,24.4000 €,24.4200 €
897933,"ESTEE LAUDER COS A DL-,01",USA,Pharma & Cosmetics,77.2600 €,77.5800 €
A3EVYK,EURO TELESITES AG INH.,,,4.6700 €,4.7100 €
905247,"EURONET WW.        DL-,02",,,57.4600 €,57.7000 €
A0HGPT,EUTELSAT COMMS       EO 1,France,Telecommunications,2.9240 €,2.9530 €
590273,Exact Sciences Corp.,USA,Biotech & Nanotech,90.6300 €,90.8100 €
A3DJ8F,"EXCELERATE ENER.A DL-,001",,,29.5000 €,29.7000 €
A2DHZ4,EXOR N.V. AANDELEN AAN TOONDER O.N.,Netherlands,Banking & Finance,66.8000 €,67.0500 €
875272,EXPEDITORS INTL WASH.DL01,USA,Transport,143.6500 €,143.9500 €
A0LC8V,EXPERIAN PLC ADR,,,29.4000 €,29.8000 €
855598,"F.S.D.V. INH.    EO 15,50",,,18.4000 €,18.6000 €
922977,F5 NETWORKS INC. O.N.,USA,Internet & Software,341.9000 €,342.6000 €
901629,"FACTSET RESH SYS   DL-,01",USA,Banking & Finance,208.3000 €,208.7000 €
A0M103,FAGRON N.V. PORT.,Netherlands,Healthcare & Medicine,24.7000 €,24.9000 €
899676,FAIRFAX FINL HLDGS SV,Canada,Banking & Finance,"1,389.0000 €","1,406.0000 €"
A3DM8U,"FASTIG.AB BALD. B SK 0,16",,,4.7180 €,4.7570 €
A2PH9T,"FASTLY INC. CL.ADL-,00002",USA,Internet & Software,15.9400 €,16.0400 €
865508,FDK CORP.,,,2.7400 €,2.7600 €
856099,FED.NATL MTGE ASS.,USA,Banking & Finance,5.6000 €,5.6400 €
914304,FEDERATED HERMES,USA,Banking & Finance,50.0000 €,50.5000 €
