ticker,name,broker,yahoo,ratio,flag
02B.F,"BLACKLINE INC.  DL-,01",24.845,,,NO_PRICE
02V.F,VILLAGE FARMS INTL INC.,1.78,,,NO_PRICE
0GS.F,GUIDEWIRE SOFTWARE INC.,105.69999999999999,,,NO_PRICE
0L5.DE,LAMB WESTON HOLDINGS INC.,39.230000000000004,,,NO_PRICE
0PN.F,ACAST AB (PUBL),3.35,,,NO_PRICE
0QH.F,"RIMINI STREET    DL-,0001",3.6,,,NO_PRICE
0SU.F,"DIGITALOCEAN HLD.-,000025",149.0,,,NO_PRICE
0V4.F,"VALVOLINE INC.    DL-,01",32.5,,,NO_PRICE
0V6.SG,"VISTRA ENERGY CORP DL-,01",128.64,,,NO_PRICE
0VD0.F,UNIVERSAL MUSIC GROUP EO1,17.8,8.8,0.494,DISPARITY
0WJ.F,"KARAT PACKAGING  DL -,001",25.9,,,NO_PRICE
0WKA.F,"WORKIVA INC. A    DL-,001",42.3,,,NO_PRICE
1170.F,ARISTA NET.INC. NEW O.N.,141.29,,,NO_PRICE
11H.F,HERITAGE IN.HLDGS DL-0001,19.41,,,NO_PRICE
19V0.F,"VAT GROUP AG      SF -,10",721.1,72.0,0.1,DISPARITY
1DZ.F,INTEA FASTIGHETER B O.N.,7.33,2.95,0.403,DISPARITY
1KJ.F,"10X GENOMICS  DL -,00001",24.939999999999998,,,NO_PRICE
1KT.DE,KEYSIGHT TECHNOLOGIES INC.,302.35,,,NO_PRICE
1NBA.F,ANHEUSER-BUSCH INBEV,71.69,,,NO_PRICE
1NF.F,"GLADSTONE LAND CO.DL-,001",7.76,18.0,2.32,DISPARITY
1P5.F,"PAVMED INC.     DL -,001",1.0,4.14,4.135,DISPARITY
1SI.DE,SNAP ON,335.1,4.61,0.014,DISPARITY
1YD0.F,"BROADCOM INC.     DL-,001",329.98,8.8,0.027,DISPARITY
1YL.MU,"PROSUS NV         EO -,05",39.33,7.95,0.202,DISPARITY
1ZLB.F,ZAI LAB LTD  ADR/1,14.75,1.38,0.094,DISPARITY
209.F,SILEX MICROSYSTEMS  O.N.,19.07,,,NO_PRICE
2B30.F,"XERIS BIOPH.HOL. DL-,0001",5.92,,,NO_PRICE
2H51.F,"OCUGEN INC.       DL-,001",1.0510000000000002,,,NO_PRICE
2N81.F,"GLOBAL NET LEASE   DL-,01",8.18,19.2,2.347,DISPARITY
2VZ.F,"LEONARDO DRS INC.  DL-,01",41.975,,,NO_PRICE
2WZ.F,"O-I GLASS INC.     DL-,01",7.93,,,NO_PRICE
2Y5.F,ENDAVA LTD.  SP.ADR/1,2.49,,,NO_PRICE
2YN.F,MAYVILLE ENGINEERING CO.,30.700000000000003,,,NO_PRICE
