name,yf_ticker,primary_ticker,type,sector,region
AP MOLLER-MAERSK A/S-B,DP4B.F,DP4B.F,stock,,
SKANDINAVISKA ENSKILDA BAN-A,SEBA.F,SEBA.F,stock,,
DEUTSCHE REAL ESTATE,DRE2.F,DRE2.F,stock,,
BIOSEARCH SA,PUL.F,PUL.F,stock,,
STORA ENSO OYJ-R SHS,ENUR.F,ENUR.F,stock,,
HUSQVARNA AB-B SHS,HRZ.F,HRZ.F,stock,,
AFC AJAX,AJXA.F,AJXA.F,stock,,
WESTERN UNION CO,W3U.F,W3U.F,stock,,
ELMOS SEMICONDUCTOR SE,ELG.F,ELG.F,stock,,
ALBIS LEASING AG,ALG.F,ALG.F,stock,,
AKZO NOBEL N.V.,AKU1.F,AKU1.F,stock,,
ALLIANZ SE-REG,ALV.F,ALV.F,stock,,
REXEL SA,E7V.F,E7V.F,stock,,
UNITY BANCORP INC,UTB.F,UTB.F,stock,,
GILAT SATELLITE NETWORKS LTD,GSA.F,GSA.F,stock,,
BEKAERT NV,BK8N.F,BK8N.F,stock,,
OSG CORP,OSG.F,OSG.F,stock,,
SCREEN HOLDINGS CO LTD,DAO.F,DAO.F,stock,,
BEIERSDORF AG,BEI.F,BEI.F,stock,,
REGENT PACIFIC GROUP LTD,RPG.F,RPG.F,stock,,
TOUCHSTONE EXPLORATION INC,PNW1.F,PNW1.F,stock,,
FLOWERS FOODS INC,FWF.F,FWF.F,stock,,
ESSILORLUXOTTICA,ESL.F,ESL.F,stock,,
BAYWA AG,BYW.F,BYW.F,stock,,
INTESA SANPAOLO,IES.F,IES.F,stock,,
HYFLUX LTD,HYF.F,HYF.F,stock,,
RWE AG,RWE.F,RWE.F,stock,,
BED BATH & BEYOND INC,OVER.F,OVER.F,stock,,
HONG KONG & CHINA GAS,HCG.F,HCG.F,stock,,
GREAT EAGLE HOLDINGS LTD,GHK.F,GHK.F,stock,,
KOENIG & BAUER AG,SKB.F,SKB.F,stock,,
BASF SE,BAS.F,BAS.F,stock,,
BAYER AG-REG,BAYN.F,BAYN.F,stock,,
FRIWO AG,CEA.F,CEA.F,stock,,
SKECHERS USA INC-CL A,SKAA.F,SKAA.F,stock,,
BAYERISCHE MOTOREN WERKE AG,BMW.F,BMW.F,stock,,
CHURCHILL DOWNS INC,CHR.F,CHR.F,stock,,
COMMERZBANK AG,CBK.F,CBK.F,stock,,
DIERIG HOLDING AG,DIE.F,DIE.F,stock,,
CONTINENTAL AG,CON.F,CON.F,stock,,
DEUTSCHE BANK AG-REGISTERED,DBK.F,DBK.F,stock,,
FUCHS SE,FPE.F,FPE.F,stock,,
ANHUI CONCH CEMENT CO LTD-H,AQE.F,AQE.F,stock,,
HEIDELBERG MATERIALS AG,HEI.F,HEI.F,stock,,
BILFINGER SE,GBF.F,GBF.F,stock,,
SONIC HEALTHCARE LTD,SAB.F,SAB.F,stock,,
HOCHTIEF AG,HOT.F,HOT.F,stock,,
KSB SE & CO KGAA,KSB.F,KSB.F,stock,,
LEIFHEIT AG,LEI.F,LEI.F,stock,,
AMN HEALTHCARE SERVICES INC,HCQ.F,HCQ.F,stock,,
DEUTSCHE LUFTHANSA-REG,LHA.F,LHA.F,stock,,
SUSS MICROTEC SE,SMHN.F,SMHN.F,stock,,
JOHN WOOD GROUP PLC,JWG1.F,JWG1.F,stock,,
HEIDELBERGER BETEILIGUNDSHOL,IPOK.F,IPOK.F,stock,,
RHEINMETALL AG,RHM.F,RHM.F,stock,,
K+S AG-REG,SDF.F,SDF.F,stock,,
AGROB IMMOBILIEN AG,AGR.F,AGR.F,stock,,
