ticker,med_turnover,med_turnover_2y,n
01P.F,0.0,0.0,2285
02B.F,0.0,0.0,2285
02V.F,0.0,0.0,2208
038.F,0.0,0.0,2285
046.F,0.0,0.0,336
04K.F,0.0,0.0,2285
04Q.DE,0.0,62655.47003364563,2285
04X.F,0.0,0.0,1464
061.F,0.0,0.0,674
06M0.F,0.0,0.0,140
079A.F,0.0,0.0,2285
07G0.DE,0.0,0.0,415
08T.F,0.0,0.0,2285
096.DE,9474.399841308594,7118.0999755859375,895
0AJ.F,0.0,0.0,2285
0AV.F,0.0,0.0,1181
0B2.DE,11259.34831237793,27094.76967048645,1157
0B7.F,0.0,0.0,2005
0C6.F,0.0,0.0,2201
0DA.F,0.0,0.0,2285
0FA.F,0.0,0.0,1790
0FE.F,0.0,0.0,1326
0FG.F,0.0,0.0,1319
0FY.F,0.0,0.0,1944
0G31.F,2054.080074429512,4089.999943971634,1648
0G93.F,0.0,0.0,2285
0GE.F,0.0,0.0,1273
0GJ.F,0.0,0.0,555
0GS.F,0.0,0.0,2285
0GT.F,0.0,0.0,1737
0GV.F,0.0,0.0,2285
0H9.F,0.0,0.0,2285
0HE1.F,1261.9999885559082,9868.420333862305,1771
0HF.F,0.0,0.0,2073
0HV.F,0.0,0.0,1712
0I6.F,0.0,0.0,2285
0K91.F,0.0,0.0,1991
0KG.F,0.0,0.0,295
0L8.F,0.0,0.0,2285
0LQ.F,0.0,0.0,2022
0MS.F,0.0,0.0,1247
0N5.F,0.0,0.0,1115
0NU.F,2148.1200218200684,0.0,2285
0O2.F,0.0,0.0,731
0OE.F,0.0,0.0,2285
0OK.F,3340.0600242614746,1728.1499671936035,2285
0OM.F,0.0,0.0,2285
0ON.F,0.0,0.0,1940
0OT.F,0.0,0.0,2285
0OV1.F,0.0,0.0,2285
0P1A.F,0.0,0.0,2285
0P8.F,0.0,0.0,2285
0PN.F,0.0,0.0,1272
0PQ.F,0.0,0.0,2285
0PT.F,0.0,0.0,2285
0PY.F,0.0,0.0,289
0Q0.F,787.5182104110718,0.0,1875
0Q2.F,0.0,0.0,2285
